osmid,unique_id,element_type,amenity,compressed_air,name,opening_hours,geometry_polygon,check_date,denomination,religion,access,capacity,fee,parking,toilets:disposal,wheelchair,barrier,bus,note,public_transport,cuisine,internet_access,addr:city,addr:housenumber,addr:street,phone,smoking,stars,wikidata,description,addr:district,addr:full,addr:province,addr:subdistrict,ele,isced:level,ref,source,brand,brand:wikidata,brand:wikipedia,drive_through,name:ja,operator,outdoor_seating,takeaway,contact:facebook,name:es,name:fr,addr:postcode,email,name:en,alt_name,level,website,indoor_seating,internet_access:fee,fax,url,studio,internet_access:ssid,fuel:octane_80,fuel:octane_91,atm,cash_in,addr:country,contact:phone,contact:website,social_facility,addr:housename,addr:block,addr:neighbourhood,addr:plot,fuel:diesel,currency:PEN,currency:USD,shop,automated,self_service,fuel:lpg,fuel:octane_84,fuel:octane_90,fuel:octane_94,name:ko,highway,cuisine:en,cuisine:es,diet:vegan,diet:vegetarian,name:de,contact:email,building:levels,delivery,backrest,short_name,bar,charge,addr:state,opening_hours:covid19,name:he,name:zh,air_conditioning,payment:cash,payment:credit_cards,man_made,name:nl,organic,old_name,ref:category,ref:microred,ref:red,contact:twitter,start_date,diet:gluten_free,diet:chicken,diet:fish,diet:healthy,diet:meat,diet:organic,diet:rice,diet:seafood,payment:american_express,payment:apple_pay,payment:coins,payment:contactless,payment:debit_cards,payment:diners_club,payment:discover_card,payment:mastercard,payment:visa,payment:visa_debit,toilets,tourism,description:en,material,seats,building,fixme,changing_table,supervised,toilets:access,toilets:paper_supplied,unisex,healthcare,female,male,toilets:position,check_date:opening_hours,post_box:type,cafe,int_name,internet_access:type,phone:PE,operator:type,bicycle_parking,school,dispensing,colour,operator:wikidata,addr:suburb,recycling:plastic_bottles,brewery,microbrewery,location,recycling_type,real_fire,street_vendor,highchair,parking:fee,social_facility:for,opening_hours:signed,object:city,object:street,covered,nodes,wikipedia,ele:source,height,emergency,nohousenumber,maxstay,government,office,shelter_type,place,roof:colour,healthcare:speciality,official_name,official_name:en,official_name:es,historic,roof:shape,smoothness,surface,layer,contact:pinterest,contact:youtube,full_name,orientation,ways,type,isPoint,geometry,gtransporte_osmid,gtransporte_dist
441195928,node/441195928,node,fuel,yes,PRIMAX,Mo-Su 00:00-12:00,POINT (-71.9124867 -13.5333168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9124867 -13.5333168),3241267614,0.00039186410910038163
441195940,node/441195940,node,fuel,yes,REPSOL,Mo-Sa 00:00-12:00,POINT (-71.91688139999999 -13.5320491),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.91688139999999 -13.5320491),441195936,0.00013818339263471166
444056852,node/444056852,node,toilets,,,,POINT (-71.9893113 -13.5246483),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9893113 -13.5246483),444056854,0.0007702906594231109
444056860,node/444056860,node,toilets,,,,POINT (-71.9868232 -13.5267277),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9868232 -13.5267277),30985790,0.0005413554839461167
444056873,node/444056873,node,place_of_worship,,Iglesia de Nuestra Señora de Belén,,POINT (-71.98132219999999 -13.5272097),2023-08-04,catholic,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.98132219999999 -13.5272097),30983330,0.00041597293181215567
444093141,node/444093141,node,parking,,,,POINT (-71.8963906 -13.5228558),,,,yes,5,no,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8963906 -13.5228558),10819211133,0.005153020226042766
445082018,node/445082018,node,toilets,,,,POINT (-71.89521240000001 -13.5205569),2023-03-02,,,,,no,,pitlatrine,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.89521240000001 -13.5205569),10819211133,0.007538950340730433
472607050,node/472607050,node,bus_station,,,,POINT (-71.9722295 -13.5207392),,,,,,,,,,,yes,Starex (Hyundai) service to Urubamba via Chincheros (5 soles),station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9722295 -13.5207392),3248394097,0.0007260913234546858
633941054,node/633941054,node,restaurant,,Peru Juice,,POINT (-71.97993649999999 -13.5183018),,,,,,,,,,,,,,regional,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.97993649999999 -13.5183018),30983679,0.000854073591681823
633941066,node/633941066,node,restaurant,,Sueno Azul,,POINT (-71.9798808 -13.5151422),,,,,,,,,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9798808 -13.5151422),30972890,0.0010048789976850891
