source;amenity;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes
30962246;bank;0.021;0.03333333333333333;0.021;0.03333333333333333
30962247;bank;0.003;0.0;0.003;0.0
30962248;bank;0.003;0.0;0.003;0.0
30962249;bank;0.0;0.0;0.0;0.0
30962250;school;0.035;0.15;0.035;0.11666666666666667
30962251;school;0.0;0.0;0.0;0.0
30962252;school;0.0;0.0;0.0;0.0
30962253;school;0.005;0.0;0.005;0.0
30962254;school;0.057999999999999996;0.06666666666666668;0.057999999999999996;0.06666666666666668
30962255;school;0.196;0.3666666666666667;0.196;0.43333333333333335
30962256;school;0.11100000000000003;0.2;0.11100000000000003;0.25
30962259;school;0.14;0.18333333333333332;0.14;0.18333333333333332
30962261;school;0.027000000000000003;0.15000000000000002;0.027000000000000003;0.11666666666666667
30962333;school;0.018000000000000002;0.08333333333333333;0.018000000000000002;0.08333333333333333
30962335;school;0.018000000000000002;0.08333333333333333;0.018000000000000002;0.08333333333333333
30962450;school;0.078;0.16666666666666666;0.078;0.16666666666666666
30962454;school;0.07600000000000001;0.16666666666666666;0.07600000000000001;0.16666666666666666
30962459;school;0.0;0.0;0.0;0.0
30962460;school;0.006999999999999999;0.016666666666666666;0.006999999999999999;0.016666666666666666
30962461;school;0.006;0.016666666666666666;0.006;0.016666666666666666
30962462;school;0.006;0.016666666666666666;0.006;0.016666666666666666
30962463;school;0.0;0.0;0.0;0.0
30962464;school;0.046;0.21666666666666667;0.046;0.2333333333333333
30962833;school;0.0;0.0;0.0;0.0
30962834;school;0.496;0.75;0.496;0.85
30962836;police;0.0;0.0;0.0;0.0
30962840;school;0.35;0.6499999999999999;0.35;0.75
30962853;school;0.044000000000000004;0.06666666666666668;0.044000000000000004;0.06666666666666668
30962854;school;0.019;0.0;0.019;0.0
30962856;school;0.0;0.0;0.0;0.0
30962859;school;0.0;0.0;0.0;0.0
30962861;school;0.0;0.0;0.0;0.0
30962862;school;0.15800000000000006;0.2;0.15800000000000006;0.26666666666666666
30962864;school;0.098;0.15000000000000002;0.098;0.18333333333333326
30962866;school;0.091;0.21666666666666665;0.091;0.2333333333333333
30962936;school;0.18800000000000006;0.36666666666666653;0.18800000000000006;0.36666666666666653
30963118;school;0.035;0.06666666666666668;0.035;0.06666666666666668
30963158;school;0.013000000000000001;0.03333333333333333;0.013000000000000001;0.03333333333333333
30963183;school;0.13900000000000004;0.2833333333333333;0.13900000000000004;0.2833333333333333
30963185;school;0.029000000000000005;0.06666666666666668;0.029000000000000005;0.06666666666666668
30963187;school;0.01;0.016666666666666666;0.01;0.016666666666666666
30963201;school;0.047;0.06666666666666668;0.047;0.06666666666666668
30963372;school;0.069;0.25;0.069;0.26666666666666666
30963373;school;0.193;0.7333333333333335;0.193;0.7000000000000001
30963374;school;0.0;0.0;0.0;0.0
30963653;school;0.054000000000000006;0.4333333333333333;0.054000000000000006;0.4333333333333333
30963655;school;0.027000000000000003;0.08333333333333333;0.027000000000000003;0.08333333333333333
30963661;school;0.003;0.0;0.003;0.0
30963663;bank;0.0;0.0;0.0;0.0
30963664;school;0.08;0.11666666666666667;0.055;0.4666666666666667
30963665;bank;0.015;0.016666666666666666;0.015;0.016666666666666666
