u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,width,ref,bridge,access,junction,wazeinfo0800_minutes,wazeinfo0800_km,wazeinfo1400_minutes,wazeinfo1400_km
10232315911,30970895,0,316326176,Avenida Collasuyo,secondary,40,False,9.202,"LINESTRING (-71.9528887 -13.5210484, -71.952972 -13.5210314)",,,,,,,0.016666666666666666,0.008,0.016666666666666666,0.008
10232315911,472615572,0,316326176,Avenida Collasuyo,secondary,40,False,85.249,"LINESTRING (-71.9528887 -13.5210484, -71.95232590000001 -13.5211637, -71.9521179 -13.5212099)",,,,,,,0.2,0.085,0.2,0.085
10803871753,5601181487,0,586164384,,residential,,False,142.05999999999997,"LINESTRING (-71.986936 -13.5498593, -71.98683680000001 -13.549768, -71.98667450000001 -13.5496376, -71.9865696 -13.5495456, -71.9862423 -13.5493474, -71.9861822 -13.5493337, -71.9860795 -13.5493302, -71.9859663 -13.5494094, -71.9859167 -13.54943, -71.9858394 -13.5494572)",,,,,,,0.4,0.138,0.4,0.138
3489865744,30963653,0,379231957,Avenida de la Cultura,trunk,,True,180.33200000000002,"LINESTRING (-71.92759 -13.5316859, -71.9260141 -13.5321208, -71.9259852 -13.5321283)",3,,,,,,0.0,0.001,0.0,0.001
3489865744,10563524054,0,1132987694,,trunk_link,,False,22.404,"LINESTRING (-71.92759 -13.5316859, -71.9275605 -13.5316005, -71.92752400000001 -13.5314949)",2,,,,,,0.016666666666666666,0.018000000000000002,0.1,0.018000000000000002
1003798226,1003782777,0,86391517,Avenida Cusco,tertiary,40,False,82.835,"LINESTRING (-71.93628390000001 -13.5305931, -71.9355334 -13.5307432)",,,,,,,0.0,0.0,0.0,0.0
1003798226,4429967936,0,86391517,Avenida Cusco,tertiary,40,False,42.785,"LINESTRING (-71.93628390000001 -13.5305931, -71.93667139999999 -13.5305149)",,,,,,,0.13333333333333333,0.041,0.15,0.041
10803879954,3737958839,0,87062354,,tertiary,,False,127.36,"LINESTRING (-72.01165520000001 -13.5062358, -72.011752 -13.5062045, -72.01270049999999 -13.5057732, -72.0127256 -13.5057594)",1,,,,,,0.11666666666666667,0.07200000000000001,0.11666666666666667,0.07200000000000001
4427726874,3269238681,0,320403300,,residential,,False,36.101,"LINESTRING (-71.92071079999999 -13.5433003, -71.9203796 -13.5433419)",,,,,,,0.16666666666666666,0.055,0.16666666666666666,0.055
30965826,30964345,0,589462743,Avenida Micaela Bastidas,residential,30,True,87.058,"LINESTRING (-71.96679159999999 -13.5219148, -71.9675501 -13.5216519)",,10,,,,,0.16666666666666666,0.086,0.16666666666666666,0.086
30965826,30984077,0,82998459,,residential,30,True,144.99399999999997,"LINESTRING (-71.96679159999999 -13.5219148, -71.9668185 -13.5219995, -71.9671828 -13.5230663, -71.96721239999999 -13.5231529)",,12,,,,,0.4166666666666667,0.14,0.4166666666666667,0.14
30965826,3225934914,0,316471156,,residential,30,False,81.86299999999999,"LINESTRING (-71.96679159999999 -13.5219148, -71.9667817 -13.5218776, -71.9667456 -13.5217411, -71.9667425 -13.5216935, -71.9667499 -13.521649, -71.9667712 -13.5215507, -71.9667659 -13.5214772, -71.96674950000001 -13.5214148, -71.9667019 -13.5212673, -71.9666896 -13.5212292, -71.9666801 -13.5211996)",,6,,,,,0.7,0.08199999999999999,0.43333333333333335,0.08199999999999999
30965827,30984120,0,198924458,Avenida Juan Anselmo Alvarez,tertiary,40,False,57.092,"LINESTRING (-71.9611187 -13.5239074, -71.96094100000001 -13.5234239)",,,,,,,0.4666666666666667,0.052000000000000005,0.3,0.052000000000000005
30965827,5700803834,0,198924458,Avenida Juan Anselmo Alvarez,tertiary,40,False,31.787,"LINESTRING (-71.9611187 -13.5239074, -71.96116809999999 -13.5241892)",,,,,,,0.0,0.001,0.0,0.001
30965827,30984144,0,589462743,Avenida Micaela Bastidas,residential,30,True,111.732,"LINESTRING (-71.9611187 -13.5239074, -71.9620907 -13.523566)",,10,,,,,0.0,0.001,0.0,0.001
30965828,5628741799,0,589462743,Avenida Micaela Bastidas,residential,30,True,45.604,"LINESTRING (-71.9572545 -13.5252745, -71.9576479 -13.5251265)",,10,,,,,0.0,0.0,0.0,0.0
30965828,30984121,0,589462744,Avenida Hipolito Unanue,tertiary,40,False,57.754,"LINESTRING (-71.9572545 -13.5252745, -71.95707880000001 -13.524784)",3,,PE-28G,,,,0.0,0.003,0.0,0.003
