osmid,y,x,street_count,highway,geometry
4427153413,-13.5526792,-71.8768544,2,,POINT (-71.8768544 -13.5526792)
10232315911,-13.5210484,-71.9528887,3,,POINT (-71.9528887 -13.5210484)
10803871753,-13.5498593,-71.986936,1,,POINT (-71.986936 -13.5498593)
3489865744,-13.5316859,-71.92759,3,,POINT (-71.92759 -13.5316859)
1003798226,-13.5305931,-71.9362839,4,,POINT (-71.93628390000001 -13.5305931)
10803879954,-13.5062358,-72.0116552,3,,POINT (-72.01165520000001 -13.5062358)
4427726874,-13.5433003,-71.9207108,4,,POINT (-71.92071079999999 -13.5433003)
30965826,-13.5219148,-71.9667916,4,,POINT (-71.96679159999999 -13.5219148)
30965827,-13.5239074,-71.9611187,4,,POINT (-71.9611187 -13.5239074)
30965828,-13.5252745,-71.9572545,5,,POINT (-71.9572545 -13.5252745)
4427726915,-13.5439044,-71.9165888,4,,POINT (-71.9165888 -13.5439044)
30965831,-13.5273014,-71.9588726,4,,POINT (-71.95887260000001 -13.5273014)
30965833,-13.5267345,-71.9585924,4,,POINT (-71.9585924 -13.5267345)
30965837,-13.5241891,-71.9569268,4,traffic_signals,POINT (-71.95692680000001 -13.5241891)
1003536462,-13.533455,-71.9642069,3,,POINT (-71.96420689999999 -13.533455)
3735085135,-13.5145117,-71.986612,3,,POINT (-71.98661199999999 -13.5145117)
30965844,-13.5291902,-71.9391558,3,,POINT (-71.93915579999999 -13.5291902)
30965846,-13.530175,-71.9384877,3,,POINT (-71.9384877 -13.530175)
3735085145,-13.5127476,-71.9875525,3,,POINT (-71.98755250000001 -13.5127476)
2167554138,-13.5327726,-71.9760464,3,,POINT (-71.9760464 -13.5327726)
2167554141,-13.5351114,-71.9768854,3,,POINT (-71.9768854 -13.5351114)
2167554142,-13.53356,-71.9771109,3,,POINT (-71.9771109 -13.53356)
30965855,-13.5240916,-71.956809,4,traffic_signals,POINT (-71.95680900000001 -13.5240916)
30965856,-13.5205475,-71.9561269,3,,POINT (-71.9561269 -13.5205475)
30965858,-13.5224875,-71.9611529,3,,POINT (-71.9611529 -13.5224875)
30965862,-13.5196387,-71.9608197,4,,POINT (-71.9608197 -13.5196387)
6987882599,-13.5208824,-71.9186868,4,,POINT (-71.9186868 -13.5208824)
30965865,-13.5224653,-71.961232,4,,POINT (-71.961232 -13.5224653)
30965870,-13.5214325,-71.9648741,3,,POINT (-71.9648741 -13.5214325)
30965871,-13.5217111,-71.9649635,3,traffic_signals,POINT (-71.9649635 -13.5217111)
4436951153,-13.5070306,-72.0037762,3,,POINT (-72.0037762 -13.5070306)
30965877,-13.5183357,-71.9648464,3,,POINT (-71.9648464 -13.5183357)
30965880,-13.5186794,-71.963126,3,,POINT (-71.963126 -13.5186794)
10781229190,-13.5302473,-71.9319593,3,,POINT (-71.9319593 -13.5302473)
6191235207,-13.5057739,-72.020595,1,,POINT (-72.020595 -13.5057739)
30965896,-13.5175701,-71.9673777,3,,POINT (-71.9673777 -13.5175701)
4429021321,-13.5490475,-71.8976519,3,,POINT (-71.8976519 -13.5490475)
30965897,-13.517133,-71.9691138,4,,POINT (-71.9691138 -13.517133)
1003536524,-13.5335236,-71.96353,3,,POINT (-71.96353000000001 -13.5335236)
30965903,-13.507922,-71.9743785,3,,POINT (-71.9743785 -13.507922)
10800496792,-13.5220448,-71.917444,3,,POINT (-71.917444 -13.5220448)
30965914,-13.5084722,-71.9758244,3,,POINT (-71.97582439999999 -13.5084722)
10806935725,-13.554914,-71.9118825,3,,POINT (-71.9118825 -13.554914)
10234618053,-13.5227281,-71.9199237,3,,POINT (-71.9199237 -13.5227281)
3707248845,-13.5430639,-71.911896,3,,POINT (-71.911896 -13.5430639)
3707248901,-13.5442068,-71.908905,3,,POINT (-71.908905 -13.5442068)
30966027,-13.5323317,-71.9682752,3,,POINT (-71.96827519999999 -13.5323317)
30966031,-13.537626,-71.9591693,3,,POINT (-71.9591693 -13.537626)
30966033,-13.5383049,-71.9570891,3,,POINT (-71.9570891 -13.5383049)
30966034,-13.5386084,-71.9566683,3,,POINT (-71.9566683 -13.5386084)
30966036,-13.5387006,-71.9558689,3,,POINT (-71.9558689 -13.5387006)
4431946010,-13.5475611,-71.894917,3,,POINT (-71.89491700000001 -13.5475611)
4431946011,-13.5517383,-71.8859078,3,,POINT (-71.8859078 -13.5517383)
4431946012,-13.5510476,-71.8877281,3,,POINT (-71.8877281 -13.5510476)
3422716186,-13.5223694,-71.9731223,3,,POINT (-71.9731223 -13.5223694)
