osmid,y,x,street_count,highway,geometry
30962246,-13.5388606,-71.9454404,3,,POINT (-71.9454404 -13.5388606)
30962247,-13.5387629,-71.9456488,4,,POINT (-71.9456488 -13.5387629)
30962248,-13.5386017,-71.9462892,3,,POINT (-71.9462892 -13.5386017)
30962249,-13.5384531,-71.9468947,3,,POINT (-71.9468947 -13.5384531)
30962250,-13.5381132,-71.9481827,3,,POINT (-71.9481827 -13.5381132)
30962251,-13.5379423,-71.9488814,3,,POINT (-71.9488814 -13.5379423)
30962252,-13.5376097,-71.950238,4,,POINT (-71.950238 -13.5376097)
30962253,-13.5373235,-71.9514099,4,,POINT (-71.9514099 -13.5373235)
30962254,-13.5369753,-71.9528129,4,,POINT (-71.9528129 -13.5369753)
30962255,-13.5368771,-71.9532245,3,,POINT (-71.9532245 -13.5368771)
30962256,-13.5365849,-71.9544479,4,,POINT (-71.95444790000001 -13.5365849)
30962259,-13.5360485,-71.9554717,3,,POINT (-71.9554717 -13.5360485)
30962261,-13.5343593,-71.9554046,3,,POINT (-71.95540459999999 -13.5343593)
30962333,-13.5343509,-71.9554869,4,,POINT (-71.9554869 -13.5343509)
30962335,-13.5360499,-71.955578,4,,POINT (-71.955578 -13.5360499)
30962450,-13.5390995,-71.9418629,3,,POINT (-71.9418629 -13.5390995)
30962454,-13.5392443,-71.9403542,4,,POINT (-71.9403542 -13.5392443)
30962459,-13.5402048,-71.937188,4,,POINT (-71.93718800000001 -13.5402048)
30962460,-13.5403077,-71.9367409,4,,POINT (-71.9367409 -13.5403077)
30962461,-13.5404007,-71.9362757,3,,POINT (-71.9362757 -13.5404007)
30962462,-13.5405255,-71.9357741,4,,POINT (-71.9357741 -13.5405255)
30962463,-13.5406105,-71.9353098,3,,POINT (-71.9353098 -13.5406105)
30962464,-13.5407204,-71.9348924,4,,POINT (-71.9348924 -13.5407204)
30962587,-13.5330356,-71.9550994,3,,POINT (-71.95509939999999 -13.5330356)
30962591,-13.5333202,-71.9552559,3,,POINT (-71.9552559 -13.5333202)
30962672,-13.533638,-71.9496113,1,,POINT (-71.9496113 -13.533638)
30962674,-13.5347165,-71.9391737,1,,POINT (-71.9391737 -13.5347165)
30962677,-13.5360725,-71.925912,1,,POINT (-71.925912 -13.5360725)
30962681,-13.5361734,-71.9191551,1,,POINT (-71.9191551 -13.5361734)
30962833,-13.5324114,-71.9550025,3,,POINT (-71.95500250000001 -13.5324114)
30962834,-13.5316862,-71.9548939,4,,POINT (-71.9548939 -13.5316862)
30962835,-13.5312334,-71.9548674,3,,POINT (-71.9548674 -13.5312334)
30962836,-13.5303974,-71.9548833,4,,POINT (-71.95488330000001 -13.5303974)
30962839,-13.5303784,-71.9550062,4,,POINT (-71.9550062 -13.5303784)
30962840,-13.5316815,-71.9549937,4,,POINT (-71.9549937 -13.5316815)
30962853,-13.5317792,-71.9672309,3,,POINT (-71.9672309 -13.5317792)
30962854,-13.5316495,-71.9679174,3,,POINT (-71.9679174 -13.5316495)
30962856,-13.5313137,-71.9685245,4,,POINT (-71.9685245 -13.5313137)
30962859,-13.5316019,-71.9687859,3,,POINT (-71.9687859 -13.5316019)
