latitud,longitud,direccion,ruta
-13.5408,-71.8866,s,c4m
-13.5407,-71.8868,s,c4m
-13.5407,-71.8872,s,c4m
-13.5412,-71.8875,s,c4m
-13.5418,-71.8877,s,c4m
-13.5423,-71.888,s,c4m
-13.5426,-71.8882,s,c4m
-13.5427,-71.8882,s,c4m
-13.543,-71.8884,s,c4m
-13.5434,-71.8887,s,c4m
-13.5434,-71.8887,s,c4m
-13.5434,-71.8887,s,c4m
-13.5434,-71.8887,s,c4m
-13.5437,-71.8889,s,c4m
-13.5439,-71.889,s,c4m
-13.5439,-71.889,s,c4m
-13.5443,-71.8892,s,c4m
-13.5446,-71.8893,s,c4m
-13.5448,-71.8895,s,c4m
-13.5455,-71.8898,s,c4m
-13.546,-71.8901,s,c4m
-13.546,-71.8902,s,c4m
-13.5461,-71.8903,s,c4m
-13.546,-71.8907,s,c4m
-13.5457,-71.8916,s,c4m
-13.5453,-71.8931,s,c4m
-13.5449,-71.8946,s,c4m
-13.5445,-71.8953,s,c4m
-13.5445,-71.8953,s,c4m
-13.5445,-71.8953,s,c4m
-13.5443,-71.8957,s,c4m
-13.5442,-71.8959,s,c4m
-13.5438,-71.8965,s,c4m
-13.543,-71.8975,s,c4m
-13.5428,-71.8979,s,c4m
-13.5427,-71.898,s,c4m
-13.5427,-71.898,s,c4m
-13.5426,-71.8981,s,c4m
-13.5422,-71.8987,s,c4m
-13.5418,-71.8992,s,c4m
-13.5417,-71.8994,s,c4m
-13.5412,-71.9001,s,c4m
-13.5406,-71.9009,s,c4m
-13.5405,-71.901,s,c4m
-13.5401,-71.9015,s,c4m
-13.5395,-71.9025,s,c4m
-13.5392,-71.9028,s,c4m
-13.5391,-71.903,s,c4m
-13.5386,-71.9037,s,c4m
-13.538,-71.9045,s,c4m
-13.5379,-71.9046,s,c4m
-13.5379,-71.9048,s,c4m
-13.5375,-71.9053,s,c4m
-13.5371,-71.906,s,c4m
-13.5367,-71.9067,s,c4m
-13.5364,-71.9071,s,c4m
-13.5364,-71.9072,s,c4m
-13.5364,-71.9072,s,c4m
-13.5363,-71.9073,s,c4m
-13.5363,-71.9074,s,c4m
-13.5363,-71.9074,s,c4m
-13.5363,-71.9074,s,c4m
-13.5364,-71.9075,s,c4m
-13.5367,-71.9077,s,c4m
-13.5369,-71.9078,s,c4m
-13.5372,-71.908,s,c4m
-13.5377,-71.9083,s,c4m
-13.5381,-71.9086,s,c4m
-13.5381,-71.9086,s,c4m
-13.5381,-71.9086,s,c4m
-13.5383,-71.9087,s,c4m
-13.5389,-71.9091,s,c4m
-13.539,-71.9092,s,c4m
-13.539,-71.9092,s,c4m
-13.5393,-71.9094,s,c4m
-13.5397,-71.9097,s,c4m
-13.5404,-71.9097,s,c4m
-13.5412,-71.9097,s,c4m
-13.5413,-71.9097,s,c4m
-13.5413,-71.9103,s,c4m
-13.5413,-71.9112,s,c4m
-13.5413,-71.9115,s,c4m
-13.5413,-71.9115,s,c4m
-13.5413,-71.9118,s,c4m
-13.5413,-71.9126,s,c4m
-13.5414,-71.9139,s,c4m
-13.5414,-71.9152,s,c4m
-13.5414,-71.9162,s,c4m
-13.5415,-71.917,s,c4m
-13.5415,-71.9172,s,c4m
-13.5415,-71.9179,s,c4m
-13.5415,-71.9188,s,c4m
-13.5415,-71.919,s,c4m
-13.5416,-71.9193,s,c4m
-13.5416,-71.92,s,c4m
-13.5416,-71.9212,s,c4m
-13.5416,-71.9214,s,c4m
-13.5416,-71.9217,s,c4m
-13.5416,-71.9225,s,c4m
-13.5417,-71.9236,s,c4m
-13.5416,-71.9244,s,c4m
-13.5416,-71.9245,s,c4m
-13.5416,-71.9245,s,c4m
-13.5415,-71.9248,s,c4m
-13.5412,-71.9256,s,c4m
-13.5408,-71.9266,s,c4m
-13.5405,-71.9269,s,c4m
-13.5405,-71.927,s,c4m
-13.5405,-71.9271,s,c4m
-13.5404,-71.9278,s,c4m
-13.5403,-71.9289,s,c4m
-13.5402,-71.9299,s,c4m
-13.5402,-71.9301,s,c4m
-13.5402,-71.9302,s,c4m
-13.5402,-71.9305,s,c4m
-13.5402,-71.9306,s,c4m
-13.5401,-71.9312,s,c4m
-13.5401,-71.9313,s,c4m
-13.5401,-71.9314,s,c4m
-13.5402,-71.9317,s,c4m
-13.5406,-71.9316,s,c4m
-13.5412,-71.9317,s,c4m
-13.5414,-71.9319,s,c4m
-13.5413,-71.932,s,c4m
-13.5412,-71.9325,s,c4m
-13.541,-71.9332,s,c4m
-13.5409,-71.9338,s,c4m
-13.5409,-71.9339,s,c4m
-13.5408,-71.9345,s,c4m
-13.5407,-71.9347,s,c4m
-13.5407,-71.9347,s,c4m
-13.5407,-71.9349,s,c4m
-13.5406,-71.9353,s,c4m
-13.5405,-71.9356,s,c4m
-13.5405,-71.9359,s,c4m
-13.5403,-71.9367,s,c4m
-13.5401,-71.9376,s,c4m
-13.54,-71.9378,s,c4m
-13.5399,-71.9383,s,c4m
-13.5399,-71.9383,s,c4m
-13.5397,-71.9388,s,c4m
-13.5395,-71.9389,s,c4m
-13.5394,-71.939,s,c4m
-13.5389,-71.939,s,c4m
-13.538,-71.9389,s,c4m
-13.5375,-71.9389,s,c4m
-13.5374,-71.9395,s,c4m
-13.5374,-71.9396,s,c4m
-13.5374,-71.9396,s,c4m
-13.5374,-71.9396,s,c4m
-13.5374,-71.9396,s,c4m
-13.5374,-71.94,s,c4m
-13.5381,-71.9401,s,c4m
-13.5389,-71.9403,s,c4m
-13.539,-71.9404,s,c4m
-13.539,-71.9404,s,c4m
-13.5391,-71.9404,s,c4m
-13.5391,-71.9404,s,c4m
-13.5391,-71.9404,s,c4m
-13.5391,-71.9404,s,c4m
-13.5391,-71.9404,s,c4m
-13.5391,-71.9404,s,c4m
-13.5391,-71.9404,s,c4m
-13.5392,-71.9406,s,c4m
-13.5391,-71.9412,s,c4m
-13.539,-71.9415,s,c4m
-13.539,-71.9417,s,c4m
-13.5391,-71.942,s,c4m
-13.5392,-71.9425,s,c4m
-13.5392,-71.9426,s,c4m
-13.5392,-71.9428,s,c4m
-13.5391,-71.9435,s,c4m
-13.539,-71.9442,s,c4m
-13.5389,-71.9447,s,c4m
-13.5389,-71.945,s,c4m
-13.5388,-71.9453,s,c4m
-13.5387,-71.9456,s,c4m
-13.5386,-71.9463,s,c4m
-13.5384,-71.9469,s,c4m
-13.5384,-71.9471,s,c4m
-13.5383,-71.9472,s,c4m
-13.5382,-71.9477,s,c4m
-13.5382,-71.9479,s,c4m
-13.5381,-71.9481,s,c4m
-13.538,-71.9484,s,c4m
-13.5379,-71.9491,s,c4m
-13.5378,-71.9494,s,c4m
-13.5376,-71.95,s,c4m
-13.5376,-71.9501,s,c4m
-13.5375,-71.9506,s,c4m
-13.5373,-71.9515,s,c4m
-13.5371,-71.9522,s,c4m
-13.5371,-71.9522,s,c4m
-13.5371,-71.9522,s,c4m
-13.537,-71.9524,s,c4m
-13.537,-71.9528,s,c4m
-13.5369,-71.953,s,c4m
-13.5368,-71.9535,s,c4m
-13.5367,-71.9538,s,c4m
-13.5367,-71.9538,s,c4m
-13.5367,-71.9538,s,c4m
-13.5367,-71.9538,s,c4m
-13.5367,-71.9538,s,c4m
-13.5367,-71.9539,s,c4m
-13.5366,-71.9543,s,c4m
-13.5365,-71.9546,s,c4m
-13.5365,-71.9547,s,c4m
-13.5365,-71.9547,s,c4m
-13.5365,-71.9547,s,c4m
-13.5365,-71.9547,s,c4m
-13.5365,-71.9549,s,c4m
-13.5362,-71.9553,s,c4m
-13.5356,-71.9555,s,c4m
-13.5354,-71.9555,s,c4m
-13.5354,-71.9555,s,c4m
-13.5354,-71.9555,s,c4m
-13.5354,-71.9555,s,c4m
-13.535,-71.9554,s,c4m
-13.5346,-71.9554,s,c4m
