index1;u;v;wazeinfo
151906;915282536;915282213;(-1, -1)
345913;1817562408;1817562378;(-1, -1)
75651;5543444906;5543444911;(1.3666666666666667, 0.512)
0;258066779;10985400003;(0.05, 0.107)
204631;1379749349;1379749210;(1.7666666666666666, 0.169)
151908;915282536;915282618;(-1, -1)
281361;5373445573;1273643351;(0.18333333333333332, 0.015)
345915;1817562408;1817562434;(-1, -1)
75659;5553636761;5553636765;(-1, -1)
1;258066779;258066780;(-1, -1)
204633;1379749351;8099196620;(-1, -1)
345916;1817562412;1817562391;(-1, -1)
281363;5380532333;2147089227;(-1, -1)
151909;915282538;915282105;(0.016666666666666666, 0.002)
204642;1379749365;1305382816;(-1, -1)
345923;1817562423;1817562401;(-1, -1)
345924;1817562423;1817562440;(-1, -1)
204643;1379749373;1379749303;(0.11666666666666667, 0.061)
345925;1817562423;4054790942;(-1, -1)
204672;1379749408;1379749458;(0.0, 0.0)
345926;1817562425;1817562442;(0.13333333333333333, 0.043)
204674;1379749409;1379749358;(-1, -1)
345927;1817562425;1817562399;(-1, -1)
204681;1379749416;8099196621;(0.0, 0.0)
75668;5553636764;5553636765;(0.0, 0.005)
281371;5380586773;1578886585;(1.1666666666666667, 0.608)
75669;5553636764;4374006998;(0.06666666666666667, 0.051)
281372;5380586778;1746791560;(0.0, 0.003)
75670;5553636764;4391231590;(-1, -1)
281378;5380586785;5380586787;(-1, -1)
75674;5553636765;5553636764;(0.08333333333333333, 0.061)
345929;1817562427;1817562440;(0.4, 0.16)
345931;1817562427;1817562401;(0.13333333333333333, 0.088)
5;258066783;4416489417;(0.6, 0.937)
151911;915282538;915282333;(0.016666666666666666, 0.001)
8;258067434;10671513659;(0.11666666666666667, 0.14)
151919;915282554;915282240;(-1, -1)
12;266953472;1245526419;(0.016666666666666666, 0.016)
151921;915282555;915282318;(0.0, 0.0)
345937;1817562432;1817562406;(0.5166666666666667, 0.06)
204689;1379749425;1379749433;(0.31666666666666665, 0.05)
345942;1817562438;1817562456;(-1, -1)
345946;1817562440;1817562467;(0.55, 0.045)
345949;1817562442;1817562451;(-1, -1)
281384;5380596953;1746828660;(0.0, 0.001)
345950;1817562442;1817562425;(0.0, 0.0)
204691;1379749427;1379749412;(0.1, 0.042)
345952;1817562446;10040392539;(0.23333333333333334, 0.113)
14;266953473;1245526417;(0.5333333333333333, 0.004)
75685;5553636780;5553636779;(0.1, 0.05)
204693;1379749429;1305383476;(0.0, 0.001)
20;266954485;4865537235;(-1, -1)
75691;5553636783;4374007162;(-1, -1)
22;289309673;5946942281;(-1, -1)
75695;5553636784;5553636781;(-1, -1)
24;289309967;7059096516;(0.016666666666666666, 0.031)
75702;5553636786;5553636784;(0.05, 0.031)
75722;5553642001;1570775026;(-1, -1)
31;289310025;289309977;(0.016666666666666666, 0.031)
151926;915282561;915282463;(0.0, 0.0)
151929;915282562;4387666749;(0.48333333333333334, 0.108)
151938;915282565;915282434;(0.26666666666666666, 0.114)
281388;5380596956;1746828605;(0.21666666666666667, 0.043)
345953;1817562446;1817562450;(0.0, 0.006)
151946;915282569;915282321;(0.0, 0.002)
151956;915282591;915282650;(-1, -1)
345960;1817562450;1817562475;(0.4166666666666667, 0.151)
281390;5380596957;2177219637;(0.016666666666666666, 0.001)
151968;915282598;4387399444;(0.45, 0.142)
345965;1817562456;1817562477;(0.16666666666666666, 0.048)
75731;5553642007;5553642006;(0.1, 0.067)
345970;1817562460;1817562477;(-1, -1)
75732;5553642007;1570775254;(0.05, 0.034)
281391;5380596957;1746828647;(0.18333333333333332, 0.044)
281416;5380596988;5421589611;(-1, -1)
281422;5380610921;5380610220;(0.11666666666666667, 0.038)
281426;5380610922;1273508209;(0.9666666666666667, 0.114)
204695;1379749431;1379749429;(0.05, 0.009)
151971;915282605;915282301;(0.05, 0.005)
47;289313695;5947000848;(0.31666666666666665, 0.253)
281436;5380670956;1726146845;(0.05, 0.026)
151973;915282607;819210988;(0.3333333333333333, 0.112)
281440;5380688274;1273481758;(0.05, 0.004)
345978;1817562467;1817562497;(1.3333333333333333, 0.11)
151974;915282607;915282206;(0.4, 0.136)
204706;1379749442;10771846180;(0.1, 0.053)
204711;1379749448;1379749444;(-1, -1)
151975;915282608;915282314;(0.03333333333333333, 0.003)
151976;915282608;915282672;(0.2, 0.03)
151979;915282610;915282312;(0.06666666666666667, 0.022)
51;472560569;11054416497;(0.0, 0.0)
281441;5380688274;1273669190;(1.2333333333333334, 0.103)
75736;5553642009;1570775069;(0.0, 0.0)
281443;5380688275;1273570426;(-1, -1)
281449;5380688277;5460981947;(-1, -1)
281474;5382425522;1273500284;(0.35, 0.052)
281476;5382425522;5382425524;(0.2, 0.046)
75757;5555070953;5555070952;(0.0, 0.01)
75759;5555070953;5555070949;(0.43333333333333335, 0.26)
53;472561534;472561575;(0.016666666666666666, 0.016)
345982;1817562475;1814939640;(0.18333333333333332, 0.049)
54;472561535;472563136;(0.016666666666666666, 0.006)
345985;1817562475;1817562450;(0.45, 0.151)
345989;1817562479;1817562408;(0.016666666666666666, 0.007)
55;472561535;472561534;(0.0, 0.0)
56;472561556;6450999559;(-1, -1)
204712;1379749448;1379749452;(0.6166666666666667, 0.05)
204713;1379749448;1379749394;(-1, -1)
67;472561687;472561684;(0.0, 0.0)
78;472563141;1832653054;(2.5, 2.004)
83;495229664;1273852531;(-1, -1)
75764;5555071790;4037163770;(1.9166666666666667, 0.27)
75772;5557817445;9029209459;(0.9333333333333333, 0.201)
75775;5557817446;5557817451;(0.9166666666666666, 0.148)
281482;5382425524;5382425522;(0.0, 0.0)
281484;5382425525;5382425523;(-1, -1)
151980;915282612;7909298608;(0.0, 0.0)
204717;1379749452;1379749448;(0.6166666666666667, 0.05)
151993;915282620;915282429;(-1, -1)
204748;1379749484;1379749402;(0.6, 0.158)
204754;1379749488;1379749482;(0.6666666666666666, 0.044)
151996;915282622;915282432;(0.26666666666666666, 0.136)
204759;1379779966;1379779969;(0.0, 0.001)
204761;1379779966;1379779997;(0.35, 0.177)
75776;5557817447;5557817451;(0.11666666666666667, 0.062)
345993;1817562483;1817562509;(0.0, 0.0)
75784;5557817463;5557817473;(-1, -1)
75786;5557817473;10006812157;(0.3333333333333333, 0.098)
75788;5557817479;8231637213;(0.1, 0.01)
87;495229955;495229670;(0.75, 0.316)
106;495244959;1832692462;(0.0, 0.0)
204770;1379779988;1379779999;(1.3, 0.159)
204775;1379779999;1381254665;(0.13333333333333333, 0.056)
151997;915282622;915282167;(0.15, 0.139)
281494;5390483189;2146336262;(1.65, 0.081)
281507;5390542039;10038261440;(0.0, 0.0)
75792;5557850042;1754225230;(0.016666666666666666, 0.005)
107;495244959;1827698981;(0.0, 0.002)
151998;915282622;915282266;(0.0, 0.0)
204776;1379779999;1379779988;(0.016666666666666666, 0.004)
204779;1379780000;1379780057;(-1, -1)
204787;1379780013;1381254670;(0.21666666666666667, 0.05)
