u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,name,bridge,ref,tunnel,junction,access
182472511,4352753162,0,28707050,True,2,motorway_link,60,110.84899999999999,"LINESTRING (-76.9879059 -12.0860006, -76.98737509999999 -12.0859725, -76.98696390000001 -12.0859336, -76.98688970000001 -12.0859245)",,,,,,
182472511,315562656,0,"[1023690560, 1023690561, 151304566]",True,5,motorway,90,414.11699999999996,"LINESTRING (-76.9879059 -12.0860006, -76.9872925 -12.0858674, -76.98646050000001 -12.085586, -76.9860225 -12.085428, -76.9857875 -12.0853362, -76.98553010000001 -12.0852551, -76.9852441 -12.0851777, -76.9851151 -12.0851572, -76.9848835 -12.0851307, -76.98462689999999 -12.0851214, -76.9842348 -12.085112)",Avenida Javier Prado Este,,,,,
263108187,471582053,0,617275967,True,3,motorway,80,72.611,"LINESTRING (-77.00326010000001 -12.0879906, -77.0039223 -12.0880751)",Avenida Javier Prado Este,,,,,
263108188,471581808,0,"[39359872, 1146755653, 1149001398]",True,3,primary,55,45.126999999999995,"LINESTRING (-77.0037088 -12.0879069, -77.0037071 -12.087917, -77.0036537 -12.0882382, -77.00364980000001 -12.0882637, -77.003643 -12.0883076)",Avenida Aviación,yes,,,,
263928959,4351533396,0,344565808,True,2,primary,60,37.745000000000005,"LINESTRING (-77.00032760000001 -12.1116668, -77.0004656 -12.1116773, -77.00067420000001 -12.1116851)",Avenida Angamos Este,,,,,
263928962,1348442739,0,344565808,True,2,primary,60,11.323,"LINESTRING (-77.0034342 -12.1118961, -77.00353819999999 -12.1119015)",Avenida Angamos Este,,,,,
263928962,515494224,0,761867748,True,2,tertiary,40,12.369,"LINESTRING (-77.0034342 -12.1118961, -77.0034483 -12.1118045, -77.00345110000001 -12.1117861)",Avenida Ricardo Malachowsky,,,,,
263933832,392153976,0,34188631,True,2,secondary,60,72.233,"LINESTRING (-77.0099785 -12.0942354, -77.0097171 -12.093756, -77.0096659 -12.0936622)",Avenida Guardia Civil,,,,,
263933832,263933836,0,421662780,True,2,secondary,60,123.002,"LINESTRING (-77.0099785 -12.0942354, -77.00975680000001 -12.0948061, -77.0096805 -12.0952093, -77.0096662 -12.0952938)",Avenida del Parque Norte,,,,,
263933836,316625051,0,34113617,True,,secondary,,80.894,"LINESTRING (-77.0096662 -12.0952938, -77.0096022 -12.0953456, -77.0095226 -12.0954056, -77.00946500000001 -12.0954448, -77.0094017 -12.0954743, -77.0093344 -12.0954935, -77.0092648 -12.0955017, -77.0091948 -12.0954988, -77.0091261 -12.0954849, -77.0090002 -12.0954257)",Del Parque Sur,,,,,
263933836,4069101992,0,421662780,True,2,secondary,60,60.494,"LINESTRING (-77.0096662 -12.0952938, -77.0096358 -12.0956268, -77.0096288 -12.0958364)",Avenida del Parque Norte,,,,,
