osmid,y,x,ref,highway,street_count,geometry
182472511,-12.0860006,-76.9879059,1A,motorway_junction,3,POINT (-76.9879059 -12.0860006)
263108187,-12.0879906,-77.0032601,,,3,POINT (-77.00326010000001 -12.0879906)
263108188,-12.0879069,-77.0037088,,,3,POINT (-77.0037088 -12.0879069)
263928959,-12.1116668,-77.0003276,,traffic_signals,4,POINT (-77.00032760000001 -12.1116668)
263928962,-12.1118961,-77.0034342,,,4,POINT (-77.0034342 -12.1118961)
263933832,-12.0942354,-77.0099785,,,4,POINT (-77.0099785 -12.0942354)
263933836,-12.0952938,-77.0096662,,,4,POINT (-77.0096662 -12.0952938)
263933848,-12.0987806,-77.0106047,,,4,POINT (-77.0106047 -12.0987806)
263933849,-12.0989498,-77.0106179,,,3,POINT (-77.0106179 -12.0989498)
263933850,-12.0994497,-77.0106229,,,3,POINT (-77.0106229 -12.0994497)
263933851,-12.0996298,-77.0106147,,,3,POINT (-77.0106147 -12.0996298)
263933854,-12.1005752,-77.0104726,,,3,POINT (-77.0104726 -12.1005752)
263933864,-12.1028441,-77.0113529,,,4,POINT (-77.01135290000001 -12.1028441)
263935441,-12.1036442,-77.0111526,,,4,POINT (-77.0111526 -12.1036442)
263935444,-12.1030371,-77.0107349,,,3,POINT (-77.0107349 -12.1030371)
263935446,-12.1025336,-77.0105461,,,3,POINT (-77.0105461 -12.1025336)
263935452,-12.10162,-77.0101142,,,5,POINT (-77.0101142 -12.10162)
263935458,-12.1003668,-77.0088492,,,4,POINT (-77.0088492 -12.1003668)
263935459,-12.1002401,-77.0087522,,,3,POINT (-77.0087522 -12.1002401)
315561470,-12.0850917,-76.9835608,1B,motorway_junction,3,POINT (-76.98356080000001 -12.0850917)
315561653,-12.0852899,-76.9822828,3B,motorway_junction,3,POINT (-76.98228279999999 -12.0852899)
315561701,-12.0841305,-76.9842267,,,3,POINT (-76.98422669999999 -12.0841305)
315561710,-12.0878266,-76.9820715,,,3,POINT (-76.9820715 -12.0878266)
315561713,-12.0890703,-76.9813271,,,3,POINT (-76.9813271 -12.0890703)
315562531,-12.0850642,-76.9824652,,,3,POINT (-76.98246519999999 -12.0850642)
315562592,-12.0849147,-76.9828997,,,3,POINT (-76.9828997 -12.0849147)
315562605,-12.0842806,-76.9841918,,,3,POINT (-76.9841918 -12.0842806)
315562653,-12.0849684,-76.984566,1E,motorway_junction,3,POINT (-76.984566 -12.0849684)
315562656,-12.085112,-76.9842348,,,3,POINT (-76.9842348 -12.085112)
315562687,-12.0853873,-76.9839922,5B,motorway_junction,3,POINT (-76.9839922 -12.0853873)
315562713,-12.0855081,-76.9838425,,,3,POINT (-76.98384249999999 -12.0855081)
316069449,-12.1069518,-77.0007489,,,3,POINT (-77.0007489 -12.1069518)
316069659,-12.1052083,-77.0011795,,,4,POINT (-77.00117950000001 -12.1052083)
316071836,-12.1116474,-77.0000642,,traffic_signals,4,POINT (-77.0000642 -12.1116474)
316072788,-12.0999904,-76.979756,,,3,POINT (-76.97975599999999 -12.0999904)
316073060,-12.1050661,-76.9790594,6B,motorway_junction,3,POINT (-76.9790594 -12.1050661)
316073153,-12.1101958,-76.9801691,,,4,POINT (-76.9801691 -12.1101958)
316073328,-12.1097799,-76.9783883,,,3,POINT (-76.97838830000001 -12.1097799)
316624764,-12.0882818,-77.0034626,,,4,POINT (-77.00346260000001 -12.0882818)
316625042,-12.0998651,-77.0091545,,,3,POINT (-77.00915449999999 -12.0998651)
316625044,-12.0993254,-77.0095089,,,4,POINT (-77.0095089 -12.0993254)
316625051,-12.0954257,-77.0090002,,,3,POINT (-77.0090002 -12.0954257)
316625114,-12.0953911,-77.0089576,,,3,POINT (-77.0089576 -12.0953911)
316625118,-12.0946909,-77.0090793,,,3,POINT (-77.0090793 -12.0946909)
316627520,-12.1084402,-77.0099748,,,3,POINT (-77.00997479999999 -12.1084402)
316627523,-12.1087258,-77.0085121,,,3,POINT (-77.0085121 -12.1087258)
316627529,-12.1092162,-77.0076552,,,3,POINT (-77.0076552 -12.1092162)
316627530,-12.1121488,-77.0072829,,,4,POINT (-77.00728290000001 -12.1121488)
316627673,-12.1091894,-77.0075383,,,4,POINT (-77.00753829999999 -12.1091894)
316627675,-12.1087637,-77.0077765,,,3,POINT (-77.00777650000001 -12.1087637)
316627676,-12.1085853,-77.0081412,,,3,POINT (-77.0081412 -12.1085853)
316627682,-12.1078458,-77.0102495,,,4,POINT (-77.0102495 -12.1078458)
326021261,-12.1066784,-77.0039595,,,4,POINT (-77.00395949999999 -12.1066784)
326022171,-12.1057881,-77.0059255,,,3,POINT (-77.0059255 -12.1057881)
391036716,-12.1028605,-76.9903303,,traffic_signals,4,POINT (-76.9903303 -12.1028605)
391036721,-12.1014432,-76.9921697,,,4,POINT (-76.99216970000001 -12.1014432)
391036734,-12.1005602,-76.9945542,,traffic_signals,4,POINT (-76.9945542 -12.1005602)
391036735,-12.1005529,-76.9947054,,traffic_signals,4,POINT (-76.9947054 -12.1005529)
391036737,-12.100557,-76.9967811,,,3,POINT (-76.99678110000001 -12.100557)
391036740,-12.1007579,-76.998521,,,4,POINT (-76.998521 -12.1007579)
391036742,-12.1008954,-76.9991557,,,3,POINT (-76.9991557 -12.1008954)
391036748,-12.1010058,-77.0009133,,,3,POINT (-77.00091329999999 -12.1010058)
391036770,-12.101101,-77.0016026,,,4,POINT (-77.0016026 -12.101101)
391036814,-12.1007774,-77.0016519,,,4,POINT (-77.0016519 -12.1007774)
391036861,-12.1008068,-77.0018493,,,4,POINT (-77.0018493 -12.1008068)
391037794,-12.101383,-77.0044625,,,3,POINT (-77.0044625 -12.101383)
391037802,-12.1007485,-77.0079256,,,3,POINT (-77.00792559999999 -12.1007485)
391037975,-12.1013361,-76.9920735,,,4,POINT (-76.9920735 -12.1013361)
391037978,-12.1007318,-76.9930599,,,3,POINT (-76.99305990000001 -12.1007318)
391037982,-12.1004076,-76.9947242,,traffic_signals,4,POINT (-76.99472419999999 -12.1004076)
391037988,-12.1003895,-76.9967906,,,3,POINT (-76.9967906 -12.1003895)
391037994,-12.1006062,-76.9985525,,,4,POINT (-76.9985525 -12.1006062)
391038001,-12.1006311,-77.0008813,,,3,POINT (-77.0008813 -12.1006311)
391038008,-12.100864,-77.0062909,,,4,POINT (-77.0062909 -12.100864)
391038143,-12.0945156,-77.0027366,,,4,POINT (-77.00273660000001 -12.0945156)
391038145,-12.0945173,-77.0025845,,,4,POINT (-77.0025845 -12.0945173)
391038146,-12.09406,-77.0026444,,,4,POINT (-77.00264439999999 -12.09406)
391038147,-12.0940535,-77.0027968,,,4,POINT (-77.0027968 -12.0940535)
391038273,-12.094988,-77.0077736,,,3,POINT (-77.00777359999999 -12.094988)
391038274,-12.0948626,-77.0071151,,,3,POINT (-77.00711509999999 -12.0948626)
391038286,-12.0942188,-77.0001697,,,3,POINT (-77.0001697 -12.0942188)
391038288,-12.0939388,-76.9991666,,,4,POINT (-76.9991666 -12.0939388)
391038292,-12.0932074,-76.9970024,,,3,POINT (-76.9970024 -12.0932074)
391038294,-12.0931421,-76.9957978,,,4,POINT (-76.99579780000001 -12.0931421)
391038295,-12.0931421,-76.9956433,,,4,POINT (-76.9956433 -12.0931421)
391038300,-12.0940861,-76.9927587,,,3,POINT (-76.9927587 -12.0940861)
391038310,-12.0961131,-76.9892231,,,4,POINT (-76.9892231 -12.0961131)
391038311,-12.0963099,-76.9885825,,,4,POINT (-76.98858250000001 -12.0963099)
391038351,-12.0966111,-76.9871011,,,3,POINT (-76.9871011 -12.0966111)
391038353,-12.0965483,-76.9860958,,,3,POINT (-76.9860958 -12.0965483)
391038354,-12.0965148,-76.9854632,,,3,POINT (-76.9854632 -12.0965148)
391038357,-12.0967845,-76.9845282,,,3,POINT (-76.9845282 -12.0967845)
391038368,-12.0975408,-76.9810056,,,4,POINT (-76.9810056 -12.0975408)
391038423,-12.0967628,-76.983999,,,3,POINT (-76.983999 -12.0967628)
391038425,-12.0965496,-76.9845604,,,3,POINT (-76.98456040000001 -12.0965496)
391038430,-12.096368,-76.9863165,,,3,POINT (-76.9863165 -12.096368)
391038434,-12.0961079,-76.9885085,,traffic_signals,4,POINT (-76.98850849999999 -12.0961079)
391038435,-12.0958613,-76.9892231,,,4,POINT (-76.9892231 -12.0958613)
391038437,-12.0957338,-76.9897152,,,3,POINT (-76.98971520000001 -12.0957338)
391038438,-12.0956457,-76.9899328,,,3,POINT (-76.98993280000001 -12.0956457)
391038442,-12.0944673,-76.9915608,,,3,POINT (-76.9915608 -12.0944673)
391038445,-12.0938617,-76.9923195,,,3,POINT (-76.99231949999999 -12.0938617)
391038482,-12.0937181,-76.9925469,,,4,POINT (-76.99254689999999 -12.0937181)
391038490,-12.0928114,-76.995413,,,3,POINT (-76.995413 -12.0928114)
