osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
135447648,-12.0535254,-77.0975678,3,,POINT (-77.09756779999999 -12.0535254),436787171,678203090,508.457,,,,436736892,5728906442,1968.0950000000003,1846396655,1842389972,580.9250000000001,436280887,678201663,763.889,436280192,1403158743,281.90700000000004,6252388,1403202032,1219.1550000000002
135447658,-12.0537097,-77.0979182,3,,POINT (-77.0979182 -12.0537097),436787171,678203090,,,,,436736892,5728906442,,1846396655,1842389972,,436280887,678201663,,436312074,678202032,,6252388,1403202032,
135447689,-12.0536708,-77.0984628,3,,POINT (-77.09846279999999 -12.0536708),436787171,678203090,607.116,,,,436736892,5728906442,2066.754,1846396655,1842389972,679.5840000000001,436280887,678201663,862.5480000000001,436312074,678202032,627.322,6252388,1403202032,1317.814
135449856,-12.053746,-77.0980304,3,,POINT (-77.0980304 -12.053746),436787171,678203090,438.13699999999994,,,,436736892,5728906442,1502.7849999999999,1846396655,1842389972,551.3729999999999,436280887,678201663,555.283,436312074,678202032,414.92499999999995,6252388,1403202032,1510.7980000000002
301456975,-12.0595297,-77.1323009,4,,POINT (-77.1323009 -12.0595297),1846411813,1798241687,35.28,,,,428111371,629212336,829.511,434960088,629046211,1376.0410000000002,436284958,628126543,842.6189999999999,5560314997,309373005,736.4100000000001,6485036,629297414,462.0520000000001
301456976,-12.0590959,-77.1280533,4,,POINT (-77.1280533 -12.0590959),1846411813,1798241687,638.622,,,,436301268,4341662016,933.0350000000001,521121161,5078071755,936.2880000000001,436284958,628126543,378.104,421930268,629244341,323.927,6485036,629297414,613.332
301457301,-12.0630612,-77.122542,3,,POINT (-77.122542 -12.0630612),4346629792,306533701,1197.06,,,,436301268,4341662016,188.52800000000002,521121161,5078071755,1413.0900000000001,436284958,628126543,960.5449999999998,380863870,301457355,2065.864,220562243,4337472724,1450.7379999999998
301457355,-12.0647885,-77.1196601,3,,POINT (-77.1196601 -12.0647885),4346629792,306533701,1539.9340000000002,,,,777346011,627798908,485.061,521121161,5078071755,1092.465,436284958,628126543,1279.2949999999998,380863870,301457355,0.0,220562243,4337472724,1067.149
301457366,-12.0651403,-77.1188164,3,,POINT (-77.1188164 -12.0651403),4346629792,306533701,1647.242,,,,777346011,627798908,592.3689999999999,521121161,5078071755,1199.773,436284958,628126543,1386.6029999999998,380863870,301457355,107.308,220562243,4337472724,603.428
301457367,-12.0648027,-77.1192022,3,,POINT (-77.1192022 -12.0648027),4346629792,306533701,1590.355,,,,777346011,627798908,535.482,521121161,5078071755,1142.886,436284958,628126543,1329.716,380863870,301457355,50.42100000000001,220562243,4337472724,1117.5699999999997
301457530,-12.0626715,-77.0980288,3,,POINT (-77.09802879999999 -12.0626715),1846411809,1403202081,,,,,436736892,5728906442,,420062898,3996630698,,436280887,678201663,,446570579,1403202212,,6252388,1403202032,
301457549,-12.0632991,-77.1080059,3,,POINT (-77.10800589999999 -12.0632991),1846411784,1403202081,1608.9099999999999,,,,446549659,442940717,406.133,1846396661,450347627,683.8069999999999,436787184,4015833534,817.79,446547674,5543155228,524.041,220562243,4337472724,1295.737
306533682,-12.0607323,-77.1318339,4,traffic_signals,POINT (-77.1318339 -12.0607323),4346629792,306533701,23.78,,,,428111371,629212336,484.571,434960088,629046211,1031.101,436284958,628126543,779.9019999999998,5560309808,309373398,232.267,6485036,629297414,117.11200000000001
306533701,-12.0605405,-77.1318723,4,,POINT (-77.1318723 -12.0605405),4346629792,306533701,0.0,,,,428111371,629212336,460.79100000000005,434960088,629046211,1007.3210000000001,436284958,628126543,925.9609999999998,5560309808,309373398,208.48700000000002,6485036,629297414,93.33200000000001
306533704,-12.0606033,-77.1325665,3,,POINT (-77.1325665 -12.0606033),4346629792,306533701,153.04,,,,428111371,629212336,384.629,434960088,629046211,931.1590000000001,436284958,628126543,909.1619999999998,5560309808,309373398,132.325,6485036,629297414,17.17
306533713,-12.0607531,-77.1326787,3,,POINT (-77.1326787 -12.0607531),4346629792,306533701,131.345,,,,428111371,629212336,362.93399999999997,434960088,629046211,909.4639999999999,436284958,628126543,887.4669999999999,5560309808,309373398,110.63,6485036,629297414,224.67699999999996
306533716,-12.0609377,-77.1324417,4,,POINT (-77.1324417 -12.0609377),4346629792,306533701,93.90899999999999,,,,428111371,629212336,325.498,434960088,629046211,872.028,436284958,628126543,850.031,5560309808,309373398,73.194,6485036,629297414,187.24099999999999
306533809,-12.0626571,-77.1324884,4,,POINT (-77.1324884 -12.0626571),4346629792,306533701,517.842,,,,428111371,629212336,134.23,434960088,629046211,680.76,436284958,628126543,1070.0140000000001,5560309808,309373398,394.039,6485036,629297414,611.174
306533811,-12.0642006,-77.1277635,3,,POINT (-77.1277635 -12.0642006),4346629792,306533701,766.108,,,,777346012,4341662016,1282.1589999999997,521121161,5078071755,201.727,436284958,628126543,727.228,434960097,629029983,193.24099999999999,6485036,629297414,859.4399999999999
306534209,-12.0650828,-77.1319986,3,,POINT (-77.1319986 -12.0650828),4346629792,306533701,614.441,,,,428111371,629212336,401.662,434960088,629046211,359.222,436284958,628126543,1145.6470000000002,295027451,629042874,456.775,6485036,629297414,707.773
306756849,-12.0605653,-77.1322994,3,,POINT (-77.13229939999999 -12.0605653),4346629792,306533701,182.39,,,,428111371,629212336,413.97900000000004,434960088,629046211,960.509,436284958,628126543,938.512,5560309808,309373398,161.675,6485036,629297414,46.52
306763146,-12.0582229,-77.1216729,4,,POINT (-77.12167289999999 -12.0582229),1846411813,1798241687,1791.022,,,,436301268,4341662016,663.8679999999999,521121161,5078071755,1997.406,436284958,628126543,1435.8850000000002,298244428,1273960657,869.7639999999999,220562243,4337472724,947.992
306763147,-12.0583326,-77.12159,4,,POINT (-77.12159 -12.0583326),1846411813,1798241687,1775.854,,,,436301268,4341662016,648.6999999999999,521121161,5078071755,1982.2379999999998,436284958,628126543,1420.7170000000003,298244428,1273960657,854.5959999999999,220562243,4337472724,932.8240000000001
306763148,-12.0585327,-77.1214403,4,,POINT (-77.1214403 -12.0585327),4346629792,306533701,1629.663,,,,436301268,4341662016,621.131,521121161,5078071755,1954.6689999999999,436284958,628126543,1393.1480000000004,298244428,1273960657,827.0269999999999,220562243,4337472724,905.2549999999999
309373005,-12.0604094,-77.1303788,5,,POINT (-77.1303788 -12.0604094),4346629792,306533701,176.44099999999997,,,,428111371,629212336,586.61,521121161,5078071755,902.755,436284958,628126543,617.634,5560314997,309373005,0.0,6485036,629297414,269.77299999999997
309373193,-12.0610955,-77.1337708,3,,POINT (-77.13377079999999 -12.0610955),4346629792,306533701,244.38,,,,428111371,629212336,406.371,434960088,629046211,952.9010000000001,436284958,628126543,1000.502,5560309808,309373398,154.067,6485036,629297414,337.71200000000005
309373398,-12.0615959,-77.13245,5,,POINT (-77.13245000000001 -12.0615959),4346629792,306533701,440.41499999999996,,,,428111371,629212336,252.30399999999997,434960088,629046211,798.8340000000001,436284958,628126543,992.5869999999998,5560309808,309373398,0.0,6485036,629297414,533.747
309580966,-12.0676337,-77.1315955,3,,POINT (-77.1315955 -12.0676337),4346629792,306533701,1109.926,,,,428111371,629212336,850.372,434960088,629046211,291.98,436284958,628126543,1228.159,295027451,629042874,896.358,6485036,629297414,1203.258
309580982,-12.0648217,-77.1298647,4,,POINT (-77.1298647 -12.0648217),4346629792,306533701,751.6799999999998,,,,428111371,629212336,553.241,434960088,629046211,264.18,436284958,628126543,855.818,295027451,629042874,524.0169999999999,6485036,629297414,845.0119999999998
309580992,-12.0675051,-77.1308818,4,,POINT (-77.1308818 -12.0675051),4346629792,306533701,1031.0049999999999,,,,428111371,629212336,771.451,434960088,629046211,213.059,436284958,628126543,1149.238,295027451,629042874,817.4369999999999,6485036,629297414,1124.337
309581021,-12.0589848,-77.1213119,3,,POINT (-77.12131189999999 -12.0589848),4346629792,306533701,1577.242,,,,436301268,4341662016,568.71,521121161,5078071755,1902.248,436284958,628126543,1340.7270000000003,298244428,1273960657,774.606,220562243,4337472724,1287.5369999999998
309581024,-12.0605297,-77.1212884,3,,POINT (-77.1212884 -12.0605297),4346629792,306533701,1404.5900000000001,,,,436301268,4341662016,396.058,521121161,5078071755,1729.596,436284958,628126543,1168.075,298244428,1273960657,601.954,220562243,4337472724,1256.408
309581046,-12.0555255,-77.1077756,3,,POINT (-77.1077756 -12.0555255),1846411784,1403202081,728.186,,,,436736892,5728906442,625.938,375293056,442943252,531.596,436787184,4015833534,590.037,436306200,442942857,776.4409999999998,220562243,4337472724,1443.576
309581071,-12.0561939,-77.1076468,3,,POINT (-77.1076468 -12.0561939),1846411784,1403202081,954.469,,,,436736892,5728906442,568.081,375293056,442943252,455.957,436787184,4015833534,532.1800000000001,436306200,442942857,700.8019999999999,220562243,4337472724,1367.9370000000001
309581080,-12.0620141,-77.1089197,4,,POINT (-77.1089197 -12.0620141),1846411784,1403202081,1434.065,,,,446549659,442940717,231.28799999999998,1846396661,450347627,508.96199999999993,436787184,4015833534,642.9449999999999,446547674,5543155228,349.196,220562243,4337472724,1086.182
309581145,-12.0619855,-77.1087628,4,,POINT (-77.10876279999999 -12.0619855),1846411784,1403202081,1416.7100000000003,,,,446549659,442940717,213.933,1846396661,450347627,491.607,436787184,4015833534,625.59,446547674,5543155228,331.841,220562243,4337472724,1103.537
