osmid,y,x,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
107774936,-12.0597063,-77.041677,traffic_signals,3,POINT (-77.04167700000001 -12.0597063),1863374534,593974676,478.82900000000006,,,,194898813,2060102857,795.386,500543601,819211214,1058.117,4154554391,2053915321,1385.602,721155565,915282101,130.511,720283250,912508066,1160.3950000000002
107774938,-12.0597496,-77.0417996,,3,POINT (-77.0417996 -12.0597496),1863374534,593974676,464.6550000000001,,,,194898813,2060102857,781.212,500543601,819211214,1043.943,4154554391,2053915321,1371.428,721155565,915282101,116.33699999999999,720283250,912508066,1146.221
107774940,-12.0600028,-77.0420531,,3,POINT (-77.0420531 -12.0600028),1863374534,593974676,424.5640000000001,,,,194898813,2060102857,741.121,500543601,819211214,1003.852,4154554391,2053915321,1331.337,721155565,915282101,76.246,720283250,912508066,1106.1299999999999
263401823,-12.0692561,-77.0488561,,4,POINT (-77.04885609999999 -12.0692561),4042632165,819211080,444.6,,,,194898813,2060102857,1470.994,449596449,819211080,444.6,318793605,819211388,894.4129999999999,2054044513,817654869,303.214,720283250,912508066,2193.1259999999997
263402345,-12.0682516,-77.0480571,traffic_signals,4,POINT (-77.04805709999999 -12.0682516),4042632165,819211080,303.091,,,,194898813,2060102857,1329.485,449596449,819211080,303.091,318793605,819211388,752.9039999999999,2054044513,817654869,161.70499999999998,720283250,912508066,2051.617
309998790,-12.0605674,-77.0419916,,3,POINT (-77.0419916 -12.0605674),1863374534,593974676,593.519,,,,194898813,2060102857,674.789,500543601,819211214,937.52,4154554391,2053915321,1500.2920000000001,4413502791,1856595154,71.901,720283250,912508066,1275.085
310953965,-12.0493126,-77.0526548,,4,POINT (-77.0526548 -12.0493126),435668847,915282148,,,,,720318095,912508068,,623949369,915282650,,435393802,915282083,,720376905,915282121,,720283250,912508066,
310953968,-12.0499449,-77.049171,,3,POINT (-77.049171 -12.0499449),4336231231,912507964,905.853,,,,720318095,912508068,1090.345,721066531,915282268,792.9920000000001,435393802,915282083,1053.5410000000002,721505570,915282198,398.619,720283250,912508066,878.4119999999999
316803559,-12.0665942,-77.0543276,,3,POINT (-77.05432759999999 -12.0665942),8429977984,819211116,,,,,194898813,2060102857,,559792969,1273673158,,318793605,819211388,,2054044545,817654852,,720283250,912508066,
316803572,-12.0664578,-77.0543489,,3,POINT (-77.05434889999999 -12.0664578),8429977984,819211116,1451.875,,,,194898813,2060102857,2391.431,559792969,1273673158,706.1070000000001,318793605,819211388,1435.0130000000001,2054044545,817654852,809.4010000000001,720283250,912508066,2508.6490000000003
316803573,-12.0673016,-77.0605127,,3,POINT (-77.0605127 -12.0673016),8429977984,819211116,1986.056,,,,194898813,2060102857,2925.6120000000005,465060104,1399063317,550.4660000000001,318793605,819211388,2065.912,194898807,1273737018,898.8730000000002,720283250,912508066,2763.162000000001
316803597,-12.0666387,-77.0540724,,3,POINT (-77.0540724 -12.0666387),8429977984,819211116,914.8509999999999,,,,194898813,2060102857,1854.407,559792969,1273673158,468.535,318793605,819211388,765.871,2054044583,1355562709,206.17200000000003,720283250,912508066,2064.433
316803599,-12.0665056,-77.0540035,,3,POINT (-77.05400349999999 -12.0665056),8429977984,819211116,897.7529999999999,,,,194898813,2060102857,1837.309,559792969,1273673158,451.437,318793605,819211388,748.773,2054044583,1355562709,189.074,720283250,912508066,2047.3349999999998
316803674,-12.0580672,-77.0582149,,3,POINT (-77.0582149 -12.0580672),435668847,915282148,1134.5690000000002,,,,194898813,2060102857,2522.9099999999994,445802351,1399063081,429.48799999999994,4154554391,2053915321,1649.37,2054044558,1273453791,638.265,720283250,912508066,1877.9169999999997
316803681,-12.0525725,-77.0553455,traffic_signals,4,POINT (-77.0553455 -12.0525725),435668847,915282148,823.7979999999999,,,,720318095,912508068,1633.3159999999996,623949369,915282650,505.2369999999999,435393802,915282083,764.612,721043922,915282630,446.5229999999999,720283250,912508066,1421.3829999999996
525863374,-12.051938,-77.042419,,3,POINT (-77.042419 -12.051938),4336154432,3023423275,378.548,,,,720385352,912507994,243.745,721066531,915282268,1037.94,435393802,915282083,1298.489,2054044510,525863374,0.0,720283250,912508066,674.442
525863467,-12.0516857,-77.0461986,,4,POINT (-77.0461986 -12.0516857),4336195907,912508004,813.635,,,,720318095,912508068,636.715,721066531,915282268,625.962,435393802,915282083,886.511,720184195,525863467,0.0,720283250,912508066,424.78200000000004
525863645,-12.0568799,-77.0498213,,3,POINT (-77.0498213 -12.0568799),4336231231,912507964,710.6320000000001,,,,720318095,912508068,1040.216,720711704,912508016,593.3800000000001,435393802,915282083,738.5020000000001,2054044581,912508057,202.47200000000004,720283250,912508066,828.2829999999999
528023636,-12.0671615,-77.0474001,traffic_signals,4,POINT (-77.0474001 -12.0671615),4334141384,4334141386,140.105,,,,194898813,2060102857,1448.1519999999998,449596449,819211080,421.7579999999999,318793605,819211388,871.5709999999998,6094217687,4334141386,140.105,720283250,912508066,2170.2839999999997
593974674,-12.0564318,-77.0446262,,3,POINT (-77.0446262 -12.0564318),1863374534,593974676,213.585,,,,720385352,912507994,1287.0869999999998,720711704,912508016,1383.2489999999998,435393802,915282083,1513.8859999999997,720410062,593974674,0.0,720283250,912508066,780.2099999999999
593974675,-12.0573833,-77.0445548,,4,POINT (-77.0445548 -12.0573833),1863374534,593974676,107.498,,,,720385352,912507994,1180.9999999999998,720711704,912508016,1277.1619999999998,435393802,915282083,1407.7989999999998,720410061,593974674,412.966,720283250,912508066,674.123
593974676,-12.0583481,-77.044492,,4,POINT (-77.04449200000001 -12.0583481),1863374534,593974676,0.0,,,,720385352,912507994,1282.4259999999997,720711704,912508016,1378.588,435393802,915282083,1509.2250000000001,2054044543,912507934,325.975,720283250,912508066,775.549
593974677,-12.0593098,-77.044443,,4,POINT (-77.044443 -12.0593098),1863374534,593974676,294.717,,,,194898813,2060102857,932.761,500543601,819211214,1185.897,4154554391,2053915321,1059.728,2054044539,909271542,477.57700000000006,720283250,912508066,834.521
593974678,-12.0593876,-77.0445088,,4,POINT (-77.0445088 -12.0593876),1863374534,593974676,283.49,,,,194898813,2060102857,921.534,500543601,819211214,1174.67,4154554391,2053915321,1133.806,2054044539,909271542,466.34999999999997,720283250,912508066,965.0559999999999
