osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
301457749,-12.0483681,-77.0983073,4,,POINT (-77.0983073 -12.0483681),5664651322,4331443697,2139.288,4360441493,883962390,1076.603,133436884,1206953807,885.1489999999999,1846396634,883962270,961.224,1847664097,896796396,419.188,75980639,896796464,555.4010000000001,,,
306072672,-12.039737,-77.0976057,3,,POINT (-77.0976057 -12.039737),8447286673,6046988703,734.745,4360441493,883962390,258.509,133436884,1206953807,434.32699999999994,104631273,883962508,1172.24,1847664097,896796396,701.49,381167856,883962466,66.104,,,
306072675,-12.0379854,-77.088343,4,traffic_signals,POINT (-77.08834299999999 -12.0379854),8447286673,6046988703,351.197,4360441493,883962390,1056.062,133436884,1206953807,1463.356,277706020,624616922,405.45000000000005,70803837,624640867,223.457,4508813837,624616922,405.45000000000005,,,
306323111,-12.0484534,-77.0982992,4,,POINT (-77.0982992 -12.0484534),5664651322,4331443697,300.23199999999997,4360441493,883962390,1086.129,133436884,1206953807,894.6749999999998,1846396634,883962270,970.75,1847664097,896796396,428.714,75980639,896796464,564.927,,,
560562643,-12.040634,-77.099004,4,,POINT (-77.09900399999999 -12.040634),8447286673,6046988703,933.499,4360441493,883962390,457.26300000000003,133436884,1206953807,633.0809999999999,104631273,883962508,1370.994,1847664097,896796396,900.2439999999999,381167856,883962466,264.858,,,
624557471,-12.0397101,-77.0943665,4,,POINT (-77.09436650000001 -12.0397101),8447286673,6046988703,453.53,4360441493,883962390,305.22499999999997,133436884,1206953807,712.5189999999998,1846396634,883962270,434.288,1847664097,896796396,979.6819999999998,381167861,883962342,80.30000000000001,,,
624557482,-12.0385255,-77.088162,4,,POINT (-77.088162 -12.0385255),8447286673,6046988703,409.15599999999995,4360441493,883962390,992.827,133436884,1206953807,1400.1209999999999,277706020,624616922,342.21500000000003,70803837,624640867,160.222,4508813837,624616922,342.21500000000003,,,
624557485,-12.0375104,-77.0828622,4,,POINT (-77.08286219999999 -12.0375104),8447286673,6046988703,979.516,4360441493,883962390,1580.1689999999999,133436884,1206953807,1987.463,1846396602,624580342,73.547,70803837,624640867,549.966,75980613,1235100355,983.8230000000001,,,
624580318,-12.0412247,-77.0989831,3,,POINT (-77.0989831 -12.0412247),5664651322,4331443697,2235.9429999999998,4360441493,883962390,522.992,133436884,1206953807,698.81,104631273,883962508,1436.723,1847664097,896796396,965.973,381167856,883962466,330.587,,,
624580321,-12.0407327,-77.0963035,4,,POINT (-77.0963035 -12.0407327),8447286673,6046988703,751.02,4360441493,883962390,7.358,133436884,1206953807,414.74199999999996,74849572,1273589039,210.93400000000003,1847664097,896796396,681.905,381167860,883962274,62.682,,,
624580324,-12.0402674,-77.0942396,3,traffic_signals,POINT (-77.09423959999999 -12.0402674),8447286673,6046988703,517.04,4360441493,883962390,245.35500000000002,133436884,1206953807,652.739,1846396634,883962270,370.778,1847664097,896796396,919.902,381167861,883962342,16.79,,,
