osmid,y,x,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
331603397,-11.9687393,-76.7475232,traffic_signals,4,POINT (-76.7475232 -11.9687393),4749878325,1570070883,3204.0140000000006,487183431,1524458694,2903.064,483500696,4762470517,7612.490999999999,487183429,1273900349,3338.100000000001,318959257,1273778804,2361.636,5596717500,1570070563,126.93499999999999,,,
331603462,-11.968673,-76.7475126,traffic_signals,3,POINT (-76.74751259999999 -11.968673),4749878325,1570070883,3196.552,487183431,1524458694,2895.602,483500696,4762470517,7605.0289999999995,487183429,1273900349,3330.6380000000004,318959257,1273778804,2354.174,5596717500,1570070563,134.397,,,
331604739,-11.9769526,-76.7744952,,3,POINT (-76.7744952 -11.9769526),1863374455,331604739,0.0,487183431,1524458694,346.97299999999996,483500696,4762470517,4716.14,487183429,1273900349,240.88699999999997,318959257,1273778804,1220.0610000000001,5596732113,1745790456,481.88599999999997,,,
541411778,-11.9684041,-76.746022,,3,POINT (-76.746022 -11.9684041),4749878325,1570070883,3361.461,487183431,1524458694,3060.511,483500696,4762470517,7769.937999999999,487183429,1273900349,3495.547,318959257,1273778804,2519.0829999999996,4447028305,1570070563,299.306,,,
1273456695,-11.9743411,-76.7653153,,3,POINT (-76.7653153 -11.9743411),4749878325,1570070883,1093.356,487183431,1524458694,850.4119999999999,483500696,4762470517,5724.786000000001,487183429,1273900349,1227.442,318959257,1273778804,411.777,5596729849,5368834263,368.384,,,
1273462857,-11.9861401,-76.8199611,,4,POINT (-76.8199611 -11.9861401),1863374455,331604739,5250.448,487183431,1524458694,5597.421,483500696,4762470517,920.443,483500666,8858981459,7.227,4423758389,1273621776,361.06100000000004,5596759264,1273880291,108.33,,,
1273464271,-11.9947497,-76.8274714,,4,POINT (-76.82747139999999 -11.9947497),1863374455,331604739,6329.59,487183431,1524458694,6676.563,483500696,4762470517,1925.5050000000003,483490600,1273537082,1200.968,4423758389,1273621776,1370.0210000000004,5596759267,5400190647,452.1890000000001,,,
1273467182,-11.9779745,-76.7846714,,4,POINT (-76.78467139999999 -11.9779745),1863374455,331604739,1225.604,487183431,1524458694,1572.577,483500696,4762470517,3433.319,818103399,1745790482,23.286,318959257,1273778804,2425.6739999999995,5596732107,5497407270,216.21200000000002,,,
1273469389,-11.9762349,-76.7740378,,1,POINT (-76.7740378 -11.9762349),4749878325,1570070883,97.947,487183431,1524458694,338.119,483500696,4762470517,4923.801,487183429,1273900349,232.033,318959257,1273778804,1213.643,5596732113,1745790456,689.547,,,
1273470510,-11.9929952,-76.8189677,,3,POINT (-76.8189677 -11.9929952),1863374455,331604739,5667.0419999999995,487183431,1524458694,6014.014999999999,483500696,4762470517,1262.957,483490600,1273537082,119.612,4423758389,1273621776,707.4730000000001,5596759279,1570070705,200.39999999999998,,,
