osmid,y,x,street_count,ref,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
182439939,-12.2182515,-76.9769446,3,,,POINT (-76.9769446 -12.2182515),4749878327,1273751461,,,,,419918941,2146302523,,372290016,4331510182,,318965716,1805764085,,749526559,4284571711,,749617263,4284571711,
182439941,-12.2178535,-76.9769327,3,18D,motorway_junction,POINT (-76.97693270000001 -12.2178535),4749878327,1273751461,,,,,419918941,2146302523,,372290016,4331510182,,318965716,1805764085,,749526559,4284571711,,749617263,4284571711,
258310049,-12.1610552,-77.0257215,3,,,POINT (-77.0257215 -12.1610552),436952480,1813624349,1346.0269999999996,,,,831057544,1844693873,1716.8109999999997,568396464,1757657109,1509.517,318964897,1757646152,1611.8599999999994,436634333,4344532846,1433.6169999999995,437330220,4232296002,5770.293000000001
258310168,-12.1657255,-77.0279769,3,,,POINT (-77.0279769 -12.1657255),436952480,1813624349,1605.5410000000004,,,,568396654,1273979743,2119.257,397727474,1757646151,1516.563,318964897,1757646152,1844.8680000000004,4732161822,1273467100,1511.2250000000004,437330220,4232296002,5909.072000000001
258310179,-12.1671764,-77.033502,3,,,POINT (-77.033502 -12.1671764),436798431,558581115,2441.6140000000005,,,,568396654,1273979743,3165.940000000001,397727474,1757646151,2308.4850000000006,318964897,1757646152,2553.4010000000003,5595099125,4227527913,2520.0570000000002,437330219,1273465314,5982.529
289311282,-12.2179852,-76.9770993,3,18B,motorway_junction,POINT (-76.97709930000001 -12.2179852),4749878327,1273751461,7067.315,,,,419918941,2146302523,6373.178999999998,372290016,4331510182,4682.44,318965716,1805764085,5939.353,749526559,4284571711,1670.6800000000003,749617263,4284571711,1670.6800000000003
289311410,-12.2219338,-76.9750238,3,18C,motorway_junction,POINT (-76.9750238 -12.2219338),4749878327,1273751461,,,,,419918941,2146302523,,372290016,4331510182,,318965716,1805764085,,749526559,4284571711,,371941313,4284571711,
289311528,-12.2152219,-76.9814113,3,,,POINT (-76.9814113 -12.2152219),4749878327,1273751461,4544.391999999999,,,,419918941,2146302523,3850.2560000000003,372290016,4331510182,2159.517,318965716,1805764085,3416.4299999999994,749526559,4284571711,890.3929999999998,749617263,4284571711,890.3929999999998
289311531,-12.2145508,-76.9821884,3,,,POINT (-76.9821884 -12.2145508),4749878327,1273751461,4431.424999999999,,,,419918941,2146302523,3737.2889999999998,372290016,4331510182,2046.5500000000002,318965716,1805764085,3303.4629999999997,749526559,4284571711,964.2749999999999,749617263,4284571711,964.2749999999999
289311674,-12.2147445,-76.9823745,3,,,POINT (-76.98237450000001 -12.2147445),4749878327,1273751461,4460.971,,,,419918941,2146302523,3766.835,372290016,4331510182,2076.096,318965716,1805764085,3333.0089999999996,749526559,4284571711,934.7289999999998,749617263,4284571711,934.7289999999998
289311770,-12.2177654,-76.9789408,3,,,POINT (-76.9789408 -12.2177654),4749878327,1273751461,7182.748,,,,419918941,2146302523,6488.611999999998,372290016,4331510182,4797.873,318965716,1805764085,6054.786,749526559,4284571711,1786.1130000000003,749617263,4284571711,1786.1130000000003
289311774,-12.2213424,-76.9758647,3,,,POINT (-76.9758647 -12.2213424),4749878327,1273751461,6660.981999999999,,,,419918941,2146302523,5966.845999999999,372290016,4331510182,4276.107,318965716,1805764085,5533.02,749526559,4284571711,1264.3470000000002,371941313,4284571711,1264.3470000000002
289312127,-12.2178426,-76.9787664,3,,,POINT (-76.9787664 -12.2178426),4749878327,1273751461,,,,,419918941,2146302523,,372290016,4331510182,,318965716,1805764085,,749526559,4284571711,,749617263,4284571711,
289312567,-12.2174635,-76.9792781,3,,,POINT (-76.9792781 -12.2174635),4749878327,1273751461,4885.028999999999,,,,419918941,2146302523,4190.893,372290016,4331510182,2500.1540000000005,318965716,1805764085,3660.9049999999993,749526559,4284571711,1231.0299999999997,749617263,4284571711,1231.0299999999997
289312609,-12.217959,-76.9779814,3,,,POINT (-76.9779814 -12.217959),4749878327,1273751461,,,,,419918941,2146302523,,372290016,4331510182,,318965716,1805764085,,749526559,4284571711,,749617263,4284571711,
289313274,-12.215299,-76.9817313,4,,,POINT (-76.98173130000001 -12.215299),4749878327,1273751461,4555.462999999999,,,,419918941,2146302523,3861.327,372290016,4331510182,2170.588,318965716,1805764085,3427.5009999999997,749526559,4284571711,841.1719999999998,749617263,4284571711,841.1719999999998
304905060,-12.1813985,-77.007663,3,,,POINT (-77.00766299999999 -12.1813985),437360733,1753960758,457.64700000000005,,,,442795790,1827979721,2576.147,858370534,2833238368,1384.6480000000001,318963040,1847828972,1324.3849999999998,457506140,1753960782,800.988,437330220,4232296002,2848.846
304905064,-12.1808927,-77.0079153,3,,,POINT (-77.00791529999999 -12.1808927),437360733,1753960758,394.783,,,,442795790,1827979721,2513.283,858370534,2833238368,1606.1249999999998,318963040,1847828972,1261.521,457506140,1753960782,738.124,437330220,4232296002,2785.9820000000004
304905076,-12.1678934,-77.0190982,3,,traffic_signals,POINT (-77.0190982 -12.1678934),4346614499,1273892791,911.1359999999999,,,,394469163,304905076,0.0,436468020,1273768062,1164.9639999999997,318964897,1757646152,797.7610000000001,436948199,1273889440,348.20899999999995,437330220,4232296002,4121.547
