osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
263109791,-12.0830242,-77.0462175,3,,POINT (-77.0462175 -12.0830242),435516301,3725508782,1194.004,,,,39413837,263404833,1217.9640000000002,451472050,263390883,858.0730000000001,495775877,263389392,1324.404,436575404,263389691,886.208,4341604273,263110815,143.522
263109793,-12.0827022,-77.0458227,4,,POINT (-77.0458227 -12.0827022),435516301,3725508782,1137.848,,,,39413837,263404833,1161.808,451472050,263390883,801.917,495775877,263389392,1268.248,436575404,263389691,830.0519999999999,4341604273,263110815,87.366
263109794,-12.0825811,-77.0456006,3,,POINT (-77.0456006 -12.0825811),435516301,3725508782,1110.176,,,,39413837,263404833,1134.136,451472050,263390883,774.245,495775877,263389392,1240.576,436575404,263389691,802.38,4341604273,263110815,59.694
263109809,-12.0796892,-77.0421816,4,traffic_signals,POINT (-77.04218160000001 -12.0796892),436314041,263397626,571.739,,,,39413837,263404833,601.8399999999999,451472050,263390883,1302.3980000000001,319103082,263388538,1610.953,496766926,263397928,764.019,4341604273,263110815,587.8470000000001
263109810,-12.0795654,-77.0421652,4,traffic_signals,POINT (-77.0421652 -12.0795654),436314041,263397626,557.8580000000001,,,,39413837,263404833,587.959,451472050,263390883,1288.517,319103082,263388538,1597.0720000000001,496766926,263397928,750.1379999999999,436588420,263406378,727.286
263109813,-12.076562,-77.0420821,4,,POINT (-77.0420821 -12.076562),436314041,263397626,223.757,,,,39413837,263404833,253.858,436307956,263390435,1105.626,319103082,263388538,1262.971,2068560799,263394504,86.445,436588420,263406378,393.18499999999995
263109815,-12.0764944,-77.0420852,4,,POINT (-77.0420852 -12.0764944),436314041,263397626,216.233,,,,39413837,263404833,305.171,436307956,263390435,1098.102,319103082,263388538,1255.4470000000001,2068560799,263394504,137.758,436588420,263406378,385.66099999999994
263109818,-12.075194,-77.0419957,4,traffic_signals,POINT (-77.0419957 -12.075194),436314041,263397626,98.004,,,,39413837,263404833,395.762,436307956,263390435,1171.687,319103082,263388538,1134.462,4331307092,263406376,31.072,436588420,263406378,240.585
263109819,-12.07505,-77.0419773,4,traffic_signals,POINT (-77.0419773 -12.07505),436314041,263397626,81.867,,,,39413837,263404833,460.164,436307956,263390435,1155.55,319103082,263388538,1118.325,5593010025,263110790,24.32,436588420,263406378,304.98699999999997
263109823,-12.0738257,-77.0417981,4,traffic_signals,POINT (-77.04179809999999 -12.0738257),436314041,263397626,470.25,,,,39413837,263404833,529.897,436307956,263390435,1543.9329999999998,319103082,263388538,980.752,5593010025,263110790,412.703,2068560827,263399305,251.67000000000002
