osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
306533880,-12.0673843,-77.1581885,3,,POINT (-77.15818849999999 -12.0673843),436409014,632177909,452.45899999999995,,,,,,,424631513,632177909,452.45899999999995,298242358,632136931,399.884,5560301642,306534010,365.761,298239152,3021463053,1199.9180000000001
306533894,-12.073128,-77.1655714,1,,POINT (-77.1655714 -12.073128),436409014,632177909,780.3620000000001,,,,,,,424631513,632177909,780.3620000000001,537497593,306533910,523.16,436412946,306533910,523.16,298239152,3021463053,751.66
306533909,-12.0709985,-77.1661688,1,,POINT (-77.16616879999999 -12.0709985),436409014,632177909,902.2479999999999,,,,,,,424631513,632177909,902.2479999999999,537497593,306533910,645.0459999999999,424627111,632178969,411.315,298239152,3021463053,294.674
306533910,-12.0743222,-77.1633691,3,,POINT (-77.1633691 -12.0743222),436409014,632177909,720.8070000000001,,,,,,,424631513,632177909,720.8070000000001,537497593,306533910,0.0,436412946,306533910,0.0,298239152,3021463053,697.4069999999999
306533915,-12.070603,-77.165416,1,,POINT (-77.16541599999999 -12.070603),436409014,632177909,798.422,,,,,,,424631513,632177909,798.422,537497593,306533910,713.9159999999999,424627111,632178969,306.875,298239152,3021463053,363.544
306533936,-12.0732639,-77.1642519,4,,POINT (-77.1642519 -12.0732639),436409014,632177909,575.087,,,,,,,424631513,632177909,575.087,537497593,306533910,317.88499999999993,436412946,306533910,317.88499999999993,298239152,3021463053,546.385
306533941,-12.0690345,-77.1621177,1,,POINT (-77.1621177 -12.0690345),436409014,632177909,114.438,,,,,,,424631513,632177909,114.438,298242358,632136931,831.147,424627111,632178969,405.35400000000004,298239152,3021463053,861.897
306533954,-12.0702071,-77.164602,1,,POINT (-77.164602 -12.0702071),436409014,632177909,676.184,,,,,,,424631513,632177909,676.184,537497593,306533910,619.856,424627111,632178969,184.637,298239152,3021463053,439.302
306533955,-12.073283,-77.1620843,3,,POINT (-77.1620843 -12.073283),436409014,632177909,539.505,,,,,,,424631513,632177909,539.505,537497593,306533910,480.716,436412946,306533910,480.716,298239152,3021463053,908.2109999999999
306533962,-12.0721733,-77.1607092,3,crossing,POINT (-77.1607092 -12.0721733),436409014,632177909,345.642,,,,,,,424631513,632177909,345.642,537497593,306533910,664.303,424627111,632178969,636.273,298239152,3021463053,1091.798
