osmid,y,x,street_count,ref,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
108153168,-12.0601724,-77.0354022,4,,,POINT (-77.03540219999999 -12.0601724),4849524621,3023386402,877.2709999999998,,,,4137695790,3023386397,583.6769999999999,437901909,416652548,779.995,319139199,4139051148,1617.6649999999995,5593372473,791160024,1435.8439999999998,500543577,416649255,1939.123
108154281,-12.0599213,-77.0350861,3,,,POINT (-77.0350861 -12.0599213),4849524621,3023386402,832.6529999999999,,,,4137695790,3023386397,539.059,437901909,416652548,735.3770000000001,319139199,4139051148,1573.0469999999996,5593372473,791160024,1391.2259999999999,500543577,416649255,1894.505
108161118,-12.0608459,-77.034991,3,,,POINT (-77.03499100000001 -12.0608459),4849524621,3023386402,966.2809999999998,,,,4137695790,3023386397,672.6869999999999,437901909,416652548,869.005,319139199,4139051148,1706.6749999999995,5593372473,791160024,1524.8539999999998,500543577,416649255,2028.133
257946454,-12.076227,-77.0276061,4,,,POINT (-77.0276061 -12.076227),438007221,1273607335,1384.0259999999998,,,,5082616122,486243091,1942.242,396423128,416639179,890.2359999999999,4567986076,1658531432,82.184,5594752935,411809407,1357.4179999999997,435838258,408630283,2068.8599999999997
263106951,-12.0905292,-77.0227382,3,7,motorway_junction,POINT (-77.02273820000001 -12.0905292),5592508621,4003442657,145.63100000000003,,,,412486776,4139030403,4067.177,438009538,5874072955,1631.649,4138868505,3394793732,2188.84,317273484,411853569,1203.028,435838258,408630283,1114.145
263360959,-12.0760471,-77.0264758,3,,,POINT (-77.0264758 -12.0760471),438007221,1273607335,303.169,,,,412486776,4139030403,2274.459,396423128,416639179,608.1419999999999,4567986076,1658531432,335.821,5594724723,5491440835,454.494,435838258,408630283,773.82
316624781,-12.077586,-77.0102824,3,,,POINT (-77.01028239999999 -12.077586),1863374586,412185059,636.078,,,,412486776,4139030403,2946.6889999999994,447105219,821403058,1375.662,319126230,416139601,952.4549999999999,5597285620,416139846,456.052,435838258,408630283,2300.677
316624796,-12.0768144,-77.0104948,3,,,POINT (-77.0104948 -12.0768144),1863374586,412185059,532.921,,,,412486776,4139030403,2843.5319999999992,447105219,821403058,1272.505,319126230,416139601,849.298,5597285620,416139846,352.89500000000004,435838258,408630283,2197.5200000000004
316624803,-12.0781154,-77.0107659,3,,,POINT (-77.0107659 -12.0781154),1863374586,412185059,725.4019999999999,,,,412486776,4139030403,3036.013,447105219,821403058,1089.2520000000002,319126230,416139601,1041.779,5597285620,416139846,545.376,435838258,408630283,2390.0009999999997
316625006,-12.0792485,-77.0100192,3,,,POINT (-77.0100192 -12.0792485),1863374586,412185059,746.987,,,,412486776,4139030403,3780.5199999999995,447105219,821403058,937.5799999999999,319126230,416139601,1786.286,332363397,821403051,753.441,435838258,408630283,2390.204
316625017,-12.0834413,-77.0043907,3,,,POINT (-77.0043907 -12.0834413),4770473521,4356633427,201.42000000000002,,,,412486776,4139030403,4519.437000000001,447105219,821403058,119.79599999999999,4138868505,3394793732,1456.734,5597276786,821403051,471.31600000000003,435838258,408630283,2680.589000000001
316626840,-12.0729267,-77.0302939,3,,,POINT (-77.0302939 -12.0729267),438007221,1273607335,1056.359,,,,437496535,486243278,1604.2099999999998,396423128,416639179,562.569,4567986076,1658531432,647.703,470683204,5734541270,416.05500000000006,435838258,408630283,1741.193
316628698,-12.0635273,-76.9999111,4,,,POINT (-76.99991110000001 -12.0635273),4862900922,1658531369,943.203,,,,412486776,4139030403,4236.969999999998,436262219,1273471475,2141.6530000000002,318987726,5557614983,2375.549,5597270907,1757193713,1278.9199999999998,500543577,416649255,4091.9039999999986
316628701,-12.0678327,-76.9967256,3,,,POINT (-76.9967256 -12.0678327),4862900922,1658531369,,,,,412486776,4139030403,,153125092,471578135,,318987726,5557614983,,5597270907,1757193713,,500543577,416649255,
316629267,-12.0784213,-77.0224147,3,,,POINT (-77.0224147 -12.0784213),438007221,1273607335,933.2849999999999,,,,412486776,4139030403,2460.354,438009538,5874072955,366.74600000000004,4382537624,412189107,148.96800000000002,447103579,316629275,220.395,435838258,408630283,1006.4080000000001
316629275,-12.0771257,-77.0213332,3,,,POINT (-77.0213332 -12.0771257),437870155,412189215,525.681,,,,412486776,4139030403,2239.959,438009538,5874072955,552.283,4382537624,412189107,546.3,447103579,316629275,0.0,435838258,408630283,1072.89
316629276,-12.077021,-77.0213751,3,,,POINT (-77.0213751 -12.077021),437870155,412189215,513.179,,,,412486776,4139030403,2227.4569999999994,438009538,5874072955,539.781,4382537624,412189107,610.343,447103579,316629275,681.77,435838258,408630283,1060.388
316629278,-12.0766099,-77.0217328,3,,,POINT (-77.0217328 -12.0766099),438007221,1273607335,712.8190000000001,,,,412486776,4139030403,2166.7009999999996,438009538,5874072955,479.025,4382537624,412189107,549.587,447103579,316629275,621.014,435838258,408630283,999.6320000000001
316629281,-12.0765338,-77.0227527,3,,,POINT (-77.0227527 -12.0765338),438007221,1273607335,611.215,,,,412486776,4139030403,2575.377,438009538,5874072955,362.84399999999994,4382537624,412189107,433.406,447103579,316629275,504.83299999999997,435838258,408630283,883.451
316629287,-12.0776966,-77.0232869,3,,,POINT (-77.0232869 -12.0776966),438007221,1273607335,458.44100000000003,,,,412486776,4139030403,2422.603,438009538,5874072955,210.07,4382537624,412189107,280.632,5594724730,316629435,244.70499999999998,435838258,408630283,730.677
316629288,-12.0779007,-77.0231992,3,,,POINT (-77.02319919999999 -12.0779007),438007221,1273607335,751.992,,,,412486776,4139030403,2567.4009999999994,438009538,5874072955,185.453,4382537624,412189107,256.015,5594724730,316629435,538.2560000000001,435838258,408630283,825.115
316629414,-12.0786844,-77.0208352,3,,,POINT (-77.02083519999999 -12.0786844),437999912,411934842,554.414,,,,412486776,4139030403,2532.4199999999996,438009538,5874072955,236.67999999999998,4382537624,412189107,221.034,5594752925,316629414,0.0,435838258,408630283,876.342
316629416,-12.0783094,-77.0205807,3,,,POINT (-77.0205807 -12.0783094),437999912,411934842,604.617,,,,412486776,4139030403,2489.244,438009538,5874072955,286.88300000000004,4382537624,412189107,271.23699999999997,5594752925,316629414,50.202999999999996,435838258,408630283,926.5450000000001
316629417,-12.0780761,-77.0204768,3,,,POINT (-77.0204768 -12.0780761),437870155,412189215,803.331,,,,412486776,4139030403,2517.609,438009538,5874072955,315.24800000000005,4382537624,412189107,299.602,5594752925,316629414,78.568,435838258,408630283,954.9100000000001
316629418,-12.0777586,-77.0203928,3,,,POINT (-77.0203928 -12.0777586),437870155,412189215,696.408,,,,412486776,4139030403,2410.686,438009538,5874072955,351.815,4382537624,412189107,336.169,5594752925,316629414,115.13499999999999,435838258,408630283,991.4770000000001
316629422,-12.0762678,-77.0207806,3,,,POINT (-77.02078059999999 -12.0762678),437870155,412189215,291.123,,,,412486776,4139030403,2005.4009999999996,438009538,5874072955,528.375,4382537624,412189107,512.729,447103579,316629275,584.1560000000001,435838258,408630283,1168.0369999999998
316629427,-12.0756346,-77.0217106,3,,,POINT (-77.02171060000001 -12.0756346),4357764426,4357769361,359.62300000000005,,,,412486776,4139030403,2009.923,438009538,5874072955,641.8209999999999,4382537624,412189107,637.881,447103579,316629275,709.308,435838258,408630283,1162.4279999999999
316629435,-12.0767528,-77.0241049,3,,,POINT (-77.0241049 -12.0767528),438007221,1273607335,213.736,,,,412486776,4139030403,2177.898,438009538,5874072955,627.142,4382537624,412189107,697.7040000000001,5594724730,316629435,0.0,435838258,408630283,1147.749
316629436,-12.0772367,-77.0242201,3,,,POINT (-77.02422009999999 -12.0772367),438007221,1273607335,269.2,,,,412486776,4139030403,2233.3619999999996,438009538,5874072955,682.606,4382537624,412189107,753.168,5594724730,316629435,55.464,435838258,408630283,739.053
316629438,-12.0780291,-77.0241405,4,,,POINT (-77.0241405 -12.0780291),438007221,1273607335,358.533,,,,412486776,4139030403,2322.695,438009538,5874072955,622.788,4382537624,412189107,693.35,5594752933,316629439,336.906,435838258,408630283,630.769
316629439,-12.0782358,-77.0240569,4,,,POINT (-77.02405690000001 -12.0782358),438007221,1273607335,383.27000000000004,,,,412486776,4139030403,2347.4320000000002,438009538,5874072955,285.88199999999995,4382537624,412189107,356.44399999999996,5594752933,316629439,0.0,435838258,408630283,655.5060000000001
316629519,-12.075719,-77.0255829,4,,,POINT (-77.0255829 -12.075719),438007221,1273607335,199.45100000000002,,,,412486776,4139030403,2170.741,396423128,416639179,796.9849999999999,4567986076,1658531432,536.3960000000001,5594724723,5491440835,350.77600000000007,435838258,408630283,874.798
316629520,-12.0753751,-77.0246461,5,,traffic_signals,POINT (-77.0246461 -12.0753751),438007221,1273607335,90.647,,,,412486776,4139030403,2061.937,396423128,416639179,688.1809999999999,4382537624,412189107,773.3009999999999,5594724723,5491440835,241.972,435838258,408630283,1016.6930000000001
