osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
31035109,-12.0461328,-77.0431318,3,,,POINT (-77.0431318 -12.0461328),4387665379,525867127,170.847,3965041957,888357854,716.8570000000001,291986361,4387399442,316.077,4387948113,1273688754,391.451,319323286,2400498275,1109.8250000000003,5592843949,915282683,272.01300000000003,435835085,582805022,400.59700000000004
31035110,-12.0462855,-77.0431996,3,,,POINT (-77.04319959999999 -12.0462855),4387665379,525867127,258.331,3965041957,888357854,698.2600000000001,291986361,4387399442,403.56100000000004,4387948113,1273688754,478.93500000000006,319323286,2400498275,1091.228,5592843949,915282683,253.41600000000003,435835085,582805022,382.00000000000006
31035112,-12.0466129,-77.0431427,3,,,POINT (-77.0431427 -12.0466129),4387665379,525867127,420.784,3965041957,888357854,660.494,291986361,4387399442,566.014,4387948113,1273688754,641.388,319323286,2400498275,1053.4620000000002,5592843949,915282683,521.95,435835085,582805022,344.23400000000004
31035113,-12.0467044,-77.0430653,3,,,POINT (-77.04306529999999 -12.0467044),4387665379,525867127,407.58,3965041957,888357854,647.2900000000001,291986361,4387399442,552.81,4387948113,1273688754,628.184,319323286,2400498275,1040.2580000000003,5592843949,915282683,508.746,435835085,582805022,331.03000000000003
31035116,-12.046689,-77.0424409,3,,,POINT (-77.0424409 -12.046689),4387665379,525867127,332.624,3965041957,888357854,572.3340000000001,291986361,4387399442,477.85400000000004,435713427,310954409,284.73900000000003,319323286,2400498275,965.302,5592847192,310954409,284.73900000000003,435835085,582805022,256.074
31035117,-12.0465305,-77.0423388,3,,,POINT (-77.0423388 -12.0465305),4387665379,525867127,311.673,3965041957,888357854,833.595,291986361,4387399442,456.903,435713427,310954409,263.788,319323286,2400498275,944.351,5592847192,310954409,263.788,435835085,582805022,306.278
31035121,-12.0459674,-77.0426099,3,,,POINT (-77.0426099 -12.0459674),4387665379,525867127,234.94600000000003,3965041957,888357854,780.9560000000002,291986361,4387399442,380.17600000000004,435713427,310954409,443.428,319323286,2400498275,867.6239999999999,5592847192,310954409,443.428,435835085,582805022,464.6960000000001
31035123,-12.0457623,-77.042662,3,,,POINT (-77.04266200000001 -12.0457623),4387665379,525867127,789.027,3965041957,888357854,989.719,291986361,4387399442,934.2570000000001,4387948113,1273688754,1009.6310000000001,319323286,2400498275,844.1080000000001,5592847192,310954409,419.91200000000003,435835085,582805022,584.613
31035125,-12.0437377,-77.0426684,3,,,POINT (-77.0426684 -12.0437377),4336181401,31035131,115.3,3965041957,888357854,1092.368,291986361,4387399442,701.634,4387948113,1273688754,777.008,319323286,2400498275,611.485,485244265,888357911,656.43,435835085,582805022,687.262
31035127,-12.0432315,-77.0424705,3,,,POINT (-77.04247049999999 -12.0432315),4336181401,31035131,50.315000000000005,3965041957,888357854,1198.9489999999998,291986361,4387399442,636.6489999999999,4387948113,1273688754,712.0229999999999,319323286,2400498275,546.5000000000001,440417220,4271627272,889.375,435835085,582805022,882.6889999999999
31035129,-12.0429982,-77.0426481,3,,,POINT (-77.04264809999999 -12.0429982),4336181401,31035131,17.42,3965041957,888357854,1166.054,291986361,4387399442,603.7539999999999,4387948113,1273688754,679.1279999999999,745168932,4271627272,856.48,440417220,4271627272,856.48,435835085,582805022,849.794
31035131,-12.0429424,-77.0427972,3,,,POINT (-77.0427972 -12.0429424),4336181401,31035131,0.0,3965041957,888357854,1148.634,291986361,4387399442,586.3340000000001,4387948113,1273688754,661.7080000000001,745168932,4271627272,839.06,440417220,4271627272,839.06,435835085,582805022,832.3739999999999
31035133,-12.0430397,-77.0433456,3,,,POINT (-77.04334559999999 -12.0430397),4387423398,4387399390,30.118000000000002,3965041957,888357854,1087.021,291986361,4387399442,524.721,4387948113,1273688754,600.095,745168932,4271627272,777.4469999999999,440417220,4271627272,777.4469999999999,435835085,582805022,770.761
31035134,-12.0431226,-77.0434507,3,,,POINT (-77.04345069999999 -12.0431226),4387423398,4387399390,15.384,3965041957,888357854,1072.287,291986361,4387399442,509.987,4387948113,1273688754,585.361,745168932,4271627272,762.713,440417220,4271627272,762.713,435835085,582805022,756.027
31035137,-12.0437103,-77.0434077,3,,,POINT (-77.0434077 -12.0437103),4387423398,4387399390,290.715,3965041957,888357854,1001.6910000000001,291986361,4387399442,439.39099999999996,4387948113,1273688754,514.765,745168932,4271627272,1038.0439999999999,440417220,4271627272,1038.0439999999999,435835085,582805022,685.4309999999999
31035141,-12.0457816,-77.0429888,3,,,POINT (-77.0429888 -12.0457816),4387665379,525867127,213.347,3965041957,888357854,759.3570000000001,291986361,4387399442,358.577,4387948113,1273688754,433.951,319323286,2400498275,1152.3250000000003,5592843949,915282683,314.51300000000003,435835085,582805022,443.09700000000004
31035142,-12.0460926,-77.0431,3,,,POINT (-77.0431 -12.0460926),4387665379,525867127,176.499,3965041957,888357854,722.5090000000001,291986361,4387399442,321.72900000000004,4387948113,1273688754,397.10300000000007,319323286,2400498275,1115.477,5592843949,915282683,277.665,435835085,582805022,406.249
31035148,-12.0544607,-77.0419326,4,traffic_signals,,POINT (-77.0419326 -12.0544607),435542169,888212510,961.236,4119489600,316811913,1620.76,485244256,912508039,555.023,463340443,912507948,367.048,5207243821,107772858,1343.7150000000001,410087498,912508064,592.5640000000001,3964618845,411309442,1153.4360000000001
31035151,-12.0408145,-77.0431093,3,,,POINT (-77.0431093 -12.0408145),4336181401,31035131,,3965041957,888357854,,291986361,4387399442,,435182961,4331468672,,745168932,4271627272,,440417220,4271627272,,435835085,582805022,
31035152,-12.0405585,-77.0432097,3,,,POINT (-77.04320970000001 -12.0405585),4336181401,31035131,,3965041957,888357854,,291986361,4387399442,,529189296,915282117,,745168932,4271627272,,440417220,4271627272,,435835085,582805022,
31035172,-12.0501516,-77.0423158,4,,,POINT (-77.0423158 -12.0501516),4231023811,888357854,643.4,3965041957,888357854,643.4,485244256,912508039,74.05600000000001,463340443,912507948,378.56,5207243821,107772858,1355.227,5592967584,912508086,221.053,435835085,582805022,406.68600000000004
31036574,-12.0439302,-77.0509578,4,,,POINT (-77.05095780000001 -12.0439302),627394514,4331219910,424.27199999999993,3965041957,888357854,1854.131,291986361,4387399442,771.164,410710372,1617071953,287.59099999999995,441049944,3417654682,60.496,789698016,7383327403,561.716,410708877,915282391,491.237
31036580,-12.0454216,-77.0648719,4,,,POINT (-77.0648719 -12.0454216),435189148,1063807449,637.034,3965041957,888357854,3438.7709999999997,398850206,4015835902,1096.1999999999998,824273902,1063807434,691.339,319172987,3255826198,921.4169999999999,5577268347,1063807278,508.40900000000005,4431450131,4333981477,2227.38
31036582,-12.0443636,-77.0509814,4,,,POINT (-77.0509814 -12.0443636),627394514,4331219910,481.05799999999994,3965041957,888357854,1800.772,291986361,4387399442,717.8050000000001,410710372,1617071953,344.37699999999995,441049944,3417654682,7.137,789698016,7383327403,618.502,410708877,915282391,437.87800000000004
