osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
108064601,-12.089762,-77.0336238,3,,,POINT (-77.0336238 -12.089762),436465801,263113588,615.147,4469386913,108064629,1014.174,436278843,263122137,1289.192,401494450,263113593,427.06800000000004,319331711,263361200,1197.234,5594902748,108064601,0.0,4729605590,263121280,685.638
108064608,-12.0890129,-77.0337382,4,traffic_signals,,POINT (-77.0337382 -12.0890129),436465801,263113588,544.977,4469386913,108064629,929.9549999999999,436278843,263122137,1204.973,401494450,263113593,349.324,319331711,263361200,1127.064,435545283,263114120,25.976,4729605590,263121280,607.894
108064612,-12.0880707,-77.0338714,4,traffic_signals,,POINT (-77.0338714 -12.0880707),4359723599,108064618,200.973,4469386913,108064629,824.191,436278843,263122137,1099.209,401494450,263113593,243.56,319331711,263361200,1168.149,2090582890,3063475857,269.184,4729605590,263121280,502.13
108064614,-12.0869287,-77.0340469,4,traffic_signals,,POINT (-77.03404690000001 -12.0869287),4359723599,108064618,72.562,4469386913,108064629,695.78,436278843,263122137,970.798,401494450,263113593,115.149,319331711,263361200,1039.7379999999998,435544166,108064614,0.0,4729605590,263121280,373.719
108064618,-12.0862812,-77.0341299,3,,,POINT (-77.0341299 -12.0862812),4359723599,108064618,0.0,4469386913,108064629,623.218,436278843,263122137,898.2360000000001,401494450,263113593,361.943,319331711,263361200,967.8859999999999,435544142,108064619,69.42,4729605590,263121280,301.86699999999996
108064619,-12.0856638,-77.0342246,4,traffic_signals,,POINT (-77.0342246 -12.0856638),435544145,108064619,0.0,4469386913,108064629,553.798,436278843,263122137,828.816,401494450,263113593,292.523,319331711,263361200,902.034,435544142,108064619,0.0,4729605590,263121280,236.015
108064621,-12.0846015,-77.0343964,4,,,POINT (-77.03439640000001 -12.0846015),435544145,108064619,533.088,4469386913,108064629,434.20799999999997,436278843,263122137,709.2260000000001,401494450,263113593,665.931,319331711,263361200,782.4440000000001,5594888239,108064621,0.0,4729605590,263121280,116.425
108064624,-12.0834751,-77.0345384,4,traffic_signals,,POINT (-77.0345384 -12.0834751),4344769647,263357751,252.609,4469386913,108064629,308.00800000000004,436278843,263122137,583.0260000000001,401494450,263113593,539.731,319331711,263361200,929.0219999999999,5594888243,3063594984,144.71099999999998,4729605590,263121280,277.31399999999996
108064626,-12.0824198,-77.0346951,4,traffic_signals,,POINT (-77.03469509999999 -12.0824198),436479882,257946476,237.591,4469386913,108064629,189.433,436278843,263122137,699.334,401494450,263113593,657.611,319331711,263361200,1046.902,2090582876,257946473,407.77,4359109891,108171102,207.236
108064627,-12.0813527,-77.0348703,4,traffic_signals,,POINT (-77.03487029999999 -12.0813527),436479882,257946476,117.416,4469386913,108064629,69.25800000000001,436278843,263122137,956.987,401494450,263113593,915.8690000000001,319331711,263361200,1131.1319999999998,5594748631,257946476,117.416,4359109891,108171102,87.061
108064629,-12.0807339,-77.0349419,4,,,POINT (-77.03494190000001 -12.0807339),436479882,257946476,221.413,4469386913,108064629,0.0,436278843,263122137,887.7289999999999,401494450,263113593,846.6110000000001,319331711,263361200,1235.1290000000001,4359031393,108171102,17.802999999999997,4359109891,108171102,17.802999999999997
108064631,-12.0796548,-77.035109,4,traffic_signals,,POINT (-77.03510900000001 -12.0796548),436762700,263358646,923.764,4469386913,108064629,534.206,436278843,263122137,1421.935,401494450,263113593,1357.9489999999998,319331711,263361200,1317.8780000000002,4359031393,108171102,552.009,4359109891,108171102,552.009
108171101,-12.0796758,-77.0352657,4,traffic_signals,,POINT (-77.0352657 -12.0796758),436762700,263358646,493.193,4469386913,108064629,276.89,436278843,263122137,991.3639999999999,401494450,263113593,950.2460000000001,319331711,263361200,1335.084,4359031393,108171102,121.438,4359109891,108171102,121.438
108171102,-12.0807564,-77.035104,4,,,POINT (-77.035104 -12.0807564),436479882,257946476,203.61,4469386913,108064629,155.45200000000003,436278843,263122137,869.9259999999999,401494450,263113593,828.808,319331711,263361200,1217.326,4359031393,108171102,0.0,4359109891,108171102,0.0
