osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
31040052,-12.0085351,-77.0623032,3,,,POINT (-77.0623032 -12.0085351),4358104447,842907728,1322.507,,,,397720849,2182588123,4305.106,620987840,842910165,1049.343,70650385,842874702,2097.08,440260233,842923783,787.8639999999999,70650383,842885850,1717.7150000000001
31040301,-12.0053126,-77.0680348,3,,,POINT (-77.06803480000001 -12.0053126),4358063468,844413585,350.202,,,,397720849,2182588123,3575.4059999999995,620987840,842910165,704.2639999999999,70650385,842874702,1392.3049999999998,5577062648,842900918,618.2980000000001,70650383,842885850,1012.9399999999999
31044287,-12.0063933,-77.076958,3,,,POINT (-77.076958 -12.0063933),438038682,844413585,656.0620000000001,,,,397720849,2182588123,4287.0779999999995,816949410,1740887164,385.696,70650385,842874702,2164.417,5577050068,1740887156,144.81,70650383,842885850,1974.9300000000003
31044288,-12.0064267,-77.0758022,4,,,POINT (-77.0758022 -12.0064267),438038682,844413585,530.195,,,,397720849,2182588123,4161.210999999999,816949410,1740887164,409.59700000000004,70650385,842874702,2038.5499999999997,5577050068,1740887156,168.711,70650383,842885850,1849.0630000000003
31044289,-12.0064584,-77.0748232,3,,,POINT (-77.0748232 -12.0064584),438038682,844413585,423.629,,,,397720849,2182588123,4054.645,446415791,844456922,337.276,70650385,842874702,1931.984,5577086876,844456975,169.266,70650383,842885850,1742.497
31044752,-12.0066921,-77.0822932,4,,,POINT (-77.0822932 -12.0066921),438038682,844413585,1237.287,,,,397720849,2182588123,3716.1469999999995,816949410,1740887164,731.1690000000001,70650385,842874702,2745.642,5565214433,844463759,566.947,70650383,842885850,2556.1549999999997
31044753,-12.0065383,-77.0823271,4,,,POINT (-77.0823271 -12.0065383),438038682,844413585,3844.7010000000014,,,,397720849,2182588123,3698.6519999999996,816949410,1740887164,2907.693000000001,70650385,842874702,3612.2170000000006,5565208527,1359116493,2205.8190000000004,70650383,842885850,3975.735
31044758,-11.9960292,-77.0844524,4,,,POINT (-77.0844524 -11.9960292),6077884588,2477162001,1497.459,,,,699674838,843103652,2026.8120000000001,439602883,1359115433,974.7510000000002,70650385,842874702,2840.566,5565173271,1359115483,1229.482,816689154,842772263,2515.502
31044959,-11.9961987,-77.0844972,4,,,POINT (-77.0844972 -11.9961987),6077884588,2477162001,734.9639999999999,,,,699674838,843103652,2046.279,439602883,1359115433,138.154,70650385,842874702,2453.906,5565173271,1359115483,466.987,816689154,842772263,2238.05
31045172,-11.9781302,-77.0768009,4,,,POINT (-77.07680089999999 -11.9781302),517322277,1305701740,1070.554,,,,699674838,843103652,511.467,441664256,273425106,1274.5059999999999,319335083,1305382619,1034.8110000000004,5576292463,1305383127,290.174,590276717,273429597,4248.480000000001
31045173,-11.9780235,-77.0767769,4,,,POINT (-77.0767769 -11.9780235),517322277,1305701740,1058.406,,,,699674838,843103652,499.3190000000001,441664256,273425106,1262.3579999999997,319335083,1305382619,1022.6630000000002,5576292463,1305383127,278.026,590276717,273429597,4236.332
31045189,-11.9778197,-77.0776783,4,,,POINT (-77.0776783 -11.9778197),517322277,1305701740,957.7719999999999,,,,699674838,843103652,398.68500000000006,441664256,273425106,1388.1749999999997,319335083,1305382619,1148.4800000000002,5576292467,1305383723,661.948,590276717,273429597,4362.149000000001
31045190,-11.9779298,-77.0777069,4,,,POINT (-77.0777069 -11.9779298),517322277,1305701740,945.14,,,,699674838,843103652,386.053,441664256,273425106,1375.543,319335083,1305382619,1135.8480000000004,5576292467,1305383723,649.316,590276717,273429597,4349.517
31069242,-11.9838678,-77.0721677,4,traffic_signals,,POINT (-77.07216769999999 -11.9838678),4439657941,843092000,938.638,,,,397720849,2182588123,271.522,804781282,843006009,447.15299999999996,4394024182,273426339,1214.517,5576315077,1305826221,413.63800000000003,816689154,842772263,1556.6680000000001
31069245,-11.9784187,-77.0722424,4,,,POINT (-77.07224239999999 -11.9784187),517322277,1305701740,1559.721,,,,397720849,2182588123,367.04900000000004,441664256,273425106,930.6780000000001,4394024182,273426339,608.388,5576307557,1305383323,1039.269,590276717,273429597,4461.389999999999
31069246,-11.9752126,-77.0723124,3,,,POINT (-77.0723124 -11.9752126),517322277,1305701740,1840.875,,,,699674838,843103652,1075.1520000000003,441664256,273425106,574.0100000000001,4394024182,273426339,601.5699999999999,5574790551,1305383696,133.07,590276717,273429597,4104.722000000001
31069250,-11.9686084,-77.0716637,3,,,POINT (-77.0716637 -11.9686084),4422580277,5588932258,2782.0399999999995,,,,303538832,4375690414,4024.278,441664256,273425106,374.37800000000004,319335083,1305382619,1133.0140000000001,518381395,273425558,51.417,590276717,273429597,3622.365
31069252,-11.9671947,-77.0701263,3,,,POINT (-77.0701263 -11.9671947),4422580277,5588932258,2550.5049999999997,,,,303538832,4375690414,3792.743,441664256,273425106,790.0190000000001,319335083,1305382619,1312.4710000000002,5574789543,273424032,18.776,405584317,1296147796,3634.579
31069255,-11.966668,-77.0686907,3,,,POINT (-77.0686907 -11.966668),4422580277,5588932258,3147.629,,,,303538832,4375690414,4389.867,441664256,273425106,647.096,4394024182,273426339,1291.037,5574789543,273424032,615.9,405584317,1296147796,4231.7029999999995
31069256,-11.9665298,-77.0678214,3,,,POINT (-77.0678214 -11.9665298),4422580277,5588932258,4029.0170000000003,,,,303538832,4375690414,5271.255000000001,441664256,273425106,1013.4639999999998,4394024182,273426339,1276.4519999999998,441664271,273425719,1191.831,405584317,1296147796,5113.090999999999
31069258,-11.978542,-77.0722402,4,,,POINT (-77.0722402 -11.978542),517322277,1305701740,1573.433,,,,397720849,2182588123,380.761,441664256,273425106,944.3900000000001,4394024182,273426339,622.1,5576307557,1305383323,1052.981,590276717,273429597,4475.102000000001
31069275,-11.9785599,-77.0724144,4,,,POINT (-77.0724144 -11.9785599),517322277,1305701740,1592.4859999999999,,,,397720849,2182588123,335.5040000000001,441664256,273425106,963.4430000000001,4394024182,273426339,641.153,439023094,843103640,464.48300000000006,590276717,273429597,4494.155000000001
31069277,-11.9842337,-77.0721832,3,,,POINT (-77.0721832 -11.9842337),4439657941,843092000,842.186,,,,397720849,2182588123,921.342,804781282,843006009,350.70099999999996,4394024182,273426339,1864.3369999999998,5576315077,1305826221,317.18600000000004,816689154,842772263,1460.2160000000003
31069290,-11.9784461,-77.0724138,4,,,POINT (-77.07241380000001 -11.9784461),517322277,1305701740,1540.83,,,,397720849,2182588123,348.1580000000001,441664256,273425106,976.0970000000001,4394024182,273426339,653.807,439023094,843103640,477.13700000000006,590276717,273429597,4506.808999999999
31069291,-11.9663782,-77.0678479,3,,,POINT (-77.0678479 -11.9663782),4422580277,5588932258,2803.135,,,,303538832,4375690414,4045.3730000000005,441664256,273425106,760.971,4394024182,273426339,1292.072,5574789552,273423925,731.5840000000001,405584317,1296147796,3887.2090000000003
31072185,-11.976736,-77.0602415,4,,,POINT (-77.0602415 -11.976736),4422580277,5588932258,,,,,303538832,4375690414,,441664256,273425106,,4394024182,273426339,,5576323769,1305826469,,590276717,273429597,
31079485,-11.9720863,-77.0756536,4,,,POINT (-77.0756536 -11.9720863),5090368821,1305701692,1095.055,,,,699674838,843103652,1157.0449999999998,441664256,273425106,588.33,319335083,1305382619,348.635,438900861,1305383629,268.079,590276717,273429597,3562.304
31079697,-11.9966982,-77.0845664,3,,,POINT (-77.0845664 -11.9966982),6077884588,2477162001,771.7719999999999,,,,699674838,843103652,2102.6000000000004,439602883,1359115433,174.96200000000002,70650385,842874702,2490.714,5565173271,1359115483,503.795,816689154,842772263,2274.858
273349134,-11.9630065,-77.0684409,3,motorway_junction,20B,POINT (-77.0684409 -11.9630065),4422580277,5588932258,1694.2450000000003,,,,303538832,4375690414,2936.483,518443524,1162293817,2064.1540000000005,319335083,1305382619,1945.5570000000002,5574789552,273423925,1112.0400000000002,405584317,1296147796,2778.3190000000004
273349255,-11.9625256,-77.0677806,3,,,POINT (-77.06778060000001 -11.9625256),4422580277,5588932258,1221.344,,,,303538832,4375690414,2463.582,518443524,1162293817,1675.4470000000003,319335083,1305382619,2284.4580000000005,5574789552,273423925,2354.382,405584317,1296147796,2305.4180000000006
273349266,-11.9631369,-77.0682655,3,,,POINT (-77.0682655 -11.9631369),4422580277,5588932258,2585.0230000000006,,,,303538832,4375690414,3827.261000000001,518443524,1162293817,1466.9020000000003,319335083,1305382619,2075.9130000000005,5574789552,273423925,2145.837,405584317,1296147796,1952.45
273349444,-11.9621895,-77.0656819,3,,,POINT (-77.0656819 -11.9621895),4422580277,5588932258,990.0079999999999,,,,303538832,4375690414,2232.246,518443524,1162293817,1444.111,4394024182,273426339,2683.534,5574789552,273423925,2123.046,405584317,1296147796,3368.414
273350397,-11.9619571,-77.0685827,3,,,POINT (-77.06858269999999 -11.9619571),4422580277,5588932258,1811.96,,,,303538832,4375690414,3054.198,518443524,1162293817,2181.869,319335083,1305382619,2063.272,5574733711,273426570,1995.573,405584319,1296147360,1323.356
273350406,-11.9625778,-77.0689905,3,,,POINT (-77.0689905 -11.9625778),4422580277,5588932258,1981.623,,,,303538832,4375690414,3223.861,518443524,1162293817,863.5020000000001,319335083,1305382619,1472.5130000000004,3063637777,273426570,677.206,405584319,1296147360,1493.019
273403596,-11.9593416,-77.0730516,4,traffic_signals,,POINT (-77.0730516 -11.9593416),4368264304,1305383735,433.544,,,,303538832,4375690414,3469.9739999999997,518443524,1162293817,33.64,319335083,1305382619,1629.161,5574731536,1296961347,136.127,405584319,1296147360,1739.1319999999998
273403602,-11.963755,-77.071862,4,,,POINT (-77.071862 -11.963755),4422580277,5588932258,1708.911,,,,303538832,4375690414,2951.149,518443524,1162293817,589.474,319335083,1305382619,1130.1470000000002,5574734221,273426755,115.708,405584319,1296147360,1220.307
273403746,-11.9636934,-77.0717677,4,,,POINT (-77.0717677 -11.9636934),4422580277,5588932258,1721.246,,,,303538832,4375690414,2963.484,518443524,1162293817,533.471,319335083,1305382619,1142.4820000000002,5574734221,273426755,59.705,405584319,1296147360,1232.6419999999998
273405235,-11.963078,-77.0706978,3,,,POINT (-77.0706978 -11.963078),4422580277,5588932258,1786.6170000000002,,,,303538832,4375690414,3028.855,518443524,1162293817,668.496,319335083,1305382619,1277.507,3063637777,273426570,482.2,405584319,1296147360,1298.013
273405242,-11.9601143,-77.0688108,3,motorway_junction,19B,POINT (-77.06881079999999 -11.9601143),4422580277,5588932258,2018.4389999999999,,,,303538832,4375690414,3260.6769999999997,518443524,1162293817,1063.2999999999997,319335083,1305382619,1672.3110000000001,5574740129,5043677860,1711.3780000000002,405584319,1296147360,1529.835
273422993,-11.9718102,-77.0759738,4,,,POINT (-77.0759738 -11.9718102),5090368821,1305701692,1033.59,,,,699674838,843103652,1095.58,441664256,273425106,650.8240000000001,319335083,1305382619,287.17,438900861,1305383629,330.573,590276717,273429597,3624.7980000000007
273423255,-11.9719039,-77.0756148,4,,,POINT (-77.0756148 -11.9719039),5090368821,1305701692,1074.339,,,,699674838,843103652,1136.329,441664256,273425106,691.5730000000001,319335083,1305382619,327.919,438900861,1305383629,371.322,590276717,273429597,3541.5880000000006
