osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
316636969,-12.0187513,-76.9126505,3,,POINT (-76.9126505 -12.0187513),7866344385,6495432141,6694.0660000000025,,,,817718681,5494780799,22741.744,560086472,2145094020,1888.3029999999997,319336059,2974519502,3672.47,4556127591,5720811318,1489.8689999999997,4525513490,1273980357,2050.292
580654051,-11.9772453,-76.8907887,3,,POINT (-76.8907887 -11.9772453),7866344385,6495432141,8606.731,,,,817718681,5494780799,26158.652999999984,818142878,2979730322,1672.047,4526521090,1746019001,4317.834,5595313409,4751776801,2766.6639999999998,4525513490,1273980357,5436.029
580654061,-11.9831266,-76.8935326,3,,POINT (-76.8935326 -11.9831266),7866344385,6495432141,7884.994999999999,,,,817718681,5494780799,25436.91699999998,818142878,2979730322,950.3109999999999,4526521090,1746019001,3596.0979999999995,480857932,4286720241,951.318,4525513490,1273980357,4714.293
580654064,-11.9843584,-76.8937392,3,,POINT (-76.8937392 -11.9843584),7866344385,6495432141,7745.848999999998,,,,817718681,5494780799,25297.770999999986,818142878,2979730322,811.165,4526521090,1746019001,3456.9519999999998,4955205324,4738151312,669.1790000000001,4525513490,1273980357,4575.146999999999
580654075,-11.9902803,-76.9014084,3,,POINT (-76.90140839999999 -11.9902803),7866344385,6495432141,6739.5419999999995,,,,817718681,5494780799,24459.32099999999,818142878,2979730322,503.361,4526521090,1746019001,2450.6449999999995,4556007691,1746018988,305.784,4525513490,1273980357,3568.84
580654084,-11.9944503,-76.9045071,3,,POINT (-76.9045071 -11.9944503),7866344385,6495432141,6725.884999999998,,,,817718681,5494780799,23868.749999999993,818142878,2979730322,1093.9319999999998,4526521090,1746019001,2931.086,4556007691,1746018988,439.074,4525513490,1273980357,3355.8549999999996
580654099,-11.9989128,-76.9072411,3,,POINT (-76.90724109999999 -11.9989128),7866344385,6495432141,6248.878999999999,,,,817718681,5494780799,23232.032999999996,560086472,2145094020,1322.6000000000001,4526521090,1746019001,2488.7700000000004,480857899,1746019049,607.883,4525513490,1273980357,2878.849
580662366,-12.009916,-76.9051884,3,,POINT (-76.9051884 -12.009916),7866344385,6495432141,6087.554000000003,,,,817718681,5494780799,21821.430999999997,560086472,2145094020,89.621,4526521090,1746019001,2697.9950000000003,5596861294,1745790632,471.98900000000003,4525513490,1273980357,2199.483
580662382,-12.0086226,-76.9075606,3,,POINT (-76.9075606 -12.0086226),7866344385,6495432141,5791.720000000002,,,,817718681,5494780799,22117.265,560086472,2145094020,269.51599999999996,4526521090,1746019001,2731.1910000000003,5596861294,1745790632,651.884,4525513490,1273980357,1903.649
580662384,-12.0061065,-76.9124649,3,,POINT (-76.9124649 -12.0061065),7866344385,6495432141,5189.3960000000025,,,,817718681,5494780799,22719.588999999993,560086472,2145094020,871.84,4526521090,1746019001,2128.867,5596856763,826000494,976.6639999999999,4525513490,1273980357,1356.585
580662408,-12.0162373,-76.9122981,4,,POINT (-76.9122981 -12.0162373),7866344385,6495432141,6361.147000000003,,,,817718681,5494780799,22686.591999999997,560086472,2145094020,1555.3839999999998,4526521090,1746019001,3300.6180000000004,5596856763,826000494,1104.461,4525513490,1273980357,1717.373
580662409,-12.0138091,-76.9127224,3,,POINT (-76.91272240000001 -12.0138091),7866344385,6495432141,6087.228000000003,,,,817718681,5494780799,22874.996999999996,560086472,2145094020,1281.465,4526521090,1746019001,3026.6990000000005,5596856763,826000494,836.756,4525513490,1273980357,1449.6680000000001
580662410,-12.011343,-76.9131945,3,,POINT (-76.9131945 -12.011343),7866344385,6495432141,5808.244000000002,,,,817718681,5494780799,22850.229999999996,560086472,2145094020,1002.481,4526521090,1746019001,2747.715,5596856763,826000494,557.7719999999999,4525513490,1273980357,1170.6839999999997
825893863,-12.0191524,-76.9514144,3,,POINT (-76.9514144 -12.0191524),7866344385,6495432141,8425.808,,,,817718681,5494780799,27438.516999999993,513137787,1571276124,4525.772999999999,319336059,2974519502,2029.5640000000003,402039003,826000694,332.33500000000004,4525513490,1273980357,3832.045
825893885,-12.0157768,-76.9434764,4,,POINT (-76.94347639999999 -12.0157768),7866344385,6495432141,7215.495000000002,,,,817718681,5494780799,26820.58099999999,513137787,1571276124,3315.459999999999,319336059,2974519502,819.2509999999999,513990846,826000592,375.42,4525513490,1273980357,2799.6669999999995
825893894,-12.015713,-76.9502437,3,,POINT (-76.9502437 -12.015713),7866344385,6495432141,7951.533000000001,,,,817718681,5494780799,27556.61899999999,513137787,1571276124,4051.497999999999,319336059,2974519502,1555.289,402039003,826000694,187.537,4525513490,1273980357,3535.7049999999995
826000494,-12.0112499,-76.917498,3,,POINT (-76.91749799999999 -12.0112499),7866344385,6495432141,6034.715000000003,,,,817718681,5494780799,23408.001999999993,513137787,1571276124,2291.675,4526521090,1746019001,3044.4810000000007,5596856763,826000494,0.0,4525513490,1273980357,612.912
826000495,-12.0140255,-76.9169644,4,,POINT (-76.9169644 -12.0140255),7866344385,6495432141,6348.757000000002,,,,817718681,5494780799,23477.011,560086472,2145094020,1874.2949999999998,319336059,2974519502,2819.309,4556127591,5720811318,368.206,4525513490,1273980357,926.954
826000496,-12.0169956,-76.9164056,3,,POINT (-76.9164056 -12.0169956),7866344385,6495432141,6684.563000000003,,,,817718681,5494780799,23141.204999999994,560086472,2145094020,2009.9969999999996,319336059,2974519502,2981.5060000000003,4556127591,5720811318,702.337,4525513490,1273980357,1262.7599999999998
826000497,-12.0114939,-76.918774,3,,POINT (-76.918774 -12.0114939),7866344385,6495432141,5893.309000000002,,,,817718681,5494780799,23549.407999999996,513137787,1571276124,2150.2689999999993,319336059,2974519502,2536.9840000000004,5596856763,826000494,141.406,4525513490,1273980357,471.506
826000498,-12.0142739,-76.9182606,4,,POINT (-76.9182606 -12.0142739),7866344385,6495432141,6207.434000000003,,,,817718681,5494780799,23618.989999999998,513137787,1571276124,2464.394,319336059,2974519502,2675.655,4556127591,5720811318,224.55200000000002,4525513490,1273980357,785.631
826000501,-12.0066062,-76.9235126,4,,POINT (-76.9235126 -12.0066062),7866344385,6495432141,4652.006000000001,,,,817718681,5494780799,24348.380999999994,513137787,1571276124,751.9710000000001,4526521090,1746019001,2341.4040000000005,5596856770,2977777266,281.931,4525513490,1273980357,1861.1989999999998
826000506,-12.0031011,-76.9222803,3,,POINT (-76.9222803 -12.0031011),7866344385,6495432141,4365.781,,,,817718681,5494780799,23902.134,513137787,1571276124,465.746,4526521090,1746019001,1895.157,4556127593,826000506,0.0,4525513490,1273980357,1414.952
826000507,-12.0053522,-76.9224095,4,,POINT (-76.9224095 -12.0053522),7866344385,6495432141,4616.198000000001,,,,817718681,5494780799,24152.838999999993,513137787,1571276124,716.1630000000001,4526521090,1746019001,2145.8620000000005,5596856773,826000506,250.705,4525513490,1273980357,1665.657
826000514,-12.0081778,-76.9178299,3,,POINT (-76.9178299 -12.0081778),7866344385,6495432141,5214.342000000002,,,,817718681,5494780799,23431.734999999993,513137787,1571276124,1471.302,4526521090,1746019001,2224.108,5596856763,826000494,1225.088,4525513490,1273980357,644.4390000000001
826000517,-12.0071704,-76.9178728,3,,POINT (-76.9178728 -12.0071704),7866344385,6495432141,5101.869000000002,,,,817718681,5494780799,23482.522999999994,513137787,1571276124,1358.8289999999997,4526521090,1746019001,2111.635,5596856763,826000494,1275.876,4525513490,1273980357,756.912
826000520,-12.00408,-76.916291,4,,POINT (-76.916291 -12.00408),7866344385,6495432141,4716.165000000001,,,,817718681,5494780799,23192.819999999992,513137787,1571276124,973.125,4526521090,1746019001,1725.9309999999998,5596856773,826000506,709.314,4525513490,1273980357,1136.958
826000525,-12.0103186,-76.9086674,3,,POINT (-76.9086674 -12.0103186),7866344385,6495432141,6016.695000000002,,,,817718681,5494780799,22342.239999999998,560086472,2145094020,494.491,4526521090,1746019001,2956.1660000000006,5596861297,4773637201,833.862,4525513490,1273980357,1678.674
826000530,-12.0122564,-76.9071023,3,,POINT (-76.90710230000001 -12.0122564),7866344385,6495432141,6291.293000000002,,,,817718681,5494780799,22232.941999999995,560086472,2145094020,769.0889999999999,4526521090,1746019001,3230.764,5596861297,4773637201,559.264,4525513490,1273980357,1953.272
826000535,-12.0107311,-76.9147844,3,,POINT (-76.9147844 -12.0107311),7866344385,6495432141,5865.341000000002,,,,817718681,5494780799,23107.282999999996,560086472,2145094020,1259.5339999999999,4526521090,1746019001,2804.8120000000004,5596856763,826000494,300.719,4525513490,1273980357,913.631
826000536,-12.0164972,-76.9137087,3,,POINT (-76.9137087 -12.0164972),7866344385,6495432141,6517.089000000003,,,,817718681,5494780799,22842.704999999994,560086472,2145094020,1711.4969999999996,319336059,2974519502,3280.006,4556127591,5720811318,1000.837,4525513490,1273980357,1561.2599999999998
826000544,-12.0079249,-76.9135067,3,,POINT (-76.9135067 -12.0079249),7866344385,6495432141,5421.257000000002,,,,817718681,5494780799,22951.449999999997,560086472,2145094020,1103.701,4526521090,1746019001,2360.7280000000005,5596856763,826000494,744.803,4525513490,1273980357,1124.724
826000546,-12.0137816,-76.9156627,3,,POINT (-76.9156627 -12.0137816),7866344385,6495432141,6339.404000000003,,,,817718681,5494780799,23335.511999999995,560086472,2145094020,1733.5969999999998,319336059,2974519502,2963.456,5596856763,826000494,455.798,4525513490,1273980357,1068.71
826000558,-12.0113465,-76.9247113,3,,POINT (-76.9247113 -12.0113465),7866344385,6495432141,5700.776000000003,,,,817718681,5494780799,24299.886999999995,513137787,1571276124,1957.7359999999999,319336059,2974519502,1786.5049999999999,5596856770,2977777266,1817.2759999999996,4525513490,1273980357,278.973
826000561,-12.0110063,-76.9162236,3,,POINT (-76.9162236 -12.0110063),7866344385,6495432141,6024.833000000003,,,,817718681,5494780799,23266.774999999994,560086472,2145094020,1419.0259999999998,4526521090,1746019001,2964.3040000000005,5596856763,826000494,141.227,4525513490,1273980357,754.139
826000562,-12.0167579,-76.9151249,3,,POINT (-76.9151249 -12.0167579),7866344385,6495432141,6673.817000000003,,,,817718681,5494780799,22999.432999999997,560086472,2145094020,1868.2249999999997,319336059,2974519502,3123.2780000000002,4556127591,5720811318,844.1089999999999,4525513490,1273980357,1404.5319999999997
826000564,-12.007775,-76.920455,3,,POINT (-76.920455 -12.007775),7866344385,6495432141,5075.016000000002,,,,817718681,5494780799,23729.386999999995,513137787,1571276124,1331.9759999999999,4526521090,1746019001,2084.782,5596856773,826000506,1068.165,4525513490,1273980357,346.78700000000003
