osmid,y,x,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
182472515,-12.0935626,-77.0592528,traffic_signals,4,POINT (-77.0592528 -12.0935626),1429503107,4341839202,167.958,,,,39557243,263385999,1142.634,517112245,197681812,1698.6599999999999,319421589,263385663,1376.748,5592780861,263383752,492.271,436918516,263384064,441.28700000000003
197680544,-12.0970603,-77.0701982,,4,POINT (-77.07019819999999 -12.0970603),1863374664,316801728,435.448,,,,39557243,263385999,570.197,129898309,380936036,1176.584,319421589,263385663,342.23900000000003,435499356,605674532,523.929,4578574997,606182866,189.549
197680584,-12.0948728,-77.0763293,,4,POINT (-77.0763293 -12.0948728),1863374664,316801728,607.154,,,,39557243,263385999,1213.2050000000002,129898309,380936036,707.733,319421589,263385663,985.2470000000001,412574716,605674205,351.08000000000004,4578574997,606182866,892.7019999999999
197680585,-12.0952242,-77.0753134,,4,POINT (-77.0753134 -12.0952242),1863374664,316801728,489.982,,,,39557243,263385999,1096.033,129898309,380936036,590.5609999999999,319421589,263385663,868.0749999999999,446745080,605673950,241.285,4578574997,606182866,775.53
197680586,-12.0955964,-77.0743414,,4,POINT (-77.07434139999999 -12.0955964),1863374664,316801728,376.48400000000004,,,,39557243,263385999,982.5350000000001,129898309,380936036,839.5419999999999,319421589,263385663,754.577,446745080,605673950,127.787,4578574997,606182866,662.032
197680589,-12.0967246,-77.0711609,,3,POINT (-77.0711609 -12.0967246),1863374664,316801728,119.921,,,,39557243,263385999,681.3240000000001,129898309,380936036,1200.582,319421589,263385663,453.36600000000004,446745083,605674040,485.26300000000003,4578574997,606182866,299.979
197681807,-12.0901611,-77.0699324,,3,POINT (-77.0699324 -12.0901611),5503526821,605041158,286.96200000000005,,,,39557243,263385999,1077.966,517112245,197681812,400.86600000000004,4501494014,593898375,337.69,5588641457,308131937,134.263,4578574997,606182866,1173.963
197681809,-12.0901984,-77.0701368,,3,POINT (-77.0701368 -12.0901984),5503526821,605041158,263.834,,,,39557243,263385999,1054.838,517112245,197681812,377.738,4501494014,593898375,314.56199999999995,5588641457,308131937,111.13499999999999,4578574997,606182866,1150.8349999999998
197681810,-12.0903264,-77.0702431,,3,POINT (-77.0702431 -12.0903264),5503526821,605041158,245.27100000000002,,,,39557243,263385999,1036.275,517112245,197681812,545.102,4501494014,593898375,295.99899999999997,5588641457,308131937,92.572,4578574997,606182866,1132.272
197681811,-12.0900334,-77.0710648,,4,POINT (-77.0710648 -12.0900334),4230995990,197681813,1168.697,,,,39557243,263385999,1131.3719999999998,517112245,197681812,354.249,4501494014,593898375,391.09599999999995,5588641461,605673743,341.916,4578574997,606182866,1227.369
