osmid,y,x,highway,street_count,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
108018046,-12.1035557,-77.0315029,traffic_signals,4,,POINT (-77.03150290000001 -12.1035557),437679929,108018046,0.0,5527853721,259996518,3538.4269999999988,431593693,138851437,664.987,289487120,108177587,1853.231,319445359,262575175,1608.7509999999997,435553864,108172214,1020.4019999999999,2951179633,262572418,1034.425
108018049,-12.1033908,-77.0304618,traffic_signals,4,,POINT (-77.0304618 -12.1033908),3796312273,108018049,0.0,5527853721,259996518,3423.758999999999,431593693,138851437,550.319,289487120,108177587,1738.563,319445359,262575175,1494.0829999999996,435553864,108172214,905.7339999999999,2951179633,262572418,919.757
108018054,-12.1029558,-77.0276376,,4,,POINT (-77.02763760000001 -12.1029558),3796312273,108018049,733.191,5527853721,259996518,3498.839999999999,431593693,138851437,625.4,289487120,108177587,1813.644,319445359,262575175,1407.216,435553864,108172214,980.8149999999999,2951179633,262572418,994.838
108024258,-12.1068007,-77.0271372,,3,,POINT (-77.0271372 -12.1068007),3796312273,108018049,1954.223,5527853721,259996518,3341.4519999999993,431593693,138851437,1846.432,439911087,4081637700,1169.727,319445359,262575175,972.803,435555975,262572359,1653.0360000000003,2951179633,262572418,1064.5420000000001
108024270,-12.1094991,-77.0264293,motorway_junction,3,7,POINT (-77.0264293 -12.1094991),435672274,262572601,589.6030000000001,5527853721,259996518,3029.5060000000003,431592740,6128881830,623.0880000000001,439911087,4081637700,857.7810000000001,319445359,262575175,660.8570000000001,5594945686,262572729,1002.4820000000001,2951179633,262572418,752.596
108170873,-12.104541,-77.0314969,,4,,POINT (-77.03149689999999 -12.104541),437679929,108018046,125.494,5527853721,259996518,2983.0779999999995,431593693,138851437,132.303,289487120,108177587,1302.0670000000002,319445359,262575175,1428.1060000000002,435553864,108172214,254.92600000000002,2951179633,262572418,918.5250000000001
108170876,-12.1055956,-77.0313073,,3,,POINT (-77.03130729999999 -12.1055956),437679929,108018046,483.424,5527853721,259996518,2864.0129999999995,431593693,138851437,489.4359999999999,289487120,108177587,1183.002,319445359,262575175,1309.0410000000002,435553864,108172214,135.861,2951179633,262572418,799.46
108170878,-12.1066611,-77.0311196,traffic_signals,4,,POINT (-77.0311196 -12.1066611),2657104604,262570309,554.485,5527853721,259996518,2747.975,431593693,138851437,369.21299999999997,289487120,108177587,1062.7790000000002,319445359,262575175,1188.818,435553864,108172214,15.638000000000002,2951179633,262572418,679.237
108170879,-12.10774,-77.0309235,traffic_signals,4,,POINT (-77.0309235 -12.10774),2657104604,262570309,432.637,5527853721,259996518,2626.127,431593693,138851437,882.716,289487120,108177587,940.931,319445359,262575175,1066.97,435555975,262572359,484.20799999999997,2951179633,262572418,557.389
108170880,-12.1087999,-77.0307463,,3,,POINT (-77.0307463 -12.1087999),2657104604,262570309,747.517,5527853721,259996518,2674.9029999999993,431593693,138851437,776.131,289487120,108177587,821.5110000000001,319445359,262575175,947.55,435555975,262572359,364.788,2951179633,262572418,437.969
