osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
495229664,-12.2196291,-76.8729173,3,,POINT (-76.8729173 -12.2196291),7027424773,7012777560,15772.125999999998,,,,445599680,2886419238,1876.324,445592469,4429998473,1764.042,8547110884,1273456988,2159.229,849895986,495229955,786.9979999999999,12860594,914298430,2766.929
495229670,-12.2151855,-76.8701581,3,,POINT (-76.8701581 -12.2151855),7027424773,7012777560,15194.149,,,,445599680,2886419238,1298.347,445592469,4429998473,2177.813,8547110884,1273456988,2454.729,849895986,495229955,322.008,12860594,914298430,3180.7
495229955,-12.2169988,-76.8678479,3,,POINT (-76.8678479 -12.2169988),7027424773,7012777560,15465.468,,,,445599680,2886419238,1569.6659999999997,445592459,914292440,2005.1900000000003,8547110884,1273456988,2132.721,5256652139,495229955,0.0,12860594,914298430,2858.692
495229959,-12.2142879,-76.8712911,3,,POINT (-76.87129109999999 -12.2142879),7027424773,7012777560,15035.646,,,,445599680,2886419238,1139.844,445592469,4429998473,2336.316,8547110884,1273456988,2613.232,849895986,495229955,480.51099999999997,12860594,914298430,3339.203
495232557,-12.1703671,-76.8638438,3,,POINT (-76.8638438 -12.1703671),7027424773,7012777560,9195.737,,,,445599680,2886419238,6262.039,622497745,4972344378,2785.3339999999994,622552389,4972344419,2747.596,622541294,8014465924,2081.3640000000005,12860594,914298430,8883.401
495232563,-12.1628969,-76.8663873,4,,POINT (-76.8663873 -12.1628969),7027424773,7012777560,8320.194,,,,445599680,2886419238,7159.246999999999,622497745,4972344378,1909.791,622552389,4972344419,1872.053,622541294,8014465924,1205.8210000000001,12860594,914298430,9780.609000000002
495232569,-12.1495349,-76.8710177,4,,POINT (-76.8710177 -12.1495349),7027424773,7012777560,6751.364999999998,,,,445599680,2886419238,8726.557000000003,622497745,4972344378,365.546,622552389,4972344419,721.412,5258296329,8759044509,408.508,12860594,914298430,11347.919000000005
495232578,-12.1246545,-76.8721112,3,,POINT (-76.87211120000001 -12.1246545),7027424773,7012777560,3979.1929999999998,,,,445599680,2886419238,11509.101999999999,551941953,1273714020,407.981,319473763,3258899654,1152.0620000000001,5596857872,5323027868,322.719,12860594,914298430,14130.464
914286105,-12.2194202,-76.845538,3,,POINT (-76.845538 -12.2194202),7027424773,7012777560,17792.480999999996,,,,445599680,2886419238,4882.016999999999,445592459,914292440,1949.2940000000006,8547110884,1273456988,1835.5840000000003,5593378834,914288298,2254.925,12860594,914298430,3071.52
914286110,-12.2193573,-76.8448299,3,,POINT (-76.84482989999999 -12.2193573),7027424773,7012777560,17870.370999999996,,,,445599680,2886419238,4959.906999999999,445592459,914292440,2027.1840000000004,8547110884,1273456988,1913.4740000000002,5593378834,914288298,2332.815,12860594,914298430,3149.41
914286184,-12.2131497,-76.8263334,3,,POINT (-76.8263334 -12.2131497),7027424773,7012777560,17403.288999999997,,,,445599680,2886419238,7514.463000000001,445592459,914292440,6054.844999999998,8547110884,1273456988,6114.184,5593378834,914288298,3995.904,12860594,914298430,7391.964999999999
914286186,-12.2119392,-76.8248099,3,,POINT (-76.82480990000001 -12.2119392),7027424773,7012777560,17616.806999999997,,,,445599680,2886419238,7727.981,445592459,914292440,6268.362999999999,8547110884,1273456988,6327.702000000001,5593378834,914288298,4209.4220000000005,12860594,914298430,7605.483
914286586,-12.2213,-76.847824,4,,POINT (-76.847824 -12.2213),7027424773,7012777560,17462.073999999997,,,,445599680,2886419238,4551.61,445592459,914292440,1618.8870000000004,8547110884,1273456988,1505.1770000000001,5593378834,914288298,1924.518,12860594,914298430,2741.1130000000003
914286802,-12.2228961,-76.8464199,3,,POINT (-76.8464199 -12.2228961),7027424773,7012777560,17689.379999999994,,,,445599680,2886419238,4778.915999999999,445592459,914292440,1846.1930000000004,8547110884,1273456988,1732.4830000000002,5593378834,914288298,2151.824,12860594,914298430,2968.419
914286804,-12.2222984,-76.8491685,4,,POINT (-76.8491685 -12.2222984),7027424773,7012777560,17278.57,,,,445599680,2886419238,4368.106,445592459,914292440,1435.383,8547110884,1273456988,1321.673,5593378834,914288298,1741.014,12860594,914298430,2557.6090000000004
914286892,-12.2241492,-76.8453479,3,,POINT (-76.84534789999999 -12.2241492),7027424773,7012777560,17860.082999999995,,,,445599680,2886419238,4949.618999999999,445592459,914292440,2016.8960000000004,8547110884,1273456988,1903.1860000000001,5593378834,914288298,2322.527,12860594,914298430,3139.122
914286893,-12.2233195,-76.8481774,4,,POINT (-76.8481774 -12.2233195),7027424773,7012777560,17435.071,,,,445599680,2886419238,4524.607,445592459,914292440,1591.8840000000002,8547110884,1273456988,1478.174,5593378834,914288298,1897.5149999999999,12860594,914298430,2714.11
914286894,-12.2244114,-76.849572,1,,POINT (-76.84957199999999 -12.2244114),7027424773,7012777560,17347.036,,,,445599680,2886419238,4436.572,445592459,914292440,1503.8490000000002,8547110884,1273456988,1390.1390000000001,445592453,914293237,1578.04,12860594,914298430,2626.0750000000003
914286986,-12.224305,-76.8461064,3,,POINT (-76.8461064 -12.224305),7027424773,7012777560,17751.209999999995,,,,445599680,2886419238,4840.745999999999,445592459,914292440,1908.0230000000004,8547110884,1273456988,1794.313,5593378834,914288298,2213.654,12860594,914298430,3030.249
914286987,-12.2255749,-76.8478037,3,,POINT (-76.8478037 -12.2255749),7027424773,7012777560,17520.17,,,,445599680,2886419238,4609.706,445592459,914292440,1676.9830000000004,8547110884,1273456988,1563.2730000000001,445592453,914293237,1751.174,12860594,914298430,2799.2090000000003
914286990,-12.2241361,-76.8492205,4,,POINT (-76.8492205 -12.2241361),7027424773,7012777560,17298.085,,,,445599680,2886419238,4387.621,445592459,914292440,1454.8980000000001,8547110884,1273456988,1341.188,445592453,914293237,1529.089,12860594,914298430,2577.1240000000003
914286991,-12.2230599,-76.8502116,3,,POINT (-76.85021159999999 -12.2230599),7027424773,7012777560,17137.077999999998,,,,445599680,2886419238,4226.614,445592459,914292440,1293.891,8547110884,1273456988,1180.181,445592453,914293237,1368.0819999999999,12860594,914298430,2416.117
914287166,-12.2217769,-76.8474628,3,,POINT (-76.8474628 -12.2217769),7027424773,7012777560,17521.1,,,,445599680,2886419238,4610.6359999999995,445592459,914292440,1677.9130000000002,8547110884,1273456988,1564.203,5593378834,914288298,1983.5439999999999,12860594,914298430,2800.139
914287168,-12.2227367,-76.8487431,3,,POINT (-76.84874309999999 -12.2227367),7027424773,7012777560,17345.745,,,,445599680,2886419238,4435.281,445592459,914292440,1502.5580000000002,8547110884,1273456988,1388.8480000000002,5593378834,914288298,1808.1889999999999,12860594,914298430,2624.7840000000006
914287338,-12.2236242,-76.8497006,3,,POINT (-76.84970060000001 -12.2236242),7027424773,7012777560,17220.87,,,,445599680,2886419238,4310.405999999999,445592459,914292440,1377.6830000000002,8547110884,1273456988,1263.973,445592453,914293237,1451.8739999999998,12860594,914298430,2499.909
914288041,-12.2114555,-76.851562,3,,POINT (-76.851562 -12.2114555),7027424773,7012777560,15477.605000000001,,,,445599680,2886419238,4051.527,445592459,914292440,2135.052,8547110884,1273456988,2194.3910000000005,5593378834,914288298,236.101,12860594,914298430,3472.1720000000005
914288043,-12.2124157,-76.8525546,3,,POINT (-76.8525546 -12.2124157),7027424773,7012777560,15630.109,,,,445599680,2886419238,4023.4790000000003,445592459,914292440,1982.548,8547110884,1273456988,2041.887,5593378834,914288298,388.60499999999996,12860594,914298430,3319.6679999999997
914288060,-12.2196614,-76.8532949,4,,POINT (-76.85329489999999 -12.2196614),7027424773,7012777560,16467.365999999998,,,,445599680,2886419238,3556.902,445592459,914292440,1162.073,8547110884,1273456988,1204.6299999999999,5593378834,914288298,929.8100000000002,12860594,914298430,2482.411
914288066,-12.221489,-76.854023,4,,POINT (-76.854023 -12.221489),7027424773,7012777560,16685.448,,,,445599680,2886419238,3737.335,445592459,914292440,943.991,8547110884,1273456988,986.548,445592453,914293237,1174.449,12860594,914298430,2264.329
914288072,-12.2230804,-76.855627,3,,POINT (-76.855627 -12.2230804),7027424773,7012777560,16937.701999999997,,,,445599680,2886419238,3722.3950000000004,445592459,914292440,691.7370000000001,8547110884,1273456988,734.294,445592453,914293237,922.1949999999999,12860594,914298430,2012.0750000000003
914288298,-12.2130529,-76.8501311,3,,POINT (-76.8501311 -12.2130529),7027424773,7012777560,15553.716,,,,445599680,2886419238,4244.200999999999,445592459,914292440,2075.1009999999997,8547110884,1273456988,2134.44,5593378834,914288298,0.0,12860594,914298430,3412.221
914288305,-12.2093118,-76.8531233,4,,POINT (-76.85312329999999 -12.2093118),7027424773,7012777560,15199.554,,,,445599680,2886419238,3754.463,445592459,914292440,2432.116,8547110884,1273456988,2491.4550000000004,5593378834,914288298,533.165,12860594,914298430,3769.2360000000003
