osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
289316629,-12.1594553,-76.9587171,4,,,POINT (-76.9587171 -12.1594553),7027431811,1713766835,680.8050000000001,,,,160691934,1753049958,382.098,437493942,4296962146,641.706,437657902,1727291689,1344.375,5597225852,1712297552,375.95200000000006,512632035,4203543293,2487.8450000000003
289316631,-12.1597604,-76.9579805,4,,,POINT (-76.95798050000001 -12.1597604),7027431811,1713766835,830.4950000000001,,,,160691934,1753049958,295.619,437493942,4296962146,791.3959999999998,437657902,1727291689,1264.8500000000001,5597225852,1712297552,385.734,512632035,4203543293,2497.6270000000004
289316704,-12.1499083,-76.9828261,3,,,POINT (-76.9828261 -12.1499083),4030079141,3225907888,1225.309,,,,437642241,5502363634,2639.1489999999994,551272245,1412832156,373.308,4702824089,5309130922,742.431,5597259454,1781236632,674.8040000000001,512632035,4203543293,2084.2490000000003
289317004,-12.1500211,-76.9821113,3,,,POINT (-76.9821113 -12.1500211),4030079141,3225907888,,,,,437642241,5502363634,,551272245,1412832156,,4702824089,5309130922,,5597275166,1410761901,,512632035,4203543293,
289317063,-12.1503031,-76.9818856,3,,,POINT (-76.9818856 -12.1503031),4030079141,3225907888,1114.042,,,,437642241,5502363634,2527.881999999999,551272245,1412832156,262.041,4702824089,5309130922,631.164,5597275166,1410761901,590.4609999999999,512632035,4203543293,1972.9819999999997
289317491,-12.1505263,-76.9799362,3,,,POINT (-76.9799362 -12.1505263),4030079141,3225907888,530.231,,,,437642241,5502363634,3013.2509999999997,551272245,1412832156,1610.8429999999998,4702824089,5309130922,47.352999999999994,5597275166,1410761901,306.152,512632035,4203543293,1770.107
289317998,-12.1497902,-76.9826604,3,,,POINT (-76.9826604 -12.1497902),4030079141,3225907888,,,,,437642241,5502363634,,551272245,1412832156,,4702824089,5309130922,,5597259454,1781236632,,512632035,4203543293,
310955535,-12.1674643,-76.9787405,3,,,POINT (-76.9787405 -12.1674643),437685582,1273788547,1138.283,,,,437642241,5502363634,1680.4159999999997,437631840,7949063761,1089.595,446436988,4241991224,1275.8999999999999,5597250679,1273697148,54.972,512632035,4203543293,3379.0760000000005
310955629,-12.166909,-76.9783026,4,traffic_signals,,POINT (-76.97830260000001 -12.166909),437685582,1273788547,418.173,,,,437642241,5502363634,1257.0159999999998,437631840,7949063761,369.485,446436988,4241991224,577.504,5597250679,1273697148,214.696,512632035,4203543293,2955.676000000001
310955637,-12.1646939,-76.9692718,4,traffic_signals,,POINT (-76.9692718 -12.1646939),437680731,4194419123,460.8209999999999,,,,437642241,5502363634,255.073,424827882,1781248608,794.681,319630723,1273841860,584.7209999999999,5597242123,1273785394,180.33599999999998,512632035,4203543293,2663.741000000001
310955672,-12.1646062,-76.9691714,3,traffic_signals,,POINT (-76.96917139999999 -12.1646062),437680731,4194419123,440.8949999999999,,,,437642241,5502363634,235.14700000000002,424827882,1781248608,774.7550000000001,319630723,1273841860,605.102,437627036,1573383232,416.167,512632035,4203543293,2643.8150000000005
310955676,-12.1652032,-76.9726322,4,,,POINT (-76.97263220000001 -12.1652032),437680731,4194419123,56.388999999999996,,,,437642241,5502363634,597.26,437631840,7949063761,397.82800000000003,446436988,4241991224,205.54500000000002,437796574,4088749581,280.09099999999995,512632035,4203543293,2295.9200000000005
310955677,-12.1652226,-76.9727187,4,,,POINT (-76.9727187 -12.1652226),437680731,4194419123,46.742,,,,437642241,5502363634,627.408,437631840,7949063761,388.181,446436988,4241991224,195.898,437796574,4088749581,270.44399999999996,512632035,4203543293,2326.0680000000007
310955681,-12.1665902,-76.9781547,4,traffic_signals,,POINT (-76.9781547 -12.1665902),437685582,1273788547,462.09200000000004,,,,437642241,5502363634,1223.0359999999998,437631840,7949063761,413.40400000000005,446436988,4241991224,621.4230000000001,5597250679,1273697148,172.003,512632035,4203543293,2921.696000000001
310955683,-12.166778,-76.9783375,4,traffic_signals,,POINT (-76.97833749999999 -12.166778),437685582,1273788547,433.22499999999997,,,,437642241,5502363634,1272.0679999999998,437631840,7949063761,384.537,446436988,4241991224,592.556,5597250679,1273697148,143.136,512632035,4203543293,2970.7280000000005
310955684,-12.167022,-76.978509,3,,,POINT (-76.978509 -12.167022),437685582,1273788547,942.4090000000001,,,,437642241,5502363634,1484.542,437631840,7949063761,893.721,446436988,4241991224,1080.026,5597250679,1273697148,110.217,512632035,4203543293,3183.2020000000007
310955728,-12.1678577,-76.9794149,3,,,POINT (-76.97941489999999 -12.1678577),437685582,1273788547,1139.942,,,,437642241,5502363634,1682.0749999999998,437631840,7949063761,1091.2540000000001,446436988,4241991224,1277.559,5597250679,1273697148,313.56899999999996,512632035,4203543293,3380.7350000000006
310955732,-12.1672883,-76.9801472,3,,,POINT (-76.9801472 -12.1672883),437685582,1273788547,3289.789,,,,437642241,5502363634,3831.9220000000005,437631840,7949063761,3241.101,446436988,4241991224,3427.4060000000004,5597250679,1273697148,2935.999999999999,512632035,4203543293,4091.4380000000006
310955747,-12.1682004,-76.9798629,3,motorway_junction,12D,POINT (-76.9798629 -12.1682004),437685582,1273788547,3395.8140000000003,,,,437642241,5502363634,3937.9470000000006,437631840,7949063761,3347.126,446436988,4241991224,3533.4310000000005,5597250679,1273697148,3042.0249999999987,512632035,4203543293,4197.463000000001
310955776,-12.1684825,-76.9792977,3,,,POINT (-76.9792977 -12.1684825),437685582,1273788547,,,,,437642241,5502363634,,437631840,7949063761,,446436988,4241991224,,5597250679,1273697148,,512632035,4203543293,
