osmid,y,x,highway,street_count,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
31035249,-12.0374095,-77.0437095,traffic_signals,3,,POINT (-77.04370950000001 -12.0374095),4422152801,827029815,,465071802,1842073829,,307664865,3128682676,,796481874,3952129753,,307350814,4617934675,,444774854,827096058,,68872592,827065984,
31035273,-12.0370037,-77.0437593,,3,,POINT (-77.0437593 -12.0370037),4422152801,827029815,,465071802,1842073829,,307664865,3128682676,,396972138,827106688,,307350814,4617934675,,444774854,827096058,,68872592,827065984,
31035282,-12.0365029,-77.0443139,,3,,POINT (-77.04431390000001 -12.0365029),4422152801,827029815,,465071802,1842073829,,307664865,3128682676,,796481874,3952129753,,307350814,4617934675,,444774854,827096058,,68872592,827065984,
31035304,-12.0361043,-77.0445365,motorway_junction,4,10B,POINT (-77.04453650000001 -12.0361043),4422152801,827029815,1824.919,465071802,1842073829,3494.5600000000004,307664865,3128682676,2291.3960000000006,796481874,3952129753,431.644,307350814,4617934675,2262.9130000000005,444774854,827096058,845.4540000000001,68872592,827065984,2382.9260000000004
31035305,-12.0360804,-77.0449411,,3,,POINT (-77.0449411 -12.0360804),4422152801,827029815,1886.2140000000004,465071802,1842073829,3453.2420000000006,307664865,3128682676,2343.401,796481874,3952129753,1632.8460000000002,307350814,4617934675,2221.5950000000003,444774854,827096058,1839.6480000000001,68872592,827065984,2341.608
31035313,-12.0357112,-77.0438579,,3,,POINT (-77.04385790000001 -12.0357112),4422152801,827029815,,465071802,1842073829,,307664865,3128682676,,396972138,827106688,,307350814,4617934675,,444774854,827096058,,68872592,827065984,
31035344,-12.0349947,-77.0438989,,3,,POINT (-77.0438989 -12.0349947),4422152801,827029815,1902.016,465071802,1842073829,3571.6570000000006,307664865,3128682676,2368.4930000000004,396972138,827106688,795.1669999999999,307350814,4617934675,2340.01,444774854,827096058,922.5509999999999,68872592,827065984,2460.023
31035346,-12.0356853,-77.0459032,,3,,POINT (-77.0459032 -12.0356853),4422152801,827029815,1669.1580000000001,465071802,1842073829,3338.7990000000004,307664865,3128682676,2135.635,796481874,3952129753,275.88300000000004,307350814,4617934675,2107.1520000000005,4133987790,4388633623,2664.3820000000005,68872592,827065984,2227.1650000000004
31035457,-12.0376028,-77.044098,,4,,POINT (-77.04409800000001 -12.0376028),4422152801,827029815,,465071802,1842073829,,307664865,3128682676,,796481874,3952129753,,307350814,4617934675,,4133987790,4388633623,,68872592,827065984,
31035569,-12.0233656,-77.0501205,,4,,POINT (-77.05012050000001 -12.0233656),4422152801,827029815,389.592,465071802,1842073829,2833.904,307664865,3128682676,647.455,796470799,3128682677,731.067,307350814,4617934675,831.293,5577194632,31035569,0.0,68872592,827065984,1252.3600000000001
