osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
197681816,-12.0895309,-77.0754658,3,,POINT (-77.0754658 -12.0895309),7394061085,607236133,2003.609,,,,866156340,548736229,1080.204,446738378,4331243722,2182.8750000000005,319645366,257943471,1906.3760000000002,436435524,606937065,328.953,4456823291,589642541,3110.361
197681818,-12.0905283,-77.0758455,4,,POINT (-77.0758455 -12.0905283),7394061085,607236133,2121.95,,,,866156340,548736229,1198.5449999999998,446738378,4331243722,2301.2160000000003,319645366,257943471,2024.717,436435524,606937065,447.294,4456823291,589642541,3228.702
197681823,-12.0944951,-77.0773215,3,,POINT (-77.0773215 -12.0944951),7394061085,607236133,,,,,866156340,548736229,,446738378,4331243722,,319645366,257943471,,5597317799,606937040,,4456823291,589642541,
257943466,-12.0907689,-77.0852434,3,,POINT (-77.0852434 -12.0907689),7394061085,607236133,1690.875,,,,866156340,548736229,1143.86,446738378,4331243722,967.0930000000001,319645366,257943471,690.594,4614789890,606936978,434.126,418674556,746787178,2655.561000000001
257943470,-12.0898009,-77.0874602,3,,POINT (-77.0874602 -12.0898009),7394061085,607236133,1427.623,,,,866156340,548736229,1411.17,446738378,4331243722,642.9550000000002,319645366,257943471,366.456,5567162826,607235614,198.76600000000002,418674556,746787178,2332.1570000000006
257943471,-12.0897273,-77.0878354,3,,POINT (-77.0878354 -12.0897273),7394061085,607236133,1469.232,,,,866156340,548736229,1452.779,446738378,4331243722,684.5640000000001,319645366,257943471,0.0,5567162826,607235614,240.375,418674556,746787178,2373.7660000000005
257943482,-12.0869617,-77.0935035,3,,POINT (-77.0935035 -12.0869617),436455860,331597623,1442.331,,,,866156340,548736229,2133.9129999999996,446738378,4331243722,488.806,319645366,257943471,692.6889999999999,5563069765,607232989,390.59299999999996,418674556,746787178,1600.74
257943483,-12.0860982,-77.0953946,5,traffic_signals,POINT (-77.09539460000001 -12.0860982),436455860,331597623,1199.347,,,,866156340,548736229,2360.281,446736754,607233344,547.5649999999999,319645366,257943471,920.079,5563069765,607232989,616.961,418674556,746787178,1357.756
257943488,-12.0763946,-77.0994245,4,,POINT (-77.0994245 -12.0763946),435840721,4346609885,989.8059999999999,,,,780622087,1368361983,2057.2870000000003,628151964,746787190,1032.6229999999998,319641192,317337756,1839.8379999999995,5563055040,608421673,89.62100000000001,418674556,746787178,1037.8529999999998
257946384,-12.0897611,-77.0842682,4,traffic_signals,POINT (-77.0842682 -12.0897611),7394061085,607236133,1525.5190000000002,,,,866156340,548736229,978.5039999999999,446738378,4331243722,801.7370000000001,319645366,257943471,525.238,4614789890,606936978,268.77,418674556,746787178,2490.2050000000004
