osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
1044542967,-11.7881673,-77.1576417,3,,POINT (-77.1576417 -11.7881673),,,,,,,,,,933034538,1756308354,2818.8940000000007,319712425,5030941978,1322.169,5064983888,2416609870,408.121,,,
1273453443,-11.7996776,-77.1722554,3,,POINT (-77.1722554 -11.7996776),,,,,,,,,,933034538,1756308354,1972.62,319712446,1756308190,417.057,5567210071,1273895264,337.67500000000007,,,
1273463132,-11.8031943,-77.1442031,4,,POINT (-77.1442031 -11.8031943),,,,,,,,,,933034538,1756308354,3607.3659999999995,319712425,5030941978,7254.090000000001,516498231,1756299363,312.127,,,
1273472842,-11.7878743,-77.1551311,4,,POINT (-77.15513110000001 -11.7878743),,,,,,,,,,933034538,1756308354,3050.8030000000003,319712425,5030941978,1042.0109999999997,5567212049,5041779818,229.371,,,
1273473777,-11.801765,-77.1429317,4,,POINT (-77.14293170000001 -11.801765),,,,,,,,,,933034538,1756308354,3818.1119999999996,4396290287,5030941978,7464.836000000001,516498231,1756299363,102.923,,,
1273499296,-11.7900467,-77.1542267,3,,POINT (-77.1542267 -11.7900467),,,,,,,,,,933034538,1756308354,2911.6510000000007,319712425,5030941978,821.802,5567212049,5041779818,116.47300000000001,,,
1273499481,-11.7835252,-77.1566031,3,,POINT (-77.1566031 -11.7835252),,,,,,,,,,933034538,1756308354,3530.062000000001,319712425,5030941978,1725.7110000000002,5567212048,5041779805,192.496,,,
1273519012,-11.7870628,-77.1537137,4,,POINT (-77.1537137 -11.7870628),,,,,,,,,,933034538,1756308354,3273.8260000000005,319712425,5030941978,1029.5469999999998,5567212049,5041779818,346.36400000000003,,,
1273524134,-11.7985306,-77.163513,3,,POINT (-77.16351299999999 -11.7985306),,,,,,,,,,933034538,1756308354,2034.777,319712446,1756308190,1357.444,5567431239,1756308371,2461.6960000000004,,,
1273536460,-11.7998645,-77.141887,3,,POINT (-77.141887 -11.7998645),,,,,,,,,,933034538,1756308354,4105.763,4396290287,5030941978,7752.487000000001,516498231,1756299363,390.574,,,
1273566037,-11.7825699,-77.1597243,4,,POINT (-77.15972429999999 -11.7825699),,,,,,,,,,933034538,1756308354,3689.790000000001,319712425,5030941978,1885.439,516489949,5041826370,125.935,,,
1273609004,-11.7832615,-77.1587922,4,,POINT (-77.15879219999999 -11.7832615),,,,,,,,,,933034538,1756308354,3580.3070000000007,319712425,5030941978,1775.9560000000001,516489949,5041826370,16.451999999999998,,,
1273615441,-11.7957287,-77.1740709,3,,POINT (-77.1740709 -11.7957287),,,,,,,,,,933034538,1756308354,1919.828,319712446,1756308190,364.26500000000004,5567210070,1273895264,189.93200000000002,,,
1273625959,-11.8002528,-77.1395563,3,,POINT (-77.1395563 -11.8002528),,,,,,,,,,933034538,1756308354,4341.767000000002,4396290287,5030941978,7988.491,516498231,1756299363,427.33099999999996,,,
1273664656,-11.7814716,-77.1585576,3,,POINT (-77.15855759999999 -11.7814716),,,,,,,,,,933034538,1756308354,3842.438000000001,319712425,5030941978,2038.0870000000002,516489949,5041826370,289.656,,,
1273683405,-11.7821308,-77.1592492,3,,POINT (-77.1592492 -11.7821308),,,,,,,,,,933034538,1756308354,3760.917000000001,319712425,5030941978,1956.566,516489949,5041826370,197.062,,,
1273690308,-11.7973155,-77.1749111,3,,POINT (-77.1749111 -11.7973155),,,,,,,,,,933034538,1756308354,2079.299,319712446,1756308190,523.736,5567210070,1273895264,349.403,,,
1273711951,-11.7968984,-77.1720005,3,,POINT (-77.1720005 -11.7968984),,,,,,,,,,933034538,1756308354,1651.476,319712446,1756308190,95.913,5567210071,1273895264,78.42,,,
1273714405,-11.7925235,-77.1586137,3,,POINT (-77.1586137 -11.7925235),,,,,,,,,,933034538,1756308354,2316.520000000001,319712425,5030941978,1376.72,5567212049,5041779818,734.014,,,
1273781209,-11.8019687,-77.1410928,3,,POINT (-77.1410928 -11.8019687),,,,,,,,,,933034538,1756308354,4094.7689999999993,4396290287,5030941978,7741.493,516498231,1756299363,180.75,,,
1273788841,-11.7913034,-77.1584284,3,,POINT (-77.15842840000001 -11.7913034),,,,,,,,,,933034538,1756308354,2453.6800000000007,319712425,5030941978,1412.737,5567212049,5041779818,727.136,,,
1273792296,-11.7899643,-77.1576093,4,,POINT (-77.1576093 -11.7899643),,,,,,,,,,933034538,1756308354,2677.589000000001,319712425,5030941978,1272.7800000000002,5567212049,5041779818,505.204,,,
1273803442,-11.8003313,-77.1741761,1,,POINT (-77.1741761 -11.8003313),,,,,,,,,,933034538,1756308354,2193.9680000000008,319712446,1756308190,638.405,5567210070,1273895264,559.023,,,
1273804891,-11.7988353,-77.1722959,3,,POINT (-77.17229589999999 -11.7988353),,,,,,,,,,933034538,1756308354,1878.857,319712446,1756308190,323.294,5567210071,1273895264,243.912,,,
1273819211,-11.7977455,-77.1649535,3,,POINT (-77.1649535 -11.7977455),,,,,,,,,,933034538,1756308354,2214.4990000000007,319712446,1756308190,1537.1659999999997,5567210071,1273895264,1711.4989999999998,,,
1273834002,-11.7829598,-77.1643692,3,,POINT (-77.1643692 -11.7829598),,,,,,,,,,933034538,1756308354,4078.2790000000005,319712446,1756308190,3398.619,516489949,5041826370,812.319,,,
1273849460,-11.8011145,-77.1403365,3,,POINT (-77.1403365 -11.8011145),,,,,,,,,,933034538,1756308354,4213.734,4396290287,5030941978,7860.4580000000005,516498231,1756299363,299.298,,,
1273869214,-11.8001935,-77.1415148,4,,POINT (-77.1415148 -11.8001935),,,,,,,,,,933034538,1756308354,4051.1779999999994,4396290287,5030941978,7697.902000000002,516498231,1756299363,335.98900000000003,,,
1273879369,-11.7898729,-77.1582113,3,,POINT (-77.1582113 -11.7898729),,,,,,,,,,933034538,1756308354,2614.4900000000007,319712425,5030941978,1339.0910000000001,5567212049,5041779818,571.515,,,
1273895264,-11.7967503,-77.1726729,3,,POINT (-77.17267289999999 -11.7967503),,,,,,,,,,933034538,1756308354,1729.8959999999997,319712446,1756308190,174.333,5567210071,1273895264,0.0,,,
1273956253,-11.7881924,-77.1547947,3,,POINT (-77.1547947 -11.7881924),,,,,,,,,,933034538,1756308354,3101.7140000000004,319712425,5030941978,991.0999999999998,5567212049,5041779818,178.46,,,
1273973913,-11.7885764,-77.1579568,3,,POINT (-77.15795679999999 -11.7885764),,,,,,,,,,933034538,1756308354,2761.7880000000005,319712425,5030941978,1364.739,5064983888,2416609870,465.22700000000003,,,
1658431693,-11.7837636,-77.1584871,3,,POINT (-77.1584871 -11.7837636),,,,,,,,,,933034538,1756308354,3500.701000000001,319712425,5030941978,1696.3500000000001,516489949,5041826370,95.822,,,
1756299352,-11.800486,-77.1411823,4,,POINT (-77.1411823 -11.800486),,,,,,,,,,933034538,1756308354,4098.076,4396290287,5030941978,7744.800000000001,516498231,1756299363,288.156,,,
1756299353,-11.800626,-77.1426511,3,,POINT (-77.14265109999999 -11.800626),,,,,,,,,,933034538,1756308354,3994.8999999999996,4396290287,5030941978,7641.624000000002,516498231,1756299363,279.711,,,
1756299354,-11.8007849,-77.1408118,4,,POINT (-77.14081179999999 -11.8007849),,,,,,,,,,933034538,1756308354,4150.334,4396290287,5030941978,7797.058000000001,516498231,1756299363,235.898,,,
1756299356,-11.8012676,-77.1419056,3,,POINT (-77.1419056 -11.8012676),,,,,,,,,,933034538,1756308354,3980.8099999999995,4396290287,5030941978,7627.5340000000015,516498231,1756299363,171.695,,,
1756299357,-11.8015889,-77.1415283,4,,POINT (-77.1415283 -11.8015889),,,,,,,,,,933034538,1756308354,4035.2429999999995,4396290287,5030941978,7681.967000000001,516498231,1756299363,117.262,,,
1756299360,-11.802044,-77.1441673,3,,POINT (-77.14416730000001 -11.802044),,,,,,,,,,933034538,1756308354,3785.6059999999993,4396290287,5030941978,7432.330000000002,516498231,1756299363,285.83299999999997,,,
1756299363,-11.8023875,-77.1422319,4,,POINT (-77.1422319 -11.8023875),,,,,,,,,,933034538,1756308354,3919.4929999999995,4396290287,5030941978,7566.2170000000015,516498231,1756299363,0.0,,,
1756299366,-11.8025245,-77.1436176,4,,POINT (-77.1436176 -11.8025245),,,,,,,,,,933034538,1756308354,3705.3899999999994,4396290287,5030941978,7352.114000000001,516498231,1756299363,214.103,,,
1756299368,-11.8027936,-77.1418199,3,,POINT (-77.1418199 -11.8027936),,,,,,,,,,933034538,1756308354,3973.622,4396290287,5030941978,7620.346000000001,516498231,1756299363,63.64,,,
1756299369,-11.8028467,-77.1432454,3,,POINT (-77.1432454 -11.8028467),,,,,,,,,,933034538,1756308354,3759.4709999999995,4396290287,5030941978,7406.1950000000015,516498231,1756299363,160.022,,,
1756299370,-11.8031362,-77.142901,4,,POINT (-77.14290099999999 -11.8031362),,,,,,,,,,933034538,1756308354,3808.8819999999996,4396290287,5030941978,7455.606000000002,516498231,1756299363,110.61099999999999,,,
1756299373,-11.8069546,-77.1569078,3,,POINT (-77.1569078 -11.8069546),,,,,,,,,,933034538,1756308354,910.607,7393015988,5718569997,2161.895,5567431227,5041366533,168.709,,,
1756299374,-11.8073451,-77.1573898,4,,POINT (-77.1573898 -11.8073451),,,,,,,,,,933034538,1756308354,842.506,7393015988,5718569997,2093.7940000000003,5567431227,5041366533,230.387,,,
1756299376,-11.8079705,-77.1576184,3,,POINT (-77.1576184 -11.8079705),,,,,,,,,,933034538,1756308354,880.978,7393015988,5718569997,2073.985,5567431227,5041366533,304.246,,,
1756299377,-11.8080528,-77.1567862,1,,POINT (-77.1567862 -11.8080528),,,,,,,,,,933034538,1756308354,972.017,7393015988,5718569997,2165.0240000000003,5567431227,5041366533,395.285,,,
1756299380,-11.8097184,-77.1628354,1,,POINT (-77.16283540000001 -11.8097184),,,,,,,,,,933034538,1756308354,873.981,7393015988,5718569997,1659.4630000000002,516429386,1756308451,201.701,,,
