osmid,y,x,street_count,ref,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
108018055,-12.1028717,-77.0270455,4,,,POINT (-77.0270455 -12.1028717),437675778,263935411,648.233,437675773,263935411,648.233,780628452,263936946,810.5659999999999,289487168,262573614,1295.2510000000002,437677998,3796283435,565.031,289515439,108018055,0.0,249995023,1273736316,1627.452
108018057,-12.1027107,-77.0255206,4,,,POINT (-77.02552059999999 -12.1027107),437675778,263935411,481.476,437675773,263935411,481.476,780628452,263936946,643.8090000000001,804482995,262573660,1353.6480000000001,437677998,3796283435,398.27400000000006,289515439,108018055,1040.095,249995023,1273736316,1460.695
108025624,-12.1070413,-77.0267452,3,4,motorway_junction,POINT (-77.02674519999999 -12.1070413),437675778,263935411,1118.6640000000002,437675773,263935411,1118.6640000000002,780628452,263936946,1280.997,289487168,262573614,1765.6819999999998,437677998,3796283435,1035.462,289515439,108018055,470.43100000000004,249995023,1273736316,2097.8830000000003
114612757,-12.1197405,-77.0240741,3,,,POINT (-77.02407410000001 -12.1197405),437326048,262573642,1077.045,437675773,263935411,2270.9899999999993,445502597,457799913,2782.7710000000006,220048425,262574070,370.09900000000005,436899388,114612757,0.0,627189759,262574067,652.26,249995023,1273736316,2456.8530000000005
114612822,-12.1190775,-77.0256387,4,,traffic_signals,POINT (-77.0256387 -12.1190775),437326048,262573642,977.819,437675773,263935411,2162.7389999999996,780628452,263936946,2146.0319999999992,220048425,262574070,178.91000000000003,436899388,114612757,407.54100000000005,5595045329,262574067,637.231,249995023,1273736316,2363.3919999999994
262572480,-12.1085042,-77.0261258,4,,traffic_signals,POINT (-77.0261258 -12.1085042),437326048,262573642,978.247,437675773,263935411,1055.8329999999999,780628452,263936946,1094.677,289487168,262573614,440.28,437344449,262573426,1433.3390000000002,5594951511,262573479,585.9259999999999,249995023,1273736316,1382.5910000000001
262572481,-12.1083839,-77.0257956,4,,,POINT (-77.0257956 -12.1083839),437326048,262573642,939.8919999999999,437675773,263935411,1073.029,780628452,263936946,1056.322,289487168,262573614,401.92499999999995,437677998,3796283435,722.3789999999999,5594951511,262573479,547.5709999999999,249995023,1273736316,1344.236
262572482,-12.1078982,-77.0243193,4,,,POINT (-77.0243193 -12.1078982),4325493124,262573666,839.659,437675773,263935411,903.646,780628452,263936946,886.9390000000001,289487168,262573614,360.647,437677998,3796283435,739.1819999999999,5594951511,262573479,378.188,249995023,1273736316,1174.853
262572490,-12.1084049,-77.026149,4,,traffic_signals,POINT (-77.026149 -12.1084049),437326048,262573642,1756.4999999999998,437675773,263935411,1044.507,780628452,263936946,1206.84,289487168,262573614,1252.6580000000004,437344449,262573426,2211.592,5594951511,262573479,1270.199,249995023,1273736316,2023.7259999999999
262572753,-12.1077639,-77.0242935,4,,,POINT (-77.0242935 -12.1077639),4325493124,262573666,854.854,437675773,263935411,918.8409999999999,780628452,263936946,902.134,289487168,262573614,375.842,437677998,3796283435,754.377,5594951511,262573479,393.383,249995023,1273736316,1190.048
262572934,-12.1123707,-77.0257088,4,,,POINT (-77.0257088 -12.1123707),437326048,262573642,502.86999999999995,437675773,263935411,1447.631,780628452,263936946,1430.924,459254546,262573598,133.503,437344449,262573426,957.9619999999999,548427233,262573050,46.048,249995023,1273736316,1648.2839999999999
262572937,-12.1095906,-77.026159,3,,,POINT (-77.02615900000001 -12.1095906),437326048,262573642,2561.6489999999994,437675773,263935411,1410.7889999999998,780628452,263936946,1573.1219999999996,289487168,262573614,2057.807,437344449,262573426,3016.741,548427233,262573050,2221.009,249995023,1273736316,2390.008
262572971,-12.1044192,-77.0271112,3,,,POINT (-77.02711119999999 -12.1044192),437675778,263935411,820.499,437675773,263935411,820.499,780628452,263936946,982.832,289487168,262573614,1467.5170000000003,437677998,3796283435,737.297,289515439,108018055,172.266,249995023,1273736316,1799.718
262572974,-12.1133934,-77.0255123,4,,,POINT (-77.0255123 -12.1133934),437326048,262573642,577.3879999999999,437675773,263935411,1522.1490000000001,780628452,263936946,1505.442,459254546,262573598,208.02100000000002,437344449,262573426,1032.48,548427233,262573050,120.56600000000002,249995023,1273736316,1722.802
