osmid,street_count,highway,ref,geometry,school_osmid,school_dist
1746796546,4,,,POINT (-76.97923710000001 -12.0449597),5597188981,0.0017350456622285324
4284776453,4,,,POINT (-77.0198858 -12.2007022),5256212344,0.0016817998364814697
4200497160,3,,,POINT (-77.094624 -12.0622377),369931684,0.002609534133809302
5497389066,3,,,POINT (-76.8093762 -12.0237946),5580671097,0.002111986195505987
1746796556,4,,,POINT (-76.97493590000001 -12.0452296),5597196854,0.0006279009635404908
4335599630,3,,,POINT (-77.0275785 -12.119051),5594960329,0.0010580179582605305
3738206223,4,,,POINT (-76.9170251 -11.9755075),5596737384,0.0008763032408938383
1482227728,3,,,POINT (-76.9879186 -12.0666517),5597273069,0.001233252111289522
5986648082,3,,,POINT (-76.8963775 -12.2283038),5256670440,0.002565313879435372
1273757715,4,,,POINT (-76.9124822 -12.2086264),395135975,0.002823121921267276
1482227733,4,,,POINT (-76.9893649 -12.0620764),5597273065,0.0011589091293037993
1482227734,4,,,POINT (-76.9938308 -12.0622365),5597270903,0.0013704947573767402
1674117145,3,,,POINT (-76.9500695 -12.2020712),5256556416,0.0007272990031627613
821755929,4,,,POINT (-77.0062954 -12.0178307),1966842481,0.0016080405996140555
1674117147,3,,,POINT (-76.9505516 -12.2012952),5597224734,0.0013700721878770995
1482227739,4,,,POINT (-76.995155 -12.0638085),5597270903,0.0019252000000005154
1674117149,3,,,POINT (-76.949607 -12.2028501),5256556416,0.0007160168294125677
1746796572,3,,,POINT (-76.9774705 -12.0464091),5597188981,0.0005808607836686056
1746796575,4,,,POINT (-76.9793056 -12.0465856),5597188981,0.0013623663127110346
3993075744,3,motorway_junction,,POINT (-76.9750526 -12.0547755),5597207407,0.0030125969212575292
1482227746,4,,,POINT (-76.993627 -12.0601419),5597244721,0.00039621142082769896
1482227752,4,,,POINT (-76.993681 -12.0606892),5597244721,0.0005115017106526853
1746796586,4,,,POINT (-76.9809176 -12.0465864),5597170227,0.0015368522700626545
1482227757,3,,,POINT (-76.99286909999999 -12.0640071),5597273068,0.002314534339774155
1482227759,4,,,POINT (-76.9935728 -12.0595921),5597244010,0.00043800559357271506
1482227761,3,,,POINT (-76.98944849999999 -12.0640892),5597273068,0.002134969756224627
1746796594,3,,,POINT (-76.98007 -12.0468321),5597188979,0.0015494394147554747
4724817987,3,,,POINT (-76.9767379 -12.1300228),52967818,0.002878931336741695
197656644,3,,,POINT (-77.0359239 -12.1267246),5593241375,0.0027424929626166977
197656646,4,,,POINT (-77.03590269999999 -12.1260125),5593241375,0.002088861632568411
