u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,lanes,ref,bridge,access,junction,tunnel,width
1746796546,1746796535,0,323685800,True,Enrique Quintana,residential,55.707,"LINESTRING (-76.97923710000001 -12.0449597, -76.979671 -12.0446934)",,,,,,,,
4284776453,860682622,0,497967417,True,Avenida A,residential,81.449,"LINESTRING (-77.0198858 -12.2007022, -77.0200404 -12.2007914, -77.0202254 -12.200883, -77.020402 -12.2009541, -77.02056 -12.2010193)",,,,,,,,
4200497160,1409885155,0,"[420067610, 420067612]",True,Avenida República de Venezuela,primary,884.2590000000001,"LINESTRING (-77.094624 -12.0622377, -77.094335 -12.0622128, -77.0931885 -12.0621139, -77.09171739999999 -12.0619828, -77.0915585 -12.0619684, -77.0914921 -12.0619619, -77.09013539999999 -12.0618275, -77.08863700000001 -12.0616962, -77.0885049 -12.0616801, -77.0882969 -12.0616548, -77.08785399999999 -12.0615978, -77.08725889999999 -12.061542, -77.0865323 -12.0614556)","['60', '30']",,,,,,,
5497389066,8213863118,0,572167066,True,Avenida Andrés Avelino Cáceres,tertiary,113.388,"LINESTRING (-76.8093762 -12.0237946, -76.8087661 -12.0246215)",,,,,,,,
4335599630,138853789,0,24252395,True,Avenida Ricardo Palma,secondary,66.801,"LINESTRING (-77.0275785 -12.119051, -77.0275889 -12.1190508, -77.0278986 -12.119047, -77.02819289999999 -12.1190434)",50,3,,,,,,
3738206223,3738206362,0,370097526,False,Calle Las Poncianas,residential,130.605,"LINESTRING (-76.9170251 -11.9755075, -76.9169218 -11.9766777)",,,,,,,,
3738206223,3738206175,0,370097526,False,Calle Las Poncianas,residential,134.657,"LINESTRING (-76.9170251 -11.9755075, -76.9171317 -11.974301)",,,,,,,,
1482227728,4168394207,0,335961964,False,Mariscal Agustín Gamarra,residential,72.676,"LINESTRING (-76.9879186 -12.0666517, -76.9881109 -12.0666005, -76.98825170000001 -12.0665687, -76.9883899 -12.0665637, -76.988528 -12.0665889, -76.988569 -12.0666088)",30,,,,,,,
5986648082,3740697448,0,762931818,False,Avenida Las Palmas,secondary,220.144,"LINESTRING (-76.8963775 -12.2283038, -76.8947048 -12.2287397, -76.89441619999999 -12.2287976)",50,2,,,,,,
1273757715,5067399854,0,836133024,False,Jirón Arica,residential,82.356,"LINESTRING (-76.9124822 -12.2086264, -76.91321240000001 -12.2084284)",,2,,,,,,
1273757715,5446381347,0,836133024,False,Jirón Arica,residential,83.051,"LINESTRING (-76.9124822 -12.2086264, -76.9117487 -12.2088359)",,2,,,,,,
1482227733,4341204541,0,643494710,False,Jirón Sicaya,residential,52.304,"LINESTRING (-76.9893649 -12.0620764, -76.98941619999999 -12.0625441)",,,,,,,,
1482227733,1273737683,0,321573421,False,Meliton Carbajal,residential,239.759,"LINESTRING (-76.9893649 -12.0620764, -76.9896406 -12.0620484, -76.98988850000001 -12.0620233, -76.991558 -12.0618538)",,,,,,,,
1482227734,4341204539,0,134751550,True,Avenida Los Rosales,tertiary,13.26,"LINESTRING (-76.9938308 -12.0622365, -76.9938181 -12.0621179)",40,2,,,,,,
1674117145,1674117149,0,126860250,True,Avenida Micaela Bastidas,secondary,100.139,"LINESTRING (-76.9500695 -12.2020712, -76.949607 -12.2028501)",50,2,,,,,,
821755929,821756241,0,68212692,False,Jirón Los Liquenes,tertiary,177.37900000000002,"LINESTRING (-77.0062954 -12.0178307, -77.0070599 -12.0183018, -77.0076734 -12.018684)",50,2,,,,,,
821755929,821756112,0,68212692,False,Jirón Los Liquenes,tertiary,189.296,"LINESTRING (-77.0062954 -12.0178307, -77.0062281 -12.0177888, -77.0056556 -12.0174354, -77.0055577 -12.0173862, -77.0054727 -12.0173483, -77.0053834 -12.0173231, -77.0052877 -12.0173107, -77.00524849999999 -12.0173097, -77.0051981 -12.0173142, -77.0047046 -12.0173985)",50,2,,,,,,
1674117147,1674117145,0,126860250,True,Avenida Micaela Bastidas,secondary,100.95,"LINESTRING (-76.9505516 -12.2012952, -76.9500695 -12.2020712)",50,2,,,,,,
1674117149,1405095651,0,126860250,True,Avenida Micaela Bastidas,secondary,60.366,"LINESTRING (-76.949607 -12.2028501, -76.9493308 -12.2033211)",50,2,,,,,,
1746796572,2177232991,0,313722813,True,Avenida Los Eucaliptos,secondary,148.55,"LINESTRING (-76.9774705 -12.0464091, -76.9762164 -12.0458795)",50,2,,,,,,
1746796575,499590047,0,428263975,False,Andres Avelino Caceres,residential,53.652,"LINESTRING (-76.9793056 -12.0465856, -76.9791149 -12.0470306)",,,,,,,,
