osmid,geometry,NN,NN_dist,bank_distance,bank_dist,casino_distance,casino_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
107774936,POINT (-77.04167700000001 -12.0597063),107774936,0.0,,0.003159281769993919,,0.00315497594284562,,0.007013460813335024,,0.003255876473723821,,0.004678971448616198,,0.0022155714735467486,,0.0009423933954116867,,0.005039404366590728,BREÑA
107774938,POINT (-77.0417996 -12.0597496),107774938,0.0,,0.003245022329658728,,0.003178844401615689,,0.007143362161486219,,0.0033857304066020745,,0.004633354622734786,,0.0022966963321422607,116.33699999999999,0.0009755854810331485,,0.005103207058311086,BREÑA
107774940,POINT (-77.0420531 -12.0600028),107774940,0.0,,0.0031849668522585107,,0.00340765228859768,,0.007461731380862534,,0.0037189286764200678,,0.0043859210813045404,,0.002626697853375959,76.246,0.0009309068571872094,,0.005143804822307612,BREÑA
263401823,POINT (-77.04885609999999 -12.0692561),263401823,0.0,162.412,0.003044871263290132,915.9590000000001,0.003438648024468988,,0.01809224734437511,915.9590000000001,0.0024327779489837944,302.19,0.002830140768584536,252.00600000000003,0.0019845452239164,0.0,0.0005786487881221577,0.0,0.0004121160913603943,BREÑA
263402345,POINT (-77.04805709999999 -12.0682516),263402345,0.0,20.903,0.0019006743697970363,1083.4560000000001,0.004626910332521124,,0.0168371079796982,,0.003630609554062908,160.68099999999998,0.0020479856249520853,419.50300000000004,0.0026511983253331662,167.497,0.0007334868574172247,167.497,0.0015493640945547665,BREÑA
309998790,POINT (-77.0419916 -12.0605674),1943098867,0.00010461037233834184,,0.003071239313678994,,0.004055186073475198,,0.007563803018327498,,0.003914445624860605,,0.0037409232791270146,,0.003126540318766848,,0.0005681429243608317,,0.0046754185149504865,BREÑA
310953965,POINT (-77.0526548 -12.0493126),310953965,0.0,,0.0045381447365636755,,0.006736591357529432,,0.014655096768693697,,0.008141960062828251,,0.003871409914344687,,0.0052930043683205065,,0.002051872573773548,,0.005776991822535888,BREÑA
310953968,POINT (-77.049171 -12.0499449),310953992,8.563299597913574e-05,614.011,0.00445774744125569,,0.004825153571476037,2043.2440000000004,0.011108308577808977,722.1759999999998,0.004674799210235257,0.0,0.003447751357157875,,0.004820611536047413,655.1989999999998,0.0010813654052289814,489.27299999999997,0.003946398887726192,BREÑA
316803572,POINT (-77.05434959999999 -12.0664576),817654860,0.0012971666431108415,765.126,0.003294966491479636,1585.8340000000003,0.008238882230998189,,0.02016978207443056,1585.8340000000003,0.0071460963032262455,,0.0013269611919723824,194.742,0.0016940172085899926,0.0,0.0003688098968331504,1730.4340000000002,0.004481323601861732,BREÑA
316803573,POINT (-77.0605127 -12.0673016),316803573,0.0,,0.004047437368261343,,0.010341972092031585,,0.027095852278350815,,0.0035555054643953477,61.987,0.002971209221176374,,0.007408346141072689,61.987,0.000975552217111544,,0.003274320705632625,BREÑA
316803597,POINT (-77.05407289999999 -12.0666381),1355562709,0.0012685160030439842,708.6789999999999,0.002827892284025333,1529.3870000000002,0.007765319265985883,,0.01992785598604338,1529.3870000000002,0.006663465111732693,,0.0017786708309797945,138.295,0.0013043346648958427,0.0,0.0005771169812204321,1673.987,0.004024310080834918,BREÑA
316803599,POINT (-77.0540046 -12.0665056),1355562709,0.0011266084546044267,708.6789999999999,0.002827892284025333,1529.3870000000002,0.007765319265985883,,0.01992785598604338,1529.3870000000002,0.006663465111732693,,0.0017786708309797945,138.295,0.0013043346648958427,0.0,0.0005771169812204321,1673.987,0.004024310080834918,BREÑA
316803674,POINT (-77.0582149 -12.0580672),1356144905,9.408772502848088e-05,,0.0019471630774060336,,0.010298862990126202,,0.02193903495439287,,0.012783421928654429,793.21,0.002849841845074094,2521.965,0.007645110659764863,756.103,0.0024965067294096584,94.072,0.0005890342265111092,BREÑA
316803681,POINT (-77.0553455 -12.0525725),316803681,0.0,,0.004054597414969978,,0.007081154770381528,,0.017583928321049616,,0.010325110461466315,0.0,0.0011908157432920985,,0.0047134476706186465,,0.001902109041109331,,0.006819210908163296,BREÑA
525863374,POINT (-77.042419 -12.051938),912507969,0.00028140007106917524,1250.477,0.0029774308690558486,1156.007,0.002946183172167211,878.45,0.004685453499922757,186.147,0.002026128018381255,,0.001725516828375175,1360.088,0.004632984136599999,0.0,0.00023731778272797403,1472.2590000000002,0.003631153093503183,BREÑA
525863467,POINT (-77.0461986 -12.0516857),2860030626,0.0013793175305213039,,0.003677998516857239,,0.0046355483582019965,,0.008782926393854121,0.0,0.0024511080778421386,,0.003982550739738829,,0.005750516775738021,0.0,0.0006504224474998603,,0.0041064867013672224,BREÑA
525863645,POINT (-77.0498213 -12.0568799),819210897,0.0009854244263193172,,0.00258610479292857,,0.0034877776373667593,,0.014176912211052769,,0.0077084016548360015,,0.003501120710913741,,0.0033066890190226877,,0.0016695556893979667,,0.0065256149985384254,BREÑA
528023636,POINT (-77.0474001 -12.0671615),1943098982,7.368045874070228e-05,0.0,0.0007278527667051508,1210.694,0.005861178909765842,,0.015626592000184725,,0.0023815032693464315,287.919,0.001823949544255296,546.741,0.003694462524952321,0.0,0.0005060635928415554,294.735,0.002809026295973105,BREÑA
593974674,POINT (-77.0446262 -12.0564318),909271525,0.0013750427520615993,0.0,0.0009387560792592222,190.805,0.001066752007922626,,0.0068484516651554075,543.537,0.004013638414840311,,0.0049926393285525394,161.20600000000002,0.0017416044671419214,0.0,0.0003236610701134379,683.4110000000001,0.002786899532160438,BREÑA
593974675,POINT (-77.0445548 -12.0573833),909271525,0.0016793892818538175,0.0,0.0009387560792592222,190.805,0.001066752007922626,,0.0068484516651554075,543.537,0.004013638414840311,,0.0049926393285525394,161.20600000000002,0.0017416044671419214,0.0,0.0003236610701134379,683.4110000000001,0.002786899532160438,BREÑA
593974676,POINT (-77.04449200000001 -12.0583481),593974677,0.0009629475011647664,0.0,0.0012957423509313778,,0.0035010904080022467,,0.00917947716376138,,0.005837284832326626,,0.005707974943574685,,0.0038472331689797436,,0.0012109537728588974,,0.005214217452834536,BREÑA
593974677,POINT (-77.044443 -12.0593098),593974677,0.0,0.0,0.0012957423509313778,,0.0035010904080022467,,0.00917947716376138,,0.005837284832326626,,0.005707974943574685,,0.0038472331689797436,,0.0012109537728588974,,0.005214217452834536,BREÑA
