osmid,geometry,NN,NN_dist,bank_distance,bank_dist,casino_distance,casino_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
108154281,POINT (-77.0350861 -12.0599213),108154281,0.0,,0.00278734502426304,,0.007875348101204646,,0.0022643454793818203,,0.00274120912823775,,0.006133098598748026,,0.002086238117606207,,0.003111081800600864,,0.0020854257359111013,LA_VICTORIA
108154712,POINT (-77.03460800000001 -12.0595462),108154712,0.0,,0.002231775914611928,,0.008097835955991077,0.0,0.0019203788506409552,,0.002213474580151488,,0.005656694880479703,0.0,0.0015560013580304412,,0.003694585239238681,404.846,0.0025966041900887136,LA_VICTORIA
108161118,POINT (-77.03499100000001 -12.0608459),108161118,0.0,,0.003102122226425895,,0.007474471514437356,,0.0031859780444945017,,0.003434209466418625,,0.006647536757762663,,0.0029108128677399698,,0.0030152480826632425,473.454,0.001260047288791578,LA_VICTORIA
257946454,POINT (-77.0276061 -12.076227),257946454,0.0,,0.004001903061170481,,0.004879123520502551,1542.303,0.008407222448587192,1097.8220000000001,0.009828170382844257,,0.0035863856687488507,82.184,0.0010955315878616741,766.0039999999999,0.002943806695416165,,0.004956067183321569,LA_VICTORIA
263106951,POINT (-77.02273820000001 -12.0905292),263105814,0.003233970293615189,226.537,0.0012361767915645403,492.916,0.0023303532689852922,,0.012364280113493812,,0.013137564877381642,492.916,0.002153348953936367,,0.0068341260352095074,356.33700000000005,0.0038711377604019694,,0.007645584196744162,LA_VICTORIA
263360959,POINT (-77.0264758 -12.0760471),263360959,0.0,,0.0028629615702974497,,0.0037407956726086475,,0.009453096576255848,,0.010234025676075585,,0.003110340856723862,,0.0022386070847749085,,0.0018440228442148032,,0.005023292555649206,LA_VICTORIA
316624781,POINT (-77.01028239999999 -12.077586),316624781,0.0,,0.004072783237548617,,0.012020721276612313,,0.02448695797461057,,0.01467779077457504,,0.0021382671605476014,,0.006183909326263392,,0.0024370040951939603,,0.012034407721916544,LA_VICTORIA
316624796,POINT (-77.0104948 -12.0768144),316624796,0.0,,0.0045270600548264536,,0.012267954383775346,,0.024396935759432768,,0.013997786771247741,,0.002015338345176127,,0.005431308784117734,,0.0018813340160671835,,0.012367326294475695,LA_VICTORIA
316624803,POINT (-77.0107659 -12.0781154),316624803,0.0,,0.0033564237649681018,,0.011557515956678472,,0.023938839638133508,,0.014710465789145947,,0.00284237125454786,,0.006754613660095292,,0.0027474797997434786,,0.012458848888009456,LA_VICTORIA
316625006,POINT (-77.0100192 -12.0792485),316625006,0.0,,0.003357434760350573,,0.010358206053175905,,0.02457389177317984,,0.01604781945773634,,0.002509545961083189,,0.00747357727427994,,0.0020708514794703357,,0.011669478394965141,LA_VICTORIA
316625017,POINT (-77.0043907 -12.0834413),316625017,0.0,64.777,0.0009506511452713856,,0.00555942767288114,,0.025039625103128425,,0.01240327090610683,84.236,0.0011989067626063776,,0.005033782058257515,379.60800000000006,0.0028833612642193396,,0.007409359508885509,LA_VICTORIA
316626840,POINT (-77.0302939 -12.0729267),316626840,0.0,,0.005538446645945635,,0.007428013086284227,,0.009112583945840207,,0.00888537397943456,,0.004156848044499399,,0.0037508355509157506,,0.001971179202907893,,0.005525619366119646,LA_VICTORIA
316628698,POINT (-76.99991110000001 -12.0635273),316628698,0.0,,0.006334005037098598,,0.0141977263658656,,0.02629227587334738,605.764,0.0039144811273657655,,0.002442965724754781,605.764,0.002847664612813561,0.0,0.001462553485116863,,0.015701081591177102,LA_VICTORIA
316628701,POINT (-76.9967256 -12.0678327),316628701,0.0,,0.0034271221775719705,1265.303,0.011514159182940062,,0.02159675521207185,784.6229999999999,0.0019586012005118037,,0.0018383173495286449,353.32099999999997,0.0013580740745197984,784.6229999999999,0.0015223492572311453,,0.01143389040734635,LA_VICTORIA
316629267,POINT (-77.0224147 -12.0784213),316629267,0.0,,0.003410687015659569,,0.003052587676436035,,0.01238648677753535,,0.011064205813376174,,0.001506048565364956,148.96800000000002,0.0011942951477743196,220.395,0.0010763986871126401,,0.004912930640798721,LA_VICTORIA
316629275,POINT (-77.0213332 -12.0771257),316629275,0.0,290.907,0.002873375753534497,,0.002607384379910592,,0.013753108405012086,,0.009674890428705438,,0.0031839556196351,,0.0005221013790443874,0.0,0.0008223195995096941,,0.006542034652887382,LA_VICTORIA
316629276,POINT (-77.0213751 -12.077021),316629275,0.00011277278040320205,290.907,0.002873375753534497,,0.002607384379910592,,0.013753108405012086,,0.009674890428705438,,0.0031839556196351,,0.0005221013790443874,0.0,0.0008223195995096941,,0.006542034652887382,LA_VICTORIA
316629278,POINT (-77.0217328 -12.0766099),316629278,0.0,,0.0023967047956433662,293.76300000000003,0.001955182968973175,,0.013528373390772534,,0.009186839737745636,,0.003428006895398262,549.587,0.0010107381510554053,621.014,0.0008659747657386702,,0.006566683556292009,LA_VICTORIA
316629281,POINT (-77.0227527 -12.0765338),316629281,0.0,,0.0015913411630753527,,0.0015141654885666876,,0.012594618340389574,,0.009259250013687863,,0.003209690958491473,433.406,0.0016131370214562892,504.83299999999997,0.0010676358402349263,,0.00591731926431995,LA_VICTORIA
316629287,POINT (-77.0232869 -12.0776966),316629287,0.0,,0.002464628410840645,,0.002703018689388268,,0.011717704984338159,,0.010509217851193723,,0.0020197308018807232,280.632,0.001744612670481461,0.0,0.0009315821434525807,,0.004695038020449418,LA_VICTORIA
316629288,POINT (-77.02319919999999 -12.0779007),316629288,0.0,,0.0026814428080626012,,0.002893867812796943,,0.01174649105904288,,0.010688979259720522,,0.0018132259887975448,256.015,0.001680971341211892,,0.0011499217234285301,,0.0046139563751702575,LA_VICTORIA
316629414,POINT (-77.02083519999999 -12.0786844),411941649,0.0009898160031083618,,0.003586186478806338,,0.0033991358057087503,,0.013097139514033532,,0.010820697235204934,,0.0020696330220579926,69.981,0.0006715184584210692,0.0,0.0008365955414669468,,0.005591152996545314,LA_VICTORIA
316629416,POINT (-77.0205807 -12.0783094),412189107,0.0009386265125160652,,0.003442643083464523,,0.003135592439805392,,0.013582293911197972,,0.010306500214247588,,0.0026908630555876755,0.0,0.00025660124707890255,71.42699999999999,0.0008562799323394388,,0.006175922362466496,LA_VICTORIA
316629417,POINT (-77.0204768 -12.0780761),412189107,0.0009200850449803203,,0.003442643083464523,,0.003135592439805392,,0.013582293911197972,,0.010306500214247588,,0.0026908630555876755,0.0,0.00025660124707890255,71.42699999999999,0.0008562799323394388,,0.006175922362466496,LA_VICTORIA
316629418,POINT (-77.0203928 -12.0777586),412189107,0.0009472005278702894,,0.003442643083464523,,0.003135592439805392,,0.013582293911197972,,0.010306500214247588,,0.0026908630555876755,0.0,0.00025660124707890255,71.42699999999999,0.0008562799323394388,,0.006175922362466496,LA_VICTORIA
