osmid,geometry,NN,NN_dist,bank_distance,bank_dist,casino_distance,casino_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
273353473,POINT (-77.112313 -11.8345276),273353473,0.0,,0.028383637349180143,,0.04760248659836304,,0.10253297977225448,,0.008503046468781838,,0.009291516376465922,,0.008579722024384938,,0.002149135651838024,,0.11348053694265542,PUENTE_PIEDRA
273353475,POINT (-77.1067638 -11.8390221),273353475,0.0,,0.03549277412121976,,0.040467509799647035,,0.09556207206532806,,0.015546119069397409,,0.0071113249574163324,,0.010868508012142177,0.0,0.0006046060287496734,,0.1069271082211913,PUENTE_PIEDRA
273353476,POINT (-77.10457359999999 -11.8407485),2502194097,0.0005629196834410741,,0.037730529346531816,,0.038218344596684,,0.09330272071355193,,0.017771047432323002,,0.004878520646675038,,0.011024264997715642,0.0,0.0001291917180128529,,0.1049662172039443,PUENTE_PIEDRA
273353499,POINT (-77.06926780000001 -11.8741354),273353499,0.0,,0.009614516110548976,,0.010972972560996924,,0.04885780998818744,,0.005390833483517303,311.357,0.009275996315517857,,0.011673821706612424,5071.490999999999,0.003183149944642353,,0.06125077511768265,PUENTE_PIEDRA
273353510,POINT (-77.0677206 -11.9020024),273353510,0.0,,0.027158330058381967,,0.029124345859269374,,0.05135232483002463,,0.025001567560428064,0.0,0.0009081182463113877,,0.014939837514846472,,0.0010220680848145782,,0.033716701203532866,PUENTE_PIEDRA
273353511,POINT (-77.06771860000001 -11.9024958),273353511,0.0,,0.026834580308248063,,0.02918842951805788,,0.05155483730871987,,0.025093333391344425,,0.0012062245206621715,,0.014495173632970185,,0.0006447832271409504,,0.03324188973136609,PUENTE_PIEDRA
273353521,POINT (-77.0711278 -11.9092301),273403306,0.002784305236498765,,0.022687631640610467,,0.031107405891081963,,0.05511919663899952,,0.02066066641346011,1992.926,0.005970695003060546,,0.009688874071326507,0.0,0.0029142783206167165,,0.029535548224100493,PUENTE_PIEDRA
273403276,POINT (-77.1122597 -11.8344663),273403276,0.0,,0.028378005939988345,,0.04760279934269753,,0.10251323167630293,898.636,0.00848809249801429,997.3729999999999,0.00928399811893873,898.636,0.008566285572730937,520.898,0.0020690564540378435,,0.1135092455774654,PUENTE_PIEDRA
273403284,POINT (-77.0878326 -11.8540419),273403284,0.0,,0.01629292983342883,,0.016391196189664833,,0.0721481205250312,,0.011948613781324882,,0.009572428035902036,,0.01574354707139431,0.0,0.0002363437538880955,,0.08557715732358631,PUENTE_PIEDRA
273403298,POINT (-77.0689577 -11.877827),273403298,0.0,,0.013065390953587035,,0.014129241597642147,,0.048172190556232966,,0.009012179343219396,2031.57,0.006510062242837392,,0.01462601948377029,1481.742,0.0014331384580722765,,0.05756326727394891,PUENTE_PIEDRA
273403304,POINT (-77.06769490000001 -11.9029775),273403304,0.0,,0.02654020066276463,,0.029237413144302636,,0.051736644266635316,,0.02475469284701224,1505.2380000000003,0.0015827600172122207,,0.014073986450538959,0.0,0.0004996689404021643,,0.032772749360301286,PUENTE_PIEDRA
273403306,POINT (-77.0694529 -11.9070059),273403306,0.0,,0.022687631640610467,,0.031107405891081963,,0.05511919663899952,,0.02066066641346011,1992.926,0.005970695003060546,,0.009688874071326507,0.0,0.0029142783206167165,,0.029535548224100493,PUENTE_PIEDRA
306533020,POINT (-77.1099797 -11.8350811),306533020,0.0,,0.0304496232924142,,0.045495651243827435,,0.10020344978141073,1164.132,0.010485754304100044,1262.8690000000001,0.011373760224087577,1164.132,0.01058441321757279,1037.916,0.0006742426417821376,,0.11190084629884416,PUENTE_PIEDRA
306533068,POINT (-77.1107346 -11.8363996),306533076,0.0005858886668963821,,0.030689084153157364,,0.04528025941701808,,0.10023134061395604,1153.933,0.010765491572895554,1252.67,0.011592231143074998,1153.933,0.01085126824149518,1027.717,0.0013538805892743993,,0.11138239762482477,PUENTE_PIEDRA
306533075,POINT (-77.11092789999999 -11.8374029),306533075,0.0,,0.03141493147231314,,0.0446844049998451,,0.10001512529985476,1478.032,0.011640361497810559,,0.01139594027098562,,0.011036949496123535,175.728,0.00211591058884788,,0.11029237558943533,PUENTE_PIEDRA
306533076,POINT (-77.1104279 -11.8359004),306533076,0.0,,0.030689084153157364,,0.04528025941701808,,0.10023134061395604,1153.933,0.010765491572895554,1252.67,0.011592231143074998,1153.933,0.01085126824149518,1027.717,0.0013538805892743993,,0.11138239762482477,PUENTE_PIEDRA
863427746,POINT (-77.0828265 -11.8598881),2953477188,0.00034436242536755343,,0.008740367962049663,,0.008733565932885044,,0.06557221557672985,462.984,0.004381612134277591,,0.004210015091707775,910.405,0.008016397124744635,0.0,0.000986984179208074,,0.0782589646207381,PUENTE_PIEDRA
863427771,POINT (-77.0746535 -11.8679123),863427862,0.0007186262032549474,878.9649999999999,0.002866821584959336,423.33700000000005,0.0029191146515262023,,0.05565899455156415,,0.0040131001122685455,593.1650000000001,0.0021363399406435076,,0.0035191838766577,0.0,0.0002496389161843732,,0.06804255551754793,PUENTE_PIEDRA
863427779,POINT (-77.0719052 -11.8705989),1845737756,0.0010790081788416683,,0.005054973016747879,,0.006604964562552177,,0.05140513432144777,0.0,0.0008063502065389758,,0.00532791514249414,,0.007683808852537555,0.0,0.00042056667724238406,,0.06575701489047349,PUENTE_PIEDRA
863427809,POINT (-77.07779429999999 -11.8665399),863427868,0.00047436266716383626,,0.001875527987448558,,0.0010330592404385224,,0.05846538673691967,447.421,0.004185675687446829,,0.0024238774508500978,0.0,0.0003641449837115114,,0.0008378329487329372,,0.07081935365374965,PUENTE_PIEDRA
863427816,POINT (-77.07955250000001 -11.8647407),1273716657,0.0004963989726094984,,0.0033567541896970306,,0.003071129003866965,,0.06059788134499462,173.762,0.0019438029631483613,,0.00456278940719525,273.659,0.00224686671584688,98.614,0.0006215002896210965,,0.07301812108283041,PUENTE_PIEDRA
863427821,POINT (-77.08018180000001 -11.8640826),6277569620,0.0008517969769843122,,0.0047310049138191215,,0.004586441181351607,,0.06193622143278728,0.0,0.0011580158291478887,,0.005508771277909536,447.42099999999994,0.0038205299606591256,0.0,0.00024469092749832444,,0.07444566791485836,PUENTE_PIEDRA
863427829,POINT (-77.0730267 -11.8671199),863427829,0.0,,0.0016746941511854106,,0.003251045339968605,,0.05394105667615564,,0.002710598482124847,,0.0021687235788415073,,0.004888314482299419,0.0,0.0014469278351060624,,0.06886256400095213,PUENTE_PIEDRA
863427833,POINT (-77.0737951 -11.8675998),863427829,0.0009059484367212275,,0.0016746941511854106,,0.003251045339968605,,0.05394105667615564,,0.002710598482124847,,0.0021687235788415073,,0.004888314482299419,0.0,0.0014469278351060624,,0.06886256400095213,PUENTE_PIEDRA
863427836,POINT (-77.07355769999999 -11.8663435),863427836,0.0,0.0,0.0007377867036009915,,0.002334834054603741,,0.05465671204069776,,0.003642530079126012,,0.0014845191983825585,,0.0042719383394895045,0.0,0.0013577981624737308,,0.0697344888763193,PUENTE_PIEDRA
863427862,POINT (-77.0751264 -11.8684534),863427862,0.0,878.9649999999999,0.002866821584959336,423.33700000000005,0.0029191146515262023,,0.05565899455156415,,0.0040131001122685455,593.1650000000001,0.0021363399406435076,,0.0035191838766577,0.0,0.0002496389161843732,,0.06804255551754793,PUENTE_PIEDRA
863427868,POINT (-77.07746299999999 -11.8662004),863427868,0.0,,0.001875527987448558,,0.0010330592404385224,,0.05846538673691967,447.421,0.004185675687446829,,0.0024238774508500978,0.0,0.0003641449837115114,,0.0008378329487329372,,0.07081935365374965,PUENTE_PIEDRA
863427886,POINT (-77.085426 -11.8577533),863427886,0.0,,0.012050314365795962,,0.012075728598747249,,0.06857862830034844,831.5459999999999,0.007681472057570625,,0.005639311834123056,1278.967,0.011359632401908334,0.0,0.0006316523490025375,,0.08127151927160824,PUENTE_PIEDRA
863427891,POINT (-77.08954439999999 -11.8536445),273403284,0.0017573235330993265,,0.01629292983342883,,0.016391196189664833,,0.0721481205250312,,0.011948613781324882,,0.009572428035902036,,0.01574354707139431,0.0,0.0002363437538880955,,0.08557715732358631,PUENTE_PIEDRA
863427893,POINT (-77.09198259999999 -11.8512313),273403284,0.0050121823949218535,,0.01629292983342883,,0.016391196189664833,,0.0721481205250312,,0.011948613781324882,,0.009572428035902036,,0.01574354707139431,0.0,0.0002363437538880955,,0.08557715732358631,PUENTE_PIEDRA
863427908,POINT (-77.0964977 -11.8477685),1755339391,0.0008212772309041722,,0.027581741577359986,,0.0276419615359546,,0.08303238338922664,,0.02322246406852563,,0.0057886435414494855,,0.015757913080410038,0.0,0.0006329154524848062,,0.09543119119125323,PUENTE_PIEDRA
