osmid,street_count,highway,geometry,NN,NN_dist
273353447,3,,POINT (-77.1501854 -11.7891932),273353447,0.0
273353463,3,,POINT (-77.12801279999999 -11.8157562),273353463,0.0
273353749,4,,POINT (-77.1633884 -11.7763585),273353749,0.0
273353751,3,,POINT (-77.1640723 -11.776095),5494667760,0.0005715475570797158
273353753,3,,POINT (-77.1645869 -11.7756818),273353753,6.500715345068975e-05
273353757,4,,POINT (-77.16429309999999 -11.7754223),273353757,3.238718883269325e-05
273353759,4,,POINT (-77.1637966 -11.7758244),5494667760,0.00043442341097135116
273355155,4,,POINT (-77.1360911 -11.734543),1740739941,0.02933489602299132
273403219,3,,POINT (-77.1306694 -11.73267),1740739946,0.034342254478412604
273429944,3,,POINT (-77.1607013 -11.7728617),9844754018,0.001756043077490118
273429947,3,,POINT (-77.16197889999999 -11.7744827),1756342927,0.002252192611658335
273429949,3,,POINT (-77.1634112 -11.7751433),273353757,0.0009570879165512144
273429953,3,,POINT (-77.16174580000001 -11.7773325),273429953,0.0
273429966,3,motorway_junction,POINT (-77.15791659999999 -11.7813935),273429966,0.0
273429996,3,,POINT (-77.1594357 -11.7783661),273429996,0.0
273430059,3,,POINT (-77.1617916 -11.7774313),273430059,0.0
273430108,4,,POINT (-77.17014380000001 -11.7716023),273430108,0.0
273430249,3,motorway_junction,POINT (-77.15968549999999 -11.7754816),273429953,0.0027695968840322424
273929544,3,,POINT (-77.1371707 -11.7316778),1740739941,0.03090144058842327
273929826,3,,POINT (-77.1374575 -11.7320019),1740739941,0.030470609908072408
273929827,3,,POINT (-77.1390857 -11.7305929),1740739941,0.03072724238277807
273929828,4,,POINT (-77.14413639999999 -11.7309483),1740739941,0.028047613098087943
273929829,4,,POINT (-77.14395039999999 -11.7337817),1740739941,0.02555991168724991
273929830,3,,POINT (-77.14122589999999 -11.7362231),1740739941,0.024846659415100118
273929933,3,,POINT (-77.141482 -11.732669),1740739941,0.027711916325832982
273929934,3,,POINT (-77.14209320000001 -11.7333412),1740739941,0.026824505778293904
273929935,3,,POINT (-77.14141429999999 -11.7339276),1740739941,0.026665973839333924
273929936,3,,POINT (-77.1407942 -11.7332574),1740739941,0.027562255431111033
273930076,3,,POINT (-77.1389836 -11.732058),1740739941,0.029551931137062813
273930077,3,,POINT (-77.1404323 -11.732138),1740739941,0.028704978021238375
273930078,3,,POINT (-77.14114309999999 -11.732959),1740739941,0.027634503937651194
273930190,3,,POINT (-77.1389236 -11.7331379),1740739941,0.028694179948204095
273930191,4,,POINT (-77.13867519999999 -11.7333689),1740739941,0.02864940219446101
273930423,4,,POINT (-77.1416875 -11.7294875),1740739941,0.030412939835698052
273930425,4,,POINT (-77.14156800000001 -11.7307706),1740739941,0.029329073733237555
273930549,4,,POINT (-77.1468765 -11.7340453),1740739941,0.02414516173915226
273930690,4,,POINT (-77.14575240000001 -11.7323363),1740739941,0.026144468105122477
273930814,4,,POINT (-77.1427095 -11.73085),1740739941,0.02873774962657949
273930815,3,,POINT (-77.1425685 -11.7323178),1740739941,0.02749343275329465
273930816,3,,POINT (-77.14404140000001 -11.7323973),1740739941,0.026766606256671883
273930949,3,,POINT (-77.14397219999999 -11.7334497),1740739941,0.025847652537513897
273931150,3,,POINT (-77.1398164 -11.7346542),1740739941,0.026940365999923256
273931152,3,,POINT (-77.1410884 -11.7335787),1740739941,0.027134053347404284
273931288,3,,POINT (-77.1417744 -11.7329809),1740739941,0.02729559612574534
273931424,3,,POINT (-77.14096259999999 -11.7359437),1740739941,0.025226354340252936
273931425,3,,POINT (-77.14172840000001 -11.7336563),1740739941,0.026735692332530227
273932069,3,,POINT (-77.1463006 -11.7419641),1740739941,0.017260771807188068
273932231,3,,POINT (-77.1440487 -11.7369584),1740739941,0.0227138069376287
273932232,3,,POINT (-77.1447766 -11.7363862),1740739941,0.022864868940142096
273932233,3,,POINT (-77.1441622 -11.7357257),1740739941,0.02373619052206908
273932234,3,,POINT (-77.1434892 -11.7363011),1740739941,0.023563129507341338
273932323,3,,POINT (-77.1453065 -11.7353679),1740739941,0.023540073389218916
273932324,3,,POINT (-77.1444707 -11.7360573),1740739941,0.02329843547729907
273932406,4,,POINT (-77.1453854 -11.7338724),1740739941,0.02486807448135106
273932407,3,,POINT (-77.1453561 -11.7344282),1740739941,0.024372220227133045
273932409,4,,POINT (-77.14677330000001 -11.7354644),1740739941,0.022861159649497254
273932686,3,,POINT (-77.14369170000001 -11.7390397),1740739941,0.021131254237498
273932687,3,,POINT (-77.1439115 -11.7387839),1740739941,0.021225229925017366
273932688,4,,POINT (-77.14651859999999 -11.7389661),1740739941,0.019774321980285347
273932752,4,,POINT (-77.1491284 -11.7391336),1740739941,0.01859242713821864
273932753,3,,POINT (-77.14786460000001 -11.7376355),1740739941,0.020439844729837002
273932754,4,,POINT (-77.1466204 -11.7375634),1740739941,0.020994937166131517
273932755,3,,POINT (-77.14516 -11.7374787),1740739941,0.021719805901982234
273932756,3,,POINT (-77.1444309 -11.736658),1740739941,0.02278851974218152
273932771,4,,POINT (-77.14603580000001 -11.7389347),1740739941,0.020023146376625583
273932931,3,,POINT (-77.14731519999999 -11.7376036),1740739941,0.02067759138608764
273932933,3,,POINT (-77.1471177 -11.7405847),1740739941,0.01805988862784046
273932935,3,,POINT (-77.1464058 -11.7405175),1740739941,0.01845523425210271
273932974,4,,POINT (-77.1428035 -11.7348615),1740739941,0.025152359258127487
273932978,4,,POINT (-77.147222 -11.7390113),1740739941,0.019428169246224265
273933392,3,,POINT (-77.147685 -11.7341045),1740739941,0.02381632290048029
273933395,3,,POINT (-77.14856 -11.733598),1740739941,0.024033333656607973
273933396,4,,POINT (-77.1466842 -11.7315099),1740739941,0.02659535011425755
273933406,3,,POINT (-77.1438289 -11.7360107),1740739941,0.023646466108275664
273933554,3,,POINT (-77.1443469 -11.7338093),1740739941,0.02536020400647032
273933569,3,,POINT (-77.141414 -11.7364415),1740739941,0.024560023454791875
273933571,4,,POINT (-77.1420617 -11.7361903),1740739941,0.024407631681296955
273933786,3,,POINT (-77.1425405 -11.7377314),1740739941,0.022859190797576225
273933788,3,,POINT (-77.1437937 -11.7366589),1740739941,0.02310070644914976
273933856,3,,POINT (-77.14620309999999 -11.7364782),1740739941,0.02215539353295236
273933857,4,,POINT (-77.14669720000001 -11.7365101),1740739941,0.0219260033608452
273933916,3,,POINT (-77.14616719999999 -11.737045),1740739941,0.021656049060943865
273933917,4,,POINT (-77.14613199999999 -11.737535),1740739941,0.021228958308170093
273935183,3,,POINT (-77.145054 -11.7388707),1740739941,0.02055512239856189
273935240,3,,POINT (-77.1366805 -11.7336411),1740739941,0.029644907907597093
273935244,3,,POINT (-77.137175 -11.733975),1740739941,0.029074393621361567
273935248,4,,POINT (-77.1386321 -11.7353094),1740739941,0.02712323276455014
273935249,4,,POINT (-77.13934209999999 -11.7360824),1740739941,0.026076909943473135
273935250,3,,POINT (-77.13701330000001 -11.7321787),1740739941,0.030592444406577487
273935251,4,,POINT (-77.1375702 -11.7328169),1740739941,0.02974777584458816
273935252,3,,POINT (-77.1399528 -11.7355602),1740739941,0.02612533539631075
273935273,4,,POINT (-77.1377102 -11.7353244),1740739941,0.027690488609805972
273935274,4,,POINT (-77.1377766 -11.7362553),1740739941,0.026936903020577295
273935276,4,,POINT (-77.1378874 -11.7372956),1740739941,0.02608393524930512
273935433,3,,POINT (-77.1366221 -11.7353422),1740739941,0.028383897836624285
273935462,4,,POINT (-77.1381033 -11.735318),1740739941,0.027446258633918117
273935463,3,,POINT (-77.1381488 -11.7362237),1740739941,0.026719269833211053
273935466,3,,POINT (-77.1384047 -11.7368839),1740739941,0.026050709185163397
273935536,3,,POINT (-77.1366634 -11.7363498),6495434989,0.027604289884902104
273935539,3,,POINT (-77.1367339 -11.733242),1740739941,0.029922321845737877
273935541,4,,POINT (-77.1379278 -11.7325241),1740739941,0.02977175333264491
273936018,4,,POINT (-77.1404699 -11.7306903),1740739941,0.029931588668994816
273936022,3,,POINT (-77.1381013 -11.7346991),1740739941,0.027931077781741892
273936023,3,,POINT (-77.1377258 -11.7343689),1740739941,0.028422957066777478
273937751,3,,POINT (-77.1464861 -11.7498475),1740739946,0.010992049543192717
273937752,4,,POINT (-77.1502638 -11.7465381),1740739941,0.011326955005644101
273937813,3,,POINT (-77.14639940000001 -11.7497526),1740739946,0.011120590974401493
273937814,4,,POINT (-77.1501925 -11.7464602),1740739941,0.011428701375043508
273938482,3,,POINT (-77.1495867 -11.7471891),1740739941,0.011088588130593203
273940635,3,,POINT (-77.1493413 -11.7455152),1740739941,0.012661450553546295
273941670,4,,POINT (-77.1502646 -11.750257),1740739941,0.008183226804259544
273941671,3,,POINT (-77.1500205 -11.7500656),1740739941,0.008485527078501878
273941672,4,,POINT (-77.14791270000001 -11.7477201),1740739941,0.011636301986877862
273941673,3,,POINT (-77.1474166 -11.747167),1740739941,0.012378884833858525
273942975,4,,POINT (-77.14647979999999 -11.7479711),6495434989,0.012398650337032037
273943287,4,,POINT (-77.1492063 -11.7491512),1740739941,0.009708867386049477
273943289,3,,POINT (-77.14727910000001 -11.7507875),1740739946,0.009763322065771591
273943295,3,,POINT (-77.1480827 -11.7516858),1740739946,0.008558203312027507
273943390,4,,POINT (-77.1483679 -11.7463506),1740739941,0.012454941864175012
273943392,3,,POINT (-77.14926509999999 -11.7473496),1740739941,0.011125592500177839
273943697,3,,POINT (-77.1489263 -11.7526289),1740739946,0.007293095213971235
273944023,3,,POINT (-77.1490656 -11.7433093),1740739941,0.014753910259315288
273944210,3,,POINT (-77.1506435 -11.7458481),1740739941,0.011788892341943705
273944951,3,,POINT (-77.13685959999999 -11.7326677),1740739941,0.030296551244324874
273944965,3,,POINT (-77.14033499999999 -11.7352334),1740739941,0.026168141087399156
273947938,3,,POINT (-77.1514907 -11.747921),1740739941,0.009550457197432282
273947940,6,,POINT (-77.15292580000001 -11.7538182),1740739941,0.003743099300038477
273947942,3,,POINT (-77.1540411 -11.7584636),273947942,0.0
273948230,4,,POINT (-77.1562783 -11.7381033),1740739941,0.0185611581861148
273948233,3,,POINT (-77.151426 -11.7554432),1740739946,0.0035312795329759078
1022577410,4,,POINT (-77.16391520000001 -11.7768754),1022577410,0.0
1022577415,4,,POINT (-77.16977300000001 -11.776148),1022577421,8.810051078240781e-05
1022577421,4,,POINT (-77.1697199 -11.7760777),1022577421,0.0
1022577427,4,,POINT (-77.1676908 -11.7733896),1658427022,0.002141213487716904
1022577437,3,,POINT (-77.169431 -11.7756954),1022577437,0.0
1022577445,3,,POINT (-77.1639765 -11.7769356),1022577445,0.0
1044542930,4,,POINT (-77.1655566 -11.780499),5041853020,0.001472413943159517
1044542952,3,,POINT (-77.1549535 -11.784562),1044542952,0.0
1044542970,3,,POINT (-77.1628668 -11.7778571),273430059,0.0011564431157673424
1044543013,3,,POINT (-77.16370240000001 -11.7786922),1658427026,0.0004906531157484432
1044543054,3,,POINT (-77.1536594 -11.7858196),1044543054,0.0
1273451726,3,,POINT (-77.16239880000001 -11.7751578),1756342927,0.0014612529212917938
1273452897,4,,POINT (-77.1717991 -11.7803875),1022577421,0.0047851278645387975
1273454445,3,,POINT (-77.1394592 -11.8168063),1756284276,0.0009890499734678349
1273466329,3,,POINT (-77.1564235 -11.7606873),1273949946,0.0021363728607153307
1273470664,4,,POINT (-77.1362434 -11.8164002),1756284012,0.0015258238332123536
1273470875,4,,POINT (-77.1742962 -11.773404),1756333213,0.002358664037123232
1273471100,4,,POINT (-77.1738355 -11.7737658),1756333213,0.0023131151916844367
1273471599,4,,POINT (-77.1552324 -11.7584321),1273471599,0.0
1273472913,3,,POINT (-77.1609134 -11.7524828),1273585098,0.006718645436393134
1273473903,3,,POINT (-77.1586357 -11.7588251),1273949946,0.0007552733280103988
1273475429,3,,POINT (-77.1528928 -11.7473109),1740739941,0.00965815595338699
1273481752,4,,POINT (-77.1731856 -11.773038),1756333213,0.0013477804569002037
1273481862,4,,POINT (-77.16233579999999 -11.7726617),9844754018,0.0022478142360973963
1273483745,3,,POINT (-77.1585419 -11.7555955),1273585098,0.002842638077561236
1273484069,4,,POINT (-77.1371606 -11.8151253),1273484069,0.0
1273484463,3,,POINT (-77.1348072 -11.8147288),5043155925,0.0004910366381389173
1273486479,4,,POINT (-77.173626 -11.7726844),1756333213,0.0013870686212323464
1273500081,3,,POINT (-77.16945 -11.7792183),1022577421,0.0031521761324525867
