osmid,street_count,highway,ref,geometry,NN,NN_dist
180990793,3,,,POINT (-76.8360373 -12.0051054),1847107927,9.428478138196676e-05
181327500,4,,,POINT (-76.8336554 -12.0083945),181327500,0.0
181327639,4,,,POINT (-76.8316519 -12.0088082),181327639,0.0
181327978,3,,,POINT (-76.8292849 -12.0096804),181327978,0.0
181328697,4,,,POINT (-76.8305872 -12.0071802),4286744317,0.0011549481590117378
181937927,3,,,POINT (-76.8284141 -12.0090943),181937927,0.0
181937931,3,,,POINT (-76.82971980000001 -12.0101665),1273755869,9.63205585591908e-05
181948325,4,,,POINT (-76.8215265 -12.0158452),181948325,0.0
181975622,3,,,POINT (-76.8173638 -12.0167901),181975622,0.0
181983357,5,traffic_signals,,POINT (-76.8267834 -12.0074128),181983357,0.0
182002930,3,,,POINT (-76.81491219999999 -12.0179807),1745910609,0.0017757016697663034
182237534,4,,,POINT (-76.83252779999999 -12.0066543),3308608562,0.0019497581619255476
182402424,3,,,POINT (-76.9353364 -12.042263),331607180,0.0010839362389039118
182464536,3,,,POINT (-76.9382092 -12.062778),8375293737,0.002228081901545962
316630946,3,,,POINT (-76.89934169999999 -12.0192008),5734396514,0.0004386083104505787
331603369,3,,,POINT (-76.83760839999999 -11.9990277),331603369,0.0
331606760,3,,,POINT (-76.8462763 -12.0055739),331606760,0.0
331607171,3,crossing,,POINT (-76.9199062 -12.025939),4276497606,0.0006490291904094979
331607180,3,,,POINT (-76.9361523 -12.0429766),331607180,0.0
331607181,4,,,POINT (-76.93634969999999 -12.0431144),331607181,0.0
471054232,3,,,POINT (-76.93986719999999 -12.0642333),8375293737,4.951615898516313e-05
471054674,3,,,POINT (-76.93940790000001 -12.0643602),8375293737,0.0005256409896455533
471054994,3,,,POINT (-76.9388132 -12.0632705),8375293737,0.0014489004141097811
471055003,4,,,POINT (-76.93613430000001 -12.0469029),5582931370,0.0030277596337842006
471055008,3,,,POINT (-76.93435580000001 -12.0445511),1746761887,0.0021619477560818226
471056823,3,,,POINT (-76.938986 -12.0640653),8375293737,0.0009386532533389775
471062016,4,traffic_signals,,POINT (-76.9608298 -12.0626269),471062016,0.0
471062018,4,,,POINT (-76.96301920000001 -12.0580413),471062018,0.0
471062019,4,,,POINT (-76.9630722 -12.0579228),1577492005,0.00011802546336062238
471062020,3,,,POINT (-76.9643557 -12.0551561),471062020,0.0
471062031,3,traffic_signals,,POINT (-76.9645465 -12.0547414),471062031,0.0
471062304,4,traffic_signals,,POINT (-76.9609691 -12.0626829),471062304,0.0
471062559,3,,,POINT (-76.9535551 -12.055082),471062564,0.001175742429279537
471062564,4,,,POINT (-76.9527126 -12.0559021),471062564,0.0
471062568,4,traffic_signals,,POINT (-76.9517659 -12.0602871),471062568,0.0
471063010,4,traffic_signals,,POINT (-76.95162120000001 -12.0602221),471063010,0.0
471063015,3,,,POINT (-76.9521216 -12.0572843),4172421526,0.0004509230089511654
503718732,4,,,POINT (-76.94558600000001 -12.0544915),1574756032,0.002377402180956863
503718746,4,,,POINT (-76.9459511 -12.0545645),1574756112,0.0024710958156292234
1024451880,3,crossing,,POINT (-76.96819739999999 -12.0565186),5711943183,0.00025716424712049084
1024451886,4,,,POINT (-76.9652267 -12.0635893),1024462914,0.0007454958350024398
1024451889,4,traffic_signals,,POINT (-76.9650656 -12.0643285),1024462914,0.0001566025861940215
1024451897,3,,,POINT (-76.9653907 -12.0629068),1024462914,0.0014410972520990252
1024462893,4,,,POINT (-76.96507920000001 -12.0635284),1024462914,0.0007574686396188164
1024462914,4,traffic_signals,,POINT (-76.96492069999999 -12.0642691),1024462914,0.0
1024462915,3,,,POINT (-76.9660032 -12.0614723),1024462915,0.0
1158423265,4,,,POINT (-76.9420686 -12.0605877),503718752,0.00033819871378023224
1158425632,4,,,POINT (-76.9421258 -12.0604925),1833867494,0.0003369347859799206
1158425702,4,,,POINT (-76.93996919999999 -12.0596433),503718752,0.0026390237304822115
1158426336,3,,,POINT (-76.93843939999999 -12.0595926),503718752,0.004092015625590494
1273449639,4,,,POINT (-76.9344827 -12.0260418),1273796961,0.0003418323126948394
1273449914,3,,,POINT (-76.92492470000001 -12.025046),1273889928,0.0030653038756383835
1273451532,3,,,POINT (-76.8791751 -12.020558),1273451532,0.0
1273452129,4,,,POINT (-76.938577 -12.0386989),4276378236,0.0041967842165168195
1273452700,4,,,POINT (-76.9245045 -12.0283368),1273452700,0.0
1273454010,3,,,POINT (-76.9385211 -12.0346658),1577492215,0.0016915777989791863
1273454331,3,,,POINT (-76.8400687 -12.0169238),1570071273,0.007872362355104077
1273454479,3,,,POINT (-76.8919878 -12.021238),1273454479,0.0
1273455249,3,,,POINT (-76.8375023 -12.0182049),5000459181,0.007876724840314108
1273455284,3,,,POINT (-76.9285433 -12.0422252),1577277196,0.001975840985505488
1273455572,3,,,POINT (-76.9377946 -12.0377203),4276378236,0.00319051635320327
1273455734,3,,,POINT (-76.9345805 -12.0256166),1273796961,0.000774946559448217
1273455743,3,,,POINT (-76.9071053 -12.0292149),4512339318,0.002009036647252522
1273456551,4,,,POINT (-76.9094971 -12.0295203),1746736404,0.003327533092249181
1273456584,4,,,POINT (-76.88829699999999 -12.0371152),5734473084,0.0030135576981466794
1273457057,3,,,POINT (-76.8930156 -12.028666),1273743630,0.00042622516350019376
1273457841,3,,,POINT (-76.8865667 -12.0192262),1273594967,0.0006744900666500794
1273458727,3,,,POINT (-76.9348054 -12.0311084),1577492056,0.0017395295513438114
1273459845,3,,,POINT (-76.9395543 -12.0615089),8375293737,0.0027287521433804166
1273461129,3,,,POINT (-76.9148691 -12.0242937),1273461129,0.0
1273461289,3,,,POINT (-76.9586826 -12.0560556),1273461289,0.0
1273461466,3,,,POINT (-76.9262497 -12.0416656),1577277196,0.004336700137203637
1273461495,3,,,POINT (-76.9250474 -12.0265862),1273452700,0.0018328504494357963
1273462852,3,,,POINT (-76.8846319 -12.019343),1273901905,0.0007980113094426949
1273464004,4,,,POINT (-76.92616959999999 -12.0346499),2179702589,0.0022219700493089543
1273464131,4,,,POINT (-76.9064478 -12.0291331),4512339318,0.0014081628385934509
1273464198,3,,,POINT (-76.87398039999999 -12.0200596),1745826849,0.004453540714990135
1273464203,3,,,POINT (-76.9402797 -12.0566929),1574755994,0.0038915783353305083
1273464648,3,,,POINT (-76.9410287 -12.0257621),1752585660,0.0030756852147077528
1273464951,4,,,POINT (-76.9294527 -12.0397461),1273605783,0.0015144024366064172
1273466181,3,,,POINT (-76.9268775 -12.033285),4357886275,0.0008136869729730763
1273466728,3,,,POINT (-76.8355708 -12.0022405),8973089375,0.0014063567257314878
1273467277,3,,,POINT (-76.96122990000001 -12.0591635),5711796782,0.0012638766158041455
1273467809,3,,,POINT (-76.9390983 -12.0527792),1574756124,0.002228335147599314
1273468344,3,,,POINT (-76.92767190000001 -12.029313),1575375153,0.0005980036203966306
1273468434,3,,,POINT (-76.9442583 -12.0559242),1574756032,0.0006742109536345724
1273468991,4,,,POINT (-76.8848495 -12.0179711),1273901905,0.0005943512261285414
1273471323,3,,,POINT (-76.9234214 -12.0240139),5049891372,0.0030650208889984065
1273471907,3,,,POINT (-76.8886813 -12.0226776),1745827093,0.0011806246482310872
1273472160,4,,,POINT (-76.8217732 -12.0164113),1273472160,0.0
1273472931,3,,,POINT (-76.93025249999999 -12.0364389),1273472931,0.0
1273473366,3,,,POINT (-76.9027808 -12.0234739),1746736293,0.0013780041944773608
1273473765,3,,,POINT (-76.8750544 -12.0175946),1745826849,0.004386791504053568
1273474555,3,,,POINT (-76.9299292 -12.0399115),1273605783,0.001010012301900425
1273474785,3,,,POINT (-76.923782 -12.0264628),1273889928,0.0013819331532321487
1273476518,3,,,POINT (-76.9374478 -12.0358919),1575375370,0.002109662423231753
1273476652,4,,,POINT (-76.8226982 -12.015798),1745866411,0.0005908488808532709
1273477470,3,,,POINT (-76.9317338 -12.0351763),1273472931,0.0019463834283171178
1273477751,4,,,POINT (-76.92985640000001 -12.0301596),1577492169,0.001912271960261381
1273479731,3,,,POINT (-76.93374559999999 -12.0301581),1577491982,0.0013952503717995484
1273482291,3,,,POINT (-76.9285136 -12.044173),1575375185,0.002057375106776888
1273484309,3,,,POINT (-76.888992 -12.0202364),5497637359,0.001618866964893364
1273484662,3,,,POINT (-76.9207253 -12.0352381),1273484662,0.0
1273485455,3,,,POINT (-76.9551139 -12.0560626),1577492029,0.0014233000667484915
1273487598,4,,,POINT (-76.9054206 -12.026672),1273487598,0.0
1273487782,4,,,POINT (-76.84095379999999 -12.015414),4739878876,0.006341891078377377
1273489187,3,,,POINT (-76.90759370000001 -12.0303002),1746736518,0.0027109922408691833
1273490828,4,,,POINT (-76.8398542 -12.0153425),1570071273,0.0063482280023677735
