osmid,highway,street_count,geometry,NN,NN_dist
331603397,traffic_signals,4,POINT (-76.7475232 -11.9687393),331603397,0.0
331603462,traffic_signals,3,POINT (-76.74751259999999 -11.968673),331603397,6.714201367266053e-05
331604739,,3,POINT (-76.7744952 -11.9769526),331604739,0.0
541411778,,3,POINT (-76.746022 -11.9684041),5401301831,0.0003662987851512522
1273456695,,3,POINT (-76.7653153 -11.9743411),1273456695,0.0
1273462857,,4,POINT (-76.8199611 -11.9861401),8858981459,6.619199347436133e-05
1273464271,,4,POINT (-76.82747139999999 -11.9947497),1745959757,0.005800690811453369
1273467182,,4,POINT (-76.78467139999999 -11.9779745),7120170538,0.001101116074713376
1273469389,,1,POINT (-76.7740378 -11.9762349),1273902257,0.0005967906249289037
1273470510,,3,POINT (-76.8189677 -11.9929952),5735090777,0.003385110794342671
1273471609,,3,POINT (-76.8098478 -11.9867863),9488304309,0.0023243890380000107
1273474148,,4,POINT (-76.7700499 -11.9765083),4374712457,0.0008664871608948346
1273474274,,4,POINT (-76.75019829999999 -11.9731262),1524458647,0.0032408436833651676
1273483794,,3,POINT (-76.80800050000001 -11.9860143),9488304309,0.004229732394597374
1273489510,,3,POINT (-76.81746080000001 -11.9873618),8858981451,0.001786054870371052
1273489777,,3,POINT (-76.7914825 -11.9804142),7684076214,0.00585554073677676
1273490032,,3,POINT (-76.81497450000001 -11.9843965),9488304309,0.00364007896755795
1273499014,,3,POINT (-76.77335429999999 -11.9755846),4796936283,0.0011128652254342665
1273501070,,3,POINT (-76.82717510000001 -11.9955629),1745959757,0.005959210090267281
1273501082,,3,POINT (-76.77640599999999 -11.9767903),1846066006,0.0007999492483879625
1273501417,,3,POINT (-76.7906905 -11.9797298),7120170538,0.006305577538170271
1273506543,,3,POINT (-76.81614209999999 -11.9863945),8858981452,0.0033694240412888068
1273521879,,3,POINT (-76.820465 -11.9965777),5735090777,0.006202336757222393
1273524491,,3,POINT (-76.816992 -11.9871657),8858981451,0.0022901096414797233
1273537082,,3,POINT (-76.8194096 -11.9936239),5735090777,0.003655007065654496
1273546839,,3,POINT (-76.7719002 -11.9784001),4796936283,0.002120895388746172
1273558880,,3,POINT (-76.7793308 -11.9809145),1745790471,0.00335242840341182
1273566274,,3,POINT (-76.7674243 -11.9738007),1524458646,0.0009488696064260459
1273570070,,3,POINT (-76.8223137 -11.9922664),5735090777,0.002183182843922184
1273577468,,3,POINT (-76.81889510000001 -11.993955),5735090777,0.004202140055966343
1273581665,,4,POINT (-76.7661262 -11.9736135),1273730716,0.0009368779643019948
1273585471,,4,POINT (-76.8055542 -11.9849957),6277684472,0.002724952581240642
1273586401,,3,POINT (-76.8052067 -11.9858397),6277684472,0.003055116547693276
1273586521,,3,POINT (-76.78000520000001 -11.9788781),1273750648,0.0019569247430512118
1273587215,,4,POINT (-76.8194029 -11.9874575),8858981452,6.049338807260668e-05
1273588151,,3,POINT (-76.7490604 -11.9754835),1524458647,0.0058510937712504575
1273590871,,4,POINT (-76.77091420000001 -11.977639),1524458694,0.0016846718968383109
1273591627,,3,POINT (-76.81347510000001 -11.984216),9488304309,0.002821818821262104
