osmid,street_count,ref,highway,geometry,NN,NN_dist
182439939,3,,,POINT (-76.9769446 -12.2182515),182439939,0.0
258310049,3,,,POINT (-77.0257215 -12.1610552),4344532847,0.002271375039482166
258310168,3,,,POINT (-77.0279769 -12.1657255),1813624347,0.0026290117268587257
258310179,3,,,POINT (-77.033502 -12.1671764),347935970,0.005640732498536154
289311282,3,18B,motorway_junction,POINT (-76.97709930000001 -12.2179852),289311282,0.0
289311410,3,18C,motorway_junction,POINT (-76.9750238 -12.2219338),266954463,0.0008055206018479825
289311528,4,,,POINT (-76.9814113 -12.2152219),289311528,0.0
289311770,3,,,POINT (-76.9789408 -12.2177654),289312567,0.0004526752699219442
289311774,3,,,POINT (-76.9758647 -12.2213424),289311774,0.0
289312127,3,,,POINT (-76.9787664 -12.2178426),289312567,0.0006368309822908498
289312567,3,,,POINT (-76.9792781 -12.2174635),289312567,0.0
289312609,3,,,POINT (-76.9779336 -12.217977),289311282,0.0008343402962759973
304905060,3,,,POINT (-77.00766299999999 -12.1813985),306073869,0.0026283972169382883
304905064,3,,,POINT (-77.00791529999999 -12.1808927),346473955,0.002600699246360049
304905076,3,,traffic_signals,POINT (-77.0190982 -12.1678934),304905076,0.0
304905083,3,,,POINT (-77.0189587 -12.1681752),304905083,0.0
304905111,4,,,POINT (-77.0056057 -12.174523),304905135,0.0015152985481428774
304905112,3,,,POINT (-77.0058873 -12.1750221),304905147,0.0017110059555722778
304905124,5,,traffic_signals,POINT (-77.012441 -12.1813474),304905124,0.0
304905135,3,,,POINT (-77.0044862 -12.1735018),304905135,0.0
304905143,3,,,POINT (-77.0054428 -12.1743077),304905135,0.0012508230770135792
304905145,4,,,POINT (-77.00477890000001 -12.1784126),1229111518,9.024040114991797e-05
304905146,4,,,POINT (-77.0058124 -12.1775511),304905184,0.00014036000142665604
304905147,4,,traffic_signals,POINT (-77.0067806 -12.1764814),304905147,0.0
304905184,4,,,POINT (-77.0058966 -12.1776634),304905184,0.0
304905185,4,,traffic_signals,POINT (-77.00687809999999 -12.1765757),304905147,0.00013564195515853894
304905196,3,,,POINT (-77.0052227 -12.1798546),6302798388,0.0013166902521101135
304905199,4,,,POINT (-77.0028966 -12.1740748),6131047552,8.626389742736465e-05
304905212,4,,,POINT (-77.001761 -12.1744452),1753892132,9.038429067173329e-05
304905220,3,,,POINT (-77.0027532 -12.1759189),4275973903,0.0017243596492615568
304905225,4,,,POINT (-77.0038713 -12.1758823),309582383,0.002137095416681297
304905226,3,,,POINT (-77.00421110000001 -12.1756796),309582383,0.001959027424515766
306073564,3,,,POINT (-77.007733 -12.1845796),306073564,0.0
306073629,3,,,POINT (-77.0042011 -12.1768272),1229111518,0.0017776383462324615
306073638,3,,,POINT (-77.0018675 -12.1775427),6302798388,0.002883215533047163
306073641,3,,,POINT (-77.0007458 -12.1791384),1229111515,0.0019735766617964916
306073706,3,,,POINT (-77.0064732 -12.1834736),306073828,0.001402661505844445
306073820,3,,,POINT (-77.0076497 -12.1863976),306073820,0.0
306073825,3,,,POINT (-77.00730129999999 -12.184717),306073825,0.0
306073828,3,,traffic_signals,POINT (-77.00775109999999 -12.1840519),306073828,0.0
306073831,3,,,POINT (-77.01000929999999 -12.1833154),860682663,0.0012709146824203034
306073832,4,,,POINT (-77.0104626 -12.1830943),4354896252,0.0016795602311313789
306073850,3,,traffic_signals,POINT (-77.0079989 -12.1842085),306073850,0.0
306073869,4,,traffic_signals,POINT (-77.0079922 -12.1840062),306073869,0.0
306073899,3,,,POINT (-77.0041863 -12.1788844),6302798388,0.00031213807842311766
308132027,3,,,POINT (-77.02552300000001 -12.1625172),3826930086,0.002131666624975429
308132128,3,,,POINT (-77.0259681 -12.162338),3826930086,0.0025798137238967323
308132236,3,,,POINT (-77.0258367 -12.1616785),4344532847,0.0024331447963415955
308132402,3,,,POINT (-77.0253448 -12.1617294),4344532847,0.0019674037968782886
308132536,3,,,POINT (-77.0322626 -12.1676771),347935970,0.004311320968103599
308132539,3,,,POINT (-77.02953960000001 -12.1674297),1757653595,0.0024260852932316015
308132540,3,,crossing,POINT (-77.0268712 -12.1663311),1813624347,0.001395192793124814
308132586,3,,,POINT (-77.0260905 -12.1658446),1273705335,0.0012145266155966035
308132589,3,,,POINT (-77.0259643 -12.1657306),1273705335,0.001217822097023416
309581746,4,,,POINT (-77.0249893 -12.1604307),4344532847,0.0017111640248627942
309581752,3,,,POINT (-77.0250254 -12.1633894),3826930086,0.001873278196109217
309581766,3,,,POINT (-77.02514410000001 -12.1586079),4344532847,0.0030828381858276923
309581823,3,,,POINT (-77.022639 -12.1636701),1813624307,0.00032768669487808416
309581835,3,,,POINT (-77.02430440000001 -12.1668852),371264698,9.1321027151861e-05
309581836,3,,,POINT (-77.01974130000001 -12.1626031),309581836,0.0
309581838,4,,,POINT (-77.01934420000001 -12.1621954),309581838,0.0
309581942,3,,,POINT (-77.0193903 -12.162524),309581838,0.00033181797720880453
309581952,3,,,POINT (-77.0194688 -12.1632045),309581836,0.000660256169986655
309582256,4,,,POINT (-76.9932632 -12.180754),3453096713,6.926875197169193e-05
309582379,3,,,POINT (-77.00066289999999 -12.1747221),1753892132,0.0011282524274317481
309582383,3,,,POINT (-77.0039002 -12.1737454),309582383,0.0
309582388,3,,,POINT (-77.0045921 -12.1734323),304905135,0.00012666909646321035
309582541,3,,,POINT (-77.0075523 -12.1695123),304905135,0.00503160803918566
309583113,4,,,POINT (-76.97804979999999 -12.1970247),4356786026,0.00012074887163676417
309583133,4,,,POINT (-76.99076100000001 -12.1847519),309583133,0.0
309583140,3,,,POINT (-76.9914551 -12.1825174),309583143,0.00046016071105565526
309583143,3,,,POINT (-76.9915183 -12.1820616),309583143,0.0
309583178,4,,traffic_signals,POINT (-76.9963958 -12.1782225),1229283809,8.798909023027051e-05
309583231,3,,,POINT (-77.005252 -12.1844101),2833643631,0.0005769301690832686
309583390,3,,,POINT (-76.9912635 -12.1744669),309583451,0.0002441620773144892
309583429,3,,,POINT (-76.9826736 -12.1724004),309583429,0.0
309583451,3,,,POINT (-76.9914541 -12.1743143),309583451,0.0
309583472,3,,,POINT (-76.99464690000001 -12.1718535),1273982447,0.00262017747489668
309583473,3,,,POINT (-76.9952376 -12.1725133),1273982447,0.0026496464537756484
309583598,5,,traffic_signals,POINT (-76.9995018 -12.1826828),309583598,0.0
309583688,3,,,POINT (-77.0076049 -12.1809198),346473955,0.002862201949543984
309583778,3,,,POINT (-77.0041485 -12.1756079),309582383,0.0018789782170095808
309583793,4,,,POINT (-77.00549719999999 -12.174594),304905135,0.0014882949438814797
309583819,4,,,POINT (-77.0111294 -12.1766126),309583820,0.0005039533410886065
309583820,3,,,POINT (-77.01150579999999 -12.1769477),309583820,0.0
309583828,1,,,POINT (-77.00993819999999 -12.1731043),3725509380,0.0037453739840021013
309583829,5,,traffic_signals,POINT (-77.0069221 -12.1764359),309583829,0.0
310954567,4,,,POINT (-77.0063677 -12.173742),304905135,0.001896770489538857
310954593,3,,,POINT (-77.0062204 -12.171727),304905135,0.002481403772062051
310954598,3,,,POINT (-77.0083376 -12.1708428),304905135,0.004680124246215406
