osmid,street_count,highway,ref,geometry,NN,NN_dist
31043918,4,,,POINT (-77.0597167 -11.9769393),31043918,0.0
31043921,5,,,POINT (-77.0595029 -11.9769902),31043921,0.0
31043922,4,,,POINT (-77.0594006 -11.9766165),31043922,0.0
31043923,4,,,POINT (-77.0595696 -11.976523),31043923,0.0
31080171,4,,,POINT (-77.0559226 -11.966191),31080171,0.0
31080415,5,traffic_signals,,POINT (-77.05953839999999 -11.9764469),31080415,0.0
31080420,4,,,POINT (-77.0617846 -11.964704),31080420,0.0
31080421,4,,,POINT (-77.0625289 -11.9616677),31080421,0.0
31080422,4,,,POINT (-77.06262820000001 -11.9613677),273349943,0.0001374022561680723
31080429,4,,,POINT (-77.0646818 -11.952472),273928116,0.0004439401986737741
31080488,3,,,POINT (-77.0520449 -11.9263527),1305701543,0.00030006667592669557
31080492,3,,,POINT (-77.05555510000001 -11.9337471),1305701058,0.00023683270466499733
31080495,3,,,POINT (-77.05989940000001 -11.9415485),1305701551,0.00022307391150736312
31080499,4,traffic_signals,,POINT (-77.06054589999999 -11.9459934),769223680,0.0002289198331384605
31080505,3,,,POINT (-77.05988189999999 -11.9562261),1305701215,0.00022442504317650013
31080516,4,traffic_signals,,POINT (-77.053746 -11.9300389),31080516,0.0
31080517,3,,,POINT (-77.0559181 -11.9339562),1305701870,0.00023652714431864505
31080523,3,,,POINT (-77.06072159999999 -11.9435812),1305701219,0.0003728591825318822
31080530,4,,,POINT (-77.060005 -11.9554411),31080530,0.0
273349943,4,,,POINT (-77.06275290000001 -11.9614254),273349943,0.0
273428524,4,,,POINT (-77.05965310000001 -11.9749919),31080415,0.001459513991026682
273428687,4,,,POINT (-77.066418 -11.9452604),273428687,0.0
273428699,3,,,POINT (-77.0578127 -11.9491416),1305701408,0.00333763173073192
273428704,4,,,POINT (-77.0559834 -11.9507048),273428841,0.004868740223097161
273428795,4,,,POINT (-77.0564885 -11.9506399),1305701300,0.0050595519999280135
273428798,4,,,POINT (-77.0579255 -11.9491814),1305701408,0.00327640062416133
273428802,3,,,POINT (-77.0588199 -11.9468659),1305701408,0.0016008855611759217
273428804,3,,,POINT (-77.0598241 -11.9463062),1273122231,0.0008344842359232262
273428841,4,,,POINT (-77.0514694 -11.9525292),273428841,0.0
273428842,4,,,POINT (-77.05298550000001 -11.9520528),273428841,0.0015891872671307948
273428979,4,,,POINT (-77.060163 -11.9645121),273429036,0.00012004540807448587
273428987,3,,,POINT (-77.0586947 -11.9586078),1273121608,0.00015623331910798567
273428988,4,,,POINT (-77.0577256 -11.9557959),769223695,0.0001286131019745194
273428990,4,,,POINT (-77.0560273 -11.9508262),273428841,0.004865661456570372
273429036,4,,,POINT (-77.0600433 -11.964503),273429036,0.0
273429138,4,,,POINT (-77.05599770000001 -11.9659587),1295957778,0.00011468203870017986
273429172,3,,,POINT (-77.0606032 -11.9646216),273429036,0.0005723233089771006
273429178,4,,,POINT (-77.05610009999999 -11.9660978),273429178,0.0
273429229,3,,,POINT (-77.0570914 -11.9677674),1330494940,0.0005172432019841634
273922616,4,,,POINT (-77.063171 -11.9553823),1273121954,0.00013392105883339145
273922618,4,,,POINT (-77.0638593 -11.955616),273923291,0.0001401337218534723
273922619,4,,,POINT (-77.06399589999999 -11.9556667),273923292,0.00014181554921474367
273923208,4,,,POINT (-77.05544380000001 -11.9563267),769223676,0.002223228823128832
273923214,4,,,POINT (-77.0575948 -11.9558582),769223676,0.0001222180428589719
273923216,3,,,POINT (-77.0588685 -11.9554198),1273121852,0.0008193478626322418
