osmid,street_count,highway,ref,geometry,NN,NN_dist
31040287,3,,,POINT (-77.0612641 -12.0043119),31040287,0.0
31040302,3,,,POINT (-77.058111 -12.0037202),4439656976,0.00021177735950598186
31040304,4,,,POINT (-77.06169079999999 -12.0041081),31040304,0.0
31040409,3,,,POINT (-77.058513 -11.9976071),6290549161,0.00017627348071461738
31040411,3,,,POINT (-77.057832 -12.0024254),3501081447,0.0005379321146772841
31040412,3,,,POINT (-77.0577203 -12.0032621),842510813,0.00017213976878630675
31040415,3,,,POINT (-77.0576867 -12.0037879),31040415,0.0
31041260,4,traffic_signals,,POINT (-77.0550446 -11.9977285),31041260,0.0
31041263,4,,,POINT (-77.0553937 -11.9952383),1332057682,0.00043423753867835455
31041264,3,,,POINT (-77.05604409999999 -11.9941721),1332057682,0.0016831381761421517
31041390,3,,,POINT (-77.0575659 -11.9857104),31041390,0.0
31041475,4,,,POINT (-77.0572087 -11.9890743),769214446,0.00010155244950259841
31041481,3,,,POINT (-77.0580587 -11.9868434),5629084829,0.0008056358544708249
273427148,4,,,POINT (-77.0611814 -11.9835799),273427148,0.0
273427149,3,,,POINT (-77.06249390000001 -11.9837911),273427148,0.0013293839513210633
273427242,3,,,POINT (-77.0598061 -11.9779814),844402496,0.00016060348688545255
273428328,3,,,POINT (-77.0587912 -11.9891732),3501099344,0.0007213126922468213
273428359,4,,,POINT (-77.0572138 -11.9889355),273428359,0.0
273428365,3,,,POINT (-77.05683860000001 -11.9887131),273428365,0.0
273948494,3,,,POINT (-77.06353660000001 -11.9939515),273948494,0.0
289365894,3,,,POINT (-77.0544857 -12.007425),4326163860,0.0001283263418007648
289365895,3,,,POINT (-77.06015379999999 -12.0081978),289365895,0.0
769214446,4,,,POINT (-77.0571084 -11.9890584),769214446,0.0
817302963,3,,,POINT (-77.053524 -12.0080626),817302963,0.0
817303007,3,,,POINT (-77.0548082 -12.0009212),817303007,0.0
817305984,3,,,POINT (-77.05474580000001 -12.0033127),817305984,0.0
817305986,4,traffic_signals,,POINT (-77.0546631 -12.0037863),817305986,0.0
817305988,3,traffic_signals,,POINT (-77.05429100000001 -12.0056742),817305988,0.0
825400182,3,,,POINT (-77.055424 -11.9977328),825400182,0.0
827153126,3,,,POINT (-77.0505374 -12.0055816),1870265555,0.0033994690556120037
827153127,4,,,POINT (-77.05250599999999 -12.0059446),1870265555,0.0013976811152877158
827153129,3,,,POINT (-77.0521396 -12.0078118),817302963,0.0014069342557411788
