osmid,street_count,highway,geometry,NN,NN_dist
263109791,3,,POINT (-77.0462175 -12.0830242),263109791,0.0
263109793,4,,POINT (-77.0458149 -12.0827161),263109793,0.0
263109794,3,,POINT (-77.04557730000001 -12.0825811),263109794,0.0
263109809,4,traffic_signals,POINT (-77.04218160000001 -12.0796892),263109809,0.0
263109810,4,traffic_signals,POINT (-77.0421652 -12.0795654),263109810,0.0
263109813,4,,POINT (-77.0420821 -12.076562),263109813,0.0
263109815,4,,POINT (-77.0420852 -12.0764944),263109813,6.767104255098282e-05
263109818,4,traffic_signals,POINT (-77.0419957 -12.075194),263109818,0.0
263109819,4,traffic_signals,POINT (-77.0419773 -12.07505),263109819,0.0
263109823,4,traffic_signals,POINT (-77.04179809999999 -12.0738257),263109823,0.0
263109826,4,traffic_signals,POINT (-77.0411103 -12.0721563),263110784,0.00023686219622075783
263109827,3,,POINT (-77.0405083 -12.0708436),263109827,0.0
263110069,5,,POINT (-77.0507844 -12.0879484),1425922073,0.00011386066045509828
263110070,4,traffic_signals,POINT (-77.05330379999999 -12.0928937),263110071,0.00016496739071887077
263110782,4,,POINT (-77.0407301 -12.0707997),263109827,0.00022610274213828992
263110783,3,,POINT (-77.0408089 -12.0709473),263109827,0.0003179843549637883
263110784,4,traffic_signals,POINT (-77.0413344 -12.0720796),263110784,0.0
263110785,3,,POINT (-77.041624 -12.0727595),263110784,0.000739007557472087
263110787,4,traffic_signals,POINT (-77.0420388 -12.0738196),263110787,0.0
263110790,4,traffic_signals,POINT (-77.04220050000001 -12.0750641),263110792,0.00014295069079798598
263110792,4,traffic_signals,POINT (-77.0422178 -12.075206),263110792,0.0
263110796,7,,POINT (-77.0423169 -12.07652),263110796,0.0
263110797,3,,POINT (-77.0423565 -12.0775986),263109813,0.0010723035577666364
263110798,3,,POINT (-77.0423748 -12.0790313),263109810,0.0005737551481263954
263110799,3,traffic_signals,POINT (-77.042389 -12.0795727),263110800,0.00012276839984240234
263110800,4,traffic_signals,POINT (-77.0424008 -12.0796949),263110800,0.0
263110814,4,,POINT (-77.0457081 -12.0823587),263110814,0.0
