osmid,street_count,highway,geometry,NN,NN_dist
301457363,3,,POINT (-77.11908219999999 -12.0658139),301457363,0.0
301457496,3,,POINT (-77.11877269999999 -12.065485),301457496,0.0
301457499,4,traffic_signals,POINT (-77.1093523 -12.0701729),301457499,0.0
301457502,3,,POINT (-77.1162614 -12.0674306),627796770,0.0003788254083401218
301457511,3,,POINT (-77.1187583 -12.0654149),301457511,0.0
301457523,4,,POINT (-77.11215350000001 -12.0641602),4343330534,0.00012854485598179211
301457524,4,,POINT (-77.1085617 -12.0635411),301457524,0.0
301457525,3,,POINT (-77.10722610000001 -12.0633186),301457524,0.0013540065029288785
301457550,4,,POINT (-77.1087307 -12.0634287),301457550,0.0
309580782,3,,POINT (-77.119741 -12.0655823),309580782,0.0
309580954,3,,POINT (-77.10944189999999 -12.0763034),309580914,0.0012748438531872753
309580957,4,,POINT (-77.11738130000001 -12.0733657),309580957,0.0
309580958,4,,POINT (-77.1207551 -12.0720788),309580958,0.0
309580960,4,,POINT (-77.1233355 -12.0706554),627837028,0.001073027958619568
309580962,4,,POINT (-77.1256764 -12.0697429),627837028,0.003577600796619867
309580964,4,,POINT (-77.1275613 -12.069055),629028909,0.0037351097239662575
309580965,4,,POINT (-77.1310874 -12.067789),629028909,0.0003912755806302703
309580973,4,,POINT (-77.12995100000001 -12.0701585),629028909,0.002894827409363583
309580993,4,,POINT (-77.13173 -12.0695114),437641539,0.0018199452107136266
309581083,4,,POINT (-77.1085384 -12.0644997),309581149,0.0001517622153229896
309581084,3,,POINT (-77.10863569999999 -12.0656579),309581149,0.0012062433916897788
309581149,4,,POINT (-77.1083883 -12.0644773),309581149,0.0
309581200,3,,POINT (-77.1100747 -12.0710762),623136044,0.0006862879643441752
309581204,3,,POINT (-77.1112615 -12.0718664),623136801,0.0011482296155424104
309581210,4,,POINT (-77.11325600000001 -12.0762832),309581290,0.00013697919550481933
309581211,3,,POINT (-77.11377589999999 -12.0776143),309581288,0.0001360060660293597
309581245,3,,POINT (-77.1239451 -12.0735325),548807060,0.00027551205055219465
309581246,3,,POINT (-77.12289389999999 -12.0740041),309581246,0.0
309581247,3,,POINT (-77.12118270000001 -12.074728),627068848,0.0009379443480182836
309581251,3,,POINT (-77.1126859 -12.0780798),309581276,8.768038549218894e-05
309581253,3,,POINT (-77.1110446 -12.0785193),309581275,0.00011038373974300805
309581275,4,,POINT (-77.1110065 -12.0784157),309581275,0.0
309581276,4,,POINT (-77.1126611 -12.0779957),309581276,0.0
309581288,3,,POINT (-77.11364930000001 -12.077664),309581288,0.0
309581290,3,,POINT (-77.1131273 -12.0763301),309581290,0.0
309581295,3,,POINT (-77.1130788 -12.0763462),309581295,0.0
309581307,3,,POINT (-77.1115276 -12.0724089),623136801,0.0005439906341123919
309581311,3,,POINT (-77.10991009999999 -12.0711792),623136044,0.0006609461778376698
317337002,3,,POINT (-77.1191723 -12.0658307),317337002,0.0
317337153,4,,POINT (-77.10420430000001 -12.0657774),4332672411,0.00012817554370105855
317337271,4,,POINT (-77.1044528 -12.0701671),317337271,0.0
317337458,3,,POINT (-77.1044256 -12.0647427),317337473,0.00013040878038522784
317337499,3,,POINT (-77.10444649999999 -12.0646436),317337498,0.0001327914530310533
317337528,4,,POINT (-77.10854310000001 -12.0668637),317337528,0.0
317337530,3,,POINT (-77.10462939999999 -12.066837),317337277,0.0007386003113898301
317337531,3,,POINT (-77.1040861 -12.0668452),317337277,0.00030644629219466705
317337567,3,,POINT (-77.1062089 -12.068715),475477943,0.0020387692365741294
317337572,4,,POINT (-77.1042618 -12.0688535),317337272,0.00012341673306375932
331597634,4,traffic_signals,POINT (-77.1051738 -12.0719228),608446292,0.00011812476455264288
409478001,4,,POINT (-77.12481080000001 -12.0674403),628046261,0.0015300062124105579
409478324,3,,POINT (-77.11949199999999 -12.0679944),627069672,0.0009188044514401637
409478331,3,,POINT (-77.11480589999999 -12.0701624),473922625,0.001195702157732332
437641541,3,,POINT (-77.12789119999999 -12.0699134),629028909,0.0039194467390286595
471252764,3,,POINT (-77.10712580000001 -12.0642582),309581149,0.0012813707738158814
471252770,3,,POINT (-77.1174536 -12.0665356),627796770,0.0011728604051630595
472507242,3,,POINT (-77.1267045 -12.0684534),628046261,0.0035664419482207546
472508348,3,,POINT (-77.12387200000001 -12.067522),628046261,0.0013659688136998564
472508585,3,,POINT (-77.12599899999999 -12.0706109),627835408,0.003428341138208686
472508637,3,,POINT (-77.1212247 -12.072899),548808007,0.0004110192452901622
472508939,3,,POINT (-77.13003639999999 -12.0677229),629028909,0.0009354520458155222
472508991,3,,POINT (-77.12915700000001 -12.068035),629028909,0.0018684391828472796
472509912,3,,POINT (-77.1141071 -12.0709367),473922625,0.0021448816330961237
472510036,3,,POINT (-77.1191369 -12.0668433),627819374,0.0006776530233060135
472510485,3,,POINT (-77.11672590000001 -12.0674885),627796770,0.00014305526904075924
472510487,4,,POINT (-77.1159998 -12.0678775),627060618,0.00016447838763549593
472510594,3,,POINT (-77.1181194 -12.0693624),473895480,0.0006186171756375313
472510946,3,,POINT (-77.1199941 -12.0688765),627830740,0.0010453087821258576
