osmid,street_count,highway,ref,geometry,NN,NN_dist
108064601,3,,,POINT (-77.0336238 -12.089762),4334525393,0.0006228342395869788
108064608,4,traffic_signals,,POINT (-77.0337382 -12.0890129),3063460620,0.00012098929704426656
108064612,4,traffic_signals,,POINT (-77.0338714 -12.0880707),108064612,0.0
108064614,4,traffic_signals,,POINT (-77.0340458 -12.0869322),263113593,0.001057926273430799
108064618,3,,,POINT (-77.0341299 -12.0862812),108064619,0.0006260465957103117
108064619,4,traffic_signals,,POINT (-77.03422019999999 -12.0856617),108064619,0.0
108064621,4,,,POINT (-77.03437460000001 -12.0846015),108064621,0.0
108064624,4,traffic_signals,,POINT (-77.0345384 -12.0834751),263122102,9.499373663512679e-05
108064626,4,traffic_signals,,POINT (-77.03469509999999 -12.0824198),108064626,0.0
108064627,4,traffic_signals,,POINT (-77.0348449 -12.0813552),108064627,0.0
108064629,4,,,POINT (-77.0349356 -12.0807339),108064627,0.0006278854831901829
108171102,4,,,POINT (-77.035104 -12.0807564),108171103,0.0006261522179154221
108171103,4,traffic_signals,,POINT (-77.0350208 -12.081377),108171103,0.0
108171104,4,traffic_signals,,POINT (-77.0348645 -12.0824479),108171104,0.0
108171105,4,traffic_signals,,POINT (-77.0347079 -12.083496),263122101,9.07218275828097e-05
108171106,4,traffic_signals,,POINT (-77.0355883 -12.0847879),108171106,0.0
108171108,4,traffic_signals,,POINT (-77.0343853 -12.0856885),108171108,0.0
108171113,4,traffic_signals,,POINT (-77.0340197 -12.0882715),108171113,0.0
108171114,4,traffic_signals,,POINT (-77.0339353 -12.088819),108171114,0.0
108171115,3,,,POINT (-77.0338891 -12.0890981),4334525393,0.00017795204409314867
171762496,3,,,POINT (-77.02773449999999 -12.0803534),263116934,0.0007550254168008404
171763087,3,,,POINT (-77.02731540000001 -12.0814048),263116952,0.0010271181528856714
257946434,4,,,POINT (-77.0297486 -12.0900742),257946434,0.0
257946437,3,,,POINT (-77.02853829999999 -12.0855314),257946437,0.0
257946440,4,,,POINT (-77.0284702 -12.0848525),6129016477,0.00012470801898670228
257946443,4,traffic_signals,,POINT (-77.02816369999999 -12.0837209),257946443,0.0
257946446,4,,,POINT (-77.0284621 -12.0815628),263116952,0.00013045278839376664
257946448,4,traffic_signals,,POINT (-77.0286134 -12.0804904),263116934,0.0001345062452016323
257946473,4,traffic_signals,,POINT (-77.0336428 -12.082286),257946473,0.0
257946476,4,traffic_signals,,POINT (-77.03380060000001 -12.0812082),257946476,0.0
262909438,3,,,POINT (-77.0294236 -12.0917843),263108207,0.0006553712611946108
262909616,4,traffic_signals,,POINT (-77.0301109 -12.0918761),262909616,0.0
