osmid,street_count,highway,ref,geometry,NN,NN_dist
31040298,4,,,POINT (-77.0622424 -12.0041588),31040298,0.0
31040301,3,,,POINT (-77.06803480000001 -12.0053126),31040301,0.0
31044287,3,,,POINT (-77.076958 -12.0063933),1740889174,0.0004814615768659497
31044288,4,,,POINT (-77.0758022 -12.0064267),31044288,0.0
31044289,3,,,POINT (-77.0748232 -12.0064584),31044288,0.0009795130882238438
31044752,4,,,POINT (-77.0822932 -12.0066921),31044752,0.0
31044753,4,,,POINT (-77.0823271 -12.0065383),31044753,0.0
31044758,4,,,POINT (-77.0844524 -11.9960292),31044758,0.0
31044959,4,,,POINT (-77.0844972 -11.9961987),31044959,0.0
31045172,4,traffic_signals,,POINT (-77.07680089999999 -11.9781302),31045172,0.0
31045173,4,,,POINT (-77.0767769 -11.9780235),31045173,0.0
31045189,4,,,POINT (-77.0776783 -11.9778197),31045190,0.00011375398893986753
31045190,4,,,POINT (-77.0777069 -11.9779298),31045190,0.0
31069242,4,traffic_signals,,POINT (-77.07216769999999 -11.9838678),31069242,0.0
31069245,4,,,POINT (-77.07224239999999 -11.9784187),31069245,0.0
31069246,3,,,POINT (-77.07233119999999 -11.9752139),1162293858,0.003030724576729984
31069250,3,,,POINT (-77.0716767 -11.9686031),1305382849,0.0007287567838438922
31069252,3,,,POINT (-77.0701328 -11.9671809),31069252,0.0
31069255,3,,,POINT (-77.0687102 -11.966659),273423689,0.0005319859490653459
31069256,3,,,POINT (-77.0678214 -11.9665298),31069256,0.0
31069258,4,,,POINT (-77.0722402 -11.978542),31069258,0.0
31069275,4,,,POINT (-77.0724144 -11.9785599),31069275,0.0
31069277,3,,,POINT (-77.0721832 -11.9842337),1400834502,0.00018858149432158936
31069290,4,,,POINT (-77.07241380000001 -11.9784461),31069275,0.00011380158171245272
31069291,3,,,POINT (-77.0678479 -11.9663782),31069291,0.0
31072185,4,,,POINT (-77.0602415 -11.976736),31072185,0.0
31079485,4,,,POINT (-77.0756536 -11.9720863),273423255,0.00018648109823924354
31079697,3,,,POINT (-77.0845664 -11.9966982),31079697,0.0
138792496,4,,,POINT (-77.0781877 -12.0124754),138792496,0.0
273349134,3,motorway_junction,20B,POINT (-77.0684409 -11.9630065),273349134,0.0
273349255,3,,,POINT (-77.06778060000001 -11.9625256),273349255,0.0
273349266,3,,,POINT (-77.0682655 -11.9631369),273349266,0.0
273349444,3,,,POINT (-77.0656819 -11.9621895),273349444,0.0
273350397,3,,,POINT (-77.06858269999999 -11.9619571),273350397,0.0
273350406,3,,,POINT (-77.0689905 -11.9625778),273350406,0.0
273403596,4,traffic_signals,,POINT (-77.0730516 -11.9593416),273403596,0.0
273403602,4,,,POINT (-77.071862 -11.963755),273403602,0.0
273403746,4,,,POINT (-77.0717677 -11.9636934),273403746,0.0
273405235,3,,,POINT (-77.0706978 -11.963078),273405235,0.0
273405242,3,motorway_junction,19B,POINT (-77.06881079999999 -11.9601143),273405242,0.0
273422993,4,,,POINT (-77.0759738 -11.9718102),273422993,0.0
273423255,4,,,POINT (-77.0756148 -11.9719039),273423255,0.0
273423256,4,,,POINT (-77.07261250000001 -11.9720345),273423256,0.0
273423258,4,,,POINT (-77.0724629 -11.9720137),273423258,0.0
273423261,3,,,POINT (-77.0693962 -11.9715778),273423474,0.00234971384215225
273423285,4,,,POINT (-77.07601219999999 -11.9720028),273423285,0.0
273423288,4,,,POINT (-77.072609 -11.9722006),1162293858,0.0001624128381691785
273423424,3,,,POINT (-77.06704689999999 -11.9713957),273423424,0.0
273423474,3,,,POINT (-77.0670717 -11.9712345),273423474,0.0
273423689,4,,,POINT (-77.0681834 -11.9665849),273423689,0.0
273423698,3,,,POINT (-77.07211030000001 -11.96441),273424034,0.0004835610612857857
273423771,3,,,POINT (-77.0743793 -11.9672208),273423771,0.0
273423844,3,,,POINT (-77.0714148 -11.9651523),273424034,0.001160308545168067
273423850,3,,,POINT (-77.0718427 -11.9647084),273424034,0.0006455084352566542
273423851,3,,,POINT (-77.0707175 -11.964041),1296147751,0.0005787393627512124
273423852,3,,,POINT (-77.0705008 -11.964455),1296147751,0.001045983728358284
273423925,3,,,POINT (-77.0695889 -11.9644135),1296147787,0.0016171287549202325
273423944,3,,,POINT (-77.0682923 -11.9659107),273427006,0.0004950483208629496
273423945,3,,,POINT (-77.0689016 -11.9660115),273423689,0.0009190205656092414
273423963,3,,,POINT (-77.06930749999999 -11.9661115),273423689,0.0012197165121441164
273424032,4,,,POINT (-77.0702249 -11.9670561),273424032,0.0
273424034,3,,,POINT (-77.0724882 -11.9647117),273424034,0.0
273424095,3,,,POINT (-77.07177679999999 -11.9654504),273424034,0.0010255572387728297
273424141,3,,,POINT (-77.07058069999999 -11.9666609),273424141,0.0
273424173,3,,,POINT (-77.0693818 -11.9640732),273349134,0.001422371857147196
273424244,3,,,POINT (-77.0694218 -11.9656311),1296147787,0.0014713568431866503
273424247,4,,,POINT (-77.07094189999999 -11.9663033),273424247,0.0
273424315,3,,,POINT (-77.0725951 -11.9679522),1305382849,0.001393057098617593
273424316,4,,,POINT (-77.0733814 -11.9676343),273423771,0.0010801789944280145
273424322,3,,,POINT (-77.07161379999999 -11.9656288),273424247,0.0009520503453081172
273424392,3,,,POINT (-77.0721642 -11.9681309),1305382849,0.0011075439946120614
273424393,3,,,POINT (-77.070984 -11.9669567),1305383570,0.0004958965718755685
273424394,3,,,POINT (-77.0713283 -11.9665916),273424247,0.00048210149347193527
273424715,3,,,POINT (-77.0724288 -11.9685404),1305382849,0.0007910055435973155
273424716,3,,,POINT (-77.07455760000001 -11.9676644),273424716,0.0
273424746,3,,,POINT (-77.0719589 -11.9687516),1305382849,0.0004880370477740429
273424850,3,,,POINT (-77.07462339999999 -11.9696796),4365524355,0.00199254559045078
273424852,3,,,POINT (-77.0741507 -11.9678374),273424716,0.0004421499858660231
273424866,3,,,POINT (-77.07471030000001 -11.9681632),273424716,0.0005216500071880873
273424891,3,,,POINT (-77.0726617 -11.968977),1305382849,0.0006674333225149967
273424993,3,,,POINT (-77.0731792 -11.9710333),1162293814,0.00083364232737781
273425037,3,,,POINT (-77.07492070000001 -11.9709454),4365524355,0.0009588999739249005
273425051,3,,,POINT (-77.075069 -11.971943),273423255,0.00054719872989382
273425085,3,,,POINT (-77.0750154 -11.9714323),273423255,0.000762684023693701
273425106,3,,,POINT (-77.0709856 -11.9712935),1162293814,0.001525979819657623
273425108,4,,,POINT (-77.07265049999999 -11.9715252),1162293814,0.0001551511843269301
273425131,3,,,POINT (-77.06846830000001 -11.9681259),273423689,0.0015671148681590066
273425208,3,,,POINT (-77.0693912 -11.9684875),31069252,0.0015023894701426095
273425213,3,,,POINT (-77.0679499 -11.9680378),273423689,0.0014715436316985406
273425294,3,,,POINT (-77.0704666 -11.9694937),1305382849,0.0015998492991442773
273425551,3,,,POINT (-77.0685489 -11.9676575),273423689,0.0011331641584510156
273425557,3,,,POINT (-77.07057 -11.9688418),1305382849,0.0015256428317182624
273425558,3,,,POINT (-77.071389 -11.9682321),1305383570,0.0011823482439603974
273425559,3,,,POINT (-77.0701859 -11.9691277),1305382849,0.0018619235993953681
273425584,3,,,POINT (-77.0686237 -11.9671687),273423689,0.0007312226268424954
