osmid,street_count,highway,geometry,NN,NN_dist
316636969,3,,POINT (-76.9126505 -12.0187513),316636969,0.0
580654038,1,,POINT (-76.88440970000001 -11.9773888),580654051,0.006380613861529489
580654051,3,,POINT (-76.8907887 -11.9772453),580654051,0.0
580654061,3,,POINT (-76.8935326 -11.9831266),580654064,0.0012490055244064185
580654064,3,,POINT (-76.8937392 -11.9843584),580654064,0.0
580654075,3,,POINT (-76.90140839999999 -11.9902803),4738151317,0.002330466326727772
580654084,3,,POINT (-76.9045071 -11.9944503),580654084,0.0
580654099,3,,POINT (-76.90724109999999 -11.9989128),580654099,0.0
580662366,3,,POINT (-76.9051884 -12.009916),580662366,0.0
580662382,3,,POINT (-76.9075606 -12.0086226),5401256046,0.0010518518716924798
580662384,3,,POINT (-76.9124649 -12.0061065),2148972302,0.0018447253454051899
580662408,4,,POINT (-76.9122981 -12.0162373),3371071765,0.0020640954483751514
580662409,3,,POINT (-76.91272240000001 -12.0138091),3371071765,0.004528531113950988
580662410,3,,POINT (-76.9131945 -12.011343),2148972302,0.006166024681267259
825893863,3,,POINT (-76.9514144 -12.0191524),1747286027,0.0008407821418073912
825893885,4,,POINT (-76.94347639999999 -12.0157768),2974519495,0.001687250855683025
825893894,3,,POINT (-76.9502437 -12.015713),826000593,0.003719309324320466
826000494,3,,POINT (-76.91749799999999 -12.0112499),2148972302,0.00690372179697157
826000495,4,,POINT (-76.9169644 -12.0140255),9219266825,0.004794803108577597
826000496,3,,POINT (-76.9164056 -12.0169956),8205721055,0.0023833996916158297
826000497,3,,POINT (-76.918774 -12.0114939),9219266825,0.006321693137918707
826000498,4,,POINT (-76.9182606 -12.0142739),9219266825,0.003856845333951881
826000501,4,,POINT (-76.9235126 -12.0066062),826000506,0.0037154123997202183
826000506,3,,POINT (-76.9222803 -12.0031011),826000506,0.0
826000507,4,,POINT (-76.9224095 -12.0053522),826000506,0.0022548046145959475
826000514,3,,POINT (-76.9178299 -12.0081778),826000520,0.00437723406388119
826000517,3,,POINT (-76.9178728 -12.0071704),826000520,0.0034716946006219016
826000520,4,,POINT (-76.916291 -12.00408),826000520,0.0
826000525,3,,POINT (-76.9086674 -12.0103186),5401256046,0.002374419179499231
826000530,3,,POINT (-76.90710230000001 -12.0122564),1273783308,0.0027791574550567306
826000535,3,,POINT (-76.9147844 -12.0107311),2148972302,0.005531119099242346
826000536,3,,POINT (-76.9137087 -12.0164972),1273469624,0.002152457955455303
826000544,3,,POINT (-76.9135067 -12.0079249),2148972302,0.002745590246195636
826000546,3,,POINT (-76.9156627 -12.0137816),1273469624,0.00504992124789993
826000558,3,,POINT (-76.9247113 -12.0113465),1571275704,0.0020059708995948675
826000561,3,,POINT (-76.9162236 -12.0110063),2148972302,0.006143694856517248
826000562,3,,POINT (-76.9151249 -12.0167579),1273469624,0.002082294738980396
