osmid,street_count,ref,highway,geometry,NN,NN_dist
182439929,1,,,POINT (-76.9357031 -12.2466281),2465714597,0.005941201280043411
258067237,3,,,POINT (-76.84072690000001 -12.3042543),258067237,0.0
258067461,3,25B,motorway_junction,POINT (-76.9191087 -12.2576067),258067461,0.0
266953472,3,,,POINT (-76.9210083 -12.2541121),266953472,0.0
266953473,3,,,POINT (-76.920233 -12.2542041),266953473,0.0
266954089,3,,,POINT (-76.9194938 -12.2542933),266954089,0.0
289309673,3,,,POINT (-76.8915093 -12.2539776),5946942281,0.0013348028243888252
289309758,3,,,POINT (-76.84461400000001 -12.3011425),3007012217,0.00025897559730539475
289309967,3,,,POINT (-76.8453856 -12.3025581),289310449,0.0003741818408174922
289309969,3,,,POINT (-76.84469660000001 -12.301049),3007012217,0.0003312181909241725
289309977,3,,,POINT (-76.8469132 -12.299986),3969554416,0.0025672220394881984
289310002,3,,,POINT (-76.8452633 -12.3025348),289310449,0.0002896266734929209
289310025,3,,,POINT (-76.847239 -12.2998219),3969554416,0.0029227934668794335
289310028,3,,,POINT (-76.84530820000001 -12.3001175),3969554416,0.0010006504134889688
289310449,4,,,POINT (-76.84514780000001 -12.3022692),289310449,0.0
289310477,3,35B,motorway_junction,POINT (-76.8418119 -12.303379),289310477,0.0
289310556,3,,,POINT (-76.8488301 -12.3000474),289310449,0.004300666056549049
289310581,3,35A,motorway_junction,POINT (-76.84854350000001 -12.3003037),289310449,0.003923514845133997
289310594,3,,,POINT (-76.84552119999999 -12.302126),289310449,0.00039991724142635006
289310625,3,,,POINT (-76.8451316 -12.3011924),3007012217,0.00045358643057022776
513786091,4,,,POINT (-76.87264 -12.2739721),513786091,0.0
513786149,3,,,POINT (-76.87206980000001 -12.273484),513786091,0.0007505795427524084
513786184,4,,,POINT (-76.86651380000001 -12.2734218),513800887,0.005014699935181512
513786192,3,,,POINT (-76.86710960000001 -12.2729998),513800887,0.004752810945107051
513786207,4,,,POINT (-76.8677048 -12.2726197),513800887,0.004563311614385424
513786211,3,,,POINT (-76.8679477 -12.272531),513800887,0.004465081657703438
513786231,3,,,POINT (-76.8687183 -12.2723624),513800887,0.004146797512537637
513786282,3,,,POINT (-76.8735879 -12.2702739),513786091,0.0038177477195335714
513786323,3,,,POINT (-76.87842499999999 -12.2651447),5947000839,0.001482388710831994
513797445,3,,,POINT (-76.8706234 -12.2749831),513800887,0.0009569018601703067
513797455,4,,,POINT (-76.8690228 -12.2764156),513800887,0.001914516586504883
513797465,3,,,POINT (-76.8683083 -12.276652),513857026,0.0021129661828803853
513799793,2,,,POINT (-76.8685679 -12.2775087),513857026,0.001277545623451061
513799797,4,,,POINT (-76.869287 -12.2766882),513800887,0.0017637469432976
513799800,4,,,POINT (-76.87048350000001 -12.2754947),513800887,0.0005650424585752803
513800450,3,,,POINT (-76.87029200000001 -12.2752876),513800887,0.0008471094380229897
513800887,3,,,POINT (-76.8708688 -12.275908),513800887,0.0
513802461,4,,,POINT (-76.86858650000001 -12.2758899),513800887,0.0022823717707585963
513802471,4,,,POINT (-76.867869 -12.275032),513800887,0.003125088165154136
513802476,3,,,POINT (-76.86730900000001 -12.2744044),513800887,0.0038643225796939993
513803766,4,,,POINT (-76.86977280000001 -12.2762165),513800887,0.001138590466312693
513803778,4,,,POINT (-76.8695213 -12.2759751),513800887,0.0013491696186857668
513803783,4,,,POINT (-76.869051 -12.2754542),513800887,0.001873587809522389
513803788,4,,,POINT (-76.8683135 -12.2746137),513800887,0.0028643970709358083
513803791,3,,,POINT (-76.8678197 -12.2739449),513800887,0.003626399374033061
513803990,3,,,POINT (-76.86844550000001 -12.273288),513800887,0.003568862968781753
513805219,3,,,POINT (-76.86940250000001 -12.2734431),513800887,0.0028680599191733746
513805220,3,,,POINT (-76.8690605 -12.2729494),513800887,0.0034674576926002672
513807603,3,,,POINT (-76.86880789999999 -12.2741832),513800887,0.002687423273326011
513807615,4,,,POINT (-76.8673749 -12.275493),513857026,0.0034097042760313284
513808431,3,,,POINT (-76.86809580000001 -12.2763652),513857026,0.002411472819666482
513808434,3,,,POINT (-76.8667926 -12.2748135),513800887,0.004220584875345864
513810379,3,,,POINT (-76.8658143 -12.2749792),513857026,0.004547932234544015
513810384,3,,,POINT (-76.8652469 -12.2749481),513857026,0.0049094119097892
513810389,1,,,POINT (-76.86573199999999 -12.2756135),513857026,0.004087206812729364
513810407,1,,,POINT (-76.8660848 -12.2753318),513857026,0.004104630190408379
513810838,3,,,POINT (-76.8661098 -12.2747026),513857026,0.004631640512818337
513810903,1,,,POINT (-76.8663861 -12.275051),513857026,0.004194012652579667
513855974,4,,,POINT (-76.8655706 -12.2782505),513857026,0.0028116376242337646
513856000,3,,,POINT (-76.8605402 -12.281556),513857026,0.008279286599699011
513857026,4,,,POINT (-76.8683348 -12.2787648),513857026,0.0
513858041,4,,,POINT (-76.8638321 -12.2792454),513857026,0.004528276013013225
513858459,3,,,POINT (-76.86465339999999 -12.2829285),513857026,0.005557796654254858
513858572,3,,,POINT (-76.86324879999999 -12.2843018),513857026,0.00751836185615336
513858708,3,,,POINT (-76.8613233 -12.2823508),513857026,0.007875311311311051
513858839,4,,,POINT (-76.86274880000001 -12.2809823),513857026,0.006010050103778957
513858841,3,,,POINT (-76.8641494 -12.2795944),513857026,0.004266826610020475
513858968,3,,,POINT (-76.8673331 -12.2777691),513857026,0.0014123814569741906
513859173,4,,,POINT (-76.8661705 -12.278889),513857026,0.002167860726619071
513859179,4,,,POINT (-76.8648123 -12.280236),513857026,0.003817385976033971
