osmid,street_count,highway,geometry,NN,NN_dist
306532942,3,,POINT (-77.1298297 -11.8552263),1768569856,0.0014396646310817758
306532947,3,,POINT (-77.12880869999999 -11.8520731),306532947,0.0
306532954,3,,POINT (-77.12653450000001 -11.8499332),6023368552,0.0011311938693280457
306533000,3,,POINT (-77.1176701 -11.8444339),5057188612,0.003447228480967127
1617053872,4,traffic_signals,POINT (-77.1152697 -11.8419567),1617053872,0.0
1759542491,3,,POINT (-77.1151097 -11.8417837),1759542491,0.0
1759542528,3,,POINT (-77.1145805 -11.8422908),1759542491,0.000732941368734775
1759542550,3,,POINT (-77.1144843 -11.8425064),1759542491,0.0009557303228440756
1759542591,4,,POINT (-77.1144395 -11.8430621),1617053872,0.0013824403061215315
1759542628,3,,POINT (-77.1144218 -11.8435272),1617053872,0.001784770198090845
1759542745,3,,POINT (-77.1144029 -11.8449207),1617053872,0.003088144789349586
1759542811,4,,POINT (-77.1143924 -11.8462435),1617053872,0.004375649612342272
1767758083,3,,POINT (-77.12768579999999 -11.8510176),1767758103,0.0009051841470103288
1767758085,3,,POINT (-77.1280216 -11.8514555),1767758103,0.0004258758621945983
1767758093,3,,POINT (-77.1218083 -11.8517513),1767758093,0.0
1767758096,4,,POINT (-77.1232406 -11.8517783),1768569603,0.0010132838200709226
1767758100,3,,POINT (-77.1251367 -11.8518135),1767758100,0.0
1767758101,3,,POINT (-77.1262224 -11.8518382),1768569617,0.0008156121136988496
1767758103,3,,POINT (-77.12796729999999 -11.8518779),1767758103,0.0
1767758104,3,,POINT (-77.1278978 -11.8518763),1767758103,6.951841482161825e-05
1767758108,4,,POINT (-77.1282927 -11.8518956),1767758108,0.0
1767758126,3,,POINT (-77.1289555 -11.8534699),1767758134,0.0005894219626117121
1767758129,3,,POINT (-77.12176580000001 -11.8535759),1767758129,0.0
1767758130,3,,POINT (-77.12175209999999 -11.8536657),1767758130,0.0
1767758131,4,,POINT (-77.12301650000001 -11.8536862),1767758131,0.0
1767758132,4,,POINT (-77.1251003 -11.8537331),1767758132,0.0
1767758133,3,,POINT (-77.12686890000001 -11.8537699),1768569775,0.0011655533363996299
1767758134,4,,POINT (-77.12846949999999 -11.8538034),1767758134,0.0
1767758135,4,,POINT (-77.1285754 -11.8538055),1767758134,0.00010592081949154539
1767758136,4,,POINT (-77.12894729999999 -11.8538118),1767758134,0.0004778738327203266
1767758138,3,,POINT (-77.12961610000001 -11.8538232),1767758134,0.001146770944883518
1767758139,4,,POINT (-77.1207986 -11.8539101),1767758149,0.0003914208987749448
1767758141,4,,POINT (-77.1207035 -11.8539312),1767758149,0.00041142622667379595
1767758146,3,,POINT (-77.12155439999999 -11.854095),1767758146,0.0
1767758147,3,,POINT (-77.1289386 -11.854169),1767758134,0.000594742103775793
1767758149,4,,POINT (-77.12091599999999 -11.8542835),1767758149,0.0
1767758150,4,,POINT (-77.1207988 -11.8543177),1767758149,0.0001220880010399314
1767758151,3,,POINT (-77.1289305 -11.8545039),1768569856,0.0006037555879581569
1767758153,3,,POINT (-77.12854729999999 -11.854802),1768569856,0.00012040066443956538
1767758154,4,,POINT (-77.128923 -11.8548145),1768569856,0.000485741515617584
1767758155,3,,POINT (-77.1297836 -11.8548431),1768569856,0.0013447474781434162
1767758156,3,,POINT (-77.12891519999999 -11.8551352),1768569856,0.0005529107794103659
1767758157,3,,POINT (-77.129254 -11.8551624),1768569856,0.000871350681410308
1767758158,3,,POINT (-77.12956869999999 -11.8552073),1768569856,0.001183632734411239
1767758159,4,,POINT (-77.12128610000001 -11.85557),1767758159,0.0
1767758160,4,,POINT (-77.125055 -11.8556663),1767758160,0.0
1767758161,4,,POINT (-77.1284132 -11.8557366),1767758161,0.0
1767758162,4,,POINT (-77.12852100000001 -11.855737),1767758161,0.00010780074212167701
1767758163,4,,POINT (-77.1289003 -11.8557474),1767758161,0.0004872197142982114
1767758164,3,,POINT (-77.12923139999999 -11.8557559),1767758161,0.0008184275960622102
1767758165,4,,POINT (-77.1295561 -11.8557623),1767758161,0.001143188917026099
1767758169,3,,POINT (-77.1213087 -11.8561662),1767758159,0.0005966281924282376
1767758171,3,,POINT (-77.1284971 -11.8565847),1768569998,0.00011232675549987309
1767758172,4,,POINT (-77.1288799 -11.8565923),1768569998,0.0004924401486499244
1767758173,3,,POINT (-77.1292085 -11.8565989),1768569998,0.0008207833940870897
1767758174,4,,POINT (-77.1295313 -11.8566034),1768569998,0.0011435226670227611
1767758176,4,,POINT (-77.11862069999999 -11.856886),1767758159,0.0029725768551986395
1767758177,3,,POINT (-77.1183029 -11.8569507),1767758159,0.0032872199089834706
1767758179,3,,POINT (-77.1295308 -11.8569444),1768569998,0.0011907440698981824
