osmid,ref,highway,street_count,geometry,NN,NN_dist
273353473,35B,motorway_junction,3,POINT (-77.112313 -11.8345276),273353473,0.0
273353475,,,3,POINT (-77.1067638 -11.8390221),273353475,0.0
273353476,,,3,POINT (-77.10457359999999 -11.8407485),2502194097,0.000562919683441074
273353499,,,3,POINT (-77.06926780000001 -11.8741354),273353499,0.0
273353510,,,3,POINT (-77.0677206 -11.9020024),273353510,0.0
273353511,,,3,POINT (-77.06771860000001 -11.9024958),273353511,0.0
273353521,,,3,POINT (-77.0711278 -11.9092301),273403306,0.0027843052364987654
273403276,,,3,POINT (-77.1122597 -11.8344663),273403276,0.0
273403284,,,3,POINT (-77.0878326 -11.8540419),273403284,0.0
273403298,,,3,POINT (-77.0689577 -11.877827),273403298,0.0
273403304,,,3,POINT (-77.06769490000001 -11.9029775),273403304,0.0
273403306,,,3,POINT (-77.0694529 -11.9070059),273403306,0.0
306533020,,,3,POINT (-77.1099797 -11.8350811),306533020,0.0
306533068,,,3,POINT (-77.1107346 -11.8363996),306533076,0.0005858886668963821
306533075,,,5,POINT (-77.11092789999999 -11.8374029),306533075,0.0
306533076,35A,motorway_junction,3,POINT (-77.1104279 -11.8359004),306533076,0.0
863427746,,,3,POINT (-77.0828265 -11.8598881),2953477188,0.00034436242536755343
863427771,,,4,POINT (-77.0746535 -11.8679123),863427862,0.0007186262032549474
863427779,,,3,POINT (-77.0719052 -11.8705989),1845737756,0.0010790081788416685
863427809,,,3,POINT (-77.07779429999999 -11.8665399),863427868,0.0004743626671638362
863427816,,,4,POINT (-77.07955250000001 -11.8647407),1273716657,0.0004963989726094983
863427821,,,1,POINT (-77.08018180000001 -11.8640826),6277569620,0.0008517969769843123
863427829,,,3,POINT (-77.0730267 -11.8671199),863427829,0.0
863427833,,,1,POINT (-77.0737951 -11.8675998),863427829,0.0009059484367212275
863427836,,,3,POINT (-77.07355769999999 -11.8663435),863427836,0.0
863427862,,,3,POINT (-77.0751264 -11.8684534),863427862,0.0
863427868,,,3,POINT (-77.07746299999999 -11.8662004),863427868,0.0
863427886,,,4,POINT (-77.085426 -11.8577533),863427886,0.0
