osmid,street_count,ref,highway,geometry,NN,NN_dist
495242901,3,,,POINT (-76.8185592 -12.3368222),6450979507,0.0010441205533896108
495243171,3,,,POINT (-76.82033 -12.3346699),495243171,0.0
495243225,3,,,POINT (-76.8211931 -12.3358603),495243225,0.0
495244831,4,,,POINT (-76.8247989 -12.3369511),495244831,0.0
495244863,3,,,POINT (-76.8252439 -12.3361182),495244863,0.0
495244959,4,,,POINT (-76.8248912 -12.3328807),495244959,0.0
495245790,3,,,POINT (-76.8248042 -12.3390972),495244831,0.0021461065444185984
495245797,3,,,POINT (-76.8249093 -12.3377262),495244831,0.0007829228378325138
495246174,3,,,POINT (-76.8261401 -12.3379827),495244831,0.0016920449166600983
495246258,3,,,POINT (-76.8267137 -12.3375502),495244831,0.0020063349296613815
495246440,3,,,POINT (-76.826418 -12.3372039),495244863,0.0015991420512268492
495246460,4,,,POINT (-76.8273121 -12.3382311),495244831,0.0028203854771957915
495246862,3,,,POINT (-76.8269847 -12.3378559),495244831,0.0023656679141343235
495246915,4,,,POINT (-76.826426 -12.338338),495244831,0.002137977085933769
495247272,3,,,POINT (-76.82670520000001 -12.3387452),495244831,0.0026177804529802216
495247286,3,,,POINT (-76.8258508 -12.3375994),495244831,0.0012356320245062535
495247303,3,,,POINT (-76.8255355 -12.3371714),495244831,0.0007688378567647583
495247803,3,,,POINT (-76.82621469999999 -12.3373),495244831,0.0014581566616693603
495247833,4,,,POINT (-76.82697159999999 -12.3370049),495244863,0.0019419537018075853
495247911,4,,,POINT (-76.8248526 -12.3386016),495244831,0.0016513733496699681
495248223,4,,,POINT (-76.82523380000001 -12.3386169),495244831,0.001721635167508013
495248233,4,,,POINT (-76.8256579 -12.338645),495244831,0.0018992572785125389
495249195,3,,,POINT (-76.82772060000001 -12.3371176),495244863,0.0026707383342461162
495249232,3,,,POINT (-76.826846 -12.3376883),495244831,0.0021757946249574924
495249405,3,,,POINT (-76.8258203 -12.3392004),495244831,0.0024703458158714603
495249745,4,,,POINT (-76.827264 -12.3374155),495244863,0.0024007897242335242
495249799,3,,,POINT (-76.8276935 -12.3379244),495244863,0.0030435010432001766
495249883,3,,,POINT (-76.82592990000001 -12.3377146),495244831,0.0013645853765893608
495250272,3,,,POINT (-76.82550550000001 -12.3380601),495244831,0.0013149770188107212
495250568,3,,,POINT (-76.82485029999999 -12.3373363),495244831,0.0003886142045770871
495250592,3,,,POINT (-76.82516409999999 -12.3377384),495244831,0.0008678780617063877
495251116,3,,,POINT (-76.8251815 -12.3392397),495244831,0.002320360471994774
495251141,3,,,POINT (-76.82529529999999 -12.3378885),495244831,0.001060722263360377
943249217,3,,,POINT (-76.83407029999999 -12.3139553),6450979465,5.827538072598518e-05
1273599713,3,,,POINT (-76.8194098 -12.3368174),6450979507,0.0009358544170943559
1273699282,3,,,POINT (-76.8196526 -12.336459),6450979507,0.0007593589203989313
1569597803,1,,,POINT (-76.7988095 -12.3075879),6737157731,0.03230815681913434
1569600206,4,,,POINT (-76.80923129999999 -12.3195841),6737157731,0.01643501581046089
1827698270,1,,,POINT (-76.8367279 -12.3215111),6534556641,0.00652339810604349
1827698276,1,,,POINT (-76.836128 -12.3223038),6534556638,0.006502993419184758
1827698280,1,,,POINT (-76.8368195 -12.3224343),6534556638,0.0071259020488616005
1827698308,3,,,POINT (-76.8364132 -12.3233152),6534556638,0.007393659992850859
1827698321,4,,,POINT (-76.83703920000001 -12.3235205),6534556638,0.007989723535893592
1827698378,3,,,POINT (-76.83601090000001 -12.3244148),6534556638,0.007948093238002784
1827698512,3,,,POINT (-76.8255908 -12.3267236),6450979493,0.0012267170863778348
1827698536,3,,,POINT (-76.8257888 -12.3273619),6450979493,0.0010678374408157637
1827698549,3,,,POINT (-76.8248693 -12.3277802),7059096543,0.0001374970908792861
1827698553,3,,,POINT (-76.82591290000001 -12.327947),7059096543,0.0011940839208400226
1827698557,3,,,POINT (-76.8252234 -12.3281182),5642421906,0.0004962855025103049
1827698575,3,,,POINT (-76.82806220000001 -12.3282743),7060375067,0.0033308110498849975
1827698581,3,,,POINT (-76.83120959999999 -12.328385),7060375067,0.006480018549350513
1827698589,3,,,POINT (-76.8256872 -12.3285201),7060375067,0.0010069644929239726
1827698590,3,,,POINT (-76.82524429999999 -12.328521),1827698593,0.0005724699205973724
1827698592,3,,,POINT (-76.82524600000001 -12.3285603),1827698593,0.0005685128406670236
1827698593,3,,,POINT (-76.8246809 -12.3286225),1827698593,0.0
1827698599,3,,,POINT (-76.8346538 -12.3285956),9144320507,0.00904090993042073
1827698607,3,,,POINT (-76.827798 -12.3286937),7060375067,0.0031051698906841424
1827698633,3,,,POINT (-76.82927789999999 -12.3289331),7060375067,0.004604307958852109
1827698649,3,,,POINT (-76.8274804 -12.3290512),1827698593,0.002832134167014508
1827698665,3,,,POINT (-76.8252931 -12.3292004),1827698593,0.0008418772178826266
1827698669,3,,,POINT (-76.824704 -12.3292012),1827698593,0.000579160858483934
1827698680,3,,,POINT (-76.82789699999999 -12.3292716),1827698593,0.0032809495607108545
1827698701,3,,,POINT (-76.8292429 -12.3294295),6610535482,0.0045928881545256196
1827698706,3,,,POINT (-76.8263704 -12.3295258),6610535482,0.001864849189614854
1827698718,3,,,POINT (-76.8264377 -12.3295118),6610535482,0.0019298301920118428
1827698724,4,,,POINT (-76.8259233 -12.3297701),6610535482,0.0013560135250069597
1827698754,3,,,POINT (-76.8292261 -12.3299171),6610535482,0.004488697343328641
1827698778,3,,,POINT (-76.8260901 -12.3302145),6610535482,0.0013445077761050838
1827698779,3,,,POINT (-76.82873499999999 -12.3302577),6610535482,0.003967700297397073
