osmid,highway,street_count,ref,geometry,NN,NN_dist
108009619,traffic_signals,3,,POINT (-77.0508889 -12.098943),262728119,0.0041064144968570035
108009621,,3,,POINT (-77.05062890000001 -12.0989183),1432407605,0.004128660084096174
108009622,,3,,POINT (-77.0500746 -12.0988786),1432407605,0.004106455684649154
108009627,,3,,POINT (-77.049374 -12.0984762),262730000,0.0038998948152489978
108009630,,3,,POINT (-77.0484403 -12.0986582),1432407601,0.004303756866970324
108009631,traffic_signals,3,,POINT (-77.046936 -12.098934),262727035,0.004070133807382618
108009632,,3,,POINT (-77.0458739 -12.0991282),108215867,0.0039408728081467516
108009633,traffic_signals,3,,POINT (-77.0447838 -12.0993494),108215867,0.0038015762888576328
108009634,,3,,POINT (-77.04371879999999 -12.099543),262727255,0.0038592202178709635
108009635,,3,,POINT (-77.0430329 -12.0996737),108215866,0.0038849719754456015
108009636,,3,,POINT (-77.0404726 -12.1001407),108030818,0.0024569981786709575
108009637,,3,,POINT (-77.0382563 -12.1005558),108030818,0.0003101584272580104
108009638,traffic_signals,3,,POINT (-77.038072 -12.1007336),108030818,0.00010712179983667132
108013931,,4,,POINT (-77.03778869999999 -12.0998514),108013931,0.0
108013935,traffic_signals,3,,POINT (-77.03873350000001 -12.1034834),262572235,0.000341371498515466
108013938,,3,,POINT (-77.038957 -12.1045786),108013938,0.0
108013939,,3,,POINT (-77.03898820000001 -12.104828),108013939,0.0
108013940,,4,,POINT (-77.0390943 -12.1056627),108013940,0.0
108015861,,4,,POINT (-77.034211 -12.1068858),134252775,0.0029154908231724917
108015863,,3,,POINT (-77.03340540000001 -12.105838),138851441,0.003307086596995033
108015864,,5,,POINT (-77.03250610000001 -12.1046703),138851437,0.0022332836317940623
108016282,traffic_signals,4,,POINT (-77.03048 -12.1032755),108016282,0.0
108016283,traffic_signals,4,,POINT (-77.0315185 -12.1034486),108016282,0.001052827554737478
108018046,traffic_signals,4,,POINT (-77.03150290000001 -12.1035557),108018049,0.0010540783747040152
108019293,,4,,POINT (-77.02349 -12.1023761),1273549606,0.0035100576818711065
108019295,,4,,POINT (-77.0255118 -12.1025856),1273549606,0.0014824155962486684
108019300,,4,,POINT (-77.02702290000001 -12.1027286),108019300,0.0
