osmid,street_count,highway,geometry,NN,NN_dist
181285629,3,,POINT (-76.9974203 -11.9565144),3398706022,0.000269726324257139
181285633,3,,POINT (-76.99674159999999 -11.9564277),3398706022,0.0009539397517698564
181285635,3,,POINT (-76.9984248 -11.9578311),1755018130,0.0013667152483232334
181285636,4,,POINT (-76.9971908 -11.9583441),3398706022,0.0018642260404783653
181285637,3,,POINT (-76.9970878 -11.9564715),3398706022,0.0006049800409870433
181285638,3,,POINT (-76.99682900000001 -11.9585125),3398706022,0.002144644261872698
273413079,4,,POINT (-76.99991079999999 -12.0275338),273413079,0.0
273413150,4,,POINT (-77.00115460000001 -12.027825),273413150,0.0
492820352,3,,POINT (-77.0120043 -12.0252328),6030015803,0.0001137212820891605
492820358,3,,POINT (-77.0124852 -12.0232941),492820358,0.0
492820378,4,,POINT (-77.0113704 -12.0122309),821789929,0.0001164682360137486
492820398,3,traffic_signals,POINT (-77.01096750000001 -12.0092252),492820398,0.0
492820404,3,,POINT (-77.0120842 -12.0039628),492820404,0.0
493839482,4,,POINT (-77.00252690000001 -12.018053),493839482,0.0
493839484,4,,POINT (-77.0022487 -12.0132584),493839484,0.0
493839494,4,traffic_signals,POINT (-77.0066255 -11.9849378),493839494,0.0
499564329,3,,POINT (-77.0134053 -12.0254052),6030015787,0.0006432619994966052
499564364,3,,POINT (-77.0128012 -12.0145346),821789929,0.002595422655363834
499564386,3,,POINT (-77.0133412 -12.0121015),821789929,0.001920871981672437
499564389,3,,POINT (-77.0145577 -12.0105658),821789929,0.0035869506617663095
499564391,3,,POINT (-77.0156056 -12.0101474),821789929,0.004707605408268462
499564394,3,,POINT (-77.0164714 -12.009325),492820398,0.005504804742216621
499564487,3,,POINT (-77.01498549999999 -11.9922162),817301951,0.0020778434902572
499564495,3,,POINT (-77.0152518 -11.9849044),499564495,0.0
499564501,4,,POINT (-77.0131066 -11.9823707),499564506,0.00011781273275823903
499564506,4,,POINT (-77.0131186 -11.9822535),499564506,0.0
499564518,3,,POINT (-77.0050964 -11.9694381),1975410127,0.0006871373807348785
499564529,3,,POINT (-77.00254080000001 -11.965986),499564529,0.0
499564533,3,,POINT (-77.00169409999999 -11.9643488),499564533,0.0
499564538,4,,POINT (-77.00021 -11.9620443),499564538,0.0
499585667,3,,POINT (-76.9981315 -11.9734384),824299302,0.0014189576808378156
499585678,4,,POINT (-76.9867546 -11.9588047),499585678,0.0
499585682,3,,POINT (-76.9854177 -11.9562002),1342139049,0.0027010388538459404
499585687,4,,POINT (-76.9874839 -11.9515088),1343139699,0.00019352772410684613
499585714,4,traffic_signals,POINT (-76.9688159 -11.9332644),499585714,0.0
499585727,4,traffic_signals,POINT (-76.968982 -11.9331739),499585714,0.0001891545928613532
499585753,3,,POINT (-76.9785218 -11.9392525),1343538908,0.001751058982433752
499585768,3,,POINT (-76.98588669999999 -11.9485704),3738206011,0.0005123136734446085
499585771,3,,POINT (-76.98720950000001 -11.9507212),499585771,0.0
499585783,4,,POINT (-76.986896 -11.9586831),499585783,0.0
499585798,4,,POINT (-77.0039852 -11.9780085),499585798,0.0
499585876,4,,POINT (-77.0021794 -12.0171184),4352963907,0.00031150288923129793
499588497,5,,POINT (-77.0102454 -12.0257569),499588497,0.0
499588499,4,,POINT (-77.0109708 -12.0251434),6030015803,0.0009243498255586212
499588507,4,,POINT (-77.01988780000001 -12.0274676),499588507,0.0
816743662,3,,POINT (-77.0126283 -11.9826325),499564506,0.0006197056478641993
816743663,3,,POINT (-77.01321299999999 -11.9834875),3737968192,0.001202599538501375
816743664,4,,POINT (-77.0138623 -11.9844162),817111198,0.0005237360594806164
816743665,3,,POINT (-77.01420570000001 -11.9847478),817111198,0.0006319559003592643
816743702,3,,POINT (-77.0123305 -11.9839752),816743729,0.0011342196656732135
816743706,3,,POINT (-77.0118143 -11.9839878),816743729,0.0009596195339815005
816743720,4,,POINT (-77.0075358 -11.9845978),1302759117,0.00012933680836994048
816743722,4,,POINT (-77.0100157 -11.9836455),816743722,0.0
816743728,4,,POINT (-77.0111521 -11.9832346),816743728,0.0
816743729,4,,POINT (-77.01169520000001 -11.9830356),816743729,0.0
816805092,4,,POINT (-77.0136909 -11.9862207),499564495,0.0020418262658723446
816805100,3,,POINT (-77.0116824 -11.9861838),816805240,0.00012727266005920968
816805166,3,,POINT (-77.0118231 -11.983497),816743729,0.00047879888262139
816805179,4,,POINT (-77.0117371 -11.9856882),816805237,0.0001243160890735061
816805198,4,,POINT (-77.0118047 -11.986856),1302759105,0.00012070414243038112
816805237,4,,POINT (-77.01161279999999 -11.9856862),816805237,0.0
816805240,3,,POINT (-77.0115552 -11.9861795),816805240,0.0
816805245,3,,POINT (-77.01157259999999 -11.9864659),816805245,0.0
816805302,3,,POINT (-77.011974 -11.9887633),817064351,0.000599701634148612
816805422,3,,POINT (-77.01232539999999 -11.9846866),816805237,0.001227598843270933
816805727,3,,POINT (-77.0133498 -11.9852146),817111198,0.0014450035605498037
816805753,3,,POINT (-77.0123184 -11.9851927),816805237,0.0008610537788106425
816856778,3,,POINT (-77.01096200000001 -11.9886504),817362827,0.0008284123671259708
816856785,3,,POINT (-77.0109666 -11.9880085),1302759105,0.0013239942182628884
816856790,3,,POINT (-77.0109678 -11.9875039),1302759105,0.0009426854035124252
816856795,4,,POINT (-77.010977 -11.9870534),1302759105,0.0007318377005897164
816856799,3,,POINT (-77.01099929999999 -11.9859895),816805240,0.0005874732419523671
816856803,3,,POINT (-77.0110085 -11.9855121),816805237,0.0006288794001957431
816856808,3,,POINT (-77.01102969999999 -11.9843136),817086739,0.0010300093980154406
816856869,4,,POINT (-77.0111077 -11.9856785),816805237,0.0005051586879367792
816856876,3,,POINT (-77.0111014 -11.9861665),816805240,0.00045398616719267466
816856887,3,,POINT (-77.01109049999999 -11.9865819),816805245,0.00049585926430685
816925088,3,,POINT (-77.01368669999999 -11.9857187),817111198,0.0017086532035518198
817064314,3,,POINT (-77.0123656 -11.9867079),1302759105,0.0007000044642670029
817064326,3,,POINT (-77.01245470000001 -11.9872375),1302759105,0.0008326074945677513
817064332,3,,POINT (-77.0126269 -11.9889389),817064351,0.0007773757521332248
817064346,3,,POINT (-77.01095599999999 -11.9891672),817362827,0.0003949104328792406
817064351,4,,POINT (-77.0119754 -11.989363),817064351,0.0
817064352,4,,POINT (-77.0121146 -11.9893915),817064351,0.00014208761382261583
817064355,3,,POINT (-77.0147171 -11.9898628),817301953,0.0005179279100403618
817064372,3,,POINT (-77.0134362 -11.9898252),817064376,0.0015141710900628247
