osmid,street_count,highway,geometry,NN,NN_dist
273353471,3,,POINT (-77.1194946 -11.8287714),273353471,0.0
306532876,3,,POINT (-77.1294111 -11.9249546),1617054254,0.0006158245935371103
306532878,3,,POINT (-77.1289258 -11.9212622),1617054227,0.0006205451232577305
306532880,3,,POINT (-77.12874600000001 -11.9188782),1617054219,0.0008958937269516989
306532920,3,,POINT (-77.1265002 -11.8767238),306532920,0.0
306533339,3,,POINT (-77.12351200000001 -11.8495617),1768569603,0.0025452048129814223
306533340,3,,POINT (-77.1239602 -11.8495295),6023368552,0.002413551692006566
306533341,3,,POINT (-77.1244331 -11.8494506),6023368552,0.001938955969064847
306533342,3,,POINT (-77.1248145 -11.8494073),6023368552,0.0015656912850211789
306533344,3,,POINT (-77.12540799999999 -11.8493707),6023368552,0.0010168359602245418
306533345,4,,POINT (-77.12591980000001 -11.8494392),6023368552,0.0007005489989962259
306533353,3,,POINT (-77.1294887 -11.8524297),2866680485,0.0003443479780622852
306533363,3,,POINT (-77.13030620000001 -11.8601771),306533363,0.0
306533373,3,,POINT (-77.1286343 -11.8653033),1767758466,0.00047553733818513555
306533374,4,,POINT (-77.12853819999999 -11.8660582),1767758470,0.0005323980841432071
306533379,3,,POINT (-77.1267983 -11.8759869),306533379,0.0
306533380,4,,POINT (-77.126862 -11.8765116),306533380,0.0
306533390,4,,POINT (-77.1263733 -11.8820318),306533390,0.0
306533391,3,,POINT (-77.12628530000001 -11.8843269),306533391,0.0
306533393,3,,POINT (-77.1261964 -11.8878461),3955142413,0.0010044910601879242
306533395,3,,POINT (-77.1262262 -11.8915321),3955142413,0.004610468883963435
1273450906,4,,POINT (-77.1295693 -11.8231117),1756285093,0.0014536416374000603
1273451412,3,,POINT (-77.12871560000001 -11.8245296),1756285306,0.0014137401635430852
1273455587,4,,POINT (-77.1245761 -11.8281449),1273694290,0.0009486267179466111
1273455821,3,,POINT (-77.12613639999999 -11.8267914),1273455821,0.0
1273456303,3,,POINT (-77.12526269999999 -11.8254565),5436275028,0.0015156498177419807
1273457496,3,,POINT (-77.10733020000001 -11.9027673),5099278914,0.01103737851665425
1273467490,3,,POINT (-77.13624470000001 -11.8179369),5043154619,0.002216452609461849
1273467531,4,,POINT (-77.13034279999999 -11.8248082),1273467531,0.0
1273472020,4,,POINT (-77.1294055 -11.8284379),1273682657,0.0018777591991508628
1273476254,3,,POINT (-77.1298421 -11.825426),1756285293,0.0004096140744632433
1273490315,4,,POINT (-77.1219668 -11.8296411),1756251951,0.0018767598514474663
1273499593,3,,POINT (-77.1263615 -11.822044),6023392380,0.0014509857683606977
1273515540,1,,POINT (-77.1280546 -11.8220109),1273805118,0.002901518652363181
1273521018,3,,POINT (-77.11134730000001 -11.905989),5099278914,0.006052880512613185
1273522296,4,,POINT (-77.1313368 -11.8192559),5497647496,0.0030088532034678386
1273523916,3,,POINT (-77.13049479999999 -11.8263413),1756285293,0.0012941997720560807
1273525073,4,,POINT (-77.1271909 -11.8216264),6023392380,0.0023760199704505893
1273525427,3,,POINT (-77.1295739 -11.8264503),5145998760,0.0006287161044470886
1273536107,3,,POINT (-77.1196581 -11.8305866),5436270667,0.0014998622503386188
1273536552,4,,POINT (-77.12045980000001 -11.8299303),4346781789,0.0015057636999251845
1273544737,3,,POINT (-77.1161663 -11.9283627),5099278850,0.0010219879647078538
1273549067,3,,POINT (-77.12113050000001 -11.8293069),273353471,0.0017213160837089442
