osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist
1746796546,4,,,POINT (-76.97923710000001 -12.0449597),437866700,0.014581392799138013
4284776453,4,,,POINT (-77.0198858 -12.2007022),435838405,0.05978910056264468
4200497160,3,,,POINT (-77.094624 -12.0622377),435879639,0.005009301395070223
5497389066,3,,,POINT (-76.8093762 -12.0237946),438031676,0.14286552982699824
1746796556,4,,,POINT (-76.97493590000001 -12.0452296),437866700,0.011108077620482791
4335599630,3,,,POINT (-77.0275785 -12.119051),435834300,0.00028880783520242667
3738206223,4,,,POINT (-76.9170251 -11.9755075),438031676,0.07015702116439224
1482227728,3,,,POINT (-76.9879186 -12.0666517),3293687684,0.009653174477342623
5986648082,3,,,POINT (-76.8963775 -12.2283038),481692453,0.04264254386917657
1273757715,4,,,POINT (-76.9124822 -12.2086264),481692453,0.023794849434491703
1482227733,4,,,POINT (-76.9893649 -12.0620764),3293687684,0.014189197660544493
1482227734,4,,,POINT (-76.9938308 -12.0622365),3293687684,0.014870176343608694
1674117145,3,,,POINT (-76.9500695 -12.2020712),481692453,0.017515022592902548
821755929,4,,,POINT (-77.0062954 -12.0178307),437360405,0.0107114691248183
1674117147,3,,,POINT (-76.9505516 -12.2012952),481692453,0.01836651253374208
1482227739,4,,,POINT (-76.995155 -12.0638085),3293687684,0.013942235363454725
1674117149,3,,,POINT (-76.949607 -12.2028501),481692453,0.016684454771660463
1746796572,3,,,POINT (-76.9774705 -12.0464091),437866700,0.013838154830123968
1746796575,4,,,POINT (-76.9793056 -12.0465856),437866700,0.015453845804611135
3993075744,3,motorway_junction,,POINT (-76.9750526 -12.0547755),560845933,0.010032906430010141
1482227746,4,,,POINT (-76.993627 -12.0601419),3293687684,0.01680081230566146
1482227752,4,,,POINT (-76.993681 -12.0606892),3293687684,0.01629242037390256
1746796586,4,,,POINT (-76.9809176 -12.0465864),437866700,0.016834805041715414
1482227757,3,,,POINT (-76.99286909999999 -12.0640071),3293687684,0.012884231032544012
1482227759,4,,,POINT (-76.9935728 -12.0595921),3293687684,0.017314097551128324
1482227761,3,,,POINT (-76.98944849999999 -12.0640892),3293687684,0.01218142294192327
1746796594,3,,,POINT (-76.98007 -12.0468321),560845933,0.01616296299933905
4724817987,3,,,POINT (-76.9767379 -12.1300228),437346725,0.0061295876250140055
