osmid,y,x,street_count,highway,ref,geometry
1746796546,-12.0449597,-76.9792371,4,,,POINT (-76.97923710000001 -12.0449597)
4284776453,-12.2007022,-77.0198858,4,,,POINT (-77.0198858 -12.2007022)
4200497160,-12.0622377,-77.094624,3,,,POINT (-77.094624 -12.0622377)
5497389066,-12.0237946,-76.8093762,3,,,POINT (-76.8093762 -12.0237946)
1746796556,-12.0452296,-76.9749359,4,,,POINT (-76.97493590000001 -12.0452296)
4335599630,-12.119051,-77.0275785,3,,,POINT (-77.0275785 -12.119051)
3738206223,-11.9755075,-76.9170251,4,,,POINT (-76.9170251 -11.9755075)
1482227728,-12.0666517,-76.9879186,3,,,POINT (-76.9879186 -12.0666517)
5986648082,-12.2283038,-76.8963775,3,,,POINT (-76.8963775 -12.2283038)
1273757715,-12.2086264,-76.9124822,4,,,POINT (-76.9124822 -12.2086264)
1482227733,-12.0620764,-76.9893649,4,,,POINT (-76.9893649 -12.0620764)
1482227734,-12.0622365,-76.9938308,4,,,POINT (-76.9938308 -12.0622365)
1674117145,-12.2020712,-76.9500695,3,,,POINT (-76.9500695 -12.2020712)
821755929,-12.0178307,-77.0062954,4,,,POINT (-77.0062954 -12.0178307)
1674117147,-12.2012952,-76.9505516,3,,,POINT (-76.9505516 -12.2012952)
1482227739,-12.0638085,-76.995155,4,,,POINT (-76.995155 -12.0638085)
1674117149,-12.2028501,-76.949607,3,,,POINT (-76.949607 -12.2028501)
1746796572,-12.0464091,-76.9774705,3,,,POINT (-76.9774705 -12.0464091)
1746796575,-12.0465856,-76.9793056,4,,,POINT (-76.9793056 -12.0465856)
3993075744,-12.0547755,-76.9750526,3,motorway_junction,,POINT (-76.9750526 -12.0547755)
1482227746,-12.0601419,-76.993627,4,,,POINT (-76.993627 -12.0601419)
1482227752,-12.0606892,-76.993681,4,,,POINT (-76.993681 -12.0606892)
1746796586,-12.0465864,-76.9809176,4,,,POINT (-76.9809176 -12.0465864)
1482227757,-12.0640071,-76.9928691,3,,,POINT (-76.99286909999999 -12.0640071)
1482227759,-12.0595921,-76.9935728,4,,,POINT (-76.9935728 -12.0595921)
1482227761,-12.0640892,-76.9894485,3,,,POINT (-76.98944849999999 -12.0640892)
1746796594,-12.0468321,-76.98007,3,,,POINT (-76.98007 -12.0468321)
4724817987,-12.1300228,-76.9767379,3,,,POINT (-76.9767379 -12.1300228)
197656644,-12.1267246,-77.0359239,3,,,POINT (-77.0359239 -12.1267246)
197656646,-12.1260125,-77.0359027,4,,,POINT (-77.03590269999999 -12.1260125)
197656647,-12.1249702,-77.035886,4,,,POINT (-77.035886 -12.1249702)
197656648,-12.1243763,-77.0358831,4,,,POINT (-77.03588310000001 -12.1243763)
847511626,-12.0309177,-77.0949877,3,,,POINT (-77.0949877 -12.0309177)
1273528397,-12.0991282,-76.8729284,3,,,POINT (-76.87292840000001 -12.0991282)
1273528398,-12.1962499,-76.9095412,4,,,POINT (-76.90954120000001 -12.1962499)
847511631,-12.0329692,-77.0960076,3,,,POINT (-77.09600759999999 -12.0329692)
1273462861,-12.2011099,-76.9910023,4,,,POINT (-76.99100230000001 -12.2011099)
1938227287,-12.0192056,-76.9868484,3,,,POINT (-76.9868484 -12.0192056)
6415319128,-12.333688,-76.8194919,1,,,POINT (-76.8194919 -12.333688)
427589721,-11.996814,-77.1125693,4,,,POINT (-77.1125693 -11.996814)
847511646,-12.0309514,-77.0863436,4,,,POINT (-77.08634360000001 -12.0309514)
391020638,-12.1398036,-77.0131319,4,,,POINT (-77.0131319 -12.1398036)
6415319136,-12.3349038,-76.8188809,3,,,POINT (-76.8188809 -12.3349038)
391020639,-12.1392387,-77.013805,4,,,POINT (-77.013805 -12.1392387)
4785274979,-12.1021417,-76.870014,3,,,POINT (-76.870014 -12.1021417)
4785274985,-12.0995186,-76.8715806,3,,,POINT (-76.8715806 -12.0995186)
1746075767,-12.0252412,-76.9453322,4,,,POINT (-76.9453322 -12.0252412)
1951268989,-11.9937099,-77.0108256,4,,,POINT (-77.0108256 -11.9937099)
1273692286,-12.1936219,-76.9729071,3,,,POINT (-76.9729071 -12.1936219)
4356276356,-12.0465183,-76.9777239,3,,,POINT (-76.9777239 -12.0465183)
4785275019,-12.1057199,-76.8733982,3,,,POINT (-76.8733982 -12.1057199)
3335028877,-12.0751143,-77.0538719,4,,,POINT (-77.0538719 -12.0751143)
3501097102,-11.9924677,-77.0591577,3,,,POINT (-77.0591577 -11.9924677)
4785275024,-12.1049003,-76.8722677,4,,,POINT (-76.87226769999999 -12.1049003)
1273626773,-12.1391048,-76.9668407,4,,,POINT (-76.96684070000001 -12.1391048)
2846425237,-12.0601805,-77.1087844,3,,,POINT (-77.1087844 -12.0601805)
3738206362,-11.9766777,-76.9169218,4,,,POINT (-76.9169218 -11.9766777)
639107227,-12.078234,-77.0677008,4,,,POINT (-77.0677008 -12.078234)
1746075803,-12.0255973,-76.9476275,4,,,POINT (-76.9476275 -12.0255973)
1369043001,-12.0506524,-77.0140338,3,,,POINT (-77.01403380000001 -12.0506524)
133922977,-12.1257412,-77.0323439,4,,,POINT (-77.0323439 -12.1257412)
627835042,-12.0716412,-77.1215736,4,,,POINT (-77.1215736 -12.0716412)
627835043,-12.0729262,-77.1223047,4,,,POINT (-77.1223047 -12.0729262)
133922980,-12.1259895,-77.0317377,4,,,POINT (-77.03173769999999 -12.1259895)
4927553711,-12.075558,-77.0256431,3,,,POINT (-77.0256431 -12.075558)
5583110321,-12.0042417,-77.0607483,3,,,POINT (-77.0607483 -12.0042417)
1273790642,-12.2000189,-76.9269166,4,,,POINT (-76.9269166 -12.2000189)
1746075826,-12.0257511,-76.9476122,4,,,POINT (-76.94761219999999 -12.0257511)
4948000948,-12.1705066,-76.9803177,4,,,POINT (-76.9803177 -12.1705066)
1746075828,-12.0261323,-76.9500963,4,,,POINT (-76.9500963 -12.0261323)
842596534,-11.9981801,-77.0534396,4,,,POINT (-77.0534396 -11.9981801)
3738206393,-11.9778837,-76.9168152,4,,,POINT (-76.9168152 -11.9778837)
4329570490,-11.7849227,-77.1545714,4,,,POINT (-77.15457139999999 -11.7849227)
1273462969,-11.9556031,-77.0917975,3,,,POINT (-77.0917975 -11.9556031)
842596538,-11.9981741,-77.0525428,3,,,POINT (-77.0525428 -11.9981741)
3740696772,-12.2100957,-76.8735173,3,,,POINT (-76.8735173 -12.2100957)
842596549,-11.9977205,-77.0525456,4,,,POINT (-77.0525456 -11.9977205)
3740696777,-12.2118586,-76.8749132,3,,,POINT (-76.87491319999999 -12.2118586)
4948000970,-12.1709561,-76.9803313,3,,,POINT (-76.9803313 -12.1709561)
3740696779,-12.2123817,-76.8755044,3,,,POINT (-76.8755044 -12.2123817)
1273921739,-12.0591705,-77.0973964,4,,,POINT (-77.09739639999999 -12.0591705)
3738206411,-11.9785528,-76.9165983,4,,,POINT (-76.9165983 -11.9785528)
263389391,-12.0759211,-77.0527302,4,traffic_signals,,POINT (-77.0527302 -12.0759211)
263389392,-12.0749363,-77.0519232,4,traffic_signals,,POINT (-77.0519232 -12.0749363)
263389393,-12.0739505,-77.0511095,4,traffic_signals,,POINT (-77.0511095 -12.0739505)
263389394,-12.0729814,-77.050257,4,traffic_signals,,POINT (-77.050257 -12.0729814)
821756112,-12.0173985,-77.0047046,4,,,POINT (-77.0047046 -12.0173985)
