name,geometry,geometry_layer,geometry_proj4
VUELTA,"LINESTRING Z (-77.08705571100012 -11.97458219685056 0, -77.08586369054252 -11.97560843571582 0, -77.0843379421302 -11.97630822151729 0, -77.08088784162305 -11.97697117610567 0, -77.07647141696678 -11.97798795452355 0, -77.07732352148555 -11.97984789703391 0, -77.0779495093239 -11.98251135475484 0, -77.0782356611204 -11.98423678707895 0, -77.08033368426452 -11.98768759360319 0, -77.08119205080605 -11.98936640802398 0, -77.08136877252392 -11.99013280409563 0, -77.08145042287522 -11.99062357650391 0, -77.08122449223144 -11.99107940994985 0, -77.08093742977498 -11.99127124741006 0, -77.0798503758941 -11.99138283939253 0, -77.07548438766018 -11.9916066518572 0, -77.07141605718041 -11.99107708792987 0, -77.06638991799018 -11.99031533559972 0, -77.06494667635478 -11.99005568786091 0, -77.06440263557351 -11.98963265120822 0, -77.06398367292557 -11.98956841591867 0, -77.06362293795124 -11.98971472887679 0, -77.06357048835784 -11.99013601041056 0, -77.06372164832742 -11.99093438144065 0, -77.06367269470311 -11.99154699932396 0, -77.06338053418328 -11.99341211853705 0, -77.06326881876431 -11.99405164650888 0, -77.06271224291623 -11.99768855243309 0, -77.06278872952693 -11.99796794584095 0, -77.06224691859104 -12.00115433814991 0, -77.06212592524327 -12.00137666907812 0, -77.06183404258672 -12.00386449875753 0, -77.06149154807335 -12.00427301659392 0, -77.06164726267026 -12.00474561171371 0, -77.06149921228194 -12.00625776752357 0, -77.06126349629717 -12.00781957547147 0, -77.06094610270019 -12.00812075727947 0, -77.06072139735461 -12.00847724483046 0, -77.0609114659663 -12.00887494168885 0, -77.06034080767222 -12.01313031803725 0, -77.05960011964258 -12.01810546241168 0, -77.05914609940949 -12.02109520464213 0, -77.05863074152316 -12.02433075875831 0, -77.05844728803898 -12.02541952404959 0, -77.05825437113724 -12.02655770727374 0, -77.0579893041071 -12.02782187563371 0, -77.05764976872415 -12.02811515395562 0, -77.05741963128926 -12.02841439402337 0, -77.05735558850849 -12.02890305073397 0, -77.05735772938698 -12.02938641113922 0, -77.05688241219968 -12.03024053561367 0, -77.05615951936049 -12.03125330353095 0, -77.05516028171355 -12.0320301534249 0, -77.05402010077627 -12.03284459838973 0, -77.05275167764773 -12.03350739204742 0, -77.05091786920715 -12.03421929187298 0, -77.0489306062623 -12.03509575604393 0, -77.04554958763568 -12.03590646635104 0, -77.04514430743886 -12.0361798078988 0, -77.04465035766849 -12.03688423203483 0, -77.0438383421552 -12.0374960766408 0, -77.04252029293323 -12.03835965074324 0, -77.04162827388122 -12.03857160102071 0, -77.03967896340012 -12.0386919428692 0, -77.03764278676984 -12.03924617546234 0, -77.03588106175111 -12.04025161625425 0, -77.03358793512417 -12.04129716472506 0, -77.03205551158766 -12.04204260077194 0, -77.0307153549812 -12.04265233140706 0, -77.03020387706346 -12.04291435626009 0, -77.02883641633116 -12.04331893243834 0, -77.02409169504639 -12.0434869885238 0, -77.02269843592617 -12.04351588934859 0, -77.0210566673575 -12.04328878494469 0, -77.01943087948163 -12.04341229543633 0, -77.01797600791669 -12.04339162414615 0, -77.01721723846089 -12.04316953425389 0, -77.01619530246744 -12.04249200177074 0, -77.01530097862731 -12.04184269457181 0, -77.01452030712807 -12.0409366064404 0, -77.01421993487592 -12.04037977091953 0, -77.01402870560889 -12.03917133955255 0, -77.01393602200773 -12.03827189011177 0, -77.01353201378113 -12.03736063713703 0, -77.01275824148961 -12.03653968327268 0, -77.01117136226361 -12.03556705472012 0, -77.01075726859902 -12.03537991055806 0, -77.00810496804876 -12.03346298914415 0, -77.00547046681361 -12.03195952281794 0, -77.00184097918736 -12.03046402719792 0, -76.99981983465347 -12.02975104427965 0, -76.99963003476235 -12.02958906192558 0, -76.99807125270462 -12.02895889599596 0, -76.99635454992475 -12.02895857743835 0, -76.99507238678987 -12.02935378392479 0, -76.99163989044959 -12.03145521352653 0, -76.99022668753047 -12.03311184766212 0, -76.98894780481764 -12.03514701060347 0, -76.9881551063504 -12.03827008649172 0, -76.98774773096666 -12.03988343137472 0, -76.98690709358006 -12.04146845804497 0, -76.9861327423325 -12.04239353197329 0, -76.98531467684946 -12.04341436303133 0, -76.98073142459681 -12.04743110480967 0, -76.97851217179513 -12.04930998022452 0, -76.97662271878613 -12.05105478809015 0, -76.97419423371284 -12.05575876111303 0, -76.9714952316252 -12.06192951189672 0, -76.97112636194566 -12.06435312322657 0, -76.97116822953278 -12.06690234842613 0, -76.9737624037508 -12.07336204049505 0, -76.97532630710536 -12.07719045139583 0, -76.97668967162706 -12.07976021963483 0, -76.97900484518398 -12.08214828935638 0, -76.98041565001014 -12.08363652961038 0, -76.98135743173697 -12.08430009174382 0, -76.98210549031455 -12.08492504750459 0, -76.98191647993301 -12.08605965259654 0, -76.98139244235161 -12.08715341070913 0, -76.98081600250789 -12.08869523358969 0, -76.9803004585626 -12.09413367784126 0, -76.97840959264904 -12.10825056581055 0, -76.97753253708974 -12.11370291134671 0, -76.97703220384105 -12.11752624203348 0, -76.97666593270274 -12.12730375852403 0, -76.97676020713357 -12.12833233776829 0, -76.97864167951137 -12.13280439790452 0, -76.98010268692886 -12.13687062642753 0, -76.98058921322958 -12.13914963640909 0, -76.98158171960287 -12.14520855375008 0, -76.98233940447064 -12.14817977791907 0, -76.98307814697984 -12.15072940639343 0, -76.98352045288303 -12.15202455970768 0, -76.98359206051305 -12.15361725820119 0, -76.98342260904138 -12.15575051651662 0, -76.97867460820451 -12.17221704383892 0, -76.97821375252207 -12.17380438420171 0, -76.97764928547122 -12.17549528938707 0, -76.97696995804097 -12.17758176969621 0, -76.97628583856883 -12.17974360160186 0, -76.97466832043456 -12.18477548369308 0, -76.97356396789775 -12.1882734194532 0, -76.97318311683919 -12.18930303244907 0, -76.97286415556702 -12.19008557537749 0, -76.97262377259032 -12.19071453790034 0, -76.9724426600753 -12.19149285760219 0, -76.97233658200109 -12.1918747604282 0, -76.97211561864651 -12.19210324957757 0, -76.97197440952225 -12.19220925061564 0, -76.9713632372721 -12.19243006264065 0, -76.96948909855257 -12.19278788623327 0, -76.96798426888878 -12.19306090459166 0, -76.96695547428692 -12.19322493539502 0, -76.96475148936345 -12.19300757174054 0, -76.96336322928609 -12.19282908358055 0, -76.96195035699581 -12.19268663055649 0, -76.96149856199365 -12.19259842259715 0, -76.96112229356477 -12.19254879709914 0, -76.9610778808497 -12.19247573398712 0, -76.96099398695752 -12.19243519352429 0, -76.96087910484843 -12.19244182932984 0, -76.96077511198359 -12.19254713767937 0, -76.96076826670651 -12.19270382785729 0, -76.96064852546687 -12.19293761182945 0, -76.96022745267051 -12.19364259304642 0, -76.95953043586637 -12.19477360990261 0, -76.95903811547463 -12.19559912271316 0, -76.95823743854268 -12.19692277285068 0, -76.9573879161393 -12.19824930885287 0, -76.95668145714856 -12.19942646866502 0, -76.95619225888122 -12.20021924550648 0, -76.95593623703077 -12.20066604524928 0, -76.95475613595839 -12.20259776954719 0, -76.95445957442107 -12.20307636029333 0, -76.95378879775599 -12.20420709979975 0, -76.95302036105075 -12.20547379358477 0, -76.95281902209733 -12.20565913801744 0, -76.95280826758817 -12.20583005726331 0, -76.95254956898788 -12.20627860237244 0, -76.95208438488946 -12.20703692911671 0, -76.95159194804154 -12.20786255947864 0, -76.9513262267789 -12.2083038790402 0, -76.95101578695505 -12.20882361197235 0, -76.95064437228143 -12.20945879501965 0, -76.95015407442452 -12.2102219114935 0, -76.94988954286677 -12.21070689546498 0, -76.94962803636285 -12.21111237942273 0, -76.94919077641757 -12.21186896230841 0, -76.94872458552673 -12.21265375521504 0, -76.94844267722596 -12.21303998099544 0, -76.94830278365735 -12.21318603739599 0, -76.94825772179676 -12.21334422714718 0, -76.94815499517649 -12.21354010665816 0, -76.94800253503215 -12.21383690642973 0, -76.94757216164126 -12.2145596343272 0, -76.94687767001084 -12.21572784578 0, -76.94612647432523 -12.21696617053914 0, -76.94566153502656 -12.21775357289335 0, -76.94523297123837 -12.21846430943028 0, -76.94450666287179 -12.21968326120849 0, -76.94375943882791 -12.22093176867964 0, -76.94305724049681 -12.22207139684201 0, -76.9423280854474 -12.22329146228795 0, -76.94158999049817 -12.22449880935782 0, -76.94096123643673 -12.22568815393544 0, -76.94083345411717 -12.22583185920264 0, -76.94056051199262 -12.22625623439743 0, -76.94015044087905 -12.2269390527726 0, -76.93983904252956 -12.22748233985575 0, -76.93954015900268 -12.22799708159027 0, -76.93915682973579 -12.2285997498162 0, -76.93775607093531 -12.23093272225415 0, -76.9376136045628 -12.23094642400094 0, -76.93689105348446 -12.23216156675768 0, -76.93671919144623 -12.23236157434787 0, -76.93630720005547 -12.23267134865221 0, -76.93456569677276 -12.23384423545932 0, -76.93264034813646 -12.23119291336072 0, -76.92940184434509 -12.22930894099115 0, -76.92861363193086 -12.22885448457792 0, -76.92793981392624 -12.22847099548084 0, -76.92766757321715 -12.22830920597808 0, -76.9274321139867 -12.22868207868561 0, -76.9277267322324 -12.22882799736656 0, -76.92835932670059 -12.2291878334215 0, -76.92956679753904 -12.2299034649741 0)",Rutas,+proj=longlat +datum=WGS84 +no_defs
IDA,"LINESTRING Z (-77.08698723916375 -11.9728120875798 0, -77.08746796754986 -11.97310901052941 0, -77.08817639674827 -11.97315841082814 0, -77.08853064778802 -11.97370284151807 0, -77.08840416497942 -11.97407409307226 0, -77.08739655492552 -11.97461697067833 0, -77.08531767094914 -11.97627706317541 0, -77.07788547309895 -11.97795828557298 0, -77.07815587167958 -11.98049495546855 0, -77.07901604252589 -11.98445356188592 0, -77.08191879774903 -11.98969883505348 0, -77.08309984287187 -11.99124432661123 0, -77.08316011758397 -11.9914872752224 0, -77.08131453030957 -11.9914893416385 0, -77.07978961757526 -11.99155503201596 0, -77.07633649509856 -11.9917126329768 0, -77.0751124817039 -11.99176554007426 0, -77.0715469625199 -11.99129840867108 0, -77.06931431148108 -11.99098739438672 0, -77.06668233552644 -11.99050939125267 0, -77.06479105816811 -11.99026787379439 0, -77.06451672920947 -11.99033105984885 0, -77.06436363133697 -11.99089317353648 0, -77.06395184373493 -11.99379345404057 0, -77.06381277996658 -11.99402703191038 0, -77.06369352404553 -11.99470155712898 0, -77.06370093921633 -11.99518428321052 0, -77.06347740130606 -11.99693474775435 0, -77.06293861926865 -11.99778008732135 0, -77.06270878092944 -11.99938157988041 0, -77.06248870652627 -12.00058580470736 0, -77.0623806770071 -12.00136597955407 0, -77.06225764317008 -12.00238065829374 0, -77.06222425058452 -12.00288795984465 0, -77.06219440793143 -12.00408879360364 0, -77.06229386428539 -12.00445973297816 0, -77.06209133036997 -12.00472711682399 0, -77.06163824525588 -12.00805189080753 0, -77.06166209420658 -12.00848286921869 0, -77.06155947479826 -12.00889718583218 0, -77.06117137528327 -12.00935329222427 0, -77.0594645623973 -12.02064618654905 0, -77.05951621695462 -12.02114087365984 0, -77.05908564761526 -12.02390989638914 0, -77.05892615164967 -12.02504172523911 0, -77.05853612700366 -12.02711915060161 0, -77.05843721514694 -12.02816912220779 0, -77.05843991535073 -12.02849164905256 0, -77.05846345551576 -12.02865651940022 0, -77.05839550781145 -12.02884457719697 0, -77.05812724910548 -12.029064098591 0, -77.05778330230925 -12.02939627502211 0, -77.05719734564396 -12.030200208544 0, -77.05657496038604 -12.03113112505842 0, -77.05451721565227 -12.03296997257181 0, -77.05344110562915 -12.03352128622259 0, -77.05232655992658 -12.03413524336209 0, -77.04903408042961 -12.03526293457755 0, -77.04871587113367 -12.03540633549818 0, -77.04756824892918 -12.03677551624512 0, -77.04633299926115 -12.03846462557191 0, -77.0456422883902 -12.03891757307962 0, -77.04523942629521 -12.03914847763313 0, -77.04152207146238 -12.03904820907935 0, -77.03959170983052 -12.03915655399459 0, -77.0384448009212 -12.03918404183715 0, -77.03772130799085 -12.03945277601608 0, -77.03536224262513 -12.04068420799404 0, -77.03200980369313 -12.0422416237163 0, -77.03101002191488 -12.04269868824251 0, -77.02994165324046 -12.04321296327309 0, -77.02921640619124 -12.04344361108858 0, -77.02643604570818 -12.04354711358426 0, -77.02403547804289 -12.04370175116158 0, -77.02311729865195 -12.04375132555185 0, -77.02209023927132 -12.04362934886912 0, -77.02104024231684 -12.04347670847272 0, -77.02029500515188 -12.0435746321368 0, -77.01941907132108 -12.04357224485931 0, -77.01777479888352 -12.04350233322957 0, -77.01699478802355 -12.04324015959286 0, -77.01542397397397 -12.04208775984046 0, -77.01467709746925 -12.04146572726187 0, -77.01406257655059 -12.04041909763368 0, -77.01381214946031 -12.0391872168335 0, -77.01366860323701 -12.03854917500295 0, -77.01317232384989 -12.03781504285692 0, -77.01087774051848 -12.03576042766386 0, -77.00943024914133 -12.03465762691568 0, -77.0084428476823 -12.03395050297373 0, -77.00600512374753 -12.03241327675738 0, -77.00418184909454 -12.03159805780334 0, -76.99797982062528 -12.02941844200605 0, -76.99715806310675 -12.02917631348723 0, -76.99607292834888 -12.02934513342681 0, -76.99460462323796 -12.03001898763348 0, -76.99342768658863 -12.0308444676747 0, -76.99161278536958 -12.03222404446955 0, -76.99028306238014 -12.034027036294 0, -76.98964720302628 -12.03511305965412 0, -76.98846934408328 -12.03938015103567 0, -76.98780311414724 -12.04115243401906 0, -76.98658209709984 -12.04281606434438 0, -76.98480625509825 -12.04440722195435 0, -76.97726663131918 -12.0511113614557 0, -76.97619347561869 -12.05255803288236 0, -76.97552717011601 -12.05411330757222 0, -76.97363941229688 -12.0582364482427 0, -76.97178851059385 -12.06268509697905 0, -76.97145818216454 -12.06466816428828 0, -76.97163923380531 -12.06666411277902 0, -76.97205972273169 -12.06818025943038 0, -76.97303643976339 -12.07045899195528 0, -76.97637041787586 -12.07853060760807 0, -76.97715425184481 -12.07978091815563 0, -76.97856010352747 -12.08118617386495 0, -76.98066014379999 -12.08316202671361 0, -76.98149510436343 -12.08396080215265 0, -76.98219478397826 -12.08493836059376 0, -76.98243505926936 -12.08612885746567 0, -76.98136207558592 -12.08872918218434 0, -76.98060093663902 -12.09495026703839 0, -76.9795936606024 -12.10140887316315 0, -76.97805561774832 -12.11301594483942 0, -76.97748922768686 -12.11748387962068 0, -76.97715110685982 -12.12425229944576 0, -76.97698079853312 -12.12810697469456 0, -76.98057354455129 -12.13688366422349 0, -76.98117486186477 -12.14023768590635 0, -76.98177935211426 -12.14416174353825 0, -76.98235473693242 -12.14677331165213 0, -76.98380292756012 -12.15065248289898 0, -76.98416892373355 -12.15295677348092 0, -76.98383931035939 -12.15590580975214 0, -76.98351718547121 -12.15709003998106 0, -76.98263123407153 -12.15975120565238 0, -76.98088756467189 -12.16572887734405 0, -76.97989231253162 -12.16872251296908 0, -76.9784536003678 -12.17337424989508 0, -76.9771336027222 -12.17752969069347 0, -76.97551749000928 -12.1828374452041 0, -76.97446480238133 -12.18595381937412 0, -76.97375031818287 -12.18836323574049 0, -76.97350394483064 -12.1894443008223 0, -76.97316378047046 -12.19072276938289 0, -76.97301908371951 -12.191516936477 0, -76.97298442046223 -12.19169159681606 0, -76.97284221781628 -12.19193190115766 0, -76.97264159134535 -12.19209772628774 0, -76.97177118919316 -12.19239854569187 0, -76.97129135905712 -12.19254741174867 0, -76.97003130046477 -12.19276879352472 0, -76.96858899070948 -12.1930275769118 0, -76.9673634314547 -12.19325394215343 0, -76.96699691510882 -12.19331613068653 0, -76.96666937077619 -12.19329101521513 0, -76.96603086546288 -12.19322522427639 0, -76.96506087147853 -12.19312433776304 0, -76.96337411987544 -12.19292764995253 0, -76.96146242190756 -12.19270211467148 0, -76.96137223962781 -12.19269253326653 0, -76.9610950805011 -12.19275656031686 0, -76.96105904399022 -12.19278192232213 0, -76.96019478058329 -12.19422154911658 0, -76.95934195737169 -12.19561772260184 0, -76.95864110430344 -12.19676890881449 0, -76.95779275107562 -12.19813988412645 0, -76.95624548119024 -12.20061787232958 0, -76.95620744109506 -12.20086990394259 0, -76.95551704892547 -12.20196487021319 0, -76.95480907493882 -12.20317067092977 0, -76.95345217022691 -12.20545420216942 0, -76.95337682237501 -12.20561342468086 0, -76.9532660421842 -12.20573077058953 0, -76.95321207711689 -12.20591289880565 0, -76.95305350436274 -12.20607867400441 0, -76.95282918031808 -12.20645142598321 0, -76.952421803817 -12.20708962161897 0, -76.95189484887858 -12.20799694788282 0, -76.95130684218609 -12.20892418507239 0, -76.95071252298266 -12.20989161454165 0, -76.95039503055675 -12.21041484535371 0, -76.95012084830378 -12.21090636815794 0, -76.94985487771065 -12.21135692143857 0, -76.94954974751673 -12.21189912110298 0, -76.94917582956595 -12.21257487766849 0, -76.94893618243306 -12.2129461592782 0, -76.94879979399282 -12.21319933718523 0, -76.94872686220211 -12.21337104886845 0, -76.94863521118698 -12.21353148931752 0, -76.94853499881791 -12.21358640305573 0, -76.94848030020479 -12.21358302926502 0, -76.94831892082068 -12.21388557997475 0, -76.94782119547915 -12.21469548424828 0, -76.94731055176638 -12.21558165165643 0, -76.94665574691471 -12.21664784900957 0, -76.9459746958893 -12.21779613264739 0, -76.94550920856048 -12.21859511230713 0, -76.94495055726775 -12.21954091951558 0, -76.94440924270586 -12.22045517825163 0, -76.94389762332867 -12.22133078450508 0, -76.94313483617628 -12.2226293010795 0, -76.94257123738367 -12.22353977193109 0, -76.94159472605226 -12.22519013289485 0, -76.94116668502978 -12.22586958244411 0, -76.94095381328708 -12.22621843496355 0, -76.94081510759767 -12.22643611634814 0, -76.94032600539035 -12.22727119382314 0, -76.93973413250104 -12.22825955142227 0, -76.93942668659298 -12.22878119131654 0, -76.93886264915714 -12.22972847261227 0, -76.93832476697737 -12.23064938423631 0, -76.93794766816006 -12.23125273610284 0, -76.93775562233495 -12.23159577420588 0, -76.93761698221611 -12.23187303850087 0, -76.93746799102546 -12.23212310089222 0, -76.93727816548915 -12.2323861452827 0, -76.93706742462027 -12.2326210569817 0, -76.93679972528987 -12.23286704549487 0, -76.93636638193432 -12.23318170617545 0, -76.93594751241693 -12.2334577439307 0, -76.93549119081449 -12.23376321105507 0, -76.93514029450684 -12.23403707526038 0, -76.93483411984235 -12.23422556551384 0, -76.93458621882827 -12.23441338559699 0, -76.93449894106389 -12.23446194016793 0, -76.93436005454951 -12.23425269334924 0, -76.93382714168645 -12.23352436405958 0, -76.93328329973272 -12.23276818475828 0, -76.93259780636537 -12.23180975169527 0, -76.93238179524738 -12.23155861413533 0, -76.93199035222258 -12.23133438593358 0)",Rutas,+proj=longlat +datum=WGS84 +no_defs
Layover Norte - Sur,"LINESTRING Z (-77.08719670000001 -11.9744249 0, -77.0872825 -11.9743436 0, -77.0873174 -11.9742728 0, -77.0873496 -11.9741835 0, -77.0873818 -11.9740025 0, -77.0873818 -11.9738949 0, -77.0873764 -11.9738005 0, -77.0873576 -11.9736981 0, -77.087312 -11.9735932 0, -77.08721009999999 -11.9734541 0, -77.0871216 -11.9733439 0, -77.0869634 -11.9731786 0, -77.0865798 -11.9727483 0, -77.086105 -11.9722209 0, -77.0855579 -11.971599 0, -77.0850885 -11.9710323 0, -77.0847934 -11.9706466 0, -77.0845118 -11.9701821 0, -77.0842758 -11.9697754 0, -77.0839727 -11.9691483 0, -77.0838574 -11.9689017 0, -77.0837313 -11.9685186 0, -77.08368299999999 -11.9682956 0, -77.08365619999999 -11.9681617 0, -77.083675 -11.968125 0, -77.08371390000001 -11.9681027 0, -77.08379840000001 -11.9680777 0, -77.0838372 -11.9680765 0, -77.08386 -11.9680988 0, -77.0838895 -11.9681513 0, -77.0839137 -11.9682247 0, -77.0839646 -11.9683822 0, -77.08420340000001 -11.969046 0, -77.08440179999999 -11.9694737 0, -77.0845011 -11.96966 0, -77.0848203 -11.9702294 0, -77.08496510000001 -11.9704603 0, -77.0853031 -11.9709273 0, -77.0855954 -11.9712632 0, -77.0863464 -11.9721684 0, -77.0869285 -11.9728664 0)",Rutas,+proj=longlat +datum=WGS84 +no_defs
Layover Sur - Norte,"LINESTRING Z (-76.92961052202119 -12.22992728283891 0, -76.93187818979027 -12.23128957476198 0)",Rutas,+proj=longlat +datum=WGS84 +no_defs
Proceres,POINT Z (-76.9835484121042 -12.15259052303082 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Santa Rosa,POINT Z (-77.080949 -11.988931 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Pentagonito,POINT Z (-76.979125 -12.102779 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Óvalo Izaguirre,POINT Z (-77.063627 -11.991578 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Cayetano,POINT Z (-77.058368 -12.025489 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Plaza Norte,POINT Z (-77.061303 -12.006942 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
