osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
273353447,-11.7891932,-77.1501854,3,,POINT (-77.1501854 -11.7891932),4347967864,1273907015,3808.5800000000004,,,,465231306,1273682885,10818.155999999999,881669304,7117469784,4076.058000000001,318783371,1022577437,10434.278,5567212052,1273583137,10434.073,,,
273353463,-11.8157562,-77.1280128,3,,POINT (-77.12801279999999 -11.8157562),4347967864,1273907015,1132.3680000000002,,,,465231306,1273682885,8105.974000000002,883067555,1756283966,1043.3080000000002,436968739,1756284113,1831.6880000000003,5567439115,2489958543,1819.101,,,
273353749,-11.7763585,-77.1633884,4,,POINT (-77.1633884 -11.7763585),4347967864,1273907015,5847.452999999999,,,,465231306,1273682885,1095.323,638792999,273933786,5241.470000000002,318783371,1022577437,711.445,5567205701,2416609843,300.044,,,
273353751,-11.7760637,-77.1640769,3,,POINT (-77.1640769 -11.7760637),4347967864,1273907015,5930.342,,,,465231306,1273682885,1178.212,638792999,273933786,5215.448000000002,318783371,1022577437,794.3340000000001,5567205701,2416609843,257.964,,,
273353753,-11.7757265,-77.1645397,3,,POINT (-77.16453970000001 -11.7757265),4347967864,1273907015,5996.544999999999,,,,465231306,1273682885,1244.415,638792999,273933786,5281.651000000003,318783371,1022577437,860.537,5567205701,2416609843,324.16700000000003,,,
273353757,-11.7754361,-77.1643224,3,,POINT (-77.1643224 -11.7754361),4347967864,1273907015,6043.721999999999,,,,465231306,1273682885,1186.338,638792999,273933786,5328.828000000002,318783371,1022577437,759.4979999999998,5567205701,2416609843,138.546,,,
273353759,-11.7758468,-77.1638262,3,,POINT (-77.1638262 -11.7758468),4347967864,1273907015,6120.677999999999,,,,465231306,1273682885,1263.2939999999999,638792999,273933786,5172.986000000002,318783371,1022577437,836.4539999999998,5567205701,2416609843,215.50199999999998,,,
273403219,-11.73267,-77.1306694,3,,POINT (-77.1306694 -11.73267),4347967864,1273907015,11872.013000000003,,,,465231306,1273682885,7598.493000000001,638793000,273935249,4491.215,318783371,1022577437,7214.615000000002,5567185101,1740739771,4213.484,,,
273429947,-11.7745835,-77.1621485,3,,POINT (-77.1621485 -11.7745835),4347967864,1273907015,6299.7829999999985,,,,465231306,1273682885,1442.399,638792999,273933786,4929.299000000002,318783371,1022577437,1015.559,5567205701,2416609843,394.607,,,
273429949,-11.7751433,-77.1634112,3,,POINT (-77.1634112 -11.7751433),4347967864,1273907015,6148.8899999999985,,,,465231306,1273682885,1291.506,638792999,273933786,5080.192000000002,318783371,1022577437,864.6659999999999,5567205701,2416609843,243.714,,,
273429950,-11.7757991,-77.1638318,3,,POINT (-77.1638318 -11.7757991),4347967864,1273907015,6115.338999999999,,,,465231306,1273682885,1257.955,638792999,273933786,5167.647000000002,318783371,1022577437,831.1149999999999,5567205701,2416609843,210.16299999999998,,,
273429953,-11.7773325,-77.1617458,3,,POINT (-77.16174580000001 -11.7773325),4347967864,1273907015,6064.756,,,,465231306,1273682885,1312.626,638792999,273933786,5437.815000000002,318783371,1022577437,928.748,5567205698,1756324302,737.9350000000001,,,
273429966,-11.7813935,-77.1579166,3,motorway_junction,POINT (-77.15791659999999 -11.7813935),4347967864,1273907015,6899.683,,,,465231306,1273682885,2147.553,881669304,7117469784,7167.161,318783371,1022577437,1763.675,5567212052,1273583137,1763.4699999999998,,,
273429996,-11.7783661,-77.1594357,3,,POINT (-77.1594357 -11.7783661),4347967864,1273907015,13087.392000000002,,,,465231306,1273682885,8813.872,638792999,273933786,5494.151000000001,318783371,1022577437,8429.994,5567205698,1756324302,8239.181,,,
273430059,-11.7774313,-77.1617916,3,,POINT (-77.1617916 -11.7774313),4347967864,1273907015,5636.637999999998,,,,465231306,1273682885,1912.5559999999998,638792999,273933786,6118.311000000001,318783371,1022577437,1528.6779999999999,5567205698,1756324302,613.743,,,
273430108,-11.7716023,-77.1701438,4,,POINT (-77.17014380000001 -11.7716023),4347967864,1273907015,6782.499999999999,,,,465231306,1273682885,625.035,638792999,273933786,6067.606000000002,318783371,1022577437,542.742,5597223898,5069365357,312.305,,,
273430249,-11.7754816,-77.1596855,3,motorway_junction,POINT (-77.15968549999999 -11.7754816),4347967864,1273907015,5730.827999999999,,,,465231306,1273682885,1658.3059999999998,638792999,273933786,5783.495000000002,318783371,1022577437,1274.4279999999999,5567205698,1756324302,1083.615,,,
273929544,-11.7316778,-77.1371707,3,,POINT (-77.1371707 -11.7316778),4347967864,1273907015,11504.938000000004,,,,465231306,1273682885,7231.4180000000015,638793000,273935249,612.262,4530597496,5319898879,25095.885999999995,5567185102,1740739360,627.297,,,
273929826,-11.7320019,-77.1374575,3,,POINT (-77.1374575 -11.7320019),4347967864,1273907015,11552.622000000003,,,,465231306,1273682885,7201.361000000003,638793000,273935249,633.663,318783371,1022577437,6809.426000000003,5567185102,1740739360,573.7149999999999,,,
273929827,-11.7305929,-77.1390857,3,,POINT (-77.1390857 -11.7305929),4347967864,1273907015,11803.448000000002,,,,465231306,1273682885,7311.812000000003,638793000,273935249,744.1750000000001,4530597496,5319898879,25176.279999999995,5567185102,1740739360,337.118,,,
273929828,-11.7309483,-77.1441364,4,,POINT (-77.14413639999999 -11.7309483),4347967864,1273907015,11617.038000000002,,,,465231306,1273682885,7085.167000000002,601813027,273933406,621.2040000000001,4530597496,5319898879,24949.635,5567185102,1740739360,231.30899999999997,,,
273929829,-11.7337817,-77.1439504,4,,POINT (-77.14395039999999 -11.7337817),4347967864,1273907015,11339.787000000004,,,,465231306,1273682885,6807.916000000003,601813027,273933406,305.494,318783371,1022577437,6415.981000000003,5567185103,5044991075,21.697,,,
273929830,-11.7362231,-77.1412259,3,,POINT (-77.14122589999999 -11.7362231),4347967864,1273907015,11127.843000000004,,,,465231306,1273682885,6595.972000000003,638793000,273935249,290.227,318783371,1022577437,6204.037000000004,5567185099,1740739760,228.676,,,
273929933,-11.732669,-77.141482,3,,POINT (-77.141482 -11.732669),4347967864,1273907015,11561.887000000002,,,,465231306,1273682885,7030.016000000002,638793000,273935249,674.441,4530597496,5319898879,24894.483999999993,5567185102,1740739360,277.568,,,
273929934,-11.7333412,-77.1420932,3,,POINT (-77.14209320000001 -11.7333412),4347967864,1273907015,11461.803000000004,,,,465231306,1273682885,6929.932000000003,601813027,273933406,400.574,318783371,1022577437,6537.997000000004,5567185103,5044991075,263.615,,,
273929935,-11.7339276,-77.1414143,3,,POINT (-77.14141429999999 -11.7339276),4347967864,1273907015,11370.825000000003,,,,465231306,1273682885,6838.954000000002,638793000,273935249,488.55000000000007,318783371,1022577437,6447.019000000003,5567185103,5044991075,362.178,,,
273929936,-11.7332574,-77.1407942,3,,POINT (-77.1407942 -11.7332574),4347967864,1273907015,11471.382000000003,,,,465231306,1273682885,6939.511000000002,638793000,273935249,575.003,318783371,1022577437,6547.576000000003,5567185103,5044991075,462.735,,,
273930076,-11.732058,-77.1389836,3,,POINT (-77.1389836 -11.732058),4347967864,1273907015,11668.603000000003,,,,465231306,1273682885,7136.732000000002,638793000,273935249,569.095,4530597496,5319898879,25001.199999999993,5567185102,1740739360,503.50499999999994,,,
273930077,-11.732138,-77.1404323,3,,POINT (-77.1404323 -11.732138),4347967864,1273907015,11641.499000000003,,,,465231306,1273682885,7109.628000000002,638793000,273935249,727.0840000000001,4530597496,5319898879,24974.095999999994,5567185102,1740739360,347.098,,,
273930078,-11.732959,-77.1411431,3,,POINT (-77.14114309999999 -11.732959),4347967864,1273907015,11521.818000000003,,,,465231306,1273682885,6989.947000000002,638793000,273935249,625.439,318783371,1022577437,6598.012000000002,5567185102,1740739360,326.57,,,
