osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
180990793,-12.0051054,-76.8360373,3,,,POINT (-76.8360373 -12.0051054),457362186,4738262950,1834.324,8734962929,4357846734,12388.913,320125239,3266223504,2224.8680000000004,818118417,3268059158,1248.828,318788561,4379446667,1274.854,5596828334,1847107934,191.41699999999997,439916826,4765289405,7211.060999999999
181327500,-12.0083945,-76.8336554,4,,,POINT (-76.8336554 -12.0083945),457362186,4738262950,1372.556,8734962929,4357846734,12597.644999999999,320125239,3266223504,1763.1,440102446,4379360071,1102.486,318788561,4379446667,813.086,5596831416,181327500,0.0,439916826,4765289405,7419.792999999999
181327639,-12.0088082,-76.8316519,4,,,POINT (-76.8316519 -12.0088082),457362186,4738262950,1136.92,8734962929,4357846734,12829.759999999997,320125239,3266223504,1527.4640000000004,440102446,4379360071,875.5129999999999,318788561,4379446667,577.45,5596831412,3301272392,294.966,439916826,4765289405,7651.907999999997
181327978,-12.0096804,-76.8292849,3,,,POINT (-76.8292849 -12.0096804),457362186,4738262950,948.6820000000001,8734962929,4357846734,13142.867999999999,320125239,3266223504,1339.226,440102446,4379360071,560.01,318788561,4379446667,389.21200000000005,5596831408,4739876205,128.13400000000001,439916826,4765289405,7965.015999999999
181328697,-12.0071802,-76.8305872,4,,,POINT (-76.8305872 -12.0071802),457362186,4738262950,1351.978,8734962929,4357846734,12968.497999999998,320125239,3266223504,1742.522,440102446,4379360071,691.837,318788561,4379446667,792.508,5596828323,4378061231,230.549,439916826,4765289405,7790.645999999998
181937927,-12.0090943,-76.8284141,3,,,POINT (-76.8284141 -12.0090943),457362186,4738262950,1030.567,8734962929,4357846734,13257.833999999997,320125239,3266223504,1420.9689999999996,440102446,4379360071,445.044,318788561,4379446667,471.09700000000004,459253361,181937927,0.0,439916826,4765289405,8079.981999999997
181937931,-12.0101665,-76.8297198,3,,,POINT (-76.82971980000001 -12.0101665),457362186,4738262950,878.1340000000001,8734962929,4357846734,13092.260999999999,320125239,3266223504,1268.6779999999999,440102446,4379360071,631.837,318788561,4379446667,318.664,5596831408,4739876205,199.961,439916826,4765289405,7914.408999999999
181948325,-12.0158452,-76.8215265,4,,,POINT (-76.8215265 -12.0158452),4378103036,1745866402,315.98299999999995,8734962929,4357846734,14181.482999999998,320125239,3266223504,176.22899999999998,480876287,4738274028,551.249,318788561,4379446667,792.2809999999998,440217142,4378103018,9.888,439916826,4765289405,9003.631
181975622,-12.0168085,-76.8173853,3,,,POINT (-76.8173853 -12.0168085),4378103036,1745866402,920.7619999999998,8734962929,4357846734,14786.261999999999,320125239,3266223504,458.05,480876287,4738274028,946.7499999999999,318788561,4379446667,1397.0599999999997,5115337423,1745910666,183.909,439916826,4765289405,9608.410000000002
181983357,-12.0074128,-76.8267834,5,traffic_signals,,POINT (-76.8267834 -12.0074128),457362186,4738262950,1215.235,8734962929,4357846734,13489.804999999998,320125239,3266223504,1418.7629999999997,440102446,4379360071,180.251,318788561,4379446667,655.765,5596794708,4379360070,71.486,439916826,4765289405,8311.952999999998
