osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
197654185,-12.1342897,-77.0214587,3,,,POINT (-77.0214587 -12.1342897),436631995,391017391,,,,,,,,4757036316,391017388,,511806555,7546524260,,436732540,391018142,,437212067,263640435,
258309932,-12.1419848,-77.0266267,3,,,POINT (-77.02662669999999 -12.1419848),4344482235,391013653,3441.9850000000006,,,,,,,4757036316,391017388,2515.7850000000003,511806555,7546524260,,522148231,391008260,2764.928,379598570,4344675721,2987.628000000001
263621934,-12.1369648,-77.0226891,3,,,POINT (-77.02268909999999 -12.1369648),436631995,391017391,801.1690000000001,,,,,,,4757036316,391017388,495.553,511806555,7546524260,,5595074952,391016290,278.842,437212067,263640435,501.345
263621936,-12.1394795,-77.0223535,4,,,POINT (-77.02235349999999 -12.1394795),436631995,391017391,1071.077,,,,,,,4757036316,391017388,599.011,511806555,7546524260,,421580799,1192969371,110.475,379598570,4344675721,684.257
263621937,-12.1403602,-77.0222885,4,,,POINT (-77.0222885 -12.1403602),436631995,391017391,972.806,,,,,,,4757036316,391017388,500.74,511806555,7546524260,,421580799,1192969371,12.204,379598570,4344675721,585.9859999999999
263622404,-12.1411176,-77.0221221,4,,,POINT (-77.0221221 -12.1411176),4344482235,391013653,974.43,,,,,,,4757036316,391017388,573.835,318792235,2676305091,874.7219999999999,421580799,1192969371,85.299,379598570,4344675721,520.073
263622407,-12.1394691,-77.0222563,4,,,POINT (-77.0222563 -12.1394691),436631995,391017391,861.962,,,,,,,4757036316,391017388,389.89599999999996,511806555,7546524260,,421580799,1192969371,121.10499999999999,379598570,4344675721,694.887
263622408,-12.1392349,-77.0222708,3,,,POINT (-77.0222708 -12.1392349),436631995,391017391,835.8720000000001,,,,,,,4757036316,391017388,363.806,511806555,7546524260,,657445335,391007955,435.87799999999993,379598570,4344675721,1029.1689999999999
263622411,-12.1386361,-77.0223211,4,,,POINT (-77.0223211 -12.1386361),436631995,391017391,769.0510000000002,,,,,,,4757036316,391017388,296.985,511806555,7546524260,,657445335,391007955,369.057,437212067,263640435,469.227
263622412,-12.1378688,-77.0224012,4,traffic_signals,,POINT (-77.0224012 -12.1378688),436631995,391017391,683.28,,,,,,,4757036316,391017388,404.7339999999999,511806555,7546524260,,657445335,391007955,283.286,437212067,263640435,383.456
263622413,-12.1370734,-77.0225514,3,,,POINT (-77.0225514 -12.1370734),436631995,391017391,593.2639999999999,,,,,,,4757036316,391017388,505.95000000000005,511806555,7546524260,,5595074952,391016290,70.937,437212067,263640435,293.44
263622414,-12.1358543,-77.02272,4,,,POINT (-77.02272000000001 -12.1358543),436631995,391017391,658.615,,,,,,,4757036316,391017388,671.457,511806555,7546524260,,5595074952,391016290,236.44400000000002,437212067,263640435,156.643
263631691,-12.1356061,-77.0179241,3,crossing,,POINT (-77.0179241 -12.1356061),436631995,391017391,763.235,,,,,,,4757036316,391017388,914.093,511806555,7546524260,,436732540,391018142,1118.326,437212067,263640435,1417.6350000000002
263631693,-12.1356495,-77.0183885,3,motorway_junction,1,POINT (-77.0183885 -12.1356495),436631995,391017391,,,,,,,,4757036316,391017388,,511806555,7546524260,,436732540,391018142,,437212067,263640435,
263631697,-12.1338204,-77.0204599,3,motorway_junction,2,POINT (-77.02045990000001 -12.1338204),436631995,391017391,,,,,,,,4757036316,391017388,,511806555,7546524260,,436732540,391018142,,437212067,263640435,
263635519,-12.1315789,-77.0189599,3,,,POINT (-77.0189599 -12.1315789),436631995,391017391,1395.626,,,,,,,4757036316,391017388,1546.4840000000004,511806555,7546524260,,436732540,391018142,1750.717,437212067,263640435,2050.026
263636369,-12.1335649,-77.0192577,4,,,POINT (-77.0192577 -12.1335649),436631995,391017391,1088.8070000000002,,,,,,,4757036316,391017388,1239.6650000000004,511806555,7546524260,,436732540,391018142,1443.8980000000001,437212067,263640435,1743.207
263636370,-12.1329118,-77.0196062,3,,,POINT (-77.0196062 -12.1329118),436631995,391017391,1170.7169999999999,,,,,,,4757036316,391017388,1321.5750000000003,511806555,7546524260,,436732540,391018142,1525.808,437212067,263640435,1825.117
263636371,-12.13213,-77.0199958,3,,,POINT (-77.0199958 -12.13213),436631995,391017391,1267.418,,,,,,,4757036316,391017388,1418.2760000000003,511806555,7546524260,,436732540,391018142,1622.509,437212067,263640435,1921.8179999999998
263636372,-12.1316908,-77.020203,4,,,POINT (-77.020203 -12.1316908),436631995,391017391,1321.1989999999998,,,,,,,4757036316,391017388,1472.0570000000002,511806555,7546524260,,436732540,391018142,1676.29,437212067,263640435,1975.5989999999997
263636878,-12.1324573,-77.0206653,4,,,POINT (-77.0206653 -12.1324573),436631995,391017391,1420.144,,,,,,,4757036316,391017388,1571.0020000000004,511806555,7546524260,,436732540,391018142,1775.2350000000001,437212067,263640435,2074.544
263638414,-12.1333544,-77.0187819,3,,,POINT (-77.01878189999999 -12.1333544),436631995,391017391,1145.581,,,,,,,4757036316,391017388,1296.4390000000003,511806555,7546524260,,436732540,391018142,1500.672,437212067,263640435,1799.981
263640435,-12.1347311,-77.0220501,3,,,POINT (-77.0220501 -12.1347311),436631995,391017391,616.7180000000001,,,,,,,4757036316,391017388,777.836,511806555,7546524260,,436732540,391018142,982.0690000000001,437212067,263640435,0.0
263640436,-12.1343621,-77.0213949,3,motorway_junction,,POINT (-77.0213949 -12.1343621),436631995,391017391,534.5060000000001,,,,,,,4757036316,391017388,695.624,511806555,7546524260,,436732540,391018142,899.8570000000001,437212067,263640435,1217.95
263640458,-12.1340045,-77.0202673,3,,,POINT (-77.0202673 -12.1340045),436631995,391017391,,,,,,,,4757036316,391017388,,511806555,7546524260,,436732540,391018142,,437212067,263640435,
263641100,-12.1351845,-77.0194808,3,,,POINT (-77.0194808 -12.1351845),436631995,391017391,292.547,,,,,,,4757036316,391017388,453.665,511806555,7546524260,,436732540,391018142,657.898,437212067,263640435,975.991
263641105,-12.1373485,-77.0183186,3,,,POINT (-77.0183186 -12.1373485),436631995,391017391,194.941,,,,,,,4757036316,391017388,356.059,318792235,2676305091,1722.223,5595075567,391020811,1504.391,437212067,263640435,878.385
263641107,-12.1382612,-77.0179947,3,,,POINT (-77.0179947 -12.1382612),436631995,391017391,457.43399999999997,,,,,,,4757036316,391017388,608.292,318792235,2676305091,1614.7540000000001,5595075565,391018361,291.803,437212067,263640435,1111.834
263642305,-12.1361799,-77.025314,3,,,POINT (-77.02531399999999 -12.1361799),436631995,391017391,1009.2149999999999,,,,,,,4757036316,391017388,883.106,511806555,7546524260,,657445334,391007955,761.6579999999999,437212067,263640435,392.49699999999996
263642540,-12.1429363,-77.0259837,3,,,POINT (-77.0259837 -12.1429363),4344482235,391013653,2702.5449999999996,,,,,,,4757036316,391017388,1776.3449999999998,511806555,7546524260,,522148231,391008260,2025.4879999999998,379598570,4344675721,2248.188
316633871,-12.1456908,-77.0193488,3,,,POINT (-77.0193488 -12.1456908),4344482235,391013653,381.942,,,,,,,459595827,678989831,1002.6800000000002,318792235,2676305091,503.52,436622704,316633871,0.0,379598570,4344675721,708.175
316633878,-12.1522383,-77.0198696,3,,,POINT (-77.01986960000001 -12.1522383),4412506991,434289102,871.2610000000001,,,,,,,459595827,678989831,2192.0660000000003,430458076,459457260,,5595087687,678989669,1215.7020000000002,379598570,4344675721,1618.5210000000002
316634026,-12.1419088,-77.0178107,5,,,POINT (-77.0178107 -12.1419088),4412525789,316757406,388.693,,,,,,,459595827,678989831,410.52299999999997,318792235,2676305091,1150.9899999999998,5595082445,678989830,480.07699999999994,379598570,4344675721,1255.2020000000002
