osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
31044246,-12.0116407,-77.0903805,3,,,POINT (-77.09038049999999 -12.0116407),439210318,31069520,1349.028,248565901,4337488133,7496.942999999998,439627528,844549029,1231.486,837996744,847712847,957.156,4301413611,1749116828,817.674,446209487,847712786,1294.499,6252388,697291018,7127.335
31044276,-12.0118578,-77.0902877,3,,,POINT (-77.0902877 -12.0118578),439210318,31069520,1454.137,248565901,4337488133,7602.051999999999,439627528,844549029,1336.5950000000003,837996744,847712847,1062.265,4301413611,1749116828,922.7830000000001,446209487,847712786,1399.6080000000002,6252388,697291018,7232.444
31069450,-12.0134922,-77.0948208,4,,,POINT (-77.09482079999999 -12.0134922),4368585156,848387264,1217.559,248565901,4337488133,6981.624999999998,439627528,844549029,716.168,837996744,847712847,325.08,4301413611,1749116828,302.356,446219717,848387162,498.70799999999997,6252388,697291018,6612.017000000001
31069459,-12.0133411,-77.0949238,4,,,POINT (-77.0949238 -12.0133411),439210318,31069520,813.516,248565901,4337488133,6961.430999999999,439627528,844549029,695.974,837996744,847712847,421.644,4301413611,1749116828,282.16200000000003,442666169,844548291,754.171,6252388,697291018,6591.823
31069494,-12.0133052,-77.0953391,4,,,POINT (-77.0953391 -12.0133052),439210318,31069520,922.939,248565901,4337488133,6954.095999999999,439627528,844549029,630.8720000000001,837996744,847712847,414.30899999999997,4301413611,1749116828,217.06,442666169,844548291,689.069,6252388,697291018,6571.692000000001
31069495,-12.0135258,-77.0951984,4,,,POINT (-77.0951984 -12.0135258),4368585156,848387264,1161.119,248565901,4337488133,6925.184999999999,439627528,844549029,776.486,837996744,847712847,385.39799999999997,4301413611,1749116828,362.674,442666169,844548291,834.6829999999999,6252388,697291018,6555.577000000001
31069505,-12.0137045,-77.0950744,4,,,POINT (-77.0950744 -12.0137045),4368585156,848387264,1253.863,248565901,4337488133,6901.170999999998,439627528,844549029,752.472,837996744,847712847,361.384,4301413611,1749116828,338.65999999999997,446219717,848387162,418.254,6252388,697291018,6648.321000000001
31069515,-12.0128781,-77.0952399,3,,,POINT (-77.0952399 -12.0128781),439210318,31069520,751.582,248565901,4337488133,7965.5869999999995,439627528,844549029,1642.363,837996744,847712847,1425.8,4301413611,1749116828,1228.5510000000002,442666169,844548291,1488.8780000000002,6252388,697291018,7583.183
31069517,-12.0109041,-77.0965262,3,,,POINT (-77.0965262 -12.0109041),439210318,31069520,491.29100000000005,248565901,4337488133,7705.295999999999,439627528,844549029,1382.0720000000001,837996744,847712847,1165.509,4301413611,1749116828,968.26,442666169,844548291,1228.587,458775067,5497480932,7437.611999999998
31069520,-12.0069948,-77.0986189,3,,,POINT (-77.09861890000001 -12.0069948),439210318,31069520,0.0,248565901,4337488133,7929.953999999999,439627528,844549029,1235.633,4403379705,844545676,514.987,1847686641,847726773,1116.837,838366613,1359116919,638.082,458775067,5497480932,6946.320999999999
31069528,-12.0072297,-77.098822,3,,,POINT (-77.098822 -12.0072297),439210318,31069520,1699.2069999999997,248565901,4337488133,7730.363999999999,439627528,844549029,1036.0430000000001,4403379705,844545676,315.397,1847686641,847726773,919.272,838366613,1359116919,1469.5869999999998,458775067,5497480932,7113.739999999998
31069529,-12.010129,-77.0970413,4,,,POINT (-77.0970413 -12.010129),439210318,31069520,388.491,248565901,4337488133,7848.811999999999,439627528,844549029,1525.588,4403379705,844545676,903.478,1847686641,847726773,1505.3280000000002,838366613,1359116919,158.871,458775067,5497480932,7334.811999999998
31069530,-12.0074527,-77.0983778,3,,,POINT (-77.09837779999999 -12.0074527),439210318,31069520,57.283,248565901,4337488133,7987.236999999999,439627528,844549029,1292.916,4403379705,844545676,572.27,1847686641,847726773,1174.1200000000001,838366613,1359116919,279.08299999999997,458775067,5497480932,7003.603999999998
31069553,-12.0215084,-77.1060439,3,,,POINT (-77.1060439 -12.0215084),4749882624,1378327187,1736.84,248565901,4337488133,5603.305999999999,439895202,599289767,703.3190000000001,3958975140,1273842020,,1847686641,847726773,2386.53,360086798,848387303,959.8450000000001,436270526,4341295256,5774.631999999998
31069556,-12.0195785,-77.1015057,4,,,POINT (-77.1015057 -12.0195785),4368585156,848387264,196.14499999999998,248565901,4337488133,6114.106999999999,439895202,599289767,456.014,641362621,4368675016,170.891,1847686641,847726773,1590.2490000000003,438467325,848387228,323.43899999999996,436270526,4341295256,6285.432999999998
31069560,-12.0222867,-77.1057063,3,,,POINT (-77.10570629999999 -12.0222867),4749882624,1378327187,1480.321,248565901,4337488133,5697.791999999999,439895202,599289767,446.79999999999995,3958975140,1273842020,,439227482,848391971,1631.0059999999999,360086798,848387303,703.326,436270526,4341295256,5869.117999999998
31069593,-12.0215838,-77.1065647,3,,,POINT (-77.10656470000001 -12.0215838),4749882624,1378327187,1661.675,248565901,4337488133,5528.140999999999,439895202,599289767,628.154,3958975140,1273842020,,1847686641,847726773,2311.3650000000002,360086798,848387303,884.6800000000001,436270526,4341295256,5699.466999999998
31069595,-12.0225075,-77.1061089,3,,,POINT (-77.1061089 -12.0225075),4749882624,1378327187,1545.327,248565901,4337488133,5411.792999999999,439895202,599289767,511.80600000000004,3958975140,1273842020,,439227482,848391971,1696.012,360086798,848387303,768.3320000000001,436270526,4341295256,5583.118999999998
31069656,-12.0196318,-77.1011528,4,,,POINT (-77.10115279999999 -12.0196318),4368585156,848387264,137.168,248565901,4337488133,6170.196999999999,439895202,599289767,512.1039999999999,641362621,4368675016,111.914,4301413611,1749116828,1274.1029999999998,438467325,848387228,356.969,436270526,4341295256,6341.522999999998
31069657,-12.0194365,-77.1012509,4,,,POINT (-77.1012509 -12.0194365),4368585156,848387264,228.039,248565901,4337488133,6146.000999999999,439895202,599289767,487.908,641362621,4368675016,202.785,1847686641,847726773,1622.1430000000003,438467325,848387228,355.33299999999997,436270526,4341295256,6317.326999999998
31069687,-12.0099008,-77.1062857,4,traffic_signals,,POINT (-77.1062857 -12.0099008),5509243364,844560835,879.789,248565901,4337488133,7309.266999999998,439627528,844549029,1654.9980000000003,781676384,847726757,348.651,1847686641,847726773,1003.359,5560356556,847726755,162.259,458775067,5497480932,5977.155999999996
31069688,-12.0197945,-77.1013987,4,,,POINT (-77.1013987 -12.0197945),4368585156,848387264,169.456,248565901,4337488133,6087.417999999999,439895202,599289767,429.32499999999993,641362621,4368675016,144.202,439227482,848391971,1117.776,438467325,848387228,296.75,436270526,4341295256,6258.743999999998
31069689,-12.0231959,-77.0996764,3,,,POINT (-77.09967640000001 -12.0231959),1846411898,599288003,490.19,248565901,4337488133,5665.106999999998,439895202,599289767,515.1969999999999,360086684,848387255,136.549,439227482,848391971,695.4649999999999,360086798,848387303,263.514,436270526,4341295256,5836.432999999997
31069845,-12.001024,-77.1166448,4,,,POINT (-77.1166448 -12.001024),1846411770,2832443283,548.33,248565901,4337488133,8128.598999999998,439895202,599289767,3228.612,564134192,1750352112,363.247,1847686641,847726773,2962.6579999999994,439073618,31069855,42.948,458775067,5497480932,4111.760000000001
31069846,-12.0008799,-77.1168062,4,,,POINT (-77.1168062 -12.0008799),1846411770,2832443283,609.808,248565901,4337488133,8104.830999999998,439895202,599289767,3204.844,564134192,1750352112,339.479,1847686641,847726773,2987.372,439073618,31069855,19.18,458775067,5497480932,4087.992000000002
31069855,-12.0010093,-77.1169228,3,,,POINT (-77.1169228 -12.0010093),1846411770,2832443283,590.628,248565901,4337488133,8085.650999999999,439895202,599289767,3185.6639999999998,564134192,1750352112,405.545,1847686641,847726773,2968.192,439073618,31069855,0.0,458775067,5497480932,4154.058000000002
31069856,-12.0011495,-77.1167669,3,,,POINT (-77.1167669 -12.0011495),1846411770,2832443283,567.594,248565901,4337488133,8062.616999999998,439895202,599289767,3162.63,564134192,1750352112,382.51099999999997,1847686641,847726773,2945.158,439073618,31069855,62.211999999999996,458775067,5497480932,4131.024000000001
31069859,-12.0017239,-77.1160511,3,,,POINT (-77.11605110000001 -12.0017239),1846411770,2832443283,601.565,248565901,4337488133,8229.922999999999,439895202,599289767,3329.9359999999997,836892196,1273586955,485.93699999999995,1847686641,847726773,2869.189999999999,439073618,31069855,144.272,458775067,5497480932,4213.084000000001
31069864,-12.0003074,-77.1159528,4,,,POINT (-77.1159528 -12.0003074),1846411770,2832443283,438.721,248565901,4337488133,8238.196999999998,439627528,844549029,3504.687999999999,564134192,1750352112,472.84499999999997,1847686641,847726773,2853.048999999999,439073618,31069855,152.54600000000002,458775067,5497480932,4221.358000000001
31069866,-11.9986409,-77.1146391,3,,,POINT (-77.11463910000001 -11.9986409),1846411770,2832443283,694.552,248565901,4337488133,8447.7,439627528,844549029,3760.5190000000002,836905817,1743677788,850.4450000000002,1847686641,847726773,3108.88,564134193,5436037242,820.4610000000001,458775067,5497480932,4326.864000000001
