osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
599281346,-11.9009865,-77.0306082,3,,POINT (-77.0306082 -11.9009865),435849649,4336217881,500.25899999999996,679438717,4335734842,2782.7140000000004,9721207,838231809,679.737,5659598954,3048178107,561.846,5810743065,1273503293,246.88299999999998,5597269843,1814997451,234.128,,,
599281347,-11.8993151,-77.0310471,3,,POINT (-77.03104709999999 -11.8993151),435849649,4336217881,697.0849999999999,679438717,4335734842,2559.0180000000005,9721207,838231809,876.5630000000001,690104327,1814005350,1403.4730000000002,318900292,1273503293,443.709,5597269843,1814997451,430.95399999999995,,,
599281456,-11.8913363,-77.0450998,3,,POINT (-77.0450998 -11.8913363),1863374442,1756661513,1372.848,679438717,4335734842,3707.9190000000003,9721207,838231809,2218.5370000000007,596179298,1241378413,1028.571,318900292,1273503293,2230.3040000000005,5574310723,5120653309,189.525,,,
599281489,-11.8894073,-77.03359,4,,POINT (-77.03359 -11.8894073),1863374442,1756661513,700.706,679438717,4335734842,2145.7950000000005,9721207,838231809,1817.381,655418833,1814004805,272.90999999999997,318900292,1273503293,1815.032,5574337473,1814005036,157.704,,,
599281493,-11.8943414,-77.0367463,4,,POINT (-77.0367463 -11.8943414),1863374442,1756661513,101.628,679438717,4335734842,2909.2110000000007,9721207,838231809,1173.9740000000002,690104327,1814005350,858.8620000000001,318900292,1273503293,1185.7410000000002,5574324202,1241378189,408.74100000000004,,,
599281523,-11.8944509,-77.0368169,4,,POINT (-77.03681690000001 -11.8944509),1863374442,1756661513,313.888,679438717,4335734842,2894.8140000000008,9721207,838231809,1159.5770000000002,690104327,1814005350,844.465,318900292,1273503293,1171.3440000000003,5574324202,1241378189,394.344,,,
599281736,-11.895716,-77.036619,3,,POINT (-77.036619 -11.895716),1863374442,1756661513,308.371,679438717,4335734842,2889.2970000000005,9721207,838231809,1103.844,690104327,1814005350,788.7320000000001,318900292,1273503293,1115.611,5574324214,1273687233,778.645,,,
599281737,-11.8950292,-77.0361301,4,traffic_signals,POINT (-77.03613009999999 -11.8950292),1863374442,1756661513,215.301,679438717,4335734842,2796.2270000000008,9721207,838231809,1060.9900000000002,690104327,1814005350,745.878,318900292,1273503293,1072.757,5574350415,1814005313,747.01,,,
599282313,-11.8991094,-77.0302671,3,,POINT (-77.0302671 -11.8991094),435849649,4336217881,904.6649999999998,679438717,4335734842,2458.7310000000007,9721207,838231809,1084.143,690104327,1814005350,1611.0529999999999,318900292,1273503293,651.289,5574351577,4336217878,1220.485,,,
599283088,-11.8985789,-77.0315754,3,,POINT (-77.03157539999999 -11.8985789),435849649,4336217881,13.385,679438717,4335734842,2706.8330000000005,9721207,838231809,504.365,690104327,1814005350,719.773,318900292,1273503293,516.132,5574351577,4336217878,329.205,,,
599283678,-11.898818,-77.0303115,3,,POINT (-77.0303115 -11.898818),435849649,4336217881,201.802,679438717,4335734842,2538.9920000000006,9721207,838231809,671.8629999999999,690104327,1814005350,908.19,318900292,1273503293,490.609,5574351577,4336217878,517.6220000000001,,,
599284494,-11.8949186,-77.0360548,4,traffic_signals,POINT (-77.0360548 -11.8949186),1863374442,1756661513,200.524,679438717,4335734842,2781.4500000000007,9721207,838231809,1272.8700000000003,690104327,1814005350,957.7580000000003,318900292,1273503293,1284.6370000000004,5574350415,1814005313,958.8900000000003,,,
599284497,-11.8943117,-77.0357665,3,,POINT (-77.03576649999999 -11.8943117),1863374442,1756661513,1109.598,679438717,4335734842,2707.0310000000004,9721207,838231809,2096.6000000000004,690104327,1814005350,1198.48,318900292,1273503293,2108.367,5574350415,1814005313,1084.53,,,
599284503,-11.8895693,-77.0334236,3,,POINT (-77.03342360000001 -11.8895693),1863374442,1756661513,726.246,679438717,4335734842,2120.255,9721207,838231809,1791.8410000000001,655418833,1814004805,298.45000000000005,318900292,1273503293,1789.492,5574337473,1814005036,132.164,,,
599284508,-11.8897327,-77.0328261,4,,POINT (-77.03282609999999 -11.8897327),1863374442,1756661513,810.451,679438717,4335734842,2161.5580000000004,9721207,838231809,1718.4900000000005,655418833,1814004805,382.65500000000003,318900292,1273503293,1716.1409999999998,5574337473,1814005036,58.813,,,
599284520,-11.8930867,-77.0293097,3,,POINT (-77.0293097 -11.8930867),435849649,4336217881,850.18,679438717,4335734842,2137.5800000000004,9721207,838231809,1341.16,690104327,1814005350,844.732,318900292,1273503293,1177.077,5574342459,1814005192,55.805,,,
599285488,-11.898498,-77.030111,3,,POINT (-77.03011100000001 -11.898498),435849649,4336217881,834.59,679438717,4335734842,2388.6560000000004,9721207,838231809,1014.068,690104327,1814005350,1540.978,318900292,1273503293,581.2139999999999,5574351577,4336217878,1150.41,,,
599285497,-11.8874958,-77.0236939,4,,POINT (-77.0236939 -11.8874958),435682276,1814196343,1168.7259999999999,679438717,4335734842,940.8279999999999,9721207,838231809,2174.529,367128690,1814004691,607.058,318900106,1814940143,1814.3229999999996,4936320723,4335707470,80.071,,,
599285509,-11.8808145,-77.0214572,4,traffic_signals,POINT (-77.0214572 -11.8808145),435682276,1814196343,296.525,679438717,4335734842,83.682,9721207,838231809,3059.6890000000008,818620391,4334666504,414.535,318900106,1814940143,936.7030000000001,669242283,1814196870,284.57,,,
599285514,-11.8782634,-77.0181386,4,,POINT (-77.0181386 -11.8782634),4335790190,1814195895,11.638,679438717,4335734842,438.45899999999995,9721207,838231809,3521.3920000000003,818620391,4334666504,89.95400000000001,318900106,1814940143,470.92900000000003,5574270148,1814195892,173.983,,,
599285516,-11.8746347,-77.0161617,4,,POINT (-77.0161617 -11.8746347),4335836201,1814819576,75.646,679438717,4335734842,897.1930000000001,9721207,838231809,3980.0320000000006,818620111,1814819908,368.92400000000004,318900106,1814940143,11.062,5574180150,1814195098,28.73,,,
599286836,-11.8698719,-77.0135316,3,,POINT (-77.01353159999999 -11.8698719),4574298791,1814819419,496.2300000000001,679438717,4335734842,1513.4049999999995,9721207,838231809,4568.078999999999,818620111,1814819908,934.579,318900106,1814940143,627.274,5574152576,1814940007,159.856,,,
