osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
440216348,-12.0863415,-76.8681377,4,,POINT (-76.86813770000001 -12.0863415),,,,,,,,,,622546738,3804457497,6662.020999999999,8539691591,1571640988,7660.954999999997,5258367244,1754258356,5451.614,,,
440216392,-12.0868002,-76.8646902,3,,POINT (-76.8646902 -12.0868002),,,,,,,,,,622546738,3804457497,6249.321999999998,8539691591,1571640988,7248.255999999997,5258367244,1754258356,5038.914999999999,,,
440216398,-12.0873821,-76.863281,3,,POINT (-76.863281 -12.0873821),,,,,,,,,,622546738,3804457497,6082.98,8539691591,1571640988,7081.913999999998,5258367244,1754258356,4872.573,,,
440216444,-12.0911561,-76.8438505,3,,POINT (-76.8438505 -12.0911561),,,,,,,,,,622546738,3804457497,3916.762000000001,8539691591,1571640988,4915.696000000002,5258367244,1754258356,2706.355,,,
440216639,-12.0994815,-76.8387179,3,,POINT (-76.83871790000001 -12.0994815),,,,,,,,,,622546738,3804457497,2634.8020000000006,8539691591,1571640988,3633.7360000000017,5258367244,1754258356,1424.3950000000002,,,
440216717,-12.106095,-76.8291747,3,,POINT (-76.8291747 -12.106095),,,,,,,,,,622546738,3804457497,1331.275,8539691591,1571640988,2330.209,5258367244,1754258356,396.13399999999996,,,
440218337,-12.1108473,-76.8224806,3,,POINT (-76.82248060000001 -12.1108473),,,,,,,,,,622546738,3804457497,421.169,8539691591,1571640988,1420.103,5258367229,1754258377,58.264,,,
440218362,-12.1180632,-76.8143135,3,,POINT (-76.8143135 -12.1180632),,,,,,,,,,622544541,3804459328,1057.264,8539691591,1571640988,511.09299999999996,5258345869,3804459328,1057.264,,,
440218366,-12.1188992,-76.8140372,3,,POINT (-76.8140372 -12.1188992),,,,,,,,,,622544541,3804459328,1007.19,8539691591,1571640988,461.019,5258345869,3804459328,1007.19,,,
440218367,-12.1199046,-76.814081,3,,POINT (-76.814081 -12.1199046),,,,,,,,,,622544541,3804459328,1119.51,8539691591,1571640988,573.3389999999999,5258345869,3804459328,1119.51,,,
440218373,-12.1227253,-76.8155333,3,,POINT (-76.8155333 -12.1227253),,,,,,,,,,622544541,3804459328,1473.0780000000002,8539691591,1571640988,926.9069999999999,5258345869,3804459328,1473.0780000000002,,,
440218374,-12.1234994,-76.8161873,3,,POINT (-76.8161873 -12.1234994),,,,,,,,,,622544541,3804459328,1584.7220000000002,8539691591,1571640988,1038.551,5258345869,3804459328,1584.7220000000002,,,
496771630,-12.1183998,-76.8139549,3,,POINT (-76.8139549 -12.1183998),,,,,,,,,,622544541,3804459328,1026.083,8539691591,1571640988,479.91200000000003,5258345869,3804459328,1026.083,,,
496771639,-12.1064479,-76.8051924,4,,POINT (-76.8051924 -12.1064479),,,,,,,,,,622544541,3804459328,1602.7720000000004,8539691591,1571640988,1255.467,5258345867,4995642054,471.85400000000004,,,
