osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
31043918,-11.9769393,-77.0597167,4,,,POINT (-77.0597167 -11.9769393),436795783,1330494940,1156.51,,,,9724165,1330495091,805.0550000000001,303407211,1295958592,1108.641,318950897,1273121515,3165.2180000000008,5574777475,8932379451,654.305,621763280,4332972980,5195.677000000001
31043921,-11.9769902,-77.0595029,5,,,POINT (-77.0595029 -11.9769902),436795783,1330494940,1132.575,,,,9724165,1330495091,781.1200000000001,303407211,1295958592,1084.7060000000001,318950897,1273121515,3141.283000000001,5574777475,8932379451,630.3699999999999,621763280,4332972980,5171.742000000001
31043922,-11.9766165,-77.0594006,4,,,POINT (-77.0594006 -11.9766165),436795783,1330494940,1089.556,,,,9724165,1330495091,738.1010000000001,303407211,1295958592,1041.6870000000001,318950897,1273121515,3098.2640000000006,5574777475,8932379451,724.4119999999999,621763280,4332972980,5128.723000000001
31043923,-11.976523,-77.0595696,4,,,POINT (-77.0595696 -11.976523),436795783,1330494940,1205.498,,,,9724165,1330495091,854.0430000000001,303407211,1295958592,1157.6290000000001,318950897,1273121515,3214.206000000001,5574777475,8932379451,703.2929999999999,621763280,4332972980,5244.665000000001
31080171,-11.966191,-77.0559226,4,,,POINT (-77.0559226 -11.966191),4346610928,1330494940,305.10900000000004,,,,9724165,1330495091,845.221,835601056,1330494735,205.795,318950897,1273121515,1845.8039999999996,5574777480,1295958326,434.788,621763280,4332972980,4370.465
31080415,-11.9764469,-77.0595384,5,traffic_signals,,POINT (-77.05953839999999 -11.9764469),436795783,1330494940,1214.615,,,,9724165,1330495091,863.1600000000001,303407211,1295958592,1017.5970000000001,318950897,1273121515,3151.9550000000013,5574777475,8932379451,712.4099999999999,621763280,4332972980,5104.633000000001
31080420,-11.964704,-77.0617846,4,,,POINT (-77.0617846 -11.964704),436795783,1330494940,1044.791,,,,9724165,1330495091,1312.516,303407211,1295958592,493.38000000000005,318950897,1273121515,1913.1149999999998,436410819,1295958511,228.316,621763280,4332972980,3794.275000000001
31080421,-11.9616677,-77.0625289,4,,,POINT (-77.0625289 -11.9616677),436795783,1330494940,1452.3429999999998,,,,9724165,1330495091,1724.5189999999998,476168489,1295958270,908.7729999999999,318950897,1273121515,1675.7219999999998,5574740114,1295957938,279.405,621763280,4332972980,3460.666
31080422,-11.9613677,-77.0626282,4,,,POINT (-77.06262820000001 -11.9613677),436792154,4346589043,1289.465,,,,9724165,1330495091,1689.455,476168489,1295958270,873.709,318950897,1273121515,1741.3379999999995,5574740114,1295957938,244.341,621763280,4332972980,3526.2820000000006
31080429,-11.952472,-77.0646818,4,,,POINT (-77.0646818 -11.952472),4396386141,1272936869,1601.3720000000003,,,,111800007,1272935732,2043.856,438904114,4365510461,82.45599999999999,318954668,1273122009,1779.814,5574740109,1273121531,558.439,621763280,4332972980,2647.282
