osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
31040287,-12.0043119,-77.0612641,3,,,POINT (-77.0612641 -12.0043119),1863374475,2470149617,1971.709,808969919,842548371,1051.052,118291969,1330494900,4082.552,835576775,842491034,632.4499999999999,319030929,1332056961,1716.4330000000002,5577060738,842490943,403.92600000000004,2699376371,842490958,358.05600000000004
31040302,-12.0037202,-77.058111,3,,,POINT (-77.058111 -12.0037202),4684630389,842490975,266.971,808969919,842548371,887.3650000000001,118291969,1330494900,3918.8650000000007,835576775,842491034,468.76300000000003,319030929,1332056961,1576.7330000000004,5577040165,842510813,301.696,2699376371,842490958,218.35600000000002
31040304,-12.0041232,-77.0616762,3,,,POINT (-77.06167619999999 -12.0041232),1863374475,2470149617,2364.7850000000003,808969919,842548371,1090.744,118291969,1330494900,4047.6960000000004,835576775,842491034,625.968,319030929,1332056961,2109.5090000000005,5577060738,842490943,522.04,2699376371,842490958,751.1320000000001
31040409,-11.9976071,-77.058513,3,,,POINT (-77.058513 -11.9976071),4439657893,842510799,461.50300000000004,808969919,842548371,285.874,118291969,1330494900,3004.1290000000004,835576775,842491034,486.83599999999996,319030929,1332056961,1581.664,5577059654,842548372,398.99800000000005,559577282,4379685905,238.65
31040411,-12.0024254,-77.057832,3,,,POINT (-77.057832 -12.0024254),4684630389,842490975,430.272,808969919,842548371,698.2280000000001,118291969,1330494900,3729.728,835576775,842491034,279.626,319030929,1332056961,1466.285,5577040166,827153172,165.565,2699376371,842490958,381.657
31040412,-12.0032621,-77.0577203,3,,,POINT (-77.0577203 -12.0032621),4684630389,842490975,336.445,808969919,842548371,604.401,118291969,1330494900,3635.9010000000003,835576775,842491034,185.799,319030929,1332056961,1372.4579999999999,5577040165,842510813,18.732,2699376371,842490958,287.83
31040415,-12.0037879,-77.0576867,3,,,POINT (-77.0576867 -12.0037879),4684630389,842490975,284.271,808969919,842548371,657.5219999999999,118291969,1330494900,3689.0220000000004,835576775,842491034,238.92000000000002,319030929,1332056961,1322.903,5577040165,842510813,71.85300000000001,2699376371,842490958,235.656
31041260,-11.9977285,-77.0550446,4,,,POINT (-77.0550446 -11.9977285),4439657893,842510799,535.269,808969919,842548371,527.564,118291969,1330494900,2753.102,501214357,1332057229,395.659,319030929,1332056961,243.40099999999998,5577059653,842588630,630.2900000000001,808938674,4419693449,1331.036
31041263,-11.9952383,-77.0553937,4,,,POINT (-77.0553937 -11.9952383),4439657893,842510799,1245.563,808969919,842548371,1237.8580000000002,118291969,1330494900,2467.4129999999996,501214357,1332057229,449.97299999999996,319030929,1332056961,405.086,118423725,1332057027,274.352,808938674,4419693449,1955.5040000000001
31041264,-11.9941721,-77.0560441,3,,,POINT (-77.05604409999999 -11.9941721),1918015082,4379635739,1745.8,808969919,842548371,1414.5590000000004,118291969,1330494900,2329.3389999999995,501214357,1332057229,626.6740000000001,319030929,1332056961,581.7869999999999,807581626,1332057096,94.14,808938674,4419693449,1817.43
