osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
301457363,-12.0658139,-77.1190822,3,,POINT (-77.11908219999999 -12.0658139),1846411996,627819374,728.2719999999999,5402567618,473905036,912.415,3358845693,629048167,2073.334,446684173,473899494,675.6510000000001,436268471,627969078,931.359,4367027790,473895480,513.117,,,
301457496,-12.065485,-77.1187727,3,,POINT (-77.11877269999999 -12.065485),1846411996,627819374,2221.7890000000007,5402567618,473905036,1420.103,3358845693,629048167,3561.5640000000008,446684173,473899494,1168.3380000000002,436268471,627969078,2424.8760000000007,4367027790,473895480,1748.4790000000005,,,
301457499,-12.0701729,-77.1093523,4,traffic_signals,POINT (-77.1093523 -12.0701729),1846412000,4337410473,354.46000000000004,5402567618,473905036,1036.1309999999999,3358845693,629048167,2836.0929999999994,446684173,473899494,796.626,1847664099,474877916,494.499,5560325046,474877436,631.461,,,
301457502,-12.0674306,-77.1162614,3,,POINT (-77.1162614 -12.0674306),435869553,473897529,746.7300000000001,5402567618,473905036,225.131,3358845693,629048167,3017.4,446684173,473899494,624.1740000000001,436268471,627969078,1880.7120000000004,4367027790,473895480,1204.3150000000003,,,
301457511,-12.0654149,-77.1187583,3,,POINT (-77.1187583 -12.0654149),1846411996,627819374,2213.8390000000004,5402567618,473905036,1412.153,3358845693,629048167,3553.614,446684173,473899494,1160.3880000000001,436268471,627969078,2416.9260000000004,4367027790,473895480,1740.5290000000002,,,
301457523,-12.0641602,-77.1121535,4,,POINT (-77.11215350000001 -12.0641602),435869553,473897529,657.3610000000001,5402567618,473905036,786.5699999999999,3358845693,629048167,2928.0309999999995,446684173,473899494,534.8050000000001,1847664099,474877916,761.7660000000001,446602948,474878008,874.681,,,
301457524,-12.0635411,-77.1085617,4,,POINT (-77.1085617 -12.0635411),1846412000,4337410473,1119.5059999999999,5402567618,473905036,1212.518,3358845693,629048167,3353.9790000000007,446684173,473899494,960.7530000000002,1847664099,474877916,550.014,446602948,474878008,496.83699999999993,,,
301457525,-12.0633186,-77.1072261,3,,POINT (-77.10722610000001 -12.0633186),1846412000,4337410473,1228.0980000000002,5402567618,473905036,1321.11,3358845693,629048167,3462.5710000000004,446684173,473899494,1069.345,1847664099,474877916,425.02699999999993,446602948,474878008,349.16999999999996,,,
301457550,-12.0634287,-77.1087307,4,,POINT (-77.1087307 -12.0634287),1846412000,4337410473,1088.0029999999997,5402567618,473905036,1181.015,3358845693,629048167,3322.476,446684173,473899494,929.2500000000001,1847664099,474877916,518.511,446602948,474878008,520.9770000000001,,,
308131105,-12.0681002,-77.1329143,3,,POINT (-77.1329143 -12.0681002),1846411996,627819374,,5402567618,473905036,,3358845693,629048167,,785175013,628116449,,617092869,472508585,,4158596189,308131105,0.0,,,
308131106,-12.0679396,-77.1328662,3,,POINT (-77.1328662 -12.0679396),1846411996,627819374,,5402567618,473905036,,3358845693,629048167,,785175013,628116449,,617092869,472508585,,4158596189,308131105,,,,
309580782,-12.0655823,-77.119741,3,,POINT (-77.119741 -12.0655823),1846411996,627819374,121.62700000000001,5402567618,473905036,991.959,3358845693,629048167,1712.6870000000001,446684173,473899494,755.195,436268471,627969078,566.466,4367027790,473895480,592.6610000000001,,,
309580954,-12.0763034,-77.1094419,3,,POINT (-77.10944189999999 -12.0763034),1846412000,4337410473,924.172,5402567618,473905036,1918.0410000000002,3358845693,629048167,2539.4280000000003,446684173,473899494,1681.2770000000003,1847664099,474877916,1491.8240000000003,436257932,309580954,0.0,,,
309580957,-12.0733657,-77.1173813,4,,POINT (-77.11738130000001 -12.0733657),435869553,473897529,676.8259999999999,5402567618,473905036,1036.1459999999997,3358845693,629048167,1615.4920000000002,446684173,473899494,799.382,436268471,627969078,1019.5719999999999,446693264,6327801964,158.06599999999997,,,
309580958,-12.0720788,-77.1207551,4,,POINT (-77.1207551 -12.0720788),1846411996,627819374,795.471,5402567618,473905036,1405.725,3358845693,629048167,1221.6370000000002,617092883,627972600,485.76099999999997,436268471,627969078,625.717,1452866618,624448602,231.909,,,
309580962,-12.0697429,-77.1256764,4,,POINT (-77.1256764 -12.0697429),1846411996,627819374,920.9269999999999,5402567618,473905036,1913.4299999999998,3358845693,629048167,625.0799999999999,617092868,2147099192,163.542,617092869,472508585,686.347,617092884,628022427,283.859,,,
309580964,-12.0690857,-77.1275315,4,,POINT (-77.1275315 -12.0690857),1846411996,627819374,1044.367,5402567618,473905036,2036.87,3358845693,629048167,405.893,785175013,628116449,303.007,617092869,472508585,517.201,414738463,437641541,101.669,,,
309580965,-12.0678495,-77.1310056,4,,POINT (-77.13100559999999 -12.0678495),1846411996,627819374,1622.4690000000005,5402567618,473905036,2614.9720000000007,3358845693,629048167,206.171,785175013,628116449,505.153,617092869,472508585,923.1600000000001,4158596189,308131105,279.55899999999997,,,
309580973,-12.0701597,-77.1299439,4,,POINT (-77.1299439 -12.0701597),1846411996,627819374,1417.007,5402567618,473905036,2409.5099999999998,3358845693,629048167,199.165,785175013,628116449,299.691,617092869,472508585,517.8240000000001,414738463,437641541,304.933,,,
309580993,-12.0695113,-77.1317183,4,,POINT (-77.1317183 -12.0695113),1846411996,627819374,1620.9020000000005,5402567618,473905036,2613.4050000000007,3358845693,629048167,204.60399999999998,785175013,628116449,503.586,617092869,472508585,723.808,4158596189,308131105,277.99199999999996,,,
309581083,-12.0644997,-77.1085384,4,,POINT (-77.1085384 -12.0644997),1846412000,4337410473,967.0839999999998,5402567618,473905036,1060.096,3358845693,629048167,3201.5570000000002,446684173,473899494,808.3310000000001,1847664099,474877916,397.592,446602948,474878008,400.05800000000005,,,
309581084,-12.0656579,-77.1086357,3,,POINT (-77.10863569999999 -12.0656579),1846412000,4337410473,837.8459999999999,5402567618,473905036,1130.6670000000001,3358845693,629048167,3162.9989999999993,446684173,473899494,878.9020000000002,1847664099,474877916,268.35400000000004,446602948,474878008,381.269,,,
309581149,-12.0644773,-77.1083883,4,,POINT (-77.1083883 -12.0644773),1846412000,4337410473,983.5949999999998,5402567618,473905036,1076.607,3358845693,629048167,3218.0680000000007,446684173,473899494,824.8420000000001,1847664099,474877916,414.10299999999995,446602948,474878008,383.547,,,
309581200,-12.0710762,-77.1100747,3,,POINT (-77.1100747 -12.0710762),1846412000,4337410473,774.0919999999999,5402567618,473905036,1324.473,3358845693,629048167,2689.6199999999994,446684173,473899494,1087.709,1847664099,474877916,988.3770000000001,5560325046,474877436,844.421,,,
309581204,-12.0718664,-77.1112615,3,,POINT (-77.1112615 -12.0718664),1846412000,4337410473,808.1819999999999,5402567618,473905036,1186.2559999999999,3358845693,629048167,2533.1569999999997,446684173,473899494,949.4920000000001,1847664099,474877916,1022.4670000000001,5560325046,474877436,687.9579999999999,,,
309581210,-12.0762832,-77.113256,4,,POINT (-77.11325600000001 -12.0762832),1846412000,4337410473,1098.95,5402567618,473905036,1740.5529999999999,3358845693,629048167,2137.371,446684173,473899494,1503.789,1847664099,474877916,1337.271,436257932,309580954,546.1059999999999,,,
309581211,-12.0776143,-77.1137759,3,,POINT (-77.11377589999999 -12.0776143),1846412000,4337410473,1373.0580000000002,5402567618,473905036,2014.661,3358845693,629048167,2227.225,446684173,473899494,1777.8970000000002,436268471,627969078,1868.0369999999998,436257932,309580954,820.2139999999999,,,
309581245,-12.0735325,-77.1239451,3,,POINT (-77.1239451 -12.0735325),1846411996,627819374,937.769,5402567618,473905036,1913.5229999999997,3358845693,629048167,1028.782,617092883,627972600,534.0920000000001,617092869,472508585,532.6110000000001,414738473,628022382,223.084,,,
309581246,-12.0740041,-77.1228939,3,,POINT (-77.12289389999999 -12.0740041),1846411996,627819374,998.1589999999998,5402567618,473905036,1787.7220000000002,3358845693,629048167,1154.5829999999999,617092883,627972600,659.893,617092869,472508585,658.412,414738473,628022382,348.885,,,
